status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
6798562721_10155841396242722,"Miss the Los Pollos Hermanos Employee Training videos? Fret not, now you can watch and follow them here!",Los Pollos Hermanos Employee Training,link,https://www.facebook.com/Los-Pollos-Hermanos-Employee-Training-286118371870772/,2017-09-14 14:30:00,6356,493,1,4824,578,18,932,4,0,0
6798562721_10155839236237722,Congratulations to Better Call Saul and Los Pollos Hermanos Employee Training on the #Emmy win!,Better Call Saul,photo,https://www.facebook.com/BetterCallSaulAMC/photos/a.771928242844144.1073741828.685590244811278/1473883709315257/?type=3,2017-09-11 16:24:26,28168,491,0,24980,1904,91,1190,2,1,0
6798562721_10155590964532722,Catch the full Preacher premiere tonight at 10/9c only on AMC.,Preacher Season 2 - Opening Act,video,https://www.facebook.com/BreakingBad/videos/10155590964532722/,2017-06-25 15:00:32,2308,400,156,1916,245,91,24,6,20,6
6798562721_10155527263722722,"""It's literally a moment of do or die."" -- Michael Mando #BetterCallSaul",Q&A: Why Nacho Is Willing to Put His Life on the Line to Stop Hector,link,http://www.amc.com/shows/better-call-saul/talk/2017/06/better-call-saul-qa-michael-mando-nacho-varga?utm_source=facebook.com&utm_medium=social&utm_content=qa-why-nacho-is-willing-to-put-his-life-on-the-line-to-stop-hector&utm_campaign=breaking-bad,2017-06-08 14:58:00,4354,219,89,4011,246,87,6,3,0,1
6798562721_10155527254332722,"When building a drug empire, there is always collateral damage. #BreakingBad",See How Walt's Plan to Save His Family Ultimately Destroyed It,link,http://www.amc.com/shows/better-call-saul/talk/2017/06/follow-the-rise-and-fall-of-the-white-family-in-these-breaking-bad-episodes?utm_source=facebook.com&utm_medium=social&utm_content=see-how-walts-plan-to-save-his-family-ultimately-destroyed-it&utm_campaign=breaking-bad,2017-06-06 15:55:01,4243,198,134,3771,246,13,6,203,4,0
6798562721_10155509891822722,"""It's a very fun callback to Breaking Bad, because we saw Huell do some very slick work in Saul's office."" – EP Melissa Bernstein #BetterCallSaul",Huell’s Light Touch Is One of Many Breaking Bad Easter Eggs,video,http://www.amc.com/shows/better-call-saul/video-extras/season-03/episode-05/breaking-bad-easter-eggs-on-better-call-saul-season-3-episode-5?utm_source=facebook.com&utm_medium=social&utm_content=huells-light-touch-is-one-of-many-breaking-bad-easter-eggs&utm_campaign=breaking-bad,2017-06-01 11:44:00,2625,122,42,2414,119,3,89,0,0,0
6798562721_10155506994637722,Did you catch the #BreakingBad Easter egg? #BetterCallSaul,See the Hidden Gem that Pays Homage to Gus's Time on Breaking Bad,video,http://www.amc.com/shows/better-call-saul/video-extras/season-03/episode-04/breaking-bad-easter-eggs-on-better-call-saul-season-3-episode-4?utm_source=facebook.com&utm_medium=social&utm_content=see-the-hidden-gem-that-pays-homage-to-guss-time-on-breaking-bad&utm_campaign=breaking-bad,2017-05-31 15:50:00,3133,85,58,2888,157,11,73,1,3,0
6798562721_10155457326907722,It’s the quiet ones you have to be most careful around. #BreakingBad,Relive Mike’s Greatest Feats of Badassery,link,http://www.amc.com/shows/better-call-saul/talk/2017/05/watch-five-full-episodes-of-breaking-bad-featuring-the-best-of-mike?utm_source=facebook.com&utm_medium=social&utm_content=relive-mikes-greatest-feats-of-badassery&utm_campaign=breaking-bad,2017-05-16 17:23:00,5852,178,201,5351,360,13,11,102,3,12
6798562721_10155443947647722,"Happy #MothersDay to Skyler White, one ""Bad"" mother!",Timeline Photos,photo,https://www.facebook.com/BreakingBad/photos/a.10150262188677722.346397.6798562721/10155443947647722/?type=3,2017-05-14 10:30:00,27992,565,750,24455,2249,51,456,38,102,641
6798562721_10155419697932722,Their Bad blood goes back a long time. #BetterCallSaul,See the Early Days of Gus and Hector’s Deadly Rivalry,video,http://www.amc.com/shows/better-call-saul/video-extras/season-03/episode-04/better-call-saul-talked-about-scene-season-3-episode-4?utm_source=facebook.com&utm_medium=social&utm_content=see-the-early-days-of-gus-and-hectors-deadly-rivalry&utm_campaign=breaking-bad,2017-05-04 15:28:00,6900,230,167,6322,403,157,13,2,0,3
