status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
6798562721_10155506994637722,Did you catch the #BreakingBad Easter egg? #BetterCallSaul,See the Hidden Gem that Pays Homage to Gus's Time on Breaking Bad,video,http://www.amc.com/shows/better-call-saul/video-extras/season-03/episode-04/breaking-bad-easter-eggs-on-better-call-saul-season-3-episode-4?utm_source=facebook.com&utm_medium=social&utm_content=see-the-hidden-gem-that-pays-homage-to-guss-time-on-breaking-bad&utm_campaign=breaking-bad,2017-05-31 15:50:00,3133,85,58,2888,157,11,73,1,3,0
6798562721_10155457326907722,It’s the quiet ones you have to be most careful around. #BreakingBad,Relive Mike’s Greatest Feats of Badassery,link,http://www.amc.com/shows/better-call-saul/talk/2017/05/watch-five-full-episodes-of-breaking-bad-featuring-the-best-of-mike?utm_source=facebook.com&utm_medium=social&utm_content=relive-mikes-greatest-feats-of-badassery&utm_campaign=breaking-bad,2017-05-16 17:23:00,5852,178,201,5351,360,13,11,102,3,12
6798562721_10155443947647722,"Happy #MothersDay to Skyler White, one ""Bad"" mother!",Timeline Photos,photo,https://www.facebook.com/BreakingBad/photos/a.10150262188677722.346397.6798562721/10155443947647722/?type=3,2017-05-14 10:30:00,27992,565,750,24455,2249,51,456,38,102,641
6798562721_10155419697932722,Their Bad blood goes back a long time. #BetterCallSaul,See the Early Days of Gus and Hector’s Deadly Rivalry,video,http://www.amc.com/shows/better-call-saul/video-extras/season-03/episode-04/better-call-saul-talked-about-scene-season-3-episode-4?utm_source=facebook.com&utm_medium=social&utm_content=see-the-early-days-of-gus-and-hectors-deadly-rivalry&utm_campaign=breaking-bad,2017-05-04 15:28:00,6900,230,167,6322,403,157,13,2,0,3
6798562721_10155416151982722,"“Gus stays calm in the wake of Hector’s insulting behavior as he knows that given enough rope, Hector will hang himself.” -- Giancarlo Esposito #BetterCallSaul",Q&A: Giancarlo Esposito on Why Gus Is Always a Step Ahead of His Enemies,link,http://www.amc.com/shows/better-call-saul/talk/2017/05/better-call-saul-qa-giancarlo-esposito-gus-fring?utm_source=facebook.com&utm_medium=social&utm_content=qa-giancarlo-esposito-on-why-gus-is-always-a-step-ahead-of-his-enemies&utm_campaign=breaking-bad,2017-05-03 15:37:00,9074,280,225,8498,468,31,74,1,2,0
6798562721_10155391133892722,"You know how it ends, now see how their relationship begins.  #BetterCallSaul",Watch Gus and Mike’s Very First Moment Together,video,http://www.amc.com/shows/better-call-saul/video-extras/season-03/episode-03/better-call-saul-talked-about-scene-season-3-episode-3?utm_source=facebook.com&utm_medium=social&utm_content=watch-gus-and-mikes-very-first-moment-together&utm_campaign=breaking-bad,2017-04-27 09:03:00,11621,307,323,10578,788,239,12,4,0,0
6798562721_10155392087092722,Think you’re the Boss of Crime Show Trivia? Find out if you’re really as good as you think. The new season of #Gomorrah starts TONIGHT at 10/9c on SundanceTV.,How Well Do You Know These Famous TV Crime Bosses?,link,http://www.sundance.tv/polls/chart/data/5774-question-1.html,2017-04-26 17:00:00,1924,81,44,1778,117,22,7,0,0,0
6798562721_10155384961302722,It’s a very rocky start to a very Bad friendship. #BetterCallSaul,See the Origins of the Mike and Gus Partnership,link,http://www.amc.com/shows/better-call-saul/season-3/episode-03-sunk-costs?utm_source=facebook.com&utm_medium=social&utm_content=see-the-origins-of-the-mike-and-gus-partnership&utm_campaign=breaking-bad,2017-04-25 11:00:00,9811,271,280,8967,610,216,14,2,2,0
6798562721_10155384947667722,He’s just starting out on #BetterCallSaul. See where he ends up on #BreakingBad.,Relive the Height of Gus’s Empire on Breaking Bad,link,http://www.amc.com/shows/better-call-saul/talk/2017/04/relive-the-height-of-guss-empire-on-breaking-bad?utm_source=facebook.com&utm_medium=social&utm_content=relive-the-height-of-guss-empire-on-breaking-bad&utm_campaign=breaking-bad,2017-04-24 17:07:00,7719,137,179,7137,458,114,9,1,0,0
6798562721_10155335604007722,,"Why Season 3 Will Offer Breaking Bad Fans ""Two Shows for the Price of One""",link,http://www.amc.com/shows/better-call-saul/talk/2017/04/better-call-saul-qa-vince-gilligan-and-peter-gould-co-creators-executive-producers?utm_source=facebook.com&utm_medium=social&utm_content=why-season-3-will-offer-breaking-bad-fans-two-shows-for-the-price-of-one%3Dbetter-call-saul,2017-04-10 16:41:15,31541,1039,2026,28342,2406,749,41,3,0,0
