status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
22092443056_10155933522088057,Share the goodness that's in your heart. Who makes your world a little brighter? Let us know the big and little ways they're giving good.,,photo,https://www.facebook.com/Starbucks/photos/a.152298483056.110092.22092443056/10155933521608057/?type=3,2017-11-30 13:03:00,3196,140,136,2818,355,10,3,2,3,5
22092443056_10155930844923057,Get a cup. Give your heart.,Starbucks Red Holiday Cup,video,https://www.facebook.com/Starbucks/videos/10155930844923057/,2017-11-28 09:01:00,103310,4239,6549,93545,8959,457,180,41,116,12
22092443056_10155877146938057,"Time with friends, a gift with heart, we're turning sharing into art!

Tell us what you look forward to sharing most during the holidays, and it could be selected by our studio artists to be added to our mural—LIVE!",,video,https://www.facebook.com/Starbucks/videos/10155877146938057/,2017-11-09 10:55:10,12063,4584,1150,9639,2071,182,92,17,42,20
22092443056_10155871673783057,"The only thing missing is you. Join us live as our mural artists bring your holiday ideas and inspiration to life 😊

Thursday, November 9, 8am PST/11am EST.",Live Mural,video,https://www.facebook.com/Starbucks/videos/10155871673783057/,2017-11-08 20:00:00,16692,552,653,15575,808,38,59,9,20,183
22092443056_10155850434108057,"Celebrating all the ways
you color in the holidays.",Here's to the holidays,video,https://www.facebook.com/Starbucks/videos/10155850434108057/,2017-11-02 08:00:00,171722,7259,9907,147343,21839,1276,616,60,177,411
22092443056_10155849750443057,The good you give goes a long way. #GiveGood,Giving Good Starts with You,video,https://www.facebook.com/Starbucks/videos/10155849750443057/,2017-11-01 10:35:52,85952,4547,7071,73381,11446,512,305,30,108,170
22092443056_10155844495793057,Fun fact: haunted coffee tastes just like normal coffee.,Boo!,video,https://www.facebook.com/Starbucks/videos/10155844495793057/,2017-10-30 23:01:00,9179,193,562,7936,568,46,617,3,3,6
22092443056_10155833184673057,"""I've sat down with people that have told me to my face, I'll never agree with you, but I'll be the first to extend a hand when someone gets here.""",Upstanders: From War to Montana,video,https://www.facebook.com/Starbucks/videos/10155833184673057/,2017-10-30 08:03:00,5077,175,857,4015,966,55,7,16,13,5
22092443056_10155835433108057,"Hiding it for years, this veteran & firefighter now speaks openly about his post-traumatic stress to help others come to terms with theirs.",Upstanders: The Firefighters’ Rescue,video,https://www.facebook.com/Starbucks/videos/10155835433108057/,2017-10-29 08:03:00,15538,424,6855,12514,2255,81,8,668,1,11
22092443056_10155832647338057,"Moved by a rise in teen suicides, a Mormon mother organizes the first LGBTQ community center in Provo, Utah.",Upstanders: Love for All in Utah,video,https://www.facebook.com/Starbucks/videos/10155832647338057/,2017-10-28 08:03:00,42297,1437,8981,30993,8744,258,52,2168,68,14
22092443056_10155829768253057,"Two military special-ops officers are helping wounded veterans heal, one surfboard at a time.",Upstanders: The Wave to Recovery,video,https://www.facebook.com/Starbucks/videos/10155829768253057/,2017-10-27 08:03:00,66572,1448,13586,54768,9669,1901,79,91,11,53
22092443056_10155807089318057,A man takes on poverty by tapping the talent of former coal miners.,Upstanders: Planting Hope in a Coalfield,video,https://www.facebook.com/Starbucks/videos/10155807089318057/,2017-10-19 08:03:00,48248,1583,18629,41252,6124,682,79,77,20,14
22092443056_10155806784518057,A young doctor who campaigned for Florida’s first needle exchange is saving dozens of lives in Miami.,Upstanders: One Doctor's Needle Fix,video,https://www.facebook.com/Starbucks/videos/10155806784518057/,2017-10-18 08:03:00,4780,164,973,3980,617,70,3,95,8,7
22092443056_10155796290203057,He admitted to being a racist on national television. Then his life took an unexpected turn.,Upstanders: A Racist’s Rehabilitation,video,https://www.facebook.com/Starbucks/videos/10155796290203057/,2017-10-17 08:03:01,53388,2000,25034,38685,13586,968,77,48,18,6
22092443056_10155793137348057,A young mother quit her job and cashed in her savings to help rebuild her struggling hometown in Ohio.,Upstanders: Saving Middletown,video,https://www.facebook.com/Starbucks/videos/10155793137348057/,2017-10-14 08:03:00,16992,524,2717,14890,1558,479,29,20,7,9
22092443056_10155788205458057,From taking a bullet to fighting for her assailant's release from prison...,Upstanders: Befriending Her Shooter,video,https://www.facebook.com/Starbucks/videos/10155788205458057/,2017-10-12 08:03:00,112510,4733,58350,78941,27121,5837,135,408,55,13
22092443056_10155777124963057,Chad Houser risked his career to open a new restaurant—one staffed by former juvenile offenders looking for a second chance.,"Upstanders: Knives, Fire and Opportunity",video,https://www.facebook.com/Starbucks/videos/10155777124963057/,2017-10-10 08:03:00,61236,2032,18999,46812,13539,793,58,11,11,12
22092443056_10155774608933057,"Ordinary people creating extraordinary change. 
Upstanders returns Tues, Oct. 10.",Upstanders Season 2,video,https://www.facebook.com/Starbucks/videos/10155774608933057/,2017-10-09 08:03:00,1050,47,164,911,120,6,3,1,0,9
22092443056_10155756589153057,"You shared your love of coffee. We doodled. Thanks so much for celebrating National Coffee Day with us! You + Coffee = ❤️

Check out #CoffeeLoveCups on Twitter to see the rest!",Coffee Love Cups,photo,https://www.facebook.com/Starbucks/photos/a.10155756589083057.1073741846.22092443056/10155756589238057/?type=3,2017-09-29 19:39:22,7992,258,377,7031,856,76,4,4,4,17
