author_name,frequency,frequencyPer100Comment
Linda,59,1.1626
Lisa,54,1.0640
Karen,49,0.9655
Julie,45,0.8867
Sarah,43,0.8473
Michelle,35,0.6897
Debbie,32,0.6305
Jane,32,0.6305
Laura,31,0.6108
Jennifer,30,0.5911
Christine,28,0.5517
Helen,26,0.5123
Susan,26,0.5123
Donna,26,0.5123
Mohamed,25,0.4926
Wendy,25,0.4926
Sue,25,0.4926
Maria,25,0.4926
Denise,24,0.4729
David,24,0.4729
Amy,24,0.4729
John,23,0.4532
Jackie,23,0.4532
Michael,22,0.4335
Angela,21,0.4138
Emma,21,0.4138
Patricia,21,0.4138
Paul,20,0.3941
Sharon,20,0.3941
Mikula,20,0.3941
Kelly,20,0.3941
Kim,20,0.3941
Robert,20,0.3941
Mary,19,0.3744
Tracey,18,0.3547
Caroline,18,0.3547
Jo,18,0.3547
Claire,18,0.3547
Sandra,18,0.3547
Ann,18,0.3547
Diana,18,0.3547
Kathy,17,0.3350
Mark,17,0.3350
Pat,17,0.3350
Diane,17,0.3350
Kerry,16,0.3153
Tina,16,0.3153
Elizabeth,16,0.3153
Barbara,16,0.3153
Nancy,16,0.3153
Anna,16,0.3153
Cheryl,16,0.3153
Leanne,15,0.2956
Rebecca,15,0.2956
Dawn,15,0.2956
Amanda,15,0.2956
Katherine,15,0.2956
Joanne,15,0.2956
Melissa,14,0.2759
Heather,14,0.2759
Deborah,14,0.2759
Carol,14,0.2759
Janet,14,0.2759
Lesley,14,0.2759
Katie,14,0.2759
Kevin,13,0.2562
Valerie,13,0.2562
Melanie,13,0.2562
Samantha,13,0.2562
Jessica,13,0.2562
Brenda,12,0.2365
Chris,12,0.2365
Daniel,12,0.2365
Pamela,12,0.2365
Kathleen,12,0.2365
Victoria,12,0.2365
Sally,11,0.2167
Liz,11,0.2167
Lynn,11,0.2167
Tracy,11,0.2167
Cathy,11,0.2167
Elaine,11,0.2167
Suzanne,11,0.2167
Natalie,11,0.2167
Martin,11,0.2167
Jamie,11,0.2167
Steve,11,0.2167
Rachel,11,0.2167
Tim,11,0.2167
Catherine,11,0.2167
Charlotte,11,0.2167
Nicola,11,0.2167
Nicole,11,0.2167
Paula,11,0.2167
Bobby,10,0.1970
Anne,10,0.1970
James,10,0.1970
Carole,10,0.1970
Megan,10,0.1970
Robin,10,0.1970
Kate,10,0.1970
Richard,10,0.1970
Ian,10,0.1970
Jenny,10,0.1970
Louise,10,0.1970
Mandy,10,0.1970
Mario,10,0.1970
Sara,9,0.1773
Lorraine,9,0.1773
Coombsy,9,0.1773
