token,count,frequencyPer100Comment,frequencyPer100Token
you,12143,239.27093596059112,4.744471360475112
and,8446,166.42364532019704,3.299992185668516
to,8367,164.86699507389162,3.269125576306947
your,5924,116.72906403940885,2.314604985543487
the,5883,115.92118226600985,2.2985856060014065
i,5004,98.60098522167488,1.9551457372821754
a,4486,88.39408866995075,1.7527545518480896
of,3868,76.21674876847291,1.5112917089942957
for,3625,71.42857142857143,1.4163475814644058
that,2668,52.57142857142857,1.0424318199578027
be,2530,49.85221674876848,0.9885129327186059
is,2530,49.85221674876848,0.9885129327186059
are,2442,48.11822660098522,0.9541298741892631
have,2440,48.07881773399015,0.953348441040869
in,2406,47.408866995073886,0.9400640775181682
we,2348,46.26600985221675,0.9174025162147378
so,2300,45.320197044334975,0.8986481206532781
will,2181,42.97536945812808,0.8521528483238259
it,2072,40.827586206896555,0.8095647417363445
adele,1942,38.26600985221675,0.7587715870907243
,1900,37.4384236453202,0.7423614909744471
get,1785,35.172413793103445,0.6974290849417832
love,1754,34.5615763546798,0.6853168711416738
take,1704,33.576354679802954,0.66578104243182
but,1688,33.26108374384236,0.6595295772446668
this,1636,32.23645320197044,0.6392123153864187
her,1608,31.68472906403941,0.6282722513089005
not,1595,31.428571428571427,0.6231929358443385
all,1552,30.581280788177338,0.6063921231538641
care,1532,30.1871921182266,0.5985777916699226
voice,1515,29.852216748768473,0.5919356099085723
fans,1487,29.300492610837438,0.5809955458310542
she,1467,28.906403940886698,0.5731812143471126
on,1300,25.615763546798032,0.5079315464562006
my,1293,25.477832512315267,0.5051965304368211
yourself,1254,24.70935960591133,0.4899585840431351
with,1243,24.492610837438423,0.48566070172696724
see,1214,23.92118226600985,0.474329921075252
well,1210,23.842364532019705,0.4727670547784637
as,1169,23.03448275862069,0.45674767523638354
was,1130,22.266009852216747,0.44150972884269746
do,1100,21.67487684729064,0.42978823161678514
if,1035,20.39408866995074,0.4043916542939751
can,1030,20.295566502463057,0.40243807142298976
just,964,18.995073891625616,0.37665077752598264
would,913,17.99014778325123,0.35672423224193167
what,913,17.99014778325123,0.35672423224193167
dont,896,17.655172413793103,0.3500820504805814
time,891,17.55665024630542,0.348128467609596
soon,877,17.2807881773399,0.3426584355708369
at,831,16.374384236453203,0.32468547315777135
rest,818,16.11822660098522,0.3196061576932093
us,787,15.507389162561577,0.3074939438930999
better,783,15.428571428571427,0.3059310775963116
from,776,15.290640394088669,0.3031960615769321
hope,757,14.916256157635468,0.2957724466671876
one,756,14.896551724137929,0.29538173009299057
know,754,14.857142857142858,0.2946002969445964
health,745,14.679802955665025,0.2910838477768227
much,737,14.522167487684728,0.28795811518324604
amazing,732,14.423645320197046,0.28600453231226064
understand,719,14.167487684729064,0.28092521684769867
more,704,13.871921182266009,0.2750644682347425
its,698,13.753694581280786,0.27272016878956007
no,683,13.458128078817733,0.2668594201766039
please,677,13.339901477832514,0.2645151207314214
im,659,12.985221674876849,0.25748222239587404
when,659,12.985221674876849,0.25748222239587404
people,649,12.788177339901477,0.25357505665390323
who,642,12.650246305418719,0.2508400406345237
an,632,12.453201970443349,0.24693287489255294
best,605,11.921182266009852,0.23638352738923185
shows,585,11.527093596059114,0.2285691959052903
were,585,11.527093596059114,0.2285691959052903
show,584,11.507389162561577,0.22817847933109323
me,579,11.408866995073891,0.22622489646010785
there,574,11.310344827586206,0.22427131358912245
had,558,10.995073891625616,0.21801984840196922
tickets,543,10.699507389162562,0.21215909978901304
first,541,10.660098522167488,0.21137766664061888
about,540,10.64039408866995,0.21098695006642182
up,539,10.620689655172413,0.21059623349222473
back,528,10.403940886699507,0.20629835117605688
feel,528,10.403940886699507,0.20629835117605688
again,526,10.364532019704434,0.20551691802766273
out,520,10.246305418719212,0.20317261858248029
come,505,9.950738916256158,0.19731186996952413
been,502,9.891625615763546,0.19613972024693288
how,500,9.852216748768473,0.19535828709853872
beautiful,500,9.852216748768473,0.19535828709853872
they,498,9.812807881773399,0.19457685395014457
need,494,9.733990147783251,0.19301398765335626
has,489,9.635467980295566,0.19106040478237088
music,480,9.458128078817735,0.18754395561459716
want,478,9.41871921182266,0.18676252246620303
like,466,9.182266009852217,0.1820739235758381
concert,455,8.96551724137931,0.17777604125967025
sing,455,8.96551724137931,0.17777604125967025
am,447,8.807881773399014,0.17465030866609363
now,446,8.788177339901477,0.17425959209189654
make,427,8.413793103448276,0.16683597718215207
never,421,8.295566502463055,0.1644916777369696
important,421,8.295566502463055,0.1644916777369696
very,418,8.236453201970443,0.16331952801437838
than,412,8.118226600985222,0.1609752285691959
youre,410,8.078817733990148,0.16019379542080173
last,409,8.05911330049261,0.15980307884660466
vocal,406,8.0,0.15863092912401344
or,406,8.0,0.15863092912401344
always,401,7.901477832512316,0.15667734625302807
being,398,7.842364532019705,0.15550519653043682
only,397,7.822660098522167,0.15511447995623973
life,392,7.724137931034483,0.15316089708525435
recovery,385,7.586206896551724,0.15042588106587482
after,382,7.527093596059113,0.1492537313432836
some,377,7.428571428571429,0.1473001484722982
sorry,377,7.428571428571429,0.1473001484722982
able,374,7.369458128078818,0.14612799874970694
cant,374,7.369458128078818,0.14612799874970694
could,371,7.310344827586207,0.14495584902711572
good,371,7.310344827586207,0.14495584902711572
wish,366,7.211822660098523,0.14300226615613032
thank,361,7.113300492610837,0.14104868328514494
most,357,7.03448275862069,0.13948581698835666
sure,350,6.896551724137931,0.1367508009689771
many,349,6.876847290640393,0.13636008439478003
those,345,6.798029556650246,0.13479721809799172
hear,344,6.778325123152709,0.13440650152379463
true,339,6.679802955665025,0.13245291865280925
think,338,6.6600985221674875,0.1320622020786122
family,336,6.620689655172414,0.13128076893021803
go,335,6.600985221674876,0.13089005235602094
then,334,6.581280788177341,0.13049933578182388
world,333,6.561576354679803,0.13010861920762679
even,333,6.561576354679803,0.13010861920762679
person,331,6.5221674876847295,0.12932718605923263
really,331,6.5221674876847295,0.12932718605923263
u,331,6.5221674876847295,0.12932718605923263
right,322,6.344827586206897,0.1258107368914589
give,322,6.344827586206897,0.1258107368914589
because,317,6.246305418719212,0.12385715402047355
look,305,6.009852216748769,0.11916855513010863
such,304,5.990147783251231,0.11877783855591155
live,304,5.990147783251231,0.11877783855591155
must,303,5.970443349753694,0.11838712198171447
ever,302,5.9507389162561575,0.1179964054075174
still,298,5.87192118226601,0.11643353911072907
way,297,5.852216748768472,0.116042822536532
heart,291,5.733990147783252,0.11369852309134955
our,288,5.674876847290641,0.1125263733687583
night,287,5.655172413793103,0.11213565679456122
god,287,5.655172413793103,0.11213565679456122
too,286,5.635467980295567,0.11174494022036414
human,276,5.4384236453201975,0.10783777447839336
xx,273,5.379310344827586,0.10666562475580214
going,270,5.320197044334975,0.10549347503321091
day,265,5.22167487684729,0.10353989216222552
perform,264,5.201970443349754,0.10314917558802844
thing,261,5.142857142857142,0.10197702586543722
over,260,5.123152709359606,0.10158630929124014
heal,259,5.103448275862069,0.10119559271704306
them,257,5.0640394088669956,0.10041415956864891
money,256,5.044334975369458,0.10002344299445182
got,252,4.9655172413793105,0.09846057669766352
should,250,4.926108374384237,0.09767914354926936
hard,243,4.788177339901478,0.09494412752988982
here,242,4.76847290640394,0.09455341095569274
say,241,4.748768472906404,0.09416269438149566
london,239,4.70935960591133,0.09338126123310152
fan,239,4.70935960591133,0.09338126123310152
disappointed,237,4.669950738916256,0.09259982808470735
speedy,236,4.650246305418719,0.09220911151051027
decision,234,4.610837438423646,0.09142767836211613
gutted,233,4.5911330049261085,0.09103696178791905
sad,232,4.571428571428571,0.09064624521372196
tour,232,4.571428571428571,0.09064624521372196
wembley,228,4.4926108374384235,0.08908337891693366
reschedule,227,4.472906403940886,0.08869266234273658
by,226,4.45320197044335,0.0883019457685395
gift,226,4.45320197044335,0.0883019457685395
saw,223,4.394088669950738,0.08712979604594827
everyone,221,4.3546798029556655,0.08634836289755411
x,220,4.334975369458128,0.08595764632335703
other,220,4.334975369458128,0.08595764632335703
damage,219,4.315270935960591,0.08556692974915996
any,219,4.315270935960591,0.08556692974915996
bless,218,4.295566502463054,0.08517621317496288
years,216,4.25615763546798,0.08439478002656874
given,215,4.236453201970444,0.08400406345237164
enjoy,212,4.177339901477833,0.08283191372978042
these,211,4.157635467980295,0.08244119715558335
future,210,4.137931034482759,0.08205048058138625
great,207,4.078817733990148,0.08087833085879503
their,206,4.059113300492611,0.08048761428459796
artist,205,4.039408866995074,0.08009689771040086
down,205,4.039408866995074,0.08009689771040086
truly,202,3.9802955665024635,0.07892474798780964
through,202,3.9802955665024635,0.07892474798780964
year,201,3.960591133004926,0.07853403141361257
thats,200,3.9408866995073892,0.07814331483941549
cancel,200,3.9408866995073892,0.07814331483941549
enough,199,3.9211822660098523,0.07775259826521841
may,198,3.901477832512315,0.07736188169102133
❤️,196,3.8620689655172415,0.07658044854262717
recover,192,3.7832512315270934,0.07501758224583886
selfish,192,3.7832512315270934,0.07501758224583886
cords,192,3.7832512315270934,0.07501758224583886
concerts,190,3.74384236453202,0.07423614909744472
let,188,3.7044334975369457,0.07345471594905055
singing,186,3.6650246305418723,0.07267328280065641
long,185,3.645320197044335,0.07228256622645933
something,184,3.625615763546798,0.07189184965226225
loved,184,3.625615763546798,0.07189184965226225
things,183,3.6059113300492616,0.07150113307806516
2,183,3.6059113300492616,0.07150113307806516
songs,183,3.6059113300492616,0.07150113307806516
xxx,183,3.6059113300492616,0.07150113307806516
wonderful,181,3.5665024630541873,0.07071969992967102
also,180,3.5467980295566504,0.07032898335547394
youve,180,3.5467980295566504,0.07032898335547394
nothing,180,3.5467980295566504,0.07032898335547394
did,177,3.4876847290640396,0.0691568336328827
dear,175,3.4482758620689653,0.06837540048448855
lucky,174,3.428571428571429,0.06798468391029147
he,172,3.3891625615763545,0.06720325076189732
wait,171,3.369458128078818,0.06681253418770024
two,169,3.3300492610837438,0.0660311010393061
lady,166,3.270935960591133,0.06485895131671485
seeing,166,3.270935960591133,0.06485895131671485
shes,165,3.251231527093596,0.06446823474251778
every,164,3.2315270935960596,0.0640775181683207
3,161,3.1724137931034484,0.06290536844572946
put,161,3.1724137931034484,0.06290536844572946
singer,160,3.152709359605911,0.06251465187153239
real,160,3.152709359605911,0.06251465187153239
another,159,3.1330049261083746,0.062123935297335314
off,159,3.1330049261083746,0.062123935297335314
before,157,3.0935960591133007,0.06134250214894116
thursday,157,3.0935960591133007,0.06134250214894116
made,157,3.0935960591133007,0.06134250214894116
keep,155,3.054187192118227,0.060561069000547
which,154,3.0344827586206895,0.060170352426349924
lot,151,2.9753694581280787,0.0589982027037587
sending,149,2.935960591133005,0.058216769555364534
said,149,2.935960591133005,0.058216769555364534
done,148,2.916256157635468,0.05782605298116746
why,148,2.916256157635468,0.05782605298116746
comes,146,2.876847290640394,0.057044619832773306
cancelled,146,2.876847290640394,0.057044619832773306
rather,145,2.857142857142857,0.056653903258576235
listen,144,2.8374384236453203,0.05626318668437915
ive,143,2.8177339901477834,0.05587247011018207
seen,143,2.8177339901477834,0.05587247011018207
wont,141,2.7783251231527095,0.05509103696178792
chords,140,2.7586206896551726,0.054700320387590845
forward,139,2.7389162561576352,0.05430960381339376
same,138,2.7192118226600988,0.05391888723919668
absolutely,136,2.679802955665025,0.05313745409080253
didnt,136,2.679802955665025,0.05313745409080253
respect,136,2.679802955665025,0.05313745409080253
doing,135,2.6600985221674875,0.052746737516605455
refund,135,2.6600985221674875,0.052746737516605455
having,133,2.6206896551724137,0.0519653043682113
work,133,2.6206896551724137,0.0519653043682113
maybe,132,2.600985221674877,0.05157458779401422
anyone,132,2.600985221674877,0.05157458779401422
needs,132,2.600985221674877,0.05157458779401422
tonight,131,2.58128078817734,0.05118387121981714
everything,131,2.58128078817734,0.05118387121981714
continue,130,2.561576354679803,0.05079315464562007
talent,130,2.561576354679803,0.05079315464562007
letter,129,2.541871921182266,0.05040243807142299
ill,129,2.541871921182266,0.05040243807142299
lovely,128,2.522167487684729,0.05001172149722591
read,127,2.502463054187192,0.04962100492302883
totally,127,2.502463054187192,0.04962100492302883
happy,126,2.4827586206896552,0.04923028834883176
ticket,126,2.4827586206896552,0.04923028834883176
looking,125,2.4630541871921183,0.04883957177463468
rescheduled,125,2.4630541871921183,0.04883957177463468
big,125,2.4630541871921183,0.04883957177463468
devastated,124,2.4433497536945814,0.0484488552004376
yes,123,2.423645320197044,0.048058138626240525
doesnt,123,2.423645320197044,0.048058138626240525
wednesday,122,2.4039408866995076,0.04766742205204345
hopefully,122,2.4039408866995076,0.04766742205204345
wishes,122,2.4039408866995076,0.04766742205204345
prayers,121,2.38423645320197,0.04727670547784637
bad,119,2.344827586206897,0.04649527232945222
