token,count,frequencyPer100Comment,frequencyPer100Token
adele,1942,38.2660,0.7588
,1900,37.4384,0.7424
love,1754,34.5616,0.6853
care,1532,30.1872,0.5986
voice,1515,29.8522,0.5919
fans,1487,29.3005,0.5810
just,964,18.9951,0.3767
dont,896,17.6552,0.3501
time,891,17.5567,0.3481
soon,877,17.2808,0.3427
rest,818,16.1182,0.3196
better,783,15.4286,0.3059
hope,757,14.9163,0.2958
know,754,14.8571,0.2946
health,745,14.6798,0.2911
amazing,732,14.4236,0.2860
understand,719,14.1675,0.2809
im,659,12.9852,0.2575
people,649,12.7882,0.2536
best,605,11.9212,0.2364
shows,585,11.5271,0.2286
tickets,543,10.6995,0.2122
feel,528,10.4039,0.2063
come,505,9.9507,0.1973
beautiful,500,9.8522,0.1954
need,494,9.7340,0.1930
music,480,9.4581,0.1875
want,478,9.4187,0.1868
like,466,9.1823,0.1821
concert,455,8.9655,0.1778
sing,455,8.9655,0.1778
make,427,8.4138,0.1668
important,421,8.2956,0.1645
youre,410,8.0788,0.1602
vocal,406,8.0000,0.1586
life,392,7.7241,0.1532
recovery,385,7.5862,0.1504
sorry,377,7.4286,0.1473
able,374,7.3695,0.1461
good,371,7.3103,0.1450
wish,366,7.2118,0.1430
thank,361,7.1133,0.1410
sure,350,6.8966,0.1368
hear,344,6.7783,0.1344
true,339,6.6798,0.1325
think,338,6.6601,0.1321
family,336,6.6207,0.1313
world,333,6.5616,0.1301
person,331,6.5222,0.1293
really,331,6.5222,0.1293
u,331,6.5222,0.1293
right,322,6.3448,0.1258
look,305,6.0099,0.1192
live,304,5.9901,0.1188
way,297,5.8522,0.1160
heart,291,5.7340,0.1137
night,287,5.6552,0.1121
god,287,5.6552,0.1121
human,276,5.4384,0.1078
xx,273,5.3793,0.1067
going,270,5.3202,0.1055
day,265,5.2217,0.1035
perform,264,5.2020,0.1031
thing,261,5.1429,0.1020
heal,259,5.1034,0.1012
money,256,5.0443,0.1000
got,252,4.9655,0.0985
hard,243,4.7882,0.0949
say,241,4.7488,0.0942
london,239,4.7094,0.0934
fan,239,4.7094,0.0934
disappointed,237,4.6700,0.0926
speedy,236,4.6502,0.0922
decision,234,4.6108,0.0914
gutted,233,4.5911,0.0910
sad,232,4.5714,0.0906
tour,232,4.5714,0.0906
wembley,228,4.4926,0.0891
reschedule,227,4.4729,0.0887
gift,226,4.4532,0.0883
saw,223,4.3941,0.0871
x,220,4.3350,0.0860
damage,219,4.3153,0.0856
bless,218,4.2956,0.0852
years,216,4.2562,0.0844
given,215,4.2365,0.0840
enjoy,212,4.1773,0.0828
future,210,4.1379,0.0821
great,207,4.0788,0.0809
artist,205,4.0394,0.0801
truly,202,3.9803,0.0789
year,201,3.9606,0.0785
thats,200,3.9409,0.0781
cancel,200,3.9409,0.0781
❤️,196,3.8621,0.0766
recover,192,3.7833,0.0750
selfish,192,3.7833,0.0750
cords,192,3.7833,0.0750
concerts,190,3.7438,0.0742
let,188,3.7044,0.0735
singing,186,3.6650,0.0727
long,185,3.6453,0.0723
loved,184,3.6256,0.0719
things,183,3.6059,0.0715
2,183,3.6059,0.0715
songs,183,3.6059,0.0715
xxx,183,3.6059,0.0715
wonderful,181,3.5665,0.0707
youve,180,3.5468,0.0703
dear,175,3.4483,0.0684
lucky,174,3.4286,0.0680
wait,171,3.3695,0.0668
lady,166,3.2709,0.0649
seeing,166,3.2709,0.0649
shes,165,3.2512,0.0645
3,161,3.1724,0.0629
singer,160,3.1527,0.0625
real,160,3.1527,0.0625
thursday,157,3.0936,0.0613
lot,151,2.9754,0.0590
sending,149,2.9360,0.0582
said,149,2.9360,0.0582
comes,146,2.8768,0.0570
cancelled,146,2.8768,0.0570
listen,144,2.8374,0.0563
ive,143,2.8177,0.0559
seen,143,2.8177,0.0559
wont,141,2.7783,0.0551
chords,140,2.7586,0.0547
forward,139,2.7389,0.0543
absolutely,136,2.6798,0.0531
didnt,136,2.6798,0.0531
respect,136,2.6798,0.0531
doing,135,2.6601,0.0527
refund,135,2.6601,0.0527
having,133,2.6207,0.0520
work,133,2.6207,0.0520
maybe,132,2.6010,0.0516
needs,132,2.6010,0.0516
tonight,131,2.5813,0.0512
continue,130,2.5616,0.0508
talent,130,2.5616,0.0508
letter,129,2.5419,0.0504
ill,129,2.5419,0.0504
lovely,128,2.5222,0.0500
read,127,2.5025,0.0496
totally,127,2.5025,0.0496
happy,126,2.4828,0.0492
ticket,126,2.4828,0.0492
looking,125,2.4631,0.0488
rescheduled,125,2.4631,0.0488
big,125,2.4631,0.0488
devastated,124,2.4433,0.0484
yes,123,2.4236,0.0481
doesnt,123,2.4236,0.0481
wednesday,122,2.4039,0.0477
hopefully,122,2.4039,0.0477
wishes,122,2.4039,0.0477
prayers,121,2.3842,0.0473
bad,119,2.3448,0.0465
woman,119,2.3448,0.0465
waiting,119,2.3448,0.0465
incredible,117,2.3054,0.0457
lots,116,2.2857,0.0453
stage,116,2.2857,0.0453
stop,116,2.2857,0.0453
stay,113,2.2266,0.0442
happen,113,2.2266,0.0442
chance,112,2.2069,0.0438
matter,112,2.2069,0.0438
wouldnt,111,2.1872,0.0434
oh,111,2.1872,0.0434
forever,110,2.1675,0.0430
youll,109,2.1478,0.0426
que,108,2.1281,0.0422
course,107,2.1084,0.0418
new,107,2.1084,0.0418
end,107,2.1084,0.0418
hotel,107,2.1084,0.0418
write,107,2.1084,0.0418
healing,106,2.0887,0.0414
happens,106,2.0887,0.0414
kind,106,2.0887,0.0414
miss,105,2.0690,0.0410
sick,105,2.0690,0.0410
feeling,104,2.0493,0.0406
came,104,2.0493,0.0406
hugs,102,2.0099,0.0399
help,102,2.0099,0.0399
note,101,1.9901,0.0395
sunday,101,1.9901,0.0395
does,100,1.9704,0.0391
career,100,1.9704,0.0391
soul,100,1.9704,0.0391
healthy,100,1.9704,0.0391
completely,99,1.9507,0.0387
away,98,1.9310,0.0383
worry,98,1.9310,0.0383
fact,97,1.9113,0.0379
performance,97,1.9113,0.0379
thanks,94,1.8522,0.0367
travel,93,1.8325,0.0363
awesome,93,1.8325,0.0363
daughter,93,1.8325,0.0363
personal,93,1.8325,0.0363
pray,93,1.8325,0.0363
little,92,1.8128,0.0359
risk,92,1.8128,0.0359
believe,91,1.7931,0.0356
days,91,1.7931,0.0356
😘,90,1.7734,0.0352
throat,90,1.7734,0.0352
ones,90,1.7734,0.0352
ready,89,1.7537,0.0348
lost,89,1.7537,0.0348
far,88,1.7340,0.0344
damaged,87,1.7143,0.0340
imagine,87,1.7143,0.0340
ur,87,1.7143,0.0340
weekend,87,1.7143,0.0340
wishing,87,1.7143,0.0340
taking,87,1.7143,0.0340
dates,86,1.6946,0.0336
song,86,1.6946,0.0336
honest,85,1.6749,0.0332
break,85,1.6749,0.0332
mind,85,1.6749,0.0332
girl,85,1.6749,0.0332
special,85,1.6749,0.0332
months,84,1.6552,0.0328
forgive,84,1.6552,0.0328
makes,83,1.6355,0.0324
spent,83,1.6355,0.0324
apologize,82,1.6158,0.0320
try,82,1.6158,0.0320
remember,82,1.6158,0.0320
control,82,1.6158,0.0320
strong,81,1.5961,0.0316
coming,80,1.5764,0.0313
support,79,1.5567,0.0309
tell,79,1.5567,0.0309
blessed,79,1.5567,0.0309
saying,78,1.5369,0.0305
easy,78,1.5369,0.0305
worth,77,1.5172,0.0301
friend,77,1.5172,0.0301
disappointment,77,1.5172,0.0301
heartfelt,77,1.5172,0.0301
times,76,1.4975,0.0297
trip,76,1.4975,0.0297
upset,74,1.4581,0.0289
went,74,1.4581,0.0289
gave,74,1.4581,0.0289
mean,73,1.4384,0.0285
message,73,1.4384,0.0285
apology,73,1.4384,0.0285
isnt,73,1.4384,0.0285
self,71,1.3990,0.0277
share,71,1.3990,0.0277
getting,71,1.3990,0.0277
praying,70,1.3793,0.0274
point,70,1.3793,0.0274
body,70,1.3793,0.0274
mum,70,1.3793,0.0274
words,70,1.3793,0.0274
reason,69,1.3596,0.0270
wow,69,1.3596,0.0270
making,69,1.3596,0.0270
huge,69,1.3596,0.0270
ago,68,1.3399,0.0266
heard,68,1.3399,0.0266
probably,68,1.3399,0.0266
spend,68,1.3399,0.0266
ok,68,1.3399,0.0266
permanent,68,1.3399,0.0266
home,67,1.3202,0.0262
class,67,1.3202,0.0262
takes,66,1.3005,0.0258
fantastic,66,1.3005,0.0258
news,66,1.3005,0.0258
booked,66,1.3005,0.0258
return,65,1.2808,0.0254
artists,65,1.2808,0.0254
wanted,65,1.2808,0.0254
joy,65,1.2808,0.0254
send,64,1.2611,0.0250
121,64,1.2611,0.0250
honey,64,1.2611,0.0250
happened,64,1.2611,0.0250
friends,63,1.2414,0.0246
luck,63,1.2414,0.0246
id,63,1.2414,0.0246
paid,63,1.2414,0.0246
moment,63,1.2414,0.0246
bought,63,1.2414,0.0246
means,62,1.2217,0.0242
trying,62,1.2217,0.0242
whats,62,1.2217,0.0242
loves,62,1.2217,0.0242
stadium,61,1.2020,0.0238
husband,61,1.2020,0.0238
hotels,61,1.2020,0.0238
place,61,1.2020,0.0238
later,61,1.2020,0.0238
lose,61,1.2020,0.0238
taken,60,1.1823,0.0234
glad,60,1.1823,0.0234
theres,60,1.1823,0.0234
problems,60,1.1823,0.0234
post,59,1.1626,0.0231
especially,59,1.1626,0.0231
singers,59,1.1626,0.0231
thought,59,1.1626,0.0231
millions,59,1.1626,0.0231
son,58,1.1429,0.0227
memories,58,1.1429,0.0227
simply,58,1.1429,0.0227
performer,58,1.1429,0.0227
date,57,1.1232,0.0223
caring,57,1.1232,0.0223
australia,57,1.1232,0.0223
genuine,57,1.1232,0.0223
shit,57,1.1232,0.0223
pain,57,1.1232,0.0223
pay,57,1.1232,0.0223
y,57,1.1232,0.0223
today,57,1.1232,0.0223
situation,56,1.1034,0.0219
tomorrow,56,1.1034,0.0219
fully,56,1.1034,0.0219
obviously,56,1.1034,0.0219
personally,56,1.1034,0.0219
doctors,56,1.1034,0.0219
agree,55,1.0837,0.0215
comments,55,1.0837,0.0215
lives,55,1.0837,0.0215
felt,55,1.0837,0.0215
relax,54,1.0640,0.0211
old,54,1.0640,0.0211
complete,54,1.0640,0.0211
xxxx,54,1.0640,0.0211
appreciate,54,1.0640,0.0211
poor,54,1.0640,0.0211
ask,54,1.0640,0.0211
shame,54,1.0640,0.0211
gets,54,1.0640,0.0211
act,53,1.0443,0.0207
sharing,53,1.0443,0.0207
forget,53,1.0443,0.0207
sweet,53,1.0443,0.0207
attend,53,1.0443,0.0207
possible,52,1.0246,0.0203
push,52,1.0246,0.0203
choice,52,1.0246,0.0203
instrument,52,1.0246,0.0203
comment,52,1.0246,0.0203
original,51,1.0049,0.0199
missed,51,1.0049,0.0199
meant,51,1.0049,0.0199
goes,51,1.0049,0.0199
wants,50,0.9852,0.0195
