status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
9770929278_10155142828969279,,Timeline Photos,photo,https://www.facebook.com/adele/photos/a.275854269278.145027.9770929278/10155142828969279/?type=3,2017-06-30 18:40:38,240683,24926,22391,132405,42105,2455,256,63073,221,168
9770929278_10155065743629279,Vote x,Timeline Photos,photo,https://www.facebook.com/adele/photos/a.275854269278.145027.9770929278/10155065743629279/?type=3,2017-06-07 08:27:09,37030,1209,1996,33660,3062,224,46,13,11,14
9770929278_10154955256819279,Nearly 30! Thanks for the well wishes. See you soon x,Timeline Photos,photo,https://www.facebook.com/adele/photos/a.275854269278.145027.9770929278/10154955256819279/?type=3,2017-05-05 17:18:34,240037,7299,4750,177014,23707,1460,37682,66,33,75
9770929278_10154820330139279,#W4Water 1.5 million children die every year due to water related diseases. Pls support @drop4drop with their mission to end the water crisis 💦,Timeline Photos,photo,https://www.facebook.com/adele/photos/a.275854269278.145027.9770929278/10154820330139279/?type=3,2017-03-22 04:16:25,106719,1969,2850,94797,9827,145,74,1825,24,27
9770929278_10154753708064279,See you tomorrow Perth X,,video,https://www.facebook.com/adele/videos/10154753708064279/,2017-02-26 23:05:04,91090,3930,3713,79032,8893,2947,72,120,11,15
9770929278_10154746257104279,This fine young man's album is out today. Good luck darling Stormzy  👑 www.stormzy.com,Timeline Photos,photo,https://www.facebook.com/adele/photos/a.275854269278.145027.9770929278/10154746257104279/?type=3,2017-02-24 04:03:41,25888,648,398,23754,1922,65,123,7,10,7
9770929278_10154533010599279,,Adele Live 2016 - US & Canada,photo,https://www.facebook.com/adele/photos/a.10154346137594279.1073741827.9770929278/10154532625034279/?type=3,2016-12-15 12:37:41,233094,5005,5200,203476,27971,1435,135,47,18,12
9770929278_10154482627934279,"Due to phenomenal demand, Adele is delighted to confirm two additional and final concerts at Wembley Stadium on 28th June and 2nd July 2017. For more information visit https://live.adele.com.",Adele Live 2017 - The Finale - Wembley Stadium,link,https://live.adele.com/,2016-12-02 06:15:21,86917,6936,4560,76682,8797,1178,56,146,47,11
9770929278_10154482479944279,"Tickets on sale now for Adele's world tour finale at Wembley Stadium on 29 June and 1 July 2017.
Ticket details available from  http://live.adele.com",Timeline Photos,photo,https://www.facebook.com/adele/photos/a.275854269278.145027.9770929278/10154482479944279/?type=3,2016-12-02 05:00:01,56897,3690,2641,49816,5676,972,40,356,28,9
9770929278_10154458407589279,For further details please go to http://live.adele.com,"Adele - The Finale - Wembley Stadium - 29 June, 1 July 2017",video,https://www.facebook.com/adele/videos/10154458407589279/,2016-11-23 05:00:45,135628,8360,11470,110107,17279,400,7766,56,13,7
