author_name,frequency,frequencyPer100Comment
Barbie,23,1.1735
Amanda,20,1.0204
Tammy,19,0.9694
Sara,18,0.9184
Jessica,16,0.8163
Nicole,15,0.7653
Jennifer,14,0.7143
Rebecca,14,0.7143
Sarah,14,0.7143
Candy,12,0.6122
Dana,12,0.6122
Stephanie,12,0.6122
Lapree,12,0.6122
Linda,12,0.6122
Ashley,11,0.5612
Jenny,11,0.5612
Amber,11,0.5612
Tiffany,10,0.5102
Melissa,10,0.5102
Emily,10,0.5102
Heather,9,0.4592
Lisa,9,0.4592
Kenzie,9,0.4592
Maggie,9,0.4592
Danata,9,0.4592
Josephine,8,0.4082
Pauline,8,0.4082
Rachel,8,0.4082
Mary,8,0.4082
Porsha,8,0.4082
Jessi,8,0.4082
Joy,7,0.3571
Selena,7,0.3571
Kimberly,7,0.3571
Anna,7,0.3571
Crystal,7,0.3571
Danielle,7,0.3571
Abrianna,7,0.3571
Brenda,7,0.3571
Monica,7,0.3571
Susan,6,0.3061
Kelly,6,0.3061
Kelsey,6,0.3061
Fabio,6,0.3061
Rania,6,0.3061
Jasmine,6,0.3061
Kim,6,0.3061
Michelle,6,0.3061
Vicenta,6,0.3061
Cindy,6,0.3061
Amy,6,0.3061
Christina,6,0.3061
Miranda,5,0.2551
Sy,5,0.2551
Ali,5,0.2551
Ban,5,0.2551
Brittney,5,0.2551
Holly,5,0.2551
Estrella,5,0.2551
Denise,5,0.2551
Laura,5,0.2551
Karen,5,0.2551
Lauren,5,0.2551
Courtney,5,0.2551
Kristen,5,0.2551
Tina,5,0.2551
Kayla,5,0.2551
Marilyn,5,0.2551
Catherine,5,0.2551
Katie,5,0.2551
Jamie,5,0.2551
Haley,5,0.2551
Shelby,4,0.2041
Casey,4,0.2041
Hope,4,0.2041
Deana,4,0.2041
Olivia,4,0.2041
Emma,4,0.2041
Candice,4,0.2041
Barbies,4,0.2041
Rotem,4,0.2041
Ben,4,0.2041
Kat,4,0.2041
Monika,4,0.2041
Robin,4,0.2041
Mariah,4,0.2041
Rose,4,0.2041
Elizabeth,4,0.2041
Samonosuke,4,0.2041
Funfun,4,0.2041
Rosey,4,0.2041
Anne,4,0.2041
Mandie,4,0.2041
Zobia,4,0.2041
Carolyn,4,0.2041
Ana,4,0.2041
Hanar,4,0.2041
Tanya,4,0.2041
Aaslah,4,0.2041
Julie,4,0.2041
Kara,4,0.2041
Madison,4,0.2041
Taylor,4,0.2041
Yvette,4,0.2041
Megan,4,0.2041
April,4,0.2041
Nadia,3,0.1531
Paul,3,0.1531
Reem,3,0.1531
Angie,3,0.1531
Shonna,3,0.1531
Elisabeth,3,0.1531
Morgan,3,0.1531
Daniela,3,0.1531
Caitlyn,3,0.1531
Hadja,3,0.1531
Erica,3,0.1531
Mia,3,0.1531
Frances,3,0.1531
Jay,3,0.1531
Steph,3,0.1531
Karina,3,0.1531
Kalisha,3,0.1531
MemeFarhat,3,0.1531
Erin,3,0.1531
Lama,3,0.1531
Teresa,3,0.1531
Lance,3,0.1531
Vanessa,3,0.1531
Leonirose,3,0.1531
Ruben,3,0.1531
Mathew,3,0.1531
Veronica,3,0.1531
Mollie,3,0.1531
Melanie,3,0.1531
Sandra,3,0.1531
Beth,3,0.1531
Maja,3,0.1531
Bethany,3,0.1531
Sabereen,3,0.1531
Amelia,3,0.1531
Carmen,3,0.1531
Alicia,3,0.1531
Missy,3,0.1531
Samantha,3,0.1531
Victoria,3,0.1531
Margaret,3,0.1531
Brandy,3,0.1531
Adrianna,3,0.1531
أيمن,3,0.1531
আহমেদ,3,0.1531
Nikolett,3,0.1531
Kerstin,3,0.1531
Alexa,3,0.1531
Keserovic,3,0.1531
Chelsey,3,0.1531
Diana,3,0.1531
Kristine,3,0.1531
Erika,3,0.1531
Claudia,3,0.1531
Razan,3,0.1531
Sharron,3,0.1531
Christine,3,0.1531
Yvonne,3,0.1531
Andrea,3,0.1531
Kazi,3,0.1531
Samra,3,0.1531
Scott,3,0.1531
Chinonso,3,0.1531
Kelley,3,0.1531
Tota,2,0.1020
Seiyab,2,0.1020
Annette,2,0.1020
A'jhayne,2,0.1020
Reinah,2,0.1020
Ljerka,2,0.1020
Priscila,2,0.1020
Jaime,2,0.1020
Tam,2,0.1020
Laoise,2,0.1020
Marisa,2,0.1020
Linh,2,0.1020
Sally,2,0.1020
Hayley,2,0.1020
Zuniga,2,0.1020
Colleen,2,0.1020
Xina,2,0.1020
Ariel,2,0.1020
Shekita,2,0.1020
Doussou,2,0.1020
Lana,2,0.1020
Wanda,2,0.1020
Autumn,2,0.1020
Jordan,2,0.1020
Jack,2,0.1020
Kay,2,0.1020
Soledad,2,0.1020
Renee,2,0.1020
Natalie,2,0.1020
Fayrouz,2,0.1020
Emery,2,0.1020
Alexis,2,0.1020
Alayna,2,0.1020
Isabel,2,0.1020
Ursula,2,0.1020
Nana,2,0.1020
Marco,2,0.1020
Shayna,2,0.1020
Helen,2,0.1020
Grace,2,0.1020
Caz,2,0.1020
Charlotte,2,0.1020
Gail,2,0.1020
Michael,2,0.1020
Katy,2,0.1020
Wilhelmina,2,0.1020
India,2,0.1020
Lubna,2,0.1020
Mila,2,0.1020
Kate,2,0.1020
Dera,2,0.1020
Debra,2,0.1020
Izadora,2,0.1020
Deborah,2,0.1020
Carolina,2,0.1020
Yusra,2,0.1020
IPatricia,2,0.1020
Kevi,2,0.1020
Kellie,2,0.1020
Mourghan,2,0.1020
Shanleagh,2,0.1020
Ayla,2,0.1020
Stefanie,2,0.1020
ChieuQuan,2,0.1020
Aslama,2,0.1020
Krista,2,0.1020
Sonia,2,0.1020
Meghan,2,0.1020
Rasti,2,0.1020
Britney,2,0.1020
Patrick,2,0.1020
Abir,2,0.1020
Cassandra,2,0.1020
Shelly,2,0.1020
Pam,2,0.1020
Cheryl,2,0.1020
Hannah,2,0.1020
Virginia,2,0.1020
Kizhan,2,0.1020
Takács,2,0.1020
Sameer,2,0.1020
Tricia,2,0.1020
Allison,2,0.1020
Heidi,2,0.1020
The,2,0.1020
Celeste,2,0.1020
Terri,2,0.1020
Joannie,2,0.1020
Joyce,2,0.1020
Febriss,2,0.1020
Tara,2,0.1020
Jeily,2,0.1020
Roey,2,0.1020
Jackie,2,0.1020
Uzair,2,0.1020
Christen,2,0.1020
Aarthikka,2,0.1020
Miriyonzi,2,0.1020
Nicky,2,0.1020
Zahraa,2,0.1020
Diane,2,0.1020
Brooke,2,0.1020
Patricia,2,0.1020
Micka,2,0.1020
Debbie,2,0.1020
Nice,2,0.1020
Paula,2,0.1020
Lacnetwork,2,0.1020
Marlena,2,0.1020
ÃñÄyä,2,0.1020
Bailey,2,0.1020
Batoul,2,0.1020
Itrat,2,0.1020
Cyndi,2,0.1020
Langesmate,2,0.1020
Bibbie,2,0.1020
Lily,2,0.1020
Denys,2,0.1020
លី,2,0.1020
Caitlin,2,0.1020
Princess,2,0.1020
Marcy,2,0.1020
Georgia,2,0.1020
Lynda,2,0.1020
Rachael,2,0.1020
Jamile,2,0.1020
Lourdes,2,0.1020
Barbara,2,0.1020
Haylee,2,0.1020
Edward,2,0.1020
Shannon,2,0.1020
Princees,2,0.1020
Malak,2,0.1020
Becky,2,0.1020
Carol,2,0.1020
Alma,2,0.1020
Jocelyn,2,0.1020
Cass,2,0.1020
Evelyn,2,0.1020
Julia,2,0.1020
Tasha,2,0.1020
Kari,2,0.1020
Porsche,2,0.1020
Jilina,2,0.1020
Heba,2,0.1020
Brandi,2,0.1020
Emilie,2,0.1020
Shanneey,2,0.1020
Sheku,2,0.1020
Connie,2,0.1020
Lacey,2,0.1020
Ruby,2,0.1020
Leigh,2,0.1020
Ximena,2,0.1020
Celina,2,0.1020
Dorothy,2,0.1020
Angelica,2,0.1020
Isabela,2,0.1020
Kristy,2,0.1020
DanielleHello,2,0.1020
Tabitha,2,0.1020
Martha,2,0.1020
Twentyfourkaratz,2,0.1020
Sabrina,2,0.1020
Peris,2,0.1020
Nayda,2,0.1020
Aliyah,2,0.1020
Deanne,2,0.1020
Breeanna,2,0.1020
Duha,2,0.1020
Andrew,2,0.1020
Tracy,2,0.1020
Tamara,2,0.1020
Trang,2,0.1020
Ke'Aira,2,0.1020
