token,frequency
i,230
the,164
to,120
a,120
this,114
for,110
barbie,108
[[sticker]],105
is,104
you,104
and,98
it,67
my,66
of,64
so,63
have,62
love,57
in,53
lol,50
that,48
like,43
want,41
not,41
her,39
one,37
but,37
are,36
with,35
me,33
on,33
😂,33
cute,30
she,30
doll,29
[[photo]],29
we,28
omg,28
can,27
be,27
just,26
was,26
need,26
would,25
do,24
all,24
happy,23
get,23
your,22
wow,22
3,21
hello,21
why,21
much,20
no,20
they,19
😍,19
as,18
look,17
it's,17
i'm,16
barbies,16
oh,16
what,16
kitty,16
about,16
make,15
christmas,15
la,15
how,14
them,14
has,14
cool,14
these,14
i’m,14
beautiful,13
good,13
pretty,13
see,13
ken,13
know,13
buy,13
de,12
little,12
going,12
nicole,12
or,12
susan,12
looks,12
clothes,11
new,11
got,11
too,11
marie,11
had,11
ik,11
thanks,11
price,11
it!,11
really,11
ashley,11
nice,11
from,11
at,11
hi,11
barbie!,10
yes,10
:),10
girl,10
than,10
lmao,10
can't,10
it’s,10
very,10
more,10
that's,10
its,10
find,10
kelly,10
halloween,10
our,10
thought,10
even,9
❤️,9
100,9
😂😂😂,9
girls,9
watch,9
been,9
people,9
when,9
jones,9
johnson,9
thank,9
😂😂,9
saw,9
sure,9
there,9
two,9
scott,9
<3,9
martinez,9
barbie.,8
ann,8
thankful,8
phoenix,8
porsha,8
cute!,8
pink,8
$100,8
man,8
now,8
michelle,8
where,8
je,8
come,8
mom,8
am,8
an,8
u,8
family,8
muslim,8
dolls,8
jordan,8
liz,8
some,8
back,8
great,8
day,8
you're,8
who,8
melissa,8
elizabeth,7
over,7
seen,7
ranger,7
she’s,7
way,7
holly,7
time,7
laura,7
cat,7
may,7
yeah,7
amanda,7
2,7
money,7
gonna,7
rebecca,7
ok,7
emily,7
danielle,7
!,7
actually,7
para,7
also,7
play,7
most,7
birthday,7
us,7
she's,7
stephanie,7
out,7
thanksgiving,7
hope,7
well,7
other,7
miller,6
another,6
-,6
jennifer,6
trip,6
miranda,6
:d,6
wait,6
maybe,6
think,6
white,6
were,6
link,6
xmas,6
those,6
cats,6
yo,6
doll.,6
lol!,6
set,6
anna,6
katie,6
women,6
torres,6
van,6
ben,6
brenda,6
will,6
mcintyre,6
because,6
hair,6
does,6
?,6
he,6
this!,6
!!!,5
l,5
don’t,5
m,5
da,5
best,5
if,5
toys,5
did,5
remember,5
still,5
year,5
first,5
i’ll,5
online,5
show,5
only,5
black,5
jo,5
mary,5
andrew,5
4,5
you.,5
agree,5
god,5
[[share]],5
lisa,5
help,5
don't,5
it.,5
ya,5
done,5
weaver,5
rose,5
kathy,5
real,5
go,5
dolls.,5
next,5
😍😍😍,5
loves,5
sara,5
quiero,5
emma,5
lynn,5
made,5
wish,5
this.,5
friends,5
sorry,4
daughter,4
mi,4
amazing,4
it!!,4
foronda,4
better,4
skinny,4
already,4
doesn’t,4
i’ve,4
collection.,4
old,4
😍😍,4
super,4
kenzie,4
head,4
must,4
die,4
angry,4
awesome,4
huge,4
se,4
brooke,4
rachel,4
kevin,4
thompson,4
wants,4
many,4
kimberly,4
😍😍😍😍,4
always,4
turkey,4
favorite,4
you!,4
al,4
5,4
original,4
gorgeous,4
rodriguez,4
coming,4
leigh,4
😜,4
😑,4
kay,4
"hi,",4
😀,4
angie,4
lee,4
available,4
both,4
sweet,4
anne,4
up,4
e,4
&,4
few,4
baby,4
amber,4
dat,4
cause,4
jessica,4
que,4
such,4
their,4
megan,4
april,4
smith,4
shes,4
that’s,4
catherine,4
bun,4
pic,4
better.,3
hate,3
thinking,3
her.,3
never,3
barbies.,3
changed,3
cindy,3
legs,3
sarah,3
princess,3
this!!,3
haha,3
ma,3
give,3
david,3
danny,3
asian,3
each,3
yvette,3
dawn,3
weerdt,3
ella,3
ahmed,3
person,3
y,3
saying,3
barbie?,3
photo,3
said,3
tina,3
sad,3
n,3
im,3
things,3
right,3
dollars,3
joseph,3
tell,3
ayla,3
picture,3
paige,3
cook,3
team,3
cost,3
nguyen,3
cute.,3
vega,3
isn’t,3
guys,3
si,3
sa,3
"no,",3
name,3
james,3
el,3
en,3
jackson,3
gusto,3
ang,3
any,3
knew,3
beth,3
sale,3
madison,3
prima,3
topić,3
wa?,3
morales,3
shopping,3
different,3
check,3
without,3
bodies,3
ballerina,3
amy,3
rachael,3
samman,3
porter,3
start,3
trying,3
buying,3
taylor,3
corey,3
ali,3
:*,3
te,3
fan,3
i'll,3
kaitlyn,3
mira,3
morgan,3
dress,3
information,3
hannah,3
barbi,3
hell,3
brittney,3
bryan,3
someone,3
tiffany,3
put,3
lol.,3
voor,3
😘,3
😞,3
😻,3
kind,3
😭,3
😬,3
mensch,3
didn’t,3
garcia,3
marilyn,3
c,3
last,3
above.,3
funny,3
ruth,3
❤,3
ossaily,3
santa,3
by,3
we're,3
erica,3
kerry,3
frances,3
lewis,3
rivera,3
"that,",3
that.,3
power,3
making,3
duck,3
account,3
monica,3
something,3
move,3
lo,3
doing,3
please,3
via,3
davis,3
be.,3
=,3
her!!!,3
hk,3
one?,3
years,3
jaime,3
gibson,3
j,3
amel,3
thanks.,3
hahaha,3
omeragic,3
off,3
let’s,3
getting,3
jesse,3
perrini,2
woods,2
gabriella,2
up.,2
worth,2
movies.,2
yuossef,2
me!,2
ibtihaj,2
ever,2
here,2
flores,2
barbies!,2
disgusting!,2
http://cashwork.info/?refer=2588,2
i'd,2
julie,2
her!!,2
mimi,2
hasidic,2
alvarez,2
until,2
ti,2
mathew,2
friendsgiving,2
bowman,2
hansen,2
wal-mart,2
fay,2
seiyab,2
chase,2
after,2
ovo,2
purchase,2
zanten,2
owens,2
before,2
what’s,2
egbert-anderson,2
then,2
lambert,2
😆.,2
alex,2
meal,2
used,2
forgot,2
rn,2
kayla,2
wanted,2
days,2
too!,2
👍,2
mattel,2
mermaid,2
fashion,2
esta,2
mind,2
hasn’t,2
sue,2
maria,2
definitely,2
