status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
57884444465_10157225246409466,"The #Barbie Hello Kitty doll is now available! Order yours now and add her to your collection. #HelloKittyXBarbie

 — Products shown: Barbie® Hello Kitty® Doll.",,photo,https://www.facebook.com/barbie/photos/a.149369339465.139726.57884444465/10157225245549466/?type=3,2017-11-30 15:00:01,2814,249,313,2297,425,78,13,0,0,1
57884444465_10157223266139466,"#WednesdayWisdom

 — Products shown: Barbie Fairy Doll and Barbie Gem Kingdom Fairy Doll.",,photo,https://www.facebook.com/barbie/photos/a.149369339465.139726.57884444465/10157223239759466/?type=3,2017-11-29 18:00:00,811,18,60,750,52,5,3,0,1,0
57884444465_10157223223619466,"Shimmering bath bombs and fragrant candles are the perfect recipe for a relaxing night in. 💆 

Shop the #Barbie Candle & Bath Bomb Set now from Fragrant Jewels, and enter for a chance to win a ring worth $10,000: http://dolltasti.cc/2zomeFv",Barbie Fragrant Jewels Candle & Bath Bomb Set,video,https://www.facebook.com/barbie/videos/10157223223619466/,2017-11-29 13:00:01,3045,607,527,2357,563,118,6,0,1,0
57884444465_10157222575564466,"The 2017 Holiday #Barbie Doll makes the perfect gift for the Barbie lover in your life! Shop now.

 — Products shown: Barbie 2017 Holiday Doll.",,photo,https://www.facebook.com/barbie/photos/a.149369339465.139726.57884444465/10157222571224466/?type=3,2017-11-28 17:00:00,1823,64,95,1597,192,31,2,1,0,0
57884444465_10157223216194466,"#Barbie Fashionistas Ken Dolls are nominated for Toy of the Year by The Toy Association! With 15 new looks including three body types, #NextGenKen is more stylish and diverse than ever. Vote now: http://dolltasti.cc/2fkNB8C 

 #TOTY2018 #TheDollEvolves

 — Products shown: Ken Fashionistas Doll 3 Cactus Cooler - Slim.",,photo,https://www.facebook.com/barbie/photos/a.149369339465.139726.57884444465/10157223210324466/?type=3,2017-11-28 12:46:04,962,146,109,777,73,9,83,7,13,0
57884444465_10157221931369466,"#Barbie is from the fictional town of Willows, Wisconsin where she attended high school.

 — Products shown: Barbie Fashionistas Doll 51 Polka Dot Fun - Curvy, Barbie Fashionistas Doll 55 Denim & Dazzle - Tall, Barbie Fashionistas Doll 46 Power Print - Original and Barbie Fashionistas Doll 47 Kitty Cute - Petite.",,photo,https://www.facebook.com/barbie/photos/a.149369339465.139726.57884444465/10157221922934466/?type=3,2017-11-27 20:00:01,723,22,38,679,36,7,1,0,0,0
57884444465_10157222021634466,Sophia and Kensie join the New Crew and it's never looked so chic. #YouCanBeAnything,Timeline Photos,photo,https://www.facebook.com/barbie/photos/a.149369339465.139726.57884444465/10157222021634466/?type=3,2017-11-27 13:00:07,821,11,23,747,63,4,6,0,1,0
57884444465_10157202983074466,"Lights and princesses bring magic to your Sunday!

Watch an all-new episode of #Barbie Dreamtopia now on YouTube: http://dolltasti.cc/2jniBWF",Timeline Photos,photo,https://www.facebook.com/barbie/photos/a.149369339465.139726.57884444465/10157202983074466/?type=3,2017-11-26 12:01:24,799,64,38,753,41,2,2,0,1,0
57884444465_10157203072014466,"Air #Barbie? We'll take one ticket, please! 🛫",The Only Way to Fly | Barbie LIVE! In the Dreamhouse | Barbie,video,https://www.facebook.com/barbie/videos/10157203072014466/,2017-11-25 17:00:00,1532,96,160,1320,119,10,79,1,3,0
57884444465_10157199938294466,"Add a flare of fashion to your denim with these Fashionistas-inspired DIY patches! With fun shapes and colors, your little ones imagination has no limits.",DIY Denim Patches,video,https://www.facebook.com/barbie/videos/10157199938294466/,2017-11-24 13:00:00,472,10,37,446,19,7,0,0,0,0
