author_name,frequency,frequencyPer100Comment
Candice,53,5.8564
Prometheus,13,1.4365
Dana,8,0.8840
Martin,6,0.6630
Marco,6,0.6630
Juliana,6,0.6630
Newdermalfillers,6,0.6630
Amanda,6,0.6630
Daniel,6,0.6630
Maria,6,0.6630
Jamal,5,0.5525
Bruna,5,0.5525
Hele,5,0.5525
Nicolas,4,0.4420
Newton,4,0.4420
Shane,4,0.4420
Favour,4,0.4420
Stephen,4,0.4420
Eloá,4,0.4420
Anthony,4,0.4420
张倾,3,0.3315
Lauren,3,0.3315
Genavieve,3,0.3315
Sinthia,3,0.3315
Lucas,3,0.3315
Aiche,3,0.3315
Luiz,3,0.3315
Samuel,3,0.3315
Eszter,3,0.3315
Erin,3,0.3315
Ingrid,3,0.3315
Diamond,3,0.3315
Rebecca,3,0.3315
Richard,3,0.3315
Kimberly,3,0.3315
Vinicius,3,0.3315
Davina,3,0.3315
Moe,3,0.3315
Sidney,3,0.3315
Sandra,3,0.3315
Ana,3,0.3315
Hope,3,0.3315
Moncef,3,0.3315
Victoria,3,0.3315
Danrley,3,0.3315
Immanuel,3,0.3315
Mark,3,0.3315
David,3,0.3315
Leonardo,3,0.3315
Pedro,3,0.3315
Manolo,2,0.2210
Melody,2,0.2210
George,2,0.2210
Noloyiso,2,0.2210
Luna,2,0.2210
Alan,2,0.2210
Ronny,2,0.2210
Marta,2,0.2210
Nina,2,0.2210
Jennifer,2,0.2210
Hush,2,0.2210
Harvey,2,0.2210
Ombeta,2,0.2210
Júlio,2,0.2210
Ton,2,0.2210
Tom,2,0.2210
Gui,2,0.2210
Menal,2,0.2210
Nicole,2,0.2210
Sharon,2,0.2210
Owen,2,0.2210
Samaria,2,0.2210
Bruno,2,0.2210
Rosie,2,0.2210
StheSus,2,0.2210
Alexis,2,0.2210
Sophia,2,0.2210
Jenee,2,0.2210
Basma,2,0.2210
Luis,2,0.2210
Adam,2,0.2210
Rafael,2,0.2210
Sam,2,0.2210
Resul,2,0.2210
Ray,2,0.2210
Luh,2,0.2210
Ligia,2,0.2210
Agui,2,0.2210
William,2,0.2210
EA,2,0.2210
Felipe,2,0.2210
Judy,2,0.2210
Kelly,2,0.2210
Kalet,2,0.2210
Official:,2,0.2210
Alexander,2,0.2210
Justin,2,0.2210
Matheus,2,0.2210
Diego,2,0.2210
Angela,2,0.2210
Fidēlis,2,0.2210
Hannah,2,0.2210
Jasmine,2,0.2210
Leenetta,2,0.2210
Raunda,2,0.2210
Matt,2,0.2210
Bia,2,0.2210
Umut,2,0.2210
Michelle,2,0.2210
Jackie,2,0.2210
MyAisha,2,0.2210
Stella,2,0.2210
Help,2,0.2210
Caíque,2,0.2210
Abdelrahman,2,0.2210
José,2,0.2210
Diane,2,0.2210
Malachi,2,0.2210
John,2,0.2210
Welbert,2,0.2210
Mystic,2,0.2210
Karen,2,0.2210
Ölveczki,2,0.2210
Kydé's,2,0.2210
Alexandra,2,0.2210
Kieran,2,0.2210
Afran,2,0.2210
James,2,0.2210
Julia,2,0.2210
Jéssica,2,0.2210
Danilo,2,0.2210
Gabriel,2,0.2210
Rosarionutry,2,0.2210
Naomi,2,0.2210
Herve,2,0.2210
Leonidas,2,0.2210
Bakayoko,2,0.2210
Kori,2,0.2210
Tomasz,2,0.2210
Celia,2,0.2210
Karin,2,0.2210
Hana,2,0.2210
Xiaojie,2,0.2210
Diandra,2,0.2210
Jachersud,2,0.2210
Dev,2,0.2210
Luciana,2,0.2210
Chelsea,2,0.2210
Joseph,2,0.2210
Massa,2,0.2210
Scott,2,0.2210
Marie,2,0.2210
Alex,2,0.2210
Emily,2,0.2210
