token,count,frequencyPer100Comment,frequencyPer100Token
the,205,22.65193370165746,2.3142921652743285
to,180,19.88950276243094,2.032061413411605
i,172,19.005524861878452,1.9417475728155338
you,165,18.23204419889503,1.8627229622939716
and,163,18.011049723756905,1.8401445021449536
,156,17.23756906077348,1.7611198916233912
a,142,15.69060773480663,1.6030706705802664
is,95,10.497237569060774,1.0724768570783474
me,82,9.060773480662982,0.9257168661097314
my,79,8.729281767955802,0.8918491758862045
happy,79,8.729281767955802,0.8918491758862045
of,79,8.729281767955802,0.8918491758862045
in,76,8.397790055248619,0.8579814856626778
birthday,73,8.066298342541437,0.8241137954391511
this,64,7.07182320441989,0.7225107247685708
that,61,6.740331491712707,0.688643034545044
your,58,6.4088397790055245,0.6547753443215173
on,51,5.6353591160221,0.5757507337999549
it,50,5.524861878453039,0.5644615037254459
o,43,4.751381215469613,0.48543689320388345
dj,42,4.640883977900553,0.4741476631293746
do,38,4.198895027624309,0.4289907428313389
for,38,4.198895027624309,0.4289907428313389
love,38,4.198895027624309,0.4289907428313389
with,38,4.198895027624309,0.4289907428313389
we,38,4.198895027624309,0.4289907428313389
be,36,3.9779005524861875,0.40641228268232105
khaled,34,3.7569060773480665,0.3838338225333032
can,34,3.7569060773480665,0.3838338225333032
dvd,33,3.6464088397790055,0.3725445924587943
have,33,3.6464088397790055,0.3725445924587943
3,32,3.535911602209945,0.3612553623842854
as,32,3.535911602209945,0.3612553623842854
are,32,3.535911602209945,0.3612553623842854
best,31,3.4254143646408837,0.34996613230977647
will,31,3.4254143646408837,0.34996613230977647
de,29,3.2044198895027622,0.32738767216075865
que,29,3.2044198895027622,0.32738767216075865
she,29,3.2044198895027622,0.32738767216075865
like,29,3.2044198895027622,0.32738767216075865
da,28,3.0939226519337018,0.3160984420862497
know,28,3.0939226519337018,0.3160984420862497
beyonce,27,2.983425414364641,0.30480921201174077
from,27,2.983425414364641,0.30480921201174077
one,26,2.8729281767955803,0.2935199819372319
so,26,2.8729281767955803,0.2935199819372319
formation,25,2.7624309392265194,0.28223075186272295
sticker,25,2.7624309392265194,0.28223075186272295
just,23,2.541436464088398,0.25965229171370513
tour,23,2.541436464088398,0.25965229171370513
e,23,2.541436464088398,0.25965229171370513
hbd,22,2.430939226519337,0.2483630616391962
they,21,2.3204419889502765,0.2370738315646873
god,21,2.3204419889502765,0.2370738315646873
not,21,2.3204419889502765,0.2370738315646873
another,20,2.209944751381215,0.22578460149017837
world,20,2.209944751381215,0.22578460149017837
help,20,2.209944751381215,0.22578460149017837
he,20,2.209944751381215,0.22578460149017837
how,19,2.0994475138121547,0.21449537141566946
no,19,2.0994475138121547,0.21449537141566946
please,19,2.0994475138121547,0.21449537141566946
christ,18,1.9889502762430937,0.20320614134116052
get,18,1.9889502762430937,0.20320614134116052
all,18,1.9889502762430937,0.20320614134116052
tina,18,1.9889502762430937,0.20320614134116052
what,17,1.8784530386740332,0.1919169112666516
jesus,17,1.8784530386740332,0.1919169112666516
but,17,1.8784530386740332,0.1919169112666516
want,16,1.7679558011049725,0.1806276811921427
its,16,1.7679558011049725,0.1806276811921427
beyoncé,16,1.7679558011049725,0.1806276811921427
was,15,1.6574585635359116,0.1693384511176338
or,15,1.6574585635359116,0.1693384511176338
her,15,1.6574585635359116,0.1693384511176338
te,15,1.6574585635359116,0.1693384511176338
share,15,1.6574585635359116,0.1693384511176338
life,14,1.5469613259668509,0.15804922104312485
if,14,1.5469613259668509,0.15804922104312485
who,14,1.5469613259668509,0.15804922104312485
am,14,1.5469613259668509,0.15804922104312485
parabéns,14,1.5469613259668509,0.15804922104312485
new,13,1.4364640883977902,0.14675999096861594
here,13,1.4364640883977902,0.14675999096861594
music,13,1.4364640883977902,0.14675999096861594
é,13,1.4364640883977902,0.14675999096861594
man,13,1.4364640883977902,0.14675999096861594
não,13,1.4364640883977902,0.14675999096861594
up,13,1.4364640883977902,0.14675999096861594
sins,13,1.4364640883977902,0.14675999096861594
hi,13,1.4364640883977902,0.14675999096861594
im,12,1.3259668508287292,0.13547076089410703
people,12,1.3259668508287292,0.13547076089410703
way,12,1.3259668508287292,0.13547076089410703
holy,12,1.3259668508287292,0.13547076089410703
now,12,1.3259668508287292,0.13547076089410703
year,12,1.3259668508287292,0.13547076089410703
at,12,1.3259668508287292,0.13547076089410703
more,12,1.3259668508287292,0.13547076089410703
b,12,1.3259668508287292,0.13547076089410703
great,12,1.3259668508287292,0.13547076089410703
day,12,1.3259668508287292,0.13547076089410703
work,11,1.2154696132596685,0.1241815308195981
them,11,1.2154696132596685,0.1241815308195981
free,11,1.2154696132596685,0.1241815308195981
make,11,1.2154696132596685,0.1241815308195981
has,11,1.2154696132596685,0.1241815308195981
name,11,1.2154696132596685,0.1241815308195981
online,11,1.2154696132596685,0.1241815308195981
os,11,1.2154696132596685,0.1241815308195981
money,11,1.2154696132596685,0.1241815308195981
by,11,1.2154696132596685,0.1241815308195981
said,10,1.1049723756906076,0.11289230074508919
pra,10,1.1049723756906076,0.11289230074508919
an,10,1.1049723756906076,0.11289230074508919
him,10,1.1049723756906076,0.11289230074508919
out,10,1.1049723756906076,0.11289230074508919
why,10,1.1049723756906076,0.11289230074508919
lord,9,0.9944751381215469,0.10160307067058026
meu,9,0.9944751381215469,0.10160307067058026
would,9,0.9944751381215469,0.10160307067058026
better,9,0.9944751381215469,0.10160307067058026
too,9,0.9944751381215469,0.10160307067058026
tell,9,0.9944751381215469,0.10160307067058026
father,9,0.9944751381215469,0.10160307067058026
word,9,0.9944751381215469,0.10160307067058026
turner,9,0.9944751381215469,0.10160307067058026
come,9,0.9944751381215469,0.10160307067058026
time,9,0.9944751381215469,0.10160307067058026
u,9,0.9944751381215469,0.10160307067058026
dont,9,0.9944751381215469,0.10160307067058026
bey,9,0.9944751381215469,0.10160307067058026
heavenly,8,0.8839779005524863,0.09031384059607135
trust,8,0.8839779005524863,0.09031384059607135
songs,8,0.8839779005524863,0.09031384059607135
v,8,0.8839779005524863,0.09031384059607135
may,8,0.8839779005524863,0.09031384059607135
thank,8,0.8839779005524863,0.09031384059607135
mulher,8,0.8839779005524863,0.09031384059607135
brasil,8,0.8839779005524863,0.09031384059607135
say,8,0.8839779005524863,0.09031384059607135
por,8,0.8839779005524863,0.09031384059607135
mark,8,0.8839779005524863,0.09031384059607135
المحاضرة,8,0.8839779005524863,0.09031384059607135
there,8,0.8839779005524863,0.09031384059607135
go,8,0.8839779005524863,0.09031384059607135
company,8,0.8839779005524863,0.09031384059607135
coming,8,0.8839779005524863,0.09031384059607135
good,8,0.8839779005524863,0.09031384059607135
because,8,0.8839779005524863,0.09031384059607135
quero,8,0.8839779005524863,0.09031384059607135
could,8,0.8839779005524863,0.09031384059607135
1,8,0.8839779005524863,0.09031384059607135
page,8,0.8839779005524863,0.09031384059607135
own,8,0.8839779005524863,0.09031384059607135
✔️,7,0.7734806629834254,0.07902461052156243
bday,7,0.7734806629834254,0.07902461052156243
queen,7,0.7734806629834254,0.07902461052156243
old,7,0.7734806629834254,0.07902461052156243
na,7,0.7734806629834254,0.07902461052156243
serious,7,0.7734806629834254,0.07902461052156243
guys,7,0.7734806629834254,0.07902461052156243
years,7,0.7734806629834254,0.07902461052156243
mais,7,0.7734806629834254,0.07902461052156243
eu,7,0.7734806629834254,0.07902461052156243
black,7,0.7734806629834254,0.07902461052156243
um,7,0.7734806629834254,0.07902461052156243
many,7,0.7734806629834254,0.07902461052156243
amo,7,0.7734806629834254,0.07902461052156243
bless,7,0.7734806629834254,0.07902461052156243
miss,7,0.7734806629834254,0.07902461052156243
believe,7,0.7734806629834254,0.07902461052156243
grace,7,0.7734806629834254,0.07902461052156243
queremos,7,0.7734806629834254,0.07902461052156243
us,7,0.7734806629834254,0.07902461052156243
baby,7,0.7734806629834254,0.07902461052156243
add,7,0.7734806629834254,0.07902461052156243
httpsyoutubeg8psa0ubzka,7,0.7734806629834254,0.07902461052156243
vai,7,0.7734806629834254,0.07902461052156243
reliable,6,0.6629834254143646,0.06773538044705352
end,6,0.6629834254143646,0.06773538044705352
song,6,0.6629834254143646,0.06773538044705352
after,6,0.6629834254143646,0.06773538044705352
fillers,6,0.6629834254143646,0.06773538044705352
before,6,0.6629834254143646,0.06773538044705352
days,6,0.6629834254143646,0.06773538044705352
dermal,6,0.6629834254143646,0.06773538044705352
lemonade,6,0.6629834254143646,0.06773538044705352
com,6,0.6629834254143646,0.06773538044705352
been,6,0.6629834254143646,0.06773538044705352
ela,6,0.6629834254143646,0.06773538044705352
sign,6,0.6629834254143646,0.06773538044705352
susan,6,0.6629834254143646,0.06773538044705352
any,6,0.6629834254143646,0.06773538044705352
link,6,0.6629834254143646,0.06773538044705352
whitepower,6,0.6629834254143646,0.06773538044705352
email,6,0.6629834254143646,0.06773538044705352
west,6,0.6629834254143646,0.06773538044705352
woman,6,0.6629834254143646,0.06773538044705352
got,6,0.6629834254143646,0.06773538044705352
tem,6,0.6629834254143646,0.06773538044705352
sua,6,0.6629834254143646,0.06773538044705352
bible,6,0.6629834254143646,0.06773538044705352
revelation,6,0.6629834254143646,0.06773538044705352
through,6,0.6629834254143646,0.06773538044705352
done,6,0.6629834254143646,0.06773538044705352
😂,6,0.6629834254143646,0.06773538044705352
minha,6,0.6629834254143646,0.06773538044705352
part,6,0.6629834254143646,0.06773538044705352
his,6,0.6629834254143646,0.06773538044705352
look,6,0.6629834254143646,0.06773538044705352
httpsyoutubegzms4p3jxvs,6,0.6629834254143646,0.06773538044705352
send,6,0.6629834254143646,0.06773538044705352
didnt,6,0.6629834254143646,0.06773538044705352
our,6,0.6629834254143646,0.06773538044705352
quando,6,0.6629834254143646,0.06773538044705352
about,6,0.6629834254143646,0.06773538044705352
made,6,0.6629834254143646,0.06773538044705352
wish,6,0.6629834254143646,0.06773538044705352
website,6,0.6629834254143646,0.06773538044705352
…,6,0.6629834254143646,0.06773538044705352
ever,5,0.5524861878453038,0.05644615037254459
gente,5,0.5524861878453038,0.05644615037254459
evil,5,0.5524861878453038,0.05644615037254459
rap,5,0.5524861878453038,0.05644615037254459
never,5,0.5524861878453038,0.05644615037254459
dead,5,0.5524861878453038,0.05644615037254459
born,5,0.5524861878453038,0.05644615037254459
uma,5,0.5524861878453038,0.05644615037254459
check,5,0.5524861878453038,0.05644615037254459
when,5,0.5524861878453038,0.05644615037254459
assistance,5,0.5524861878453038,0.05644615037254459
sharing,5,0.5524861878453038,0.05644615037254459
soul,5,0.5524861878453038,0.05644615037254459
making,5,0.5524861878453038,0.05644615037254459
heart,5,0.5524861878453038,0.05644615037254459
se,5,0.5524861878453038,0.05644615037254459
still,5,0.5524861878453038,0.05644615037254459
em,5,0.5524861878453038,0.05644615037254459
2,5,0.5524861878453038,0.05644615037254459
than,5,0.5524861878453038,0.05644615037254459
were,5,0.5524861878453038,0.05644615037254459
going,5,0.5524861878453038,0.05644615037254459
httpalphajobinfosend33045,5,0.5524861878453038,0.05644615037254459
como,5,0.5524861878453038,0.05644615037254459
those,5,0.5524861878453038,0.05644615037254459
lol,5,0.5524861878453038,0.05644615037254459
repent,5,0.5524861878453038,0.05644615037254459
spirit,5,0.5524861878453038,0.05644615037254459
heaven,5,0.5524861878453038,0.05644615037254459
list,5,0.5524861878453038,0.05644615037254459
two,5,0.5524861878453038,0.05644615037254459
και,5,0.5524861878453038,0.05644615037254459
forgive,5,0.5524861878453038,0.05644615037254459
quer,5,0.5524861878453038,0.05644615037254459
attention,5,0.5524861878453038,0.05644615037254459
d,5,0.5524861878453038,0.05644615037254459
wanna,5,0.5524861878453038,0.05644615037254459
long,5,0.5524861878453038,0.05644615037254459
sent,5,0.5524861878453038,0.05644615037254459
body,5,0.5524861878453038,0.05644615037254459
win,5,0.5524861878453038,0.05644615037254459
❤❤❤❤,5,0.5524861878453038,0.05644615037254459
women,5,0.5524861878453038,0.05644615037254459
sin,5,0.5524861878453038,0.05644615037254459
ainda,5,0.5524861878453038,0.05644615037254459
perfect,5,0.5524861878453038,0.05644615037254459
bee,5,0.5524861878453038,0.05644615037254459
θα,5,0.5524861878453038,0.05644615037254459
face,5,0.5524861878453038,0.05644615037254459
já,5,0.5524861878453038,0.05644615037254459
implants,4,0.44198895027624313,0.045156920298035676
gaide,4,0.44198895027624313,0.045156920298035676
enjoy,4,0.44198895027624313,0.045156920298035676
told,4,0.44198895027624313,0.045156920298035676
kids,4,0.44198895027624313,0.045156920298035676
phone,4,0.44198895027624313,0.045156920298035676
give,4,0.44198895027624313,0.045156920298035676
beauty,4,0.44198895027624313,0.045156920298035676
fotos,4,0.44198895027624313,0.045156920298035676
purchase,4,0.44198895027624313,0.045156920298035676
over,4,0.44198895027624313,0.045156920298035676
rfid,4,0.44198895027624313,0.045156920298035676
person,4,0.44198895027624313,0.045156920298035676
convenient,4,0.44198895027624313,0.045156920298035676
even,4,0.44198895027624313,0.045156920298035676
maria,4,0.44198895027624313,0.045156920298035676
professor,4,0.44198895027624313,0.045156920298035676
dos,4,0.44198895027624313,0.045156920298035676
httpswwwalhasanycomvbshowthreadphp…,4,0.44198895027624313,0.045156920298035676
watch,4,0.44198895027624313,0.045156920298035676
youre,4,0.44198895027624313,0.045156920298035676
httpwwwnewdermalfillerscom,4,0.44198895027624313,0.045156920298035676
thanks,4,0.44198895027624313,0.045156920298035676
yes,4,0.44198895027624313,0.045156920298035676
had,4,0.44198895027624313,0.045156920298035676
n,4,0.44198895027624313,0.045156920298035676
só,4,0.44198895027624313,0.045156920298035676
51,4,0.44198895027624313,0.045156920298035676
dear,4,0.44198895027624313,0.045156920298035676
comwatchvqtb11p1fwnc,4,0.44198895027624313,0.045156920298035676
raised,4,0.44198895027624313,0.045156920298035676
down,4,0.44198895027624313,0.045156920298035676
jane,4,0.44198895027624313,0.045156920298035676
died,4,0.44198895027624313,0.045156920298035676
cool,4,0.44198895027624313,0.045156920298035676
team,4,0.44198895027624313,0.045156920298035676
address,4,0.44198895027624313,0.045156920298035676
savior,4,0.44198895027624313,0.045156920298035676
suck,4,0.44198895027624313,0.045156920298035676
cute,4,0.44198895027624313,0.045156920298035676
jackson,4,0.44198895027624313,0.045156920298035676
vagabunda,4,0.44198895027624313,0.045156920298035676
sure,4,0.44198895027624313,0.045156920298035676
knew,4,0.44198895027624313,0.045156920298035676
america,4,0.44198895027624313,0.045156920298035676
mrs,4,0.44198895027624313,0.045156920298035676
show,4,0.44198895027624313,0.045156920298035676
signs,4,0.44198895027624313,0.045156920298035676
exploit,4,0.44198895027624313,0.045156920298035676
anti,4,0.44198895027624313,0.045156920298035676
prayer,4,0.44198895027624313,0.045156920298035676
someone,4,0.44198895027624313,0.045156920298035676
media,4,0.44198895027624313,0.045156920298035676
week,4,0.44198895027624313,0.045156920298035676
real,4,0.44198895027624313,0.045156920298035676
virginia,4,0.44198895027624313,0.045156920298035676
beyhive,4,0.44198895027624313,0.045156920298035676
tube,4,0.44198895027624313,0.045156920298035676
moon,4,0.44198895027624313,0.045156920298035676
welcome,4,0.44198895027624313,0.045156920298035676
pharmaceutic,4,0.44198895027624313,0.045156920298035676
videoshareyoutube,4,0.44198895027624313,0.045156920298035676
feliz,4,0.44198895027624313,0.045156920298035676
again,4,0.44198895027624313,0.045156920298035676
idiot,4,0.44198895027624313,0.045156920298035676
hey,4,0.44198895027624313,0.045156920298035676
mp3,4,0.44198895027624313,0.045156920298035676
follow,4,0.44198895027624313,0.045156920298035676
tu,4,0.44198895027624313,0.045156920298035676
very,4,0.44198895027624313,0.045156920298035676
ter,4,0.44198895027624313,0.045156920298035676
blood,4,0.44198895027624313,0.045156920298035676
soon,4,0.44198895027624313,0.045156920298035676
always,4,0.44198895027624313,0.045156920298035676
basketball,4,0.44198895027624313,0.045156920298035676
feel,4,0.44198895027624313,0.045156920298035676
cade,4,0.44198895027624313,0.045156920298035676
also,4,0.44198895027624313,0.045156920298035676
essa,4,0.44198895027624313,0.045156920298035676
nothing,4,0.44198895027624313,0.045156920298035676
giving,4,0.44198895027624313,0.045156920298035676
last,4,0.44198895027624313,0.045156920298035676
understand,4,0.44198895027624313,0.045156920298035676
prices,4,0.44198895027624313,0.045156920298035676
taiwan,4,0.44198895027624313,0.045156920298035676
cadê,4,0.44198895027624313,0.045156920298035676
jewelry,4,0.44198895027624313,0.045156920298035676
into,4,0.44198895027624313,0.045156920298035676
injection,4,0.44198895027624313,0.045156920298035676
são,4,0.44198895027624313,0.045156920298035676
pope,4,0.44198895027624313,0.045156920298035676
magic,4,0.44198895027624313,0.045156920298035676
try,4,0.44198895027624313,0.045156920298035676
carter,4,0.44198895027624313,0.045156920298035676
power,4,0.44198895027624313,0.045156920298035676
then,4,0.44198895027624313,0.045156920298035676
let,4,0.44198895027624313,0.045156920298035676
ytube,4,0.44198895027624313,0.045156920298035676
querida,4,0.44198895027624313,0.045156920298035676
stop,4,0.44198895027624313,0.045156920298035676
sadowska,4,0.44198895027624313,0.045156920298035676
la,4,0.44198895027624313,0.045156920298035676
university,4,0.44198895027624313,0.045156920298035676
feast,4,0.44198895027624313,0.045156920298035676
their,4,0.44198895027624313,0.045156920298035676
botox,4,0.44198895027624313,0.045156920298035676
loves,4,0.44198895027624313,0.045156920298035676
jay,4,0.44198895027624313,0.045156920298035676
taiwanese,4,0.44198895027624313,0.045156920298035676
