status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
28940545600_10159805924495601,,,photo,https://www.facebook.com/beyonce/photos/a.10155522515345601.1073741899.28940545600/10159805924420601/?type=3,2017-11-26 20:29:39,19806,595,220,16953,2621,53,131,3,4,41
28940545600_10159805921005601,,,photo,https://www.facebook.com/beyonce/photos/a.10155522515345601.1073741899.28940545600/10159805920945601/?type=3,2017-11-26 20:28:52,23567,349,441,20134,3286,89,16,0,1,41
28940545600_10159796007875601,New Shop Beyoncé 2017 Holiday Capsule: shop.beyonce.com,Timeline Photos,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10159796007875601/?type=3,2017-11-24 15:00:00,11833,284,228,9774,1933,75,20,3,3,25
28940545600_10159793576020601,Happy Thiccsgiving. www.beyonce.com,Timeline Photos,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10159793576020601/?type=3,2017-11-23 21:46:23,31204,556,640,24619,6220,45,283,6,2,29
28940545600_10159784105765601,The Shop Beyoncé 2017 Holiday Capsule is available now: shop.beyonce.com,Photos from Beyoncé's post,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10159787222210601/?type=3,2017-11-22 15:14:08,21115,1232,736,17083,3687,236,71,5,9,24
28940545600_10159779970185601,#WorldChildrensDay x Chloe x Halle https://tidal.com/track/81012613,Timeline Photos,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10159779970185601/?type=3,2017-11-20 18:08:42,10410,198,337,8480,1854,49,7,3,0,17
28940545600_10159758176890601,Today is #NationalPhilanthropyDay and there are so many ways you can lend a hand to those in need. Visit beyonce.com/beygood to help.,,photo,https://www.facebook.com/beyonce/photos/a.10155522515345601.1073741899.28940545600/10159758175420601/?type=3,2017-11-15 19:10:14,12552,378,281,10149,2322,39,10,1,1,30
28940545600_10159739917375601,"20 YEARS OF ""NO, NO, NO""
www.beyonce.com",Timeline Photos,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10159739917375601/?type=3,2017-11-11 15:12:28,90596,1808,2561,71542,17153,1685,137,17,4,58
28940545600_10159718048290601,,Timeline Photos,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10159718048290601/?type=3,2017-11-06 13:23:57,13504,283,306,10586,1638,25,4,1205,12,34
28940545600_10159693636920601,#TheLionKing 2019.,,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10159693635960601/?type=3,2017-11-01 17:30:00,942269,145810,309210,643611,240038,56625,1236,263,355,141
28940545600_10159674690220601,,,photo,https://www.facebook.com/beyonce/photos/a.10155522515345601.1073741899.28940545600/10159674690155601/?type=3,2017-10-28 11:58:55,29491,488,524,24028,5317,81,16,2,5,42
28940545600_10159659745235601,"""Prince: A Private View"" is on stands now: http://amzn.to/2z60qiw",,photo,https://www.facebook.com/beyonce/photos/a.10155522515345601.1073741899.28940545600/10159659745200601/?type=3,2017-10-24 20:35:45,18273,468,674,15101,2863,236,17,20,2,34
28940545600_10159628716380601,Tune in to TIDAL X Brooklyn tonight and donate what you can to those affected by natural disasters around the world. TIDAL.com/Brooklyn,,video,https://www.facebook.com/beyonce/videos/10159628716380601/,2017-10-17 18:30:01,15039,394,509,11987,2913,81,13,2,3,40
28940545600_1738873386408327,"Today is #DayoftheGirl. Girls around the world are fighting for their freedom every day. Join me, Chime for Change, and The Global Goals by taking action for #FreedomForGirls now: www.globalgoals.org/dayofthegirl",Freedom - International Day of the Girl,video,https://www.facebook.com/beyonce/videos/1738873386408327/,2017-10-11 13:00:00,135695,3065,78844,95632,38864,1015,51,58,18,57
28940545600_10159598644790601,15 YEARS OF '03 BONNIE & CLYDE www.beyonce.com,,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10159598640535601/?type=3,2017-10-10 16:09:21,50196,886,1418,38857,10647,565,51,6,4,66
28940545600_10159589058435601,,,video,https://www.facebook.com/beyonce/videos/10159589058435601/,2017-10-08 13:05:20,67138,908,1862,51657,14956,322,132,4,3,64
28940545600_10159567551725601,Our brothers and sisters in Puerto Rico need our help. Shop TIDAL​'s registry to get much needed supplies to them: tdl.sh/PuertoRico-Registry,,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10159567550740601/?type=3,2017-10-03 17:14:44,14972,389,1041,12524,2288,63,8,35,2,52
