author_name,frequency,frequencyPer100Comment
Freak,30,1.5520
Daniel,29,1.5003
Michael,21,1.0864
David,17,0.8795
Brian,12,0.6208
Jeff,11,0.5691
Chris,11,0.5691
Alex,11,0.5691
Martin,10,0.5173
Kevin,10,0.5173
Robert,9,0.4656
Ryan,9,0.4656
Craig,9,0.4656
Jason,9,0.4656
Tom,8,0.4139
Matt,8,0.4139
John,8,0.4139
Diego,8,0.4139
Jonathan,8,0.4139
Juan,8,0.4139
Paul,7,0.3621
Jan,7,0.3621
Julian,7,0.3621
Patrick,7,0.3621
Ali,7,0.3621
Laura,7,0.3621
Thomas,6,0.3104
Matthew,6,0.3104
Jennifer,6,0.3104
Nicole,6,0.3104
Nigel,6,0.3104
Ahmed,6,0.3104
Rachel,6,0.3104
Maria,6,0.3104
Mark,6,0.3104
Mike,6,0.3104
Rob,6,0.3104
Bashar,6,0.3104
Sandy,5,0.2587
Francesco,5,0.2587
Christina,5,0.2587
Ben,5,0.2587
Lisa,5,0.2587
Sam,5,0.2587
Caroline,5,0.2587
Peter,5,0.2587
Stephen,5,0.2587
Michelle,5,0.2587
Paula,5,0.2587
Shivaprasad,5,0.2587
Danny,5,0.2587
Mary,5,0.2587
Dave,5,0.2587
Anthony,5,0.2587
Tony,5,0.2587
Scott,5,0.2587
Dan,4,0.2069
Virgílio,4,0.2069
Simo,4,0.2069
George,4,0.2069
Darren,4,0.2069
Rick,4,0.2069
Alan,4,0.2069
Charlie,4,0.2069
Hasan,4,0.2069
Victor,4,0.2069
Hedi,4,0.2069
Katie,4,0.2069
Adam,4,0.2069
Amjad,4,0.2069
Rodrigo,4,0.2069
Jesus,4,0.2069
Erin,4,0.2069
Simone,4,0.2069
Espedita,4,0.2069
Rohan,4,0.2069
Richard,4,0.2069
Justin,4,0.2069
Nada,4,0.2069
Driss,4,0.2069
Alejandro,4,0.2069
Alessandro,4,0.2069
Tim,4,0.2069
Luke,4,0.2069
Phillip,4,0.2069
Julie,4,0.2069
Max,4,0.2069
Ricardo,4,0.2069
Samantha,4,0.2069
Simon,4,0.2069
Brandon,4,0.2069
Jake,4,0.2069
Heather,4,0.2069
Andreas,3,0.1552
Jim,3,0.1552
Oday,3,0.1552
Diksha,3,0.1552
Kimberly,3,0.1552
Giovanni,3,0.1552
Vanessa,3,0.1552
Francesca,3,0.1552
Stav,3,0.1552
Seamus,3,0.1552
Nicola,3,0.1552
Jordan,3,0.1552
Jack,3,0.1552
Joel,3,0.1552
Marcel,3,0.1552
Gonzalo,3,0.1552
Domenico,3,0.1552
Pedro,3,0.1552
Ashley,3,0.1552
Ken,3,0.1552
Deepak,3,0.1552
El,3,0.1552
Gianni,3,0.1552
Eric,3,0.1552
Amy,3,0.1552
Alexander,3,0.1552
Fernando,3,0.1552
Sylvia,3,0.1552
Christian,3,0.1552
Seif,3,0.1552
Dennis,3,0.1552
Sarah,3,0.1552
Ahmad,3,0.1552
Matthias,3,0.1552
Denise,3,0.1552
Emma,3,0.1552
Aditya,3,0.1552
Nabil,3,0.1552
Jovana,3,0.1552
Phil,3,0.1552
Niels,3,0.1552
Donna,3,0.1552
Travis,3,0.1552
Greg,3,0.1552
Manuel,3,0.1552
Joe,3,0.1552
Nicholas,3,0.1552
Rafael,3,0.1552
Krishna,3,0.1552
Angel,3,0.1552
Sergio,3,0.1552
