token,count,frequencyPer100Comment,frequencyPer100Token
the,240,12.4159,2.1706
a,175,9.0533,1.5827
i,173,8.9498,1.5646
to,147,7.6048,1.3295
,136,7.0357,1.2300
and,133,6.8805,1.2029
is,128,6.6218,1.1576
it,117,6.0528,1.0582
of,106,5.4837,0.9587
in,100,5.1733,0.9044
you,73,3.7765,0.6602
was,63,3.2592,0.5698
that,62,3.2074,0.5607
its,61,3.1557,0.5517
saul,60,3.1040,0.5426
mike,60,3.1040,0.5426
show,56,2.8971,0.5065
this,55,2.8453,0.4974
bad,52,2.6901,0.4703
for,52,2.6901,0.4703
not,51,2.6384,0.4612
on,49,2.5349,0.4432
breaking,48,2.4832,0.4341
be,45,2.3280,0.4070
better,43,2.2245,0.3889
just,43,2.2245,0.3889
but,43,2.2245,0.3889
like,42,2.1728,0.3798
as,40,2.0693,0.3618
so,39,2.0176,0.3527
with,39,2.0176,0.3527
my,38,1.9659,0.3437
he,38,1.9659,0.3437
have,37,1.9141,0.3346
call,33,1.7072,0.2985
de,33,1.7072,0.2985
season,33,1.7072,0.2985
they,32,1.6555,0.2894
we,32,1.6555,0.2894
are,32,1.6555,0.2894
watch,31,1.6037,0.2804
your,31,1.6037,0.2804
up,31,1.6037,0.2804
if,30,1.5520,0.2713
me,29,1.5003,0.2623
what,29,1.5003,0.2623
no,28,1.4485,0.2532
one,28,1.4485,0.2532
bb,28,1.4485,0.2532
when,27,1.3968,0.2442
can,27,1.3968,0.2442
watching,26,1.3451,0.2351
good,26,1.3451,0.2351
all,25,1.2933,0.2261
see,25,1.2933,0.2261
walter,25,1.2933,0.2261
out,25,1.2933,0.2261
gus,24,1.2416,0.2171
his,24,1.2416,0.2171
love,23,1.1899,0.2080
new,22,1.1381,0.1990
episode,22,1.1381,0.1990
walt,22,1.1381,0.1990
best,21,1.0864,0.1899
time,21,1.0864,0.1899
now,21,1.0864,0.1899
really,21,1.0864,0.1899
dont,21,1.0864,0.1899
im,20,1.0347,0.1809
la,20,1.0347,0.1809
bcs,20,1.0347,0.1809
had,19,0.9829,0.1718
man,19,0.9829,0.1718
first,19,0.9829,0.1718
lol,19,0.9829,0.1718
did,18,0.9312,0.1628
get,18,0.9312,0.1628
who,18,0.9312,0.1628
an,18,0.9312,0.1628
character,17,0.8795,0.1537
guy,17,0.8795,0.1537
3,17,0.8795,0.1537
at,17,0.8795,0.1537
him,17,0.8795,0.1537
about,17,0.8795,0.1537
too,16,0.8277,0.1447
there,16,0.8277,0.1447
que,16,0.8277,0.1447
will,16,0.8277,0.1447
well,16,0.8277,0.1447
would,15,0.7760,0.1357
how,15,0.7760,0.1357
wait,15,0.7760,0.1357
same,15,0.7760,0.1357
watched,15,0.7760,0.1357
more,15,0.7760,0.1357
😂,15,0.7760,0.1357
why,15,0.7760,0.1357
cant,14,0.7243,0.1266
die,14,0.7243,0.1266
think,14,0.7243,0.1266
know,14,0.7243,0.1266
got,13,0.6725,0.1176
do,13,0.6725,0.1176
much,13,0.6725,0.1176
white,13,0.6725,0.1176
again,13,0.6725,0.1176
jordan,13,0.6725,0.1176
😎,13,0.6725,0.1176
back,13,0.6725,0.1176
from,13,0.6725,0.1176
great,13,0.6725,0.1176
los,13,0.6725,0.1176
david,13,0.6725,0.1176
ever,12,0.6208,0.1085
here,12,0.6208,0.1085
series,12,0.6208,0.1085
or,12,0.6208,0.1085
easter,12,0.6208,0.1085
michael,12,0.6208,0.1085
heisenberg,12,0.6208,0.1085
after,11,0.5691,0.0995
daniel,11,0.5691,0.0995
tom,11,0.5691,0.0995
been,11,0.5691,0.0995
has,11,0.5691,0.0995
o,11,0.5691,0.0995
egg,11,0.5691,0.0995
jimmy,11,0.5691,0.0995
serie,11,0.5691,0.0995
us,11,0.5691,0.0995
thats,11,0.5691,0.0995
alex,11,0.5691,0.0995
loved,11,0.5691,0.0995
should,11,0.5691,0.0995
jesse,11,0.5691,0.0995
francesco,10,0.5173,0.0904
even,10,0.5173,0.0904
them,10,0.5173,0.0904
sticker,10,0.5173,0.0904
pollos,10,0.5173,0.0904
only,10,0.5173,0.0904
episodes,10,0.5173,0.0904
el,10,0.5173,0.0904
shows,10,0.5173,0.0904
2,10,0.5173,0.0904
hermanos,10,0.5173,0.0904
6,10,0.5173,0.0904
day,10,0.5173,0.0904
need,10,0.5173,0.0904
van,10,0.5173,0.0904
other,10,0.5173,0.0904
thing,9,0.4656,0.0814
then,9,0.4656,0.0814
where,9,0.4656,0.0814
still,9,0.4656,0.0814
en,9,0.4656,0.0814
je,9,0.4656,0.0814
ok,9,0.4656,0.0814
tv,9,0.4656,0.0814
knows,9,0.4656,0.0814
miss,9,0.4656,0.0814
série,9,0.4656,0.0814
alexander,9,0.4656,0.0814
available,9,0.4656,0.0814
location,9,0.4656,0.0814
d,9,0.4656,0.0814
into,9,0.4656,0.0814
almost,9,0.4656,0.0814
sauls,8,0.4139,0.0724
content,8,0.4139,0.0724
already,8,0.4139,0.0724
right,8,0.4139,0.0724
awesome,8,0.4139,0.0724
se,8,0.4139,0.0724
james,8,0.4139,0.0724
slow,8,0.4139,0.0724
being,8,0.4139,0.0724
hes,8,0.4139,0.0724
since,8,0.4139,0.0724
most,8,0.4139,0.0724
luke,8,0.4139,0.0724
go,8,0.4139,0.0724
page,8,0.4139,0.0724
getting,8,0.4139,0.0724
things,7,0.3621,0.0633
youre,7,0.3621,0.0633
people,7,0.3621,0.0633
ich,7,0.3621,0.0633
down,7,0.3621,0.0633
way,7,0.3621,0.0633
desde,7,0.3621,0.0633
gotta,7,0.3621,0.0633
estoy,7,0.3621,0.0633
ive,7,0.3621,0.0633
real,7,0.3621,0.0633
also,7,0.3621,0.0633
whole,7,0.3621,0.0633
some,7,0.3621,0.0633
martin,7,0.3621,0.0633
few,7,0.3621,0.0633
un,7,0.3621,0.0633
didnt,7,0.3621,0.0633
something,7,0.3621,0.0633
😂😂,7,0.3621,0.0633
looks,7,0.3621,0.0633
thought,7,0.3621,0.0633
could,6,0.3104,0.0543
end,6,0.3104,0.0543
don,6,0.3104,0.0543
m,6,0.3104,0.0543
😂😂😂,6,0.3104,0.0543
make,6,0.3104,0.0543
characters,6,0.3104,0.0543
yes,6,0.3104,0.0543
yet,6,0.3104,0.0543
cranston,6,0.3104,0.0543
1,6,0.3104,0.0543
si,6,0.3104,0.0543
than,6,0.3104,0.0543
were,6,0.3104,0.0543
kevin,6,0.3104,0.0543
goodman,6,0.3104,0.0543
sure,6,0.3104,0.0543
luego,6,0.3104,0.0543
going,6,0.3104,0.0543
bryan,6,0.3104,0.0543
favorite,6,0.3104,0.0543
start,6,0.3104,0.0543
am,6,0.3104,0.0543
5,6,0.3104,0.0543
lawyer,6,0.3104,0.0543
two,6,0.3104,0.0543
coming,6,0.3104,0.0543
isnt,6,0.3104,0.0543
hard,6,0.3104,0.0543
p,6,0.3104,0.0543
robert,6,0.3104,0.0543
done,6,0.3104,0.0543
😉,6,0.3104,0.0543
last,6,0.3104,0.0543
look,6,0.3104,0.0543
e,6,0.3104,0.0543
entire,6,0.3104,0.0543
havent,6,0.3104,0.0543
use,6,0.3104,0.0543
le,6,0.3104,0.0543
both,6,0.3104,0.0543
become,6,0.3104,0.0543
because,6,0.3104,0.0543
own,6,0.3104,0.0543
every,5,0.2587,0.0452
jack,5,0.2587,0.0452
told,5,0.2587,0.0452
never,5,0.2587,0.0452
want,5,0.2587,0.0452
times,5,0.2587,0.0452
over,5,0.2587,0.0452
break,5,0.2587,0.0452
went,5,0.2587,0.0452
fring,5,0.2587,0.0452
seen,5,0.2587,0.0452
di,5,0.2587,0.0452
said,5,0.2587,0.0452
memorial,5,0.2587,0.0452
thanks,5,0.2587,0.0452
check,5,0.2587,0.0452
died,5,0.2587,0.0452
laura,5,0.2587,0.0452
lukas,5,0.2587,0.0452
brilliant,5,0.2587,0.0452
maybe,5,0.2587,0.0452
half,5,0.2587,0.0452
killed,5,0.2587,0.0452
yeah,5,0.2587,0.0452
gonzalez,5,0.2587,0.0452
xd,5,0.2587,0.0452
danny,5,0.2587,0.0452
take,5,0.2587,0.0452
later,5,0.2587,0.0452
come,5,0.2587,0.0452
many,5,0.2587,0.0452
those,5,0.2587,0.0452
patrick,5,0.2587,0.0452
u,5,0.2587,0.0452
very,5,0.2587,0.0452
fan,5,0.2587,0.0452
ma,5,0.2587,0.0452
salvador,5,0.2587,0.0452
der,5,0.2587,0.0452
sense,5,0.2587,0.0452
court,5,0.2587,0.0452
always,5,0.2587,0.0452
reason,5,0.2587,0.0452
measures,5,0.2587,0.0452
seasons,5,0.2587,0.0452
thomas,5,0.2587,0.0452
pretty,5,0.2587,0.0452
c,5,0.2587,0.0452
jeff,5,0.2587,0.0452
anthony,5,0.2587,0.0452
acuerdo,5,0.2587,0.0452
von,5,0.2587,0.0452
by,5,0.2587,0.0452
netflix,5,0.2587,0.0452
katie,5,0.2587,0.0452
nice,5,0.2587,0.0452
totalmente,5,0.2587,0.0452
next,5,0.2587,0.0452
brian,5,0.2587,0.0452
our,5,0.2587,0.0452
keep,5,0.2587,0.0452
scene,5,0.2587,0.0452
course,5,0.2587,0.0452
vince,5,0.2587,0.0452
off,5,0.2587,0.0452
paul,5,0.2587,0.0452
alejandro,5,0.2587,0.0452
francesca,4,0.2069,0.0362
haha,4,0.2069,0.0362
kumar,4,0.2069,0.0362
work,4,0.2069,0.0362
ik,4,0.2069,0.0362
skyler,4,0.2069,0.0362
jacob,4,0.2069,0.0362
chuck,4,0.2069,0.0362
mean,4,0.2069,0.0362
god,4,0.2069,0.0362
kim,4,0.2069,0.0362
another,4,0.2069,0.0362
👍,4,0.2069,0.0362
spoiler,4,0.2069,0.0362
ahmed,4,0.2069,0.0362
mind,4,0.2069,0.0362
marie,4,0.2069,0.0362
definitely,4,0.2069,0.0362
