token,frequency
the,240
a,175
i,173
to,147
,136
and,133
is,128
it,117
of,106
in,100
you,73
was,63
that,62
its,61
saul,60
mike,60
show,56
this,55
bad,52
for,52
not,51
on,49
breaking,48
be,45
better,43
just,43
but,43
like,42
as,40
so,39
with,39
my,38
he,38
have,37
call,33
de,33
season,33
they,32
we,32
are,32
watch,31
your,31
up,31
if,30
me,29
what,29
no,28
one,28
bb,28
when,27
can,27
watching,26
good,26
all,25
see,25
walter,25
out,25
gus,24
his,24
love,23
new,22
episode,22
walt,22
best,21
time,21
now,21
really,21
dont,21
im,20
la,20
bcs,20
had,19
man,19
first,19
lol,19
did,18
get,18
who,18
an,18
character,17
guy,17
3,17
at,17
him,17
about,17
too,16
there,16
que,16
will,16
well,16
would,15
how,15
wait,15
same,15
watched,15
more,15
😂,15
why,15
cant,14
die,14
think,14
know,14
got,13
do,13
much,13
white,13
again,13
jordan,13
😎,13
back,13
from,13
great,13
los,13
david,13
ever,12
here,12
series,12
or,12
easter,12
michael,12
heisenberg,12
after,11
daniel,11
tom,11
been,11
has,11
o,11
egg,11
jimmy,11
serie,11
us,11
thats,11
alex,11
loved,11
should,11
jesse,11
francesco,10
even,10
them,10
sticker,10
pollos,10
only,10
episodes,10
el,10
shows,10
2,10
hermanos,10
6,10
day,10
need,10
van,10
other,10
thing,9
then,9
where,9
still,9
en,9
je,9
ok,9
tv,9
knows,9
miss,9
série,9
alexander,9
available,9
location,9
d,9
into,9
almost,9
sauls,8
content,8
already,8
right,8
awesome,8
se,8
james,8
slow,8
being,8
hes,8
since,8
most,8
luke,8
go,8
page,8
getting,8
things,7
youre,7
people,7
ich,7
down,7
way,7
desde,7
gotta,7
estoy,7
ive,7
real,7
also,7
whole,7
some,7
martin,7
few,7
un,7
didnt,7
something,7
😂😂,7
looks,7
thought,7
could,6
end,6
don,6
m,6
😂😂😂,6
make,6
characters,6
yes,6
yet,6
cranston,6
1,6
si,6
than,6
were,6
kevin,6
goodman,6
sure,6
luego,6
going,6
bryan,6
favorite,6
start,6
am,6
5,6
lawyer,6
two,6
coming,6
isnt,6
hard,6
p,6
robert,6
done,6
😉,6
last,6
look,6
e,6
entire,6
havent,6
use,6
le,6
both,6
become,6
because,6
own,6
every,5
jack,5
told,5
never,5
want,5
times,5
over,5
break,5
went,5
fring,5
seen,5
di,5
said,5
memorial,5
thanks,5
check,5
died,5
laura,5
lukas,5
brilliant,5
maybe,5
half,5
killed,5
yeah,5
gonzalez,5
xd,5
danny,5
take,5
later,5
come,5
many,5
those,5
patrick,5
u,5
very,5
fan,5
ma,5
salvador,5
der,5
sense,5
court,5
always,5
reason,5
measures,5
seasons,5
thomas,5
pretty,5
c,5
jeff,5
anthony,5
acuerdo,5
von,5
by,5
netflix,5
katie,5
nice,5
totalmente,5
next,5
brian,5
our,5
keep,5
scene,5
course,5
vince,5
off,5
paul,5
alejandro,5
francesca,4
haha,4
kumar,4
work,4
ik,4
skyler,4
jacob,4
chuck,4
mean,4
god,4
kim,4
another,4
👍,4
spoiler,4
ahmed,4
mind,4
marie,4
definitely,4
came,4
da,4
omg,4
ww,4
tony,4
binge,4
catch,4
left,4
jose,4
prison,4
old,4
knew,4
super,4
live,4
memory,4
today,4
criminal,4
such,4
guys,4
brain,4
spinoff,4
group,4
year,4
es,4
george,4
anyone,4
stupid,4
temporada,4
trip,4
week,4
without,4
thinking,4
seems,4
4,4
read,4
ce,4
gomorrah,4
al,4
chris,4
follow,4
family,4
del,4
might,4
missed,4
guess,4
😍,4
florian,4
abdullah,4
find,4
mehdi,4
leon,4
mitchell,4
theres,4
ruth,4
marco,4
pietro,4
far,4
simon,4
ryan,4
try,4
piper,4
waiting,4
let,4
started,4
gabriel,4
😍😍😍,4
realized,4
badger,4
lo,4
jesus,4
their,4
exactly,4
boring,4
chapman,4
which,4
meant,4
she,4
written,4
restrictions,4
tshirt,4
hahaha,4
matthew,4
ha,4
made,4
wish,4
starting,4
pride,3
direct,3
net,3
join,3
total,3
until,3
hurt,3
excelente,3
amazing,3
third,3
before,3
fix,3
imo,3
luca,3
carlos,3
mason,3
little,3
starts,3
marcus,3
é,3
👀,3
scenes,3
though,3
y,3
saying,3
du,3
bag,3
boss,3
una,3
flores,3
lovely,3
life,3
id,3
mother,3
fantastic,3
theyre,3
dead,3
cosplayer,3
post,3
whats,3
music,3
true,3
moore,3
ne,3
tim,3
mira,3
ward,3
ver,3
everything,3
word,3
exact,3
solved,3
regeneration,3
dude,3
andy,3
wouldnt,3
making,3
hasan,3
mas,3
may,3
hassan,3
years,3
tula,3
mais,3
interesting,3
happened,3
non,3
wont,3
name,3
fabian,3
nicht,3
xx,3
broadcast,3
12,3
lmao,3
não,3
aller,3
craig,3
say,3
saw,3
any,3
gustavo,3
walking,3
shot,3
crime,3
black,3
samuel,3
cannot,3
celebrate,3
ahmad,3
through,3
amanda,3
matteo,3
thrilling,3
job,3
mann,3
por,3
marc,3
mark,3
lia,3
these,3
ya,3
finish,3
amc,3
gonna,3
world,3
christina,3
either,3
her,3
lot,3
varun,3
nuñez,3
agree,3
jeremy,3
walker,3
wife,3
ali,3
gupta,3
aaron,3
te,3
roy,3
harry,3
richard,3
vamos,3
belize,3
khan,3
chucks,3
ça,3
cantaluppi,3
geographic,3
soon,3
actually,3
leticia,3
easily,3
stopped,3
everyone,3
research,3
put,3
sanchez,3
fabien,3
part,3
😃,3
😁,3
schon,3
gotten,3
wasnt,3
gilligan,3
antonio,3
ratings,3
towards,3
randy,3
8,3
hit,3
close,3
movie,3
probably,3
nope,3
missing,3
became,3
pieri,3
georgia,3
straight,3
hated,3
maria,3
big,3
epic,3
leonel,3
anything,3
brasil,3
murphy,3
lydia,3
nick,3
favourite,3
steve,3
video,3
makes,3
crap,3
smailes,3
nicolás,3
l,3
che,3
perfect,3
suggestslook,3
completely,3
stimulate,3
spannend,3
able,3
pete,3
petros,3
fact,3
chicken,3
hector,3
gray,3
gerardo,3
taking,3
jajaja,3
gets,3
dan,3
broccoli,3
incredible,3
cameo,3
point,3
patricia,3
does,3
httpwwwmrhealthyworldcom20170420broccolicanstimulatebrainregenerationnewresearchsuggestslookhow,3
wesley,3
stay,3
tag,3
diego,3
monday,3
kinda,3
gesehen,2
hate,2
guerrero,2
edward,2
hedi,2
likely,2
cesar,2
abogado,2
seth,2
tercera,2
met,2
protection,2
kids,2
juarez,2
criminals,2
ellos,2
goran,2
oscar,2
phone,2
vpn,2
vou,2
mi,2
give,2
هانك,2
😱😱,2
villalobos,2
writers,2
elizabeth,2
mess,2
🖒,2
seamus,2
restriction,2
bella,2
writing,2
weeks,2
band,2
hiring,2
شكد,2
riesco,2
httpstsprngcbreakingbadjune2017,2
kerim,2
diana,2
kiris,2
nunca,2
smh,2
days,2
