status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
5550296508_10157635510656509,"The news of possibly replacing Rex Tillerson comes at a time when President Donald J. Trump is deeply frustrated with his secretary of state, a source said","White House wanted to publicly shame Tillerson, source says",link,http://cnn.it/2jAUWlt,2017-11-30 18:29:02,1693,824,158,738,14,101,442,56,324,18
5550296508_10157635507931509,"Lindsey Graham today: ""What concerns me about the American press is this endless, endless attempt to label [Trump] as some kind of kook, not fit to be President.""

Lindsey Graham in 2016: “I think he’s a kook. I think he’s crazy. I think he’s unfit for office.”","Graham on Trump in 2016, vs. Today",video,https://www.facebook.com/cnn/videos/10157635507931509/,2017-11-30 18:28:42,49582,7746,47449,21594,830,2489,23028,282,1336,23
5550296508_10157635392951509,"We are doing just fine. Unless you’re in a US embassy bracing for an attack or the parent of a Muslim-American child, says CNN's Jake Tapper following President Donald J. Trump's anti-Muslim retweets http://cnn.it/2AfTMG9",CNN's Jake Tapper on Trump's retweets,video,https://www.facebook.com/cnn/videos/10157635392951509/,2017-11-30 18:02:00,4915,1245,1181,3113,68,149,212,729,633,11
5550296508_10157635264591509,"3. ""This is going to cost me a fortune, this thing, believe me. Believe -- This is not good for me.""

From what we know, President Donald J. Trump and his family almost certainly would not be hit hard by the plan",5 false or misleading things Trump said in his tax speech,link,http://cnn.it/2AnQ3V4,2017-11-30 17:32:36,3727,1735,906,1640,33,83,427,76,1450,18
5550296508_10157635149456509,Chinese actress Liu Yifei has scored the title role,Disney finds lead for live-action 'Mulan',link,http://cnn.it/2AiZo2s,2017-11-30 17:02:28,4135,269,222,3585,439,81,12,2,7,9
5550296508_10157635074216509,"Roth is retiring months after criticizing travel ban in an unreleased report. He wrote that he was ""very troubled"" by the department's efforts to stop the report's release.",Homeland security inspector general retires amid flap over travel ban report,link,http://cnn.it/2AnNeDs,2017-11-30 16:32:12,368,71,37,271,24,38,15,7,9,4
5550296508_10157634969586509,"Sign-ups are running ahead of last year, but they'd have to pick up the pace a lot to match last year's count",Obamacare enrollment could fall millions short for 2018,link,http://cnn.it/2i6jFOi,2017-11-30 16:00:26,571,355,102,319,32,18,103,71,18,10
5550296508_10157634858681509,"JUST IN: Jim Nabors, best known for the character of Gomer Pyle on ""The Andy Griffith Show,"" has died, a family friend says. He was 87.","Jim Nabors, who played Gomer Pyle on 'The Andy Griffith Show,' dead at 87",link,http://cnn.it/2AlKNB6,2017-11-30 15:25:10,3299,383,758,931,109,55,6,2185,5,8
5550296508_10157634762646509,We’re at The White House with press secretary Sarah Sanders,,video,https://www.facebook.com/cnn/videos/10157634762646509/,2017-11-30 15:18:32,5904,5395,298,1346,405,72,283,93,3695,10
5550296508_10157634780821509,"So far, American Airlines hasn't canceled any flights and is offering pilots 150% of their hourly pay if they help out","American Airlines: ""Only a few hundred"" December flights don't have pilots",link,http://cnn.it/2Afeztn,2017-11-30 15:00:07,847,98,88,615,19,119,80,2,5,7
