author_name,frequency,frequencyPer100Comment
Lou,151,6.3022
Chris,38,1.5860
Michael,37,1.5442
Josh,36,1.5025
Ryan,31,1.2938
David,26,1.0851
Joseph,24,1.0017
James,23,0.9599
Patrick,20,0.8347
Jason,19,0.7930
Adam,18,0.7513
Matt,18,0.7513
John,18,0.7513
Mike,18,0.7513
Alex,18,0.7513
Cody,17,0.7095
Shane,16,0.6678
Spencer,15,0.6260
Jordan,14,0.5843
Will,14,0.5843
Brock,14,0.5843
Justin,14,0.5843
Kevin,13,0.5426
Sam,13,0.5426
Daniel,13,0.5426
Hailey,12,0.5008
Dumsani,12,0.5008
Cameron,12,0.5008
Edward,12,0.5008
Nick,11,0.4591
Matthew,11,0.4591
Tyler,11,0.4591
Andrew,11,0.4591
Marco,10,0.4174
Paulo,10,0.4174
Steven,10,0.4174
Anthony,10,0.4174
Mark,10,0.4174
Austin,10,0.4174
Tom,9,0.3756
Ben,9,0.3756
Jesse,9,0.3756
Thomas,8,0.3339
Tim,8,0.3339
Dylan,8,0.3339
Kyle,8,0.3339
Javier,8,0.3339
Jeremy,8,0.3339
Shannon,8,0.3339
Brandon,8,0.3339
Rob,8,0.3339
Shawn,8,0.3339
Dan,7,0.2922
Ali,7,0.2922
Brogen,7,0.2922
Wheeler,7,0.2922
Jamie,7,0.2922
Alexander,7,0.2922
Caleb,7,0.2922
Leslie,7,0.2922
Brent,7,0.2922
Danny,7,0.2922
Katie,7,0.2922
Chase,6,0.2504
Charlie,6,0.2504
Brian,6,0.2504
Joel,6,0.2504
Artemis,6,0.2504
Csaba,6,0.2504
Angel,6,0.2504
Phil,6,0.2504
Marcus,6,0.2504
Zach,6,0.2504
Christopher,6,0.2504
Kim,6,0.2504
Jonathan,6,0.2504
Jimmy,6,0.2504
Eddy,5,0.2087
Antonio,5,0.2087
Victor,5,0.2087
Stan,5,0.2087
Muhammad,5,0.2087
Sara,5,0.2087
Carlos,5,0.2087
Luis,5,0.2087
Eric,5,0.2087
Christian,5,0.2087
Branden,5,0.2087
Alan,5,0.2087
Jc,5,0.2087
Manuel,5,0.2087
Nicholas,5,0.2087
Kenny,5,0.2087
Gerald,5,0.2087
Tony,5,0.2087
Hector,5,0.2087
Kolby,4,0.1669
Wayne,4,0.1669
Joshua,4,0.1669
Noah,4,0.1669
George,4,0.1669
Mitch,4,0.1669
Robert,4,0.1669
Connor,4,0.1669
Nathan,4,0.1669
Joey,4,0.1669
Hammam,4,0.1669
Matti,4,0.1669
Nikki,4,0.1669
Benjamin,4,0.1669
Drew,4,0.1669
Liam,4,0.1669
Tevin,4,0.1669
Oliver,4,0.1669
Angela,4,0.1669
Kimberly,4,0.1669
Shaun,4,0.1669
Stephen,4,0.1669
Jay,4,0.1669
Quinten,4,0.1669
Marc,4,0.1669
Darken,4,0.1669
Romain,4,0.1669
Danielle,4,0.1669
Aaron,4,0.1669
Adrian,4,0.1669
Jeff,4,0.1669
Jose,4,0.1669
Lexie,4,0.1669
Charles,4,0.1669
