token,count,frequencyPer100Comment,frequencyPer100Token
the,1291,53.8815,2.9062
to,891,37.1870,2.0057
you,884,36.8948,1.9900
a,873,36.4357,1.9652
and,845,35.2671,1.9022
i,623,26.0017,1.4024
is,619,25.8347,1.3934
he,613,25.5843,1.3799
of,558,23.2888,1.2561
his,541,22.5793,1.2178
on,487,20.3255,1.0963
that,450,18.7813,1.0130
it,395,16.4858,0.8892
like,377,15.7346,0.8487
with,337,14.0651,0.7586
eminem,332,13.8564,0.7474
not,326,13.6060,0.7339
in,326,13.6060,0.7339
are,306,12.7713,0.6888
but,298,12.4374,0.6708
this,294,12.2705,0.6618
album,269,11.2270,0.6055
be,268,11.1853,0.6033
,267,11.1436,0.6010
just,267,11.1436,0.6010
for,264,11.0184,0.5943
was,262,10.9349,0.5898
about,225,9.3907,0.5065
so,223,9.3072,0.5020
all,223,9.3072,0.5020
features,221,9.2237,0.4975
your,213,8.8898,0.4795
if,208,8.6811,0.4682
what,205,8.5559,0.4615
its,200,8.3472,0.4502
have,198,8.2638,0.4457
him,195,8.1386,0.4390
hes,182,7.5960,0.4097
people,179,7.4708,0.4029
music,177,7.3873,0.3984
as,172,7.1786,0.3872
em,172,7.1786,0.3872
dont,166,6.9282,0.3737
song,160,6.6778,0.3602
when,157,6.5526,0.3534
fan,155,6.4691,0.3489
or,153,6.3856,0.3444
out,152,6.3439,0.3422
shit,150,6.2604,0.3377
has,148,6.1770,0.3332
up,139,5.8013,0.3129
no,137,5.7179,0.3084
still,134,5.5927,0.3016
fuck,133,5.5509,0.2994
lol,130,5.4257,0.2926
one,129,5.3840,0.2904
an,129,5.3840,0.2904
how,128,5.3422,0.2881
do,125,5.2170,0.2814
will,125,5.2170,0.2814
can,121,5.0501,0.2724
listen,120,5.0083,0.2701
rap,114,4.7579,0.2566
because,110,4.5910,0.2476
good,108,4.5075,0.2431
know,107,4.4658,0.2409
they,106,4.4240,0.2386
songs,106,4.4240,0.2386
even,102,4.2571,0.2296
me,101,4.2154,0.2274
my,100,4.1736,0.2251
more,99,4.1319,0.2229
im,99,4.1319,0.2229
think,96,4.0067,0.2161
would,94,3.9232,0.2116
who,94,3.9232,0.2116
now,94,3.9232,0.2116
at,93,3.8815,0.2094
some,93,3.8815,0.2094
2,91,3.7980,0.2048
then,89,3.7145,0.2003
walk,89,3.7145,0.2003
artist,88,3.6728,0.1981
had,87,3.6311,0.1958
always,87,3.6311,0.1958
water,87,3.6311,0.1958
shady,87,3.6311,0.1958
youre,86,3.5893,0.1936
old,84,3.5058,0.1891
get,84,3.5058,0.1891
fans,84,3.5058,0.1891
slim,83,3.4641,0.1868
did,82,3.4224,0.1846
we,80,3.3389,0.1801
ed,78,3.2554,0.1756
real,78,3.2554,0.1756
these,77,3.2137,0.1733
go,76,3.1720,0.1711
u,76,3.1720,0.1711
been,76,3.1720,0.1711
pop,76,3.1720,0.1711
artists,75,3.1302,0.1688
than,74,3.0885,0.1666
there,74,3.0885,0.1666
from,73,3.0467,0.1643
best,72,3.0050,0.1621
trash,72,3.0050,0.1621
albums,71,2.9633,0.1598
why,71,2.9633,0.1598
fucking,71,2.9633,0.1598
them,70,2.9215,0.1576
new,70,2.9215,0.1576
said,70,2.9215,0.1576
time,69,2.8798,0.1553
better,68,2.8381,0.1531
he’s,68,2.8381,0.1531
biggest,68,2.8381,0.1531
too,67,2.7963,0.1508
it’s,67,2.7963,0.1508
only,66,2.7546,0.1486
remember,65,2.7129,0.1463
same,65,2.7129,0.1463
back,65,2.7129,0.1463
doesnt,65,2.7129,0.1463
tracks,63,2.6294,0.1418
make,63,2.6294,0.1418
every,63,2.6294,0.1418
man,62,2.5876,0.1396
want,61,2.5459,0.1373
really,61,2.5459,0.1373
thats,61,2.5459,0.1373
years,60,2.5042,0.1351
other,60,2.5042,0.1351
never,60,2.5042,0.1351
were,60,2.5042,0.1351
say,59,2.4624,0.1328
right,58,2.4207,0.1306
see,58,2.4207,0.1306
before,58,2.4207,0.1306
don’t,58,2.4207,0.1306
sheeran,57,2.3790,0.1283
love,57,2.3790,0.1283
show,57,2.3790,0.1283
feature,56,2.3372,0.1261
cant,56,2.3372,0.1261
track,56,2.3372,0.1261
most,55,2.2955,0.1238
here,53,2.2120,0.1193
photo,53,2.2120,0.1193
their,52,2.1703,0.1171
comment,51,2.1285,0.1148
made,51,2.1285,0.1148
by,50,2.0868,0.1126
rapper,50,2.0868,0.1126
true,50,2.0868,0.1126
actually,50,2.0868,0.1126
look,50,2.0868,0.1126
didnt,50,2.0868,0.1126
chainz,50,2.0868,0.1126
does,49,2.0451,0.1103
saying,48,2.0033,0.1081
great,48,2.0033,0.1081
rappers,48,2.0033,0.1081
got,48,2.0033,0.1081
also,47,1.9616,0.1058
off,47,1.9616,0.1058
ass,47,1.9616,0.1058
everyone,47,1.9616,0.1058
over,47,1.9616,0.1058
going,46,1.9199,0.1035
way,46,1.9199,0.1035
need,46,1.9199,0.1035
well,46,1.9199,0.1035
many,45,1.8781,0.1013
should,45,1.8781,0.1013
gonna,45,1.8781,0.1013
thing,45,1.8781,0.1013
any,45,1.8781,0.1013
last,45,1.8781,0.1013
being,44,1.8364,0.0990
opinion,44,1.8364,0.0990
put,44,1.8364,0.0990
ever,44,1.8364,0.0990
lp,44,1.8364,0.0990
isnt,44,1.8364,0.0990
😂,43,1.7947,0.0968
dre,43,1.7947,0.0968
those,43,1.7947,0.0968
much,42,1.7529,0.0945
first,42,1.7529,0.0945
yeah,41,1.7112,0.0923
days,41,1.7112,0.0923
someone,40,1.6694,0.0900
d12,40,1.6694,0.0900
mean,39,1.6277,0.0878
god,39,1.6277,0.0878
doing,38,1.5860,0.0855
probably,38,1.5860,0.0855
lyrics,38,1.5860,0.0855
pink,38,1.5860,0.0855
work,37,1.5442,0.0833
maybe,37,1.5442,0.0833
stan,36,1.5025,0.0810
wait,36,1.5025,0.0810
trump,36,1.5025,0.0810
own,36,1.5025,0.0810
since,35,1.4608,0.0788
bitch,35,1.4608,0.0788
dude,35,1.4608,0.0788
talking,35,1.4608,0.0788
oh,35,1.4608,0.0788
nothing,35,1.4608,0.0788
something,35,1.4608,0.0788
hop,34,1.4190,0.0765
lmao,34,1.4190,0.0765
you’re,34,1.4190,0.0765
hate,34,1.4190,0.0765
life,33,1.3773,0.0743
point,33,1.3773,0.0743
could,32,1.3356,0.0720
guy,32,1.3356,0.0720
she,32,1.3356,0.0720
please,32,1.3356,0.0720
marshall,31,1.2938,0.0698
where,31,1.2938,0.0698
agree,31,1.2938,0.0698
heard,31,1.2938,0.0698
read,31,1.2938,0.0698
anymore,31,1.2938,0.0698
hip,31,1.2938,0.0698
