status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
45309870078_10154992067515079,12/15,,photo,https://www.facebook.com/eminem/photos/a.84897990078.93478.45309870078/10154992067270079/?type=3,2017-12-05 12:33:06,275324,30645,43710,214937,48791,10341,536,423,267,29
45309870078_10154976634975079,#REVIVAL DEC. 15,Revival,video,https://www.facebook.com/eminem/videos/10154976634975079/,2017-11-28 20:32:12,74482,10527,13020,58196,13575,1931,704,24,33,19
45309870078_10154973621245079,,Shady Records,photo,https://www.facebook.com/ShadyRecords/photos/a.341010429267628.71676.194172327284773/1523632114338781/?type=3,2017-11-27 16:25:02,11176,350,2,9433,1548,131,28,12,9,15
45309870078_10154965784335079,"“Bitch, I wrote #Stan!”  Black on black available this weekend only! shady.sr/StanVol2Fp",Photos from Eminem's post,photo,https://www.facebook.com/eminem/photos/a.84897990078.93478.45309870078/10154965770120079/?type=3,2017-11-24 00:00:00,28444,876,505,24746,3277,273,88,22,14,24
45309870078_10154964444435079,"“Gotta go, I’m almost at the bridge now....’” Volume 2 coming soon. Sign up for first access: shady.sr/StanVol2EarlyAccess #Stan",Photos from Eminem's post,photo,https://www.facebook.com/eminem/photos/a.10152263639820079.1073741827.45309870078/10154964443855079/?type=3,2017-11-23 10:48:24,39740,1430,1195,33778,4887,962,50,31,13,19
45309870078_10154962357365079,Stan Capsule - Volume 2: Black on Black for Black Friday.  Sign up for first access to the new collection #iloveyouslim: shady.sr/StanVol2EarlyAccess,Stan Black on Black for Black Friday,video,https://www.facebook.com/eminem/videos/10154962357365079/,2017-11-22 12:14:17,65854,1861,3468,54479,10098,1103,71,66,18,19
45309870078_10154954373785079,"We're live!  #SNL

Credit: Mary Ellen Mathews",Eminem SNL,video,https://www.facebook.com/eminem/videos/10154954373785079/,2017-11-18 23:38:03,33299,1517,1724,26534,6180,433,78,16,25,33
45309870078_10154950311420079,SNL tomorrow with host Chance The Rapper!,SNL Promos,video,https://www.facebook.com/eminem/videos/10154950311420079/,2017-11-17 14:03:36,74773,3351,5323,59836,7716,225,6900,17,40,39
45309870078_10154949971660079,,SiriusXM Shade 45,video,https://www.facebook.com/siriusxmshade45/videos/1965291693487660/,2017-11-17 11:34:19,11693,412,1,9901,1603,127,18,9,10,25
45309870078_10154949705365079,,Shady Records,link,http://shady.sr/WalkOnWaterEMAs,2017-11-17 09:46:57,37915,1170,9,31920,5449,424,59,12,23,28
