author_name,frequency,frequencyPer100Comment
Simon,337,1.8395
Camila,168,0.9170
Robert,163,0.8897
Sarah,140,0.7642
David,115,0.6277
Emily,91,0.4967
Michelle,80,0.4367
Laura,79,0.4312
Jessica,77,0.4203
Maria,76,0.4148
Lisa,74,0.4039
Jennifer,69,0.3766
Emma,67,0.3657
Silverio,66,0.3603
Rebecca,66,0.3603
Hannah,65,0.3548
Linda,64,0.3493
Karen,64,0.3493
Katie,63,0.3439
Amanda,62,0.3384
Amy,61,0.3330
Daniel,59,0.3221
Lauren,59,0.3221
Candice,58,0.3166
Michael,56,0.3057
Julie,54,0.2948
Christine,53,0.2893
John,52,0.2838
Anna,52,0.2838
Megan,52,0.2838
Rachel,51,0.2784
Nicole,50,0.2729
Moncef,49,0.2675
Alejandra,48,0.2620
Alex,48,0.2620
Melissa,47,0.2566
Joseph,46,0.2511
Mary,45,0.2456
Samantha,45,0.2456
Kelly,43,0.2347
Jane,43,0.2347
Ashley,43,0.2347
Stephanie,41,0.2238
Ana,39,0.2129
Andrea,39,0.2129
Cory,39,0.2129
Damialeon,37,0.2020
Victoria,37,0.2020
Kim,36,0.1965
Mohamed,36,0.1965
Wendy,36,0.1965
Patricia,35,0.1910
Natalie,35,0.1910
Elizabeth,34,0.1856
Diana,34,0.1856
Erin,34,0.1856
Julia,34,0.1856
Debbie,34,0.1856
Heather,34,0.1856
Chris,33,0.1801
Denise,33,0.1801
Angela,32,0.1747
Jackie,32,0.1747
Helen,32,0.1747
Danielle,32,0.1747
Courtney,31,0.1692
Vanessa,31,0.1692
James,31,0.1692
Barbara,31,0.1692
Susan,31,0.1692
Paul,30,0.1638
Carlos,30,0.1638
Caroline,30,0.1638
Taylor,30,0.1638
Derek,30,0.1638
Sam,29,0.1583
Selena,29,0.1583
Mark,29,0.1583
Donna,29,0.1583
Mike,29,0.1583
Juan,29,0.1583
Kevin,28,0.1528
Melanie,28,0.1528
Charlotte,28,0.1528
Jordan,28,0.1528
Richard,28,0.1528
Brian,27,0.1474
Claire,27,0.1474
Christina,26,0.1419
Kate,26,0.1419
Sharon,26,0.1419
Jamie,26,0.1419
Sandra,26,0.1419
Sue,26,0.1419
Jason,25,0.1365
Ryan,25,0.1365
Chelsea,25,0.1365
Sara,25,0.1365
Adam,25,0.1365
Jose,24,0.1310
Tracy,24,0.1310
Martin,24,0.1310
Lucas,24,0.1310
Andrew,24,0.1310
Ben,24,0.1310
Tim,24,0.1310
Catherine,23,0.1255
Judy,23,0.1255
Jonathan,23,0.1255
Brittany,22,0.1201
Diane,22,0.1201
Grace,22,0.1201
Kimberly,22,0.1201
Liz,22,0.1201
Alyssa,22,0.1201
Areli,22,0.1201
Katherine,22,0.1201
Georgia,22,0.1201
Anthony,22,0.1201
Ashutosh,21,0.1146
Danny,21,0.1146
Nancy,21,0.1146
Chloe,20,0.1092
Holly,20,0.1092
Tracey,20,0.1092
Alan,20,0.1092
Leanne,20,0.1092
Ricardo,20,0.1092
Mikula,20,0.1092
Alexis,20,0.1092
Jo,20,0.1092
Shannon,20,0.1092
Natasha,19,0.1037
Claudia,19,0.1037
Pat,19,0.1037
Ann,19,0.1037
Ali,19,0.1037
Sophie,19,0.1037
Kathy,19,0.1037
Nick,19,0.1037
Alexandra,19,0.1037
William,19,0.1037
Felipe,19,0.1037
Marie,19,0.1037
Valerie,18,0.0983
Tiffany,18,0.0983
Nicola,18,0.0983
Paula,18,0.0983
Tina,18,0.0983
Victor,18,0.0983
Pamela,18,0.0983
Luis,18,0.0983
Matt,18,0.0983
Kayla,18,0.0983
Caitlin,18,0.0983
Angel,18,0.0983
Jenny,18,0.0983
Christopher,18,0.0983
Cindy,18,0.0983
Louise,18,0.0983
Cheryl,18,0.0983
Mario,18,0.0983
Matthew,17,0.0928
Eric,17,0.0928
Lynn,17,0.0928
Brenda,17,0.0928
Nikki,17,0.0928
Nina,17,0.0928
Pedro,17,0.0928
Ahmed,17,0.0928
Jess,17,0.0928
Carolina,17,0.0928
Carol,17,0.0928
Monica,17,0.0928
Crystal,17,0.0928
Michele,17,0.0928
Glenn,17,0.0928
Adele,17,0.0928
Joanne,17,0.0928
Marco,17,0.0928
Lina,17,0.0928
Diego,17,0.0928
Becky,17,0.0928
Marcos,16,0.0873
Amber,16,0.0873
Deborah,16,0.0873
Allison,16,0.0873
Janet,16,0.0873
Daniela,16,0.0873
Anne,16,0.0873
Kerry,16,0.0873
Matheus,16,0.0873
Ian,16,0.0873
Hayley,16,0.0873
Morgan,16,0.0873
Justin,16,0.0873
Rodrigo,16,0.0873
Gabriel,16,0.0873
Ellen,16,0.0873
Jorge,16,0.0873
Jenna,16,0.0873
Josh,15,0.0819
Suzanne,15,0.0819
Patrick,15,0.0819
Mariana,15,0.0819
Yacine,15,0.0819
Sally,15,0.0819
Dawn,15,0.0819
Lee,15,0.0819
Elaine,15,0.0819
Cynthia,15,0.0819
Beth,15,0.0819
Lesley,15,0.0819
Hassan,15,0.0819
Thomas,15,0.0819
Jack,15,0.0819
Prince,15,0.0819
Angie,15,0.0819
Scott,15,0.0819
Marcus,15,0.0819
Natalia,15,0.0819
Erica,15,0.0819
Kathleen,15,0.0819
Becca,14,0.0764
Ashleigh,14,0.0764
Kristen,14,0.0764
Larissa,14,0.0764
Lucy,14,0.0764
Jay,14,0.0764
Fiona,14,0.0764
Karla,14,0.0764
The,14,0.0764
Tara,14,0.0764
Steve,14,0.0764
Kellie,14,0.0764
Leslie,14,0.0764
Mel,14,0.0764
Olivia,14,0.0764
Joyce,14,0.0764
Gina,14,0.0764
Ellie,14,0.0764
Ariel,14,0.0764
Luke,14,0.0764
Joshua,14,0.0764
Bryan,14,0.0764
Nicholas,14,0.0764
Aaron,13,0.0710
Vinicius,13,0.0710
Vivian,13,0.0710
Alice,13,0.0710
Jessie,13,0.0710
Jan,13,0.0710
Anita,13,0.0710
Fatima,13,0.0710
Prometheus,13,0.0710
Teresa,13,0.0710
Stephen,13,0.0710
Don,13,0.0710
Dana,13,0.0710
Alison,13,0.0710
Erika,13,0.0710
Jacqueline,13,0.0710
Haley,13,0.0710
Erick,13,0.0710
Sean,13,0.0710
Jade,13,0.0710
Lindsay,13,0.0710
Annie,13,0.0710
Sandy,12,0.0655
Oscar,12,0.0655
Brandon,12,0.0655
Bruna,12,0.0655
Will,12,0.0655
Tammy,12,0.0655
Arham,12,0.0655
María,12,0.0655
Dennis,12,0.0655
Jaime,12,0.0655
Shane,12,0.0655
Kristina,12,0.0655
Sydney,12,0.0655
Cathy,12,0.0655
Theresa,12,0.0655
Edward,12,0.0655
Robin,12,0.0655
Abigail,12,0.0655
Eva,12,0.0655
Rafael,12,0.0655
Manuel,12,0.0655
Angelica,12,0.0655
A,11,0.0600
Abby,11,0.0600
Valeria,11,0.0600
Bianca,11,0.0600
Nathan,11,0.0600
Brooke,11,0.0600
Katy,11,0.0600
Miguel,11,0.0600
Jill,11,0.0600
Vicki,11,0.0600
Vicky,11,0.0600
Julio,11,0.0600
Mairea,11,0.0600
Edgar,11,0.0600
Leo,11,0.0600
Rohit,11,0.0600
Gabrielle,11,0.0600
Yvonne,11,0.0600
Johnny,11,0.0600
Colin,11,0.0600
Shelby,11,0.0600
Clare,11,0.0600
Clara,11,0.0600
Marta,11,0.0600
Zoe,11,0.0600
Stefanie,11,0.0600
Lori,11,0.0600
Gabriela,11,0.0600
Paige,11,0.0600
Samuel,11,0.0600
Steven,10,0.0546
Charles,10,0.0546
Travis,10,0.0546
Alicia,10,0.0546
Callum,10,0.0546
Savannah,10,0.0546
Rose,10,0.0546
Alexa,10,0.0546
Jim,10,0.0546
Juliana,10,0.0546
Michaela,10,0.0546
Monse,10,0.0546
Bruno,10,0.0546
Janine,10,0.0546
Ella,10,0.0546
Simone,10,0.0546
Allie,10,0.0546
Carole,10,0.0546
Bethany,10,0.0546
Bobby,10,0.0546
Lorraine,10,0.0546
Nas,10,0.0546
Jeffrey,10,0.0546
Jen,10,0.0546
Corey,10,0.0546
Brad,10,0.0546
Maureen,10,0.0546
Carolyn,10,0.0546
Brianna,10,0.0546
Stacey,10,0.0546
Sebastian,10,0.0546
Colleen,10,0.0546
Roger,10,0.0546
Dragoș,10,0.0546
Terry,10,0.0546
Jacob,10,0.0546
Dee,10,0.0546
Leah,10,0.0546
Melody,10,0.0546
Jasmine,10,0.0546
Francesca,10,0.0546
Hugo,10,0.0546
Evelyn,10,0.0546
Itzel,10,0.0546
Cecilia,10,0.0546
Miriam,10,0.0546
Mandy,10,0.0546
Karin,10,0.0546
Coombsy,9,0.0491
Cristina,9,0.0491
Joy,9,0.0491
Joe,9,0.0491
Shari,9,0.0491
Sergio,9,0.0491
Cara,9,0.0491
Jesus,9,0.0491
Dylan,9,0.0491
Omar,9,0.0491
Christian,9,0.0491
Phi,9,0.0491
Leonardo,9,0.0491
Joan,9,0.0491
Elise,9,0.0491
