token,count,frequencyPer100Comment,frequencyPer100Token
,3833,20.9225,1.0812
love,2323,12.6801,0.6553
adele,1957,10.6823,0.5520
care,1557,8.4989,0.4392
voice,1551,8.4662,0.4375
fans,1510,8.2424,0.4259
just,1283,7.0033,0.3619
dont,1125,6.1408,0.3173
time,1117,6.0972,0.3151
know,1007,5.4967,0.2840
soon,911,4.9727,0.2570
im,897,4.8963,0.2530
like,885,4.8308,0.2496
better,843,4.6015,0.2378
rest,828,4.5197,0.2336
amazing,824,4.4978,0.2324
hope,806,4.3996,0.2273
people,772,4.2140,0.2178
health,751,4.0993,0.2118
understand,744,4.0611,0.2099
best,738,4.0284,0.2082
music,701,3.8264,0.1977
come,632,3.4498,0.1783
3,622,3.3952,0.1754
want,618,3.3734,0.1743
need,609,3.3242,0.1718
shows,589,3.2151,0.1661
listen,577,3.1496,0.1628
beautiful,576,3.1441,0.1625
u,574,3.1332,0.1619
tickets,568,3.1004,0.1602
feel,565,3.0841,0.1594
life,544,2.9694,0.1534
good,527,2.8766,0.1487
finally,524,2.8603,0.1478
thank,518,2.8275,0.1461
make,505,2.7566,0.1424
concert,473,2.5819,0.1334
sing,463,2.5273,0.1306
youre,463,2.5273,0.1306
god,449,2.4509,0.1266
think,430,2.3472,0.1213
important,430,2.3472,0.1213
able,429,2.3417,0.1210
p,427,2.3308,0.1204
sorry,412,2.2489,0.1162
vocal,406,2.2162,0.1145
world,405,2.2107,0.1142
sticker,402,2.1943,0.1134
really,401,2.1889,0.1131
wish,399,2.1779,0.1125
day,398,2.1725,0.1123
sure,389,2.1234,0.1097
right,388,2.1179,0.1094
hear,387,2.1124,0.1092
recovery,385,2.1015,0.1086
true,376,2.0524,0.1061
family,373,2.0360,0.1052
look,370,2.0197,0.1044
way,365,1.9924,0.1030
person,359,1.9596,0.1013
live,356,1.9432,0.1004
que,354,1.9323,0.0999
money,354,1.9323,0.0999
going,337,1.8395,0.0951
got,335,1.8286,0.0945
heart,329,1.7959,0.0928
night,319,1.7413,0.0900
thing,317,1.7303,0.0894
wait,309,1.6867,0.0872
say,300,1.6376,0.0846
spotify,299,1.6321,0.0843
great,295,1.6103,0.0832
xx,291,1.5884,0.0821
fan,286,1.5611,0.0807
human,285,1.5557,0.0804
happy,284,1.5502,0.0801
album,277,1.5120,0.0781
thats,270,1.4738,0.0762
perform,268,1.4629,0.0756
tour,266,1.4520,0.0750
hard,262,1.4301,0.0739
sad,261,1.4247,0.0736
heal,260,1.4192,0.0733
songs,258,1.4083,0.0728
years,256,1.3974,0.0722
bless,256,1.3974,0.0722
long,254,1.3865,0.0716
❤️,254,1.3865,0.0716
saw,254,1.3865,0.0716
lol,252,1.3755,0.0711
yes,250,1.3646,0.0705
x,250,1.3646,0.0705
2,249,1.3592,0.0702
let,249,1.3592,0.0702
year,247,1.3483,0.0697
london,245,1.3373,0.0691
miley,242,1.3210,0.0683
song,242,1.3210,0.0683
gift,240,1.3100,0.0677
disappointed,240,1.3100,0.0677
decision,237,1.2937,0.0669
enjoy,236,1.2882,0.0666
speedy,236,1.2882,0.0666
cd,235,1.2828,0.0663
new,233,1.2718,0.0657
wembley,233,1.2718,0.0657
gutted,233,1.2718,0.0657
