author_name,frequency,frequencyPer100Comment
Simon,338,1.5183
Camila,172,0.7726
Sarah,166,0.7457
Robert,164,0.7367
Jessica,119,0.5345
David,116,0.5211
Emily,111,0.4986
Michelle,106,0.4761
Jennifer,106,0.4761
Laura,98,0.4402
Lisa,98,0.4402
Amanda,95,0.4267
Linda,88,0.3953
Maria,87,0.3908
Rebecca,86,0.3863
Katie,81,0.3638
Stephanie,80,0.3594
Karen,79,0.3549
Anna,78,0.3504
Melissa,76,0.3414
Hannah,75,0.3369
Megan,75,0.3369
Lauren,74,0.3324
Amy,74,0.3324
Emma,72,0.3234
Nicole,71,0.3189
Ashley,70,0.3144
Julie,68,0.3055
Rachel,68,0.3055
Silverio,66,0.2965
Kelly,63,0.2830
Candice,63,0.2830
Mary,61,0.2740
Christine,60,0.2695
Daniel,59,0.2650
Michael,59,0.2650
Heather,56,0.2515
Kim,55,0.2471
Samantha,55,0.2471
John,53,0.2381
Alex,53,0.2381
Andrea,51,0.2291
Elizabeth,50,0.2246
Moncef,49,0.2201
Denise,49,0.2201
Alejandra,48,0.2156
Ana,47,0.2111
Sara,47,0.2111
Joseph,46,0.2066
Jane,44,0.1976
Danielle,44,0.1976
Debbie,43,0.1932
Victoria,43,0.1932
Susan,43,0.1932
Amber,42,0.1887
Jackie,42,0.1887
Natalie,42,0.1887
Courtney,41,0.1842
Diana,40,0.1797
Erin,40,0.1797
Kimberly,40,0.1797
Jamie,40,0.1797
Wendy,40,0.1797
Angela,39,0.1752
Patricia,39,0.1752
Cory,39,0.1752
Christina,38,0.1707
Julia,38,0.1707
Vanessa,38,0.1707
Barbara,38,0.1707
Damialeon,37,0.1662
Tammy,37,0.1662
Beth,37,0.1662
Taylor,37,0.1662
Sandra,37,0.1662
Selena,36,0.1617
Helen,36,0.1617
Mohamed,36,0.1617
Paul,35,0.1572
Tiffany,34,0.1527
Melanie,34,0.1527
Donna,34,0.1527
Crystal,33,0.1482
Chris,33,0.1482
Sue,33,0.1482
Catherine,32,0.1437
Charlotte,32,0.1437
Brenda,31,0.1393
Sam,31,0.1393
Brittany,31,0.1393
Caroline,31,0.1393
Mark,31,0.1393
Cindy,31,0.1393
Mike,31,0.1393
James,31,0.1393
Jenny,31,0.1393
Diane,30,0.1348
Carlos,30,0.1348
Sharon,30,0.1348
Kathy,30,0.1348
Jordan,30,0.1348
Derek,30,0.1348
Juan,30,0.1348
Brian,29,0.1303
Kate,29,0.1303
Monica,29,0.1303
Alexis,29,0.1303
Dana,29,0.1303
Shannon,29,0.1303
Tracy,28,0.1258
Kevin,28,0.1258
Liz,28,0.1258
Ben,28,0.1258
Nancy,28,0.1258
Richard,28,0.1258
Ryan,27,0.1213
Chelsea,27,0.1213
Pat,27,0.1213
Carol,27,0.1213
Claire,27,0.1213
Kayla,27,0.1213
Holly,26,0.1168
Jason,26,0.1168
Anne,26,0.1168
Grace,26,0.1168
Michele,26,0.1168
Andrew,26,0.1168
Ali,25,0.1123
Judy,25,0.1123
Adam,25,0.1123
Tim,25,0.1123
Tracey,24,0.1078
Jose,24,0.1078
Paula,24,0.1078
Georgia,24,0.1078
Tina,24,0.1078
Martin,24,0.1078
Lucas,24,0.1078
Alyssa,24,0.1078
Katherine,24,0.1078
Becky,24,0.1078
Jonathan,24,0.1078
Claudia,23,0.1033
Barbie,23,0.1033
Erica,23,0.1033
Jo,23,0.1033
Anthony,23,0.1033
Cheryl,23,0.1033
Natasha,22,0.0988
Valerie,22,0.0988
Kristen,22,0.0988
Nikki,22,0.0988
Areli,22,0.0988
Pam,22,0.0988
Ann,22,0.0988
Caitlin,22,0.0988
Jenna,22,0.0988
Marie,22,0.0988
Ashutosh,21,0.0943
Danny,21,0.0943
Leanne,21,0.0943
April,21,0.0943
Sophie,21,0.0943
Angie,21,0.0943
Olivia,21,0.0943
Nick,21,0.0943
Louise,21,0.0943
Suzanne,20,0.0898
Allison,20,0.0898
Alan,20,0.0898
Nicola,20,0.0898
Daniela,20,0.0898
Chloe,20,0.0898
Ricardo,20,0.0898
Cynthia,20,0.0898
Mikula,20,0.0898
Pamela,20,0.0898
Morgan,20,0.0898
Angel,20,0.0898
Alexandra,20,0.0898
Kathleen,20,0.0898
Matthew,19,0.0853
Nina,19,0.0853
Carolina,19,0.0853
Luis,19,0.0853
Tara,19,0.0853
Christopher,19,0.0853
William,19,0.0853
Felipe,19,0.0853
Joanne,19,0.0853
Marco,19,0.0853
Matt,19,0.0853
Sandy,18,0.0809
Eric,18,0.0809
Lynn,18,0.0809
Deborah,18,0.0809
Patrick,18,0.0809
Annie,18,0.0809
Candy,18,0.0809
Kerry,18,0.0809
Jess,18,0.0809
Victor,18,0.0809
Hayley,18,0.0809
Leslie,18,0.0809
Teresa,18,0.0809
Scott,18,0.0809
Joyce,18,0.0809
Lori,18,0.0809
Gina,18,0.0809
Ellen,18,0.0809
Haley,18,0.0809
Lina,18,0.0809
Mario,18,0.0809
Glenn,17,0.0764
Joy,17,0.0764
Janet,17,0.0764
Ashleigh,17,0.0764
Pedro,17,0.0764
Sally,17,0.0764
Ahmed,17,0.0764
Lucy,17,0.0764
Dawn,17,0.0764
Lee,17,0.0764
Jay,17,0.0764
Jack,17,0.0764
Carolyn,17,0.0764
Naomi,17,0.0764
