token,count,frequencyPer100Comment,frequencyPer100Token
you,14725,66.1441,3.8570
to,10667,47.9157,2.7941
and,9960,44.7399,2.6089
the,8195,36.8116,2.1466
i,8008,35.9716,2.0976
your,6531,29.3370,1.7107
a,5988,26.8979,1.5685
of,4882,21.9297,1.2788
for,4785,21.4940,1.2534
,4012,18.0217,1.0509
is,3594,16.1441,0.9414
it,3474,15.6051,0.9100
that,3315,14.8908,0.8683
in,3267,14.6752,0.8557
have,3151,14.1542,0.8254
be,3060,13.7454,0.8015
this,2975,13.3636,0.7793
we,2959,13.2917,0.7751
so,2923,13.1300,0.7656
are,2866,12.8740,0.7507
will,2486,11.1670,0.6512
love,2461,11.0547,0.6446
my,2222,9.9811,0.5820
get,2142,9.6218,0.5611
but,2131,9.5724,0.5582
on,2121,9.5274,0.5556
not,2037,9.1501,0.5336
her,2004,9.0019,0.5249
all,1959,8.7997,0.5131
adele,1957,8.7908,0.5126
she,1793,8.0541,0.4696
take,1779,7.9912,0.4660
can,1688,7.5824,0.4421
with,1670,7.5016,0.4374
care,1561,7.0119,0.4089
voice,1551,6.9670,0.4063
do,1516,6.8098,0.3971
fans,1511,6.7874,0.3958
was,1435,6.4460,0.3759
as,1409,6.3292,0.3691
just,1394,6.2618,0.3651
me,1361,6.1136,0.3565
see,1348,6.0552,0.3531
if,1344,6.0372,0.3520
well,1304,5.8575,0.3416
yourself,1282,5.7587,0.3358
what,1239,5.5655,0.3245
one,1162,5.2197,0.3044
dont,1159,5.2062,0.3036
time,1158,5.2017,0.3033
would,1140,5.1208,0.2986
no,1050,4.7166,0.2750
know,1048,4.7076,0.2745
at,1033,4.6402,0.2706
like,1011,4.5414,0.2648
from,991,4.4515,0.2596
its,950,4.2674,0.2488
im,942,4.2314,0.2467
now,931,4.1820,0.2439
us,925,4.1551,0.2423
soon,916,4.1146,0.2399
much,883,3.9664,0.2313
better,869,3.9035,0.2276
more,857,3.8496,0.2245
please,856,3.8451,0.2242
amazing,835,3.7508,0.2187
when,831,3.7328,0.2177
rest,831,3.7328,0.2177
hope,816,3.6654,0.2137
about,804,3.6115,0.2106
an,797,3.5801,0.2088
people,792,3.5576,0.2075
make,777,3.4903,0.2035
who,774,3.4768,0.2027
need,759,3.4094,0.1988
best,756,3.3959,0.1980
health,751,3.3735,0.1967
out,750,3.3690,0.1965
understand,746,3.3510,0.1954
up,726,3.2612,0.1902
there,704,3.1623,0.1844
want,703,3.1578,0.1841
music,701,3.1489,0.1836
were,686,3.0815,0.1797
been,664,2.9827,0.1739
