author_name,frequency,frequencyPer100Comment
Lou,152,0.8666
Michael,107,0.6100
Chris,97,0.5530
David,89,0.5074
Daniel,86,0.4903
Maria,85,0.4846
Ryan,75,0.4276
Moncef,75,0.4276
Laura,70,0.3991
Ana,69,0.3934
James,69,0.3934
John,68,0.3877
Matt,68,0.3877
Mark,63,0.3592
Adam,63,0.3592
Sarah,63,0.3592
Alex,60,0.3421
Mike,60,0.3421
Michelle,59,0.3364
Jennifer,58,0.3307
Jessica,58,0.3307
Jason,58,0.3307
Josh,55,0.3136
Mariana,52,0.2965
Andrea,52,0.2965
Andrew,50,0.2851
Lisa,49,0.2794
Anthony,49,0.2794
Justin,48,0.2737
Amanda,48,0.2737
Patrick,46,0.2623
Jordan,46,0.2623
Ashley,46,0.2623
Katie,41,0.2338
Nicole,40,0.2281
Melissa,40,0.2281
Robert,39,0.2223
Jonathan,39,0.2223
Joseph,38,0.2166
Emma,38,0.2166
Paul,37,0.2109
Matthew,37,0.2109
Kevin,37,0.2109
Bianca,37,0.2109
Scott,37,0.2109
Mary,37,0.2109
Sara,37,0.2109
Brian,36,0.2052
Vanessa,36,0.2052
Stephanie,35,0.1995
Emily,35,0.1995
Rachel,34,0.1938
Sam,33,0.1881
Samantha,32,0.1824
Christopher,32,0.1824
Lauren,32,0.1824
Mery,31,0.1767
Will,30,0.1710
Eric,30,0.1710
Freak,30,0.1710
Kim,30,0.1710
Karen,30,0.1710
Dan,30,0.1710
Jamie,30,0.1710
Angela,28,0.1596
Brenda,28,0.1596
Thomas,28,0.1596
Shannon,28,0.1596
Kelly,28,0.1596
Nick,28,0.1596
Victoria,28,0.1596
Rebecca,28,0.1596
Tom,28,0.1596
Cody,27,0.1539
Joe,27,0.1539
Mashallah,27,0.1539
Rob,27,0.1539
Brandon,26,0.1482
Jeff,26,0.1482
Martin,26,0.1482
Elizabeth,25,0.1425
Christian,25,0.1425
Anna,25,0.1425
Ben,25,0.1425
Kyle,25,0.1425
Carlos,24,0.1368
