token,count,frequencyPer100Comment,frequencyPer100Token
the,558,60.7843,3.0361
to,509,55.4466,2.7695
and,445,48.4749,2.4212
you,420,45.7516,2.2852
a,386,42.0479,2.1002
of,258,28.1046,1.4038
in,248,27.0153,1.3494
is,241,26.2527,1.3113
i,222,24.1830,1.2079
for,189,20.5882,1.0283
that,183,19.9346,0.9957
your,167,18.1917,0.9086
it,162,17.6471,0.8814
this,161,17.5381,0.8760
are,142,15.4684,0.7726
with,129,14.0523,0.7019
not,123,13.3987,0.6692
he,119,12.9630,0.6475
on,117,12.7451,0.6366
,112,12.2004,0.6094
people,111,12.0915,0.6040
have,104,11.3290,0.5659
be,101,11.0022,0.5495
all,100,10.8932,0.5441
they,91,9.9129,0.4951
me,90,9.8039,0.4897
we,90,9.8039,0.4897
so,90,9.8039,0.4897
was,88,9.5861,0.4788
like,85,9.2593,0.4625
my,81,8.8235,0.4407
if,78,8.4967,0.4244
what,77,8.3878,0.4190
black,76,8.2789,0.4135
jay,76,8.2789,0.4135
or,68,7.4074,0.3700
do,67,7.2985,0.3645
about,67,7.2985,0.3645
his,60,6.5359,0.3265
z,60,6.5359,0.3265
as,58,6.3181,0.3156
just,57,6.2092,0.3101
get,56,6.1002,0.3047
an,55,5.9913,0.2993
can,54,5.8824,0.2938
more,54,5.8824,0.2938
know,54,5.8824,0.2938
who,54,5.8824,0.2938
from,53,5.7734,0.2884
one,52,5.6645,0.2829
but,52,5.6645,0.2829
by,52,5.6645,0.2829
us,52,5.6645,0.2829
up,51,5.5556,0.2775
out,51,5.5556,0.2775
its,50,5.4466,0.2720
dont,50,5.4466,0.2720
illuminati,50,5.4466,0.2720
our,50,5.4466,0.2720
how,49,5.3377,0.2666
has,49,5.3377,0.2666
no,49,5.3377,0.2666
man,49,5.3377,0.2666
life,48,5.2288,0.2612
being,48,5.2288,0.2612
happy,47,5.1198,0.2557
great,47,5.1198,0.2557
him,46,5.0109,0.2503
world,43,4.6841,0.2340
jayz,41,4.4662,0.2231
im,41,4.4662,0.2231
when,41,4.4662,0.2231
at,41,4.4662,0.2231
will,41,4.4662,0.2231
been,38,4.1394,0.2068
because,37,4.0305,0.2013
did,36,3.9216,0.1959
love,36,3.9216,0.1959
white,36,3.9216,0.1959
birthday,34,3.7037,0.1850
time,33,3.5948,0.1796
their,33,3.5948,0.1796
then,31,3.3769,0.1687
only,31,3.3769,0.1687
money,31,3.3769,0.1687
even,30,3.2680,0.1632
god,30,3.2680,0.1632
now,30,3.2680,0.1632
really,30,3.2680,0.1632
here,29,3.1590,0.1578
would,29,3.1590,0.1578
there,29,3.1590,0.1578
problem,29,3.1590,0.1578
new,28,3.0501,0.1523
thank,28,3.0501,0.1523
go,28,3.0501,0.1523
need,28,3.0501,0.1523
she,28,3.0501,0.1523
into,27,2.9412,0.1469
want,26,2.8322,0.1415
many,26,2.8322,0.1415
these,26,2.8322,0.1415
see,26,2.8322,0.1415
them,25,2.7233,0.1360
also,25,2.7233,0.1360
day,25,2.7233,0.1360
never,24,2.6144,0.1306
got,24,2.6144,0.1306
much,24,2.6144,0.1306
make,24,2.6144,0.1306
than,24,2.6144,0.1306
back,24,2.6144,0.1306
rich,24,2.6144,0.1306
own,24,2.6144,0.1306
music,23,2.5054,0.1251
dr,23,2.5054,0.1251
right,23,2.5054,0.1251
other,23,2.5054,0.1251
think,22,2.3965,0.1197
still,22,2.3965,0.1197
america,22,2.3965,0.1197
robert,22,2.3965,0.1197
business,22,2.3965,0.1197
why,21,2.2876,0.1143
live,21,2.2876,0.1143
today,21,2.2876,0.1143
take,21,2.2876,0.1143
good,21,2.2876,0.1143
very,21,2.2876,0.1143
well,21,2.2876,0.1143
had,20,2.1786,0.1088
her,20,2.1786,0.1088
help,20,2.1786,0.1088
please,20,2.1786,0.1088
some,20,2.1786,0.1088
made,20,2.1786,0.1088
interview,19,2.0697,0.1034
better,19,2.0697,0.1034
way,19,2.0697,0.1034
trump,19,2.0697,0.1034
through,19,2.0697,0.1034
put,19,2.0697,0.1034
most,19,2.0697,0.1034
nothing,19,2.0697,0.1034
every,18,1.9608,0.0979
stop,18,1.9608,0.0979
cant,18,1.9608,0.0979
come,18,1.9608,0.0979
trying,18,1.9608,0.0979
share,18,1.9608,0.0979
race,18,1.9608,0.0979
change,17,1.8519,0.0925
am,17,1.8519,0.0925
again,17,1.8519,0.0925
said,16,1.7429,0.0871
youre,16,1.7429,0.0871
together,16,1.7429,0.0871
thing,16,1.7429,0.0871
were,16,1.7429,0.0871
going,16,1.7429,0.0871
everyone,16,1.7429,0.0871
which,16,1.7429,0.0871
before,15,1.6340,0.0816
off,15,1.6340,0.0816
email,15,1.6340,0.0816
listen,15,1.6340,0.0816
n,15,1.6340,0.0816
things,15,1.6340,0.0816
say,15,1.6340,0.0816
sure,15,1.6340,0.0816
hes,15,1.6340,0.0816
lol,15,1.6340,0.0816
lot,15,1.6340,0.0816
u,15,1.6340,0.0816
someone,15,1.6340,0.0816
should,15,1.6340,0.0816
page,15,1.6340,0.0816
getting,15,1.6340,0.0816
over,14,1.5251,0.0762
top,14,1.5251,0.0762
too,14,1.5251,0.0762
country,14,1.5251,0.0762
bless,14,1.5251,0.0762
jordan,14,1.5251,0.0762
person,14,1.5251,0.0762
thats,14,1.5251,0.0762
member,14,1.5251,0.0762
tell,13,1.4161,0.0707
best,13,1.4161,0.0707
contact,13,1.4161,0.0707
join,13,1.4161,0.0707
making,13,1.4161,0.0707
check,13,1.4161,0.0707
real,13,1.4161,0.0707
brotherhood,13,1.4161,0.0707
always,13,1.4161,0.0707
ass,13,1.4161,0.0707
believe,13,1.4161,0.0707
understand,13,1.4161,0.0707
anything,13,1.4161,0.0707
problems,13,1.4161,0.0707
watch,13,1.4161,0.0707
add,13,1.4161,0.0707
become,13,1.4161,0.0707
does,13,1.4161,0.0707
after,12,1.3072,0.0653
mean,12,1.3072,0.0653
free,12,1.3072,0.0653
thanks,12,1.3072,0.0653
down,12,1.3072,0.0653
talk,12,1.3072,0.0653
first,12,1.3072,0.0653
anyone,12,1.3072,0.0653
friend,12,1.3072,0.0653
sad,12,1.3072,0.0653
where,12,1.3072,0.0653
3,12,1.3072,0.0653
whats,12,1.3072,0.0653
song,12,1.3072,0.0653
lives,12,1.3072,0.0653
isnt,12,1.3072,0.0653
damn,12,1.3072,0.0653
try,12,1.3072,0.0653
makes,12,1.3072,0.0653
heart,12,1.3072,0.0653
doing,12,1.3072,0.0653
could,12,1.3072,0.0653
bring,12,1.3072,0.0653
trumps,12,1.3072,0.0653
tired,11,1.1983,0.0599
talking,11,1.1983,0.0599
any,11,1.1983,0.0599
human,11,1.1983,0.0599
felt,11,1.1983,0.0599
may,11,1.1983,0.0599
