status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
48382669205_10156208005094206,,The New York Times,link,https://www.nytimes.com/interactive/2017/11/29/t-magazine/jay-z-dean-baquet-interview.html?smid=fb-nytimes&smtyp=cur,2017-11-29 11:18:09,6001,360,3,5316,603,18,53,1,4,6
48382669205_10156195308474206,Watch: “Legacy” x “Smile” x “Marcy Me” x TIDAL.com,"""Legacy” x “Smile” x “Marcy Me”",video,https://www.facebook.com/JayZ/videos/10156195308474206/,2017-11-24 16:44:00,3347,133,360,3012,284,42,5,0,1,3
48382669205_10156174359724206,,The New York Times,link,http://nyti.ms/2hGW7Tp,2017-11-17 09:50:34,3250,329,4,2920,151,17,23,97,31,11
48382669205_10156145799644206,"The sentence handed down by the Judge -- against the recommendation of the Assistant District Attorney and Probation Officer -- is unjust and heavy handed. We will always stand by and support Meek Mill, both as he attempts to right this wrongful sentence and then in returning to his musical career.",,status,,2017-11-06 22:59:37,8843,916,1948,7488,703,65,110,401,65,11
48382669205_10156128192424206,Clive Davis and the Recording Academy / GRAMMYs to present JAY-Z with 2018’s GRAMMY Salute to Industry Icons Award for his contributions to the music industry and numerous philanthropic endeavors.,Timeline Photos,photo,https://www.facebook.com/JayZ/photos/a.57162624205.63647.48382669205/10156128192424206/?type=3,2017-10-31 15:04:58,4215,327,499,3547,610,34,9,2,3,10
48382669205_10156128169864206,,TIDAL,photo,https://www.facebook.com/TIDAL/photos/a.1516277531956825.1073741828.1469901979927714/1940684989516075/?type=3,2017-10-31 14:14:24,1050,77,1,978,65,3,0,0,1,3
48382669205_10156119649649206,,TIDAL,photo,https://www.facebook.com/TIDAL/photos/a.1516277531956825.1073741828.1469901979927714/1939241419660432/?type=3,2017-10-28 11:41:26,945,73,0,864,64,4,6,0,2,5
48382669205_10156117347679206,,TIDAL,photo,https://www.facebook.com/TIDAL/photos/a.1516277531956825.1073741828.1469901979927714/1938986773019230/?type=3,2017-10-27 15:35:09,1030,66,0,933,84,4,3,0,0,6
48382669205_10156097011049206,,TIDAL,video,https://www.facebook.com/TIDAL/videos/1935959979988576/,2017-10-20 09:23:40,1002,103,1,901,81,9,3,0,0,8
48382669205_10156044364369206,,TIDAL,photo,https://www.facebook.com/TIDAL/photos/a.1516277531956825.1073741828.1469901979927714/1927887317462509/?type=3,2017-10-01 12:01:33,743,162,0,691,33,3,1,0,2,13
48382669205_10156042025869206,,TIDAL,photo,https://www.facebook.com/TIDAL/photos/a.1516277531956825.1073741828.1469901979927714/1927129544204953/?type=3,2017-09-30 13:47:20,1330,110,1,1201,108,8,2,0,0,11
48382669205_10156041831019206,,TIDAL,photo,https://www.facebook.com/TIDAL/photos/a.1516277531956825.1073741828.1469901979927714/1927497504168157/?type=3,2017-09-30 12:05:21,585,60,1,545,29,0,2,0,0,9
48382669205_10156039717519206,,Saturday Night Live,video,https://www.facebook.com/snl/videos/10155685380941303/,2017-09-29 16:26:56,8745,284,2,7604,751,21,348,2,3,16
48382669205_10156036404769206,,TIDAL,photo,https://www.facebook.com/TIDAL/photos/a.1516277531956825.1073741828.1469901979927714/1926699507581290/?type=3,2017-09-28 12:30:49,1305,82,0,1140,143,7,2,0,1,12
48382669205_10156034099859206,,TIDAL,photo,https://www.facebook.com/TIDAL/photos/a.1516277531956825.1073741828.1469901979927714/1926317434286164/?type=3,2017-09-27 17:04:53,729,51,0,658,56,5,1,0,0,9
48382669205_10156030466919206,,Roc Nation,photo,https://www.facebook.com/RocNation/photos/a.268626720857.321393.158103175857/10159287482225858/?type=3,2017-09-26 09:49:46,852,66,0,792,38,8,1,0,0,13
48382669205_10156028353199206,,Austin City Limits Music Festival (ACL),photo,https://www.facebook.com/aclfestival/photos/a.442881798029.226934.6719883029/10154939925948030/?type=3,2017-09-25 13:24:04,461,27,0,414,28,8,0,0,0,11
48382669205_10156019102444206,,BBC Radio 1,video,https://www.facebook.com/bbcradio1/videos/10155657958151763/,2017-09-22 06:59:37,12034,387,2,10360,1551,92,12,3,1,15
48382669205_10156013891059206,,Vic Mensa,photo,https://www.facebook.com/VicMensa1/photos/a.356335651050080.104967.160797780603869/1890748887608741/?type=3,2017-09-20 11:17:23,1876,110,0,1698,133,27,2,1,2,13
48382669205_10156001042229206,Livestream x The Meadows Music & Arts Festival x TIDAL TIDAL.com/TheMeadowsNYC #TIDALXTheMeadows,,photo,https://www.facebook.com/JayZ/photos/a.57162624205.63647.48382669205/10156001034369206/?type=3,2017-09-15 16:30:00,904,68,43,838,44,4,1,0,1,16
48382669205_10155995228394206,General on-sale tickets for Philly are now available for JAY-Z’s 4:44 Tour: TIDAL.com #444Tour,,photo,https://www.facebook.com/JayZ/photos/a.57162624205.63647.48382669205/10155995225034206/?type=3,2017-09-15 11:00:01,1370,336,128,1256,98,5,1,8,2,0
48382669205_10155987528489206,#Philly: Pre-sale tickets for JAY-Z's 4:44 Tour are now available on TIDAL: TIDAL.com #444Tour,,photo,https://www.facebook.com/JayZ/photos/a.10152252779104206.1073741828.48382669205/10155987527579206/?type=3,2017-09-11 09:00:16,1203,159,58,1123,74,6,0,0,0,0
