token,count,frequencyPer100Comment,frequencyPer100Token
you,764,19.49974476773864,2.9755413615828012
love,566,14.446145992853495,2.2043932076647454
i,524,13.374170495150587,2.0408163265306123
3,442,11.281265952016335,1.7214519395544476
justin,403,10.285860132720776,1.569559121358467
me,400,10.209290454313425,1.5578750584203147
and,336,8.575803981623277,1.3086150490730644
the,293,7.4783052577845845,1.1411434802928806
a,287,7.325165900969882,1.1177753544165758
to,284,7.248596222562533,1.1060912914784233
your,283,7.2230729964267475,1.1021966038323727
add,253,6.457376212353242,0.9853559744508491
,238,6.074527820316488,0.9269356597600873
sticker,237,6.049004594180704,0.9230409721140365
te,204,5.206738131699847,0.7945162797943606
my,200,5.104645227156713,0.7789375292101574
is,199,5.079122001020929,0.7750428415641066
so,196,5.002552322613578,0.7633587786259541
que,195,4.977029096477795,0.7594640909799034
u,181,4.619703930576825,0.7049384639351924
in,173,4.415518121490557,0.6737809627667861
amo,169,4.313425216947422,0.658202212182583
are,154,3.9305768249106685,0.5997818974918212
of,148,3.777437468095967,0.5764137716155164
meu,145,3.7008677896886164,0.5647297086773642
for,141,3.5987748851454824,0.549150958093161
bieber,131,3.3435426237876467,0.5102040816326531
❤,120,3.0627871362940278,0.4673625175260944
like,116,2.9606942317508933,0.45178376694189126
that,110,2.807554874936192,0.4284156410655865
he,107,2.730985196528841,0.41673157812743417
good,104,2.6544155181214903,0.40504751518928184
photo,101,2.57784583971414,0.39336345225112945
with,99,2.5267993874425727,0.3855740769590279
dad,93,2.3736600306278715,0.36220595108272313
de,92,2.348136804492088,0.3583112634366724
father,91,2.322613578356304,0.3544165757906216
have,91,2.322613578356304,0.3544165757906216
be,89,2.271567126084737,0.34662720049852
no,86,2.1949974476773866,0.33494313756036764
him,85,2.169474221541603,0.33104844991431687
it,83,2.1184277692700357,0.3232590746222153
this,82,2.092904543134252,0.3193643869761645
best,79,2.0163348647269013,0.30768032403801215
his,77,1.9652884124553343,0.2998909487459106
mi,76,1.9397651863195506,0.2959962610998598
what,71,1.8121490556406332,0.27652282286960583
