token,count,frequencyPer100Comment,frequencyPer100Token
love,566,14.4461,2.2044
3,442,11.2813,1.7215
justin,403,10.2859,1.5696
add,253,6.4574,0.9854
,238,6.0745,0.9269
sticker,237,6.0490,0.9230
te,204,5.2067,0.7945
que,195,4.9770,0.7595
u,181,4.6197,0.7049
amo,169,4.3134,0.6582
meu,145,3.7009,0.5647
bieber,131,3.3435,0.5102
❤,120,3.0628,0.4674
like,116,2.9607,0.4518
good,104,2.6544,0.4050
photo,101,2.5778,0.3934
dad,93,2.3737,0.3622
father,91,2.3226,0.3544
best,79,2.0163,0.3077
mi,76,1.9398,0.2960
e,69,1.7611,0.2687
daddy,69,1.7611,0.2687
y,68,1.7356,0.2648
life,63,1.6080,0.2454
just,63,1.6080,0.2454
family,61,1.5569,0.2376
😍,56,1.4293,0.2181
eu,56,1.4293,0.2181
jb,56,1.4293,0.2181
meadd,55,1.4038,0.2142
o,55,1.4038,0.2142
amor,55,1.4038,0.2142
im,54,1.3783,0.2103
dont,54,1.3783,0.2103
know,48,1.2251,0.1869
❤️,47,1.1996,0.1831
tu,43,1.0975,0.1675
ur,42,1.0720,0.1636
thats,41,1.0465,0.1597
baby,41,1.0465,0.1597
não,41,1.0465,0.1597
é,40,1.0209,0.1558
son,38,0.9699,0.1480
😍😍,38,0.9699,0.1480
proud,37,0.9444,0.1441
world,37,0.9444,0.1441
sogro,37,0.9444,0.1441
la,37,0.9444,0.1441
god,37,0.9444,0.1441
nice,37,0.9444,0.1441
lo,36,0.9188,0.1402
sweet,35,0.8933,0.1363
singer,34,0.8678,0.1324
el,34,0.8678,0.1324
es,34,0.8678,0.1324
😍😍😍,31,0.7912,0.1207
lindo,31,0.7912,0.1207
youre,31,0.7912,0.1207
da,31,0.7912,0.1207
ya,31,0.7912,0.1207
cute,30,0.7657,0.1168
think,30,0.7657,0.1168
happy,29,0.7402,0.1129
se,29,0.7402,0.1129
suegro,29,0.7402,0.1129
man,29,0.7402,0.1129
por,28,0.7147,0.1091
people,27,0.6891,0.1052
si,27,0.6891,0.1052
com,27,0.6891,0.1052
said,26,0.6636,0.1013
say,25,0.6381,0.0974
beautiful,25,0.6381,0.0974
um,25,0.6381,0.0974
