status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
67253243887_10156320195108888,I️ love continuing to get to know my father I️ love working through hard things to get to the good things.. relationships are worth fighting for especially with family!! Love you forever and always daddy!,,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10156320194798888/?type=3,2017-12-06 17:17:44,177293,3395,3821,119422,56067,1219,422,94,39,30
67253243887_10156313396423888,,,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10156313396313888/?type=3,2017-12-04 18:03:58,386793,11088,9408,249885,131285,2812,2338,188,206,79
67253243887_10156300624623888,,🍋,video,https://www.facebook.com/JustinBieber/videos/10156300624623888/,2017-11-30 18:13:30,119439,3423,5875,67488,48563,403,2856,35,36,58
67253243887_10156248102733888,2 years. Thank you,Timeline Photos,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10156248102733888/?type=3,2017-11-14 17:20:17,353110,10910,16310,225046,123623,2629,672,415,117,608
67253243887_10156248099508888,"👍🏻

https://youtu.be/sSa6COaFn0M",How Scooter Braun Went From Promoting Parties to Building An Entertainment Empire | Blueprint,video,https://youtu.be/sSa6COaFn0M,2017-11-14 17:18:44,64096,809,677,44292,18744,515,78,41,19,407
67253243887_10156191396208888,,Photos from Justin Bieber's post,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10156191395628888/?type=3,2017-10-26 11:46:59,329264,8420,10703,219405,102685,1047,5213,98,122,694
67253243887_10156182619468888,,,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10156182619323888/?type=3,2017-10-23 12:17:11,592698,17593,16741,412294,160709,9581,3111,4788,1365,850
67253243887_10156173549678888,,,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10156173549558888/?type=3,2017-10-20 13:45:20,845181,28463,50667,536517,296331,7535,3092,388,482,836
67253243887_10156164384623888,,,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10156164384503888/?type=3,2017-10-17 16:00:13,673689,20053,25465,449575,206821,2672,13118,330,346,827
67253243887_10156153208538888,"STADIUM TOUR MERCH 2.0
purposetourmerch.com",,video,https://www.facebook.com/JustinBieber/videos/10156153208538888/,2017-10-13 17:57:27,116152,3728,5274,78129,35568,1498,166,312,46,433
67253243887_10156124624883888,,,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10156124624498888/?type=3,2017-10-04 10:28:52,570678,13061,17742,402006,162019,3714,1757,163,209,810
67253243887_10156104953603888,,,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10156104953488888/?type=3,2017-09-27 15:01:23,380279,7753,7156,276971,98703,2625,942,124,130,784
67253243887_10156099029408888,,,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10156099029333888/?type=3,2017-09-25 18:05:16,415428,10525,7996,295175,109547,1976,7537,203,232,758
67253243887_10156086493828888,Daaaaas me,,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10156086493748888/?type=3,2017-09-21 13:58:41,594017,15952,19641,395851,187367,2888,6471,464,183,793
