token,count,frequencyPer100Comment,frequencyPer100Token
you,537,21.767328739359545,2.710615314724143
i,405,16.41670044588569,2.0443188127807783
me,332,13.45764085934333,1.6758366564030083
for,322,13.052290231049856,1.6253596486800261
is,272,11.025537089582489,1.3729746100651152
in,265,10.741791649777058,1.3376407046590277
not,262,10.620186461289014,1.322497602342133
the,253,10.255370895824889,1.2770682953914492
with,219,8.877178759627077,1.10544646913331
to,215,8.715038508309688,1.085255666044117
this,207,8.39075800567491,1.0448740598657311
and,172,6.97203080664775,0.8682045328352934
a,163,6.607215241183624,0.8227752258846095
what,150,6.080259424402108,0.7571551158447327
your,132,5.3506282934738545,0.6662965019433648
,128,5.188488042156465,0.6461056988541719
make,125,5.066882853668423,0.6309625965372773
have,120,4.8642075395216855,0.6057240926757862
one,103,4.175111471422781,0.5199131795467165
my,99,4.012971220105391,0.4997223764575236
love,98,3.972436157276044,0.4946746756852254
are,95,3.8508309687880016,0.47953157336833074
go,91,3.688690717470612,0.4593407702791379
of,88,3.56708552898257,0.44419766796224325
justin,87,3.526550466153223,0.4391499671899449
just,85,3.4454803404945276,0.4290545656453485
on,85,3.4454803404945276,0.4290545656453485
like,74,2.9995946493717067,0.37352985715006815
or,74,2.9995946493717067,0.37352985715006815
from,74,2.9995946493717067,0.37352985715006815
get,73,2.959059586542359,0.36848215637776993
that,72,2.9185245237130117,0.36343445560547166
it,72,2.9185245237130117,0.36343445560547166
if,69,2.7969193352249695,0.348291353288577
they,61,2.4726388325901905,0.3079097471101913
3,61,2.4726388325901905,0.3079097471101913
was,60,2.4321037697608427,0.3028620463378931
will,60,2.4321037697608427,0.3028620463378931
he,59,2.391568706931496,0.2978143455655949
lol,58,2.351033644102148,0.29276664479329667
tell,57,2.310498581272801,0.28771894402099846
so,55,2.229428455614106,0.27762354247640203
say,51,2.067288204296717,0.2574327393872091
his,49,1.986218078638022,0.2473373378426127
know,47,1.9051479529793272,0.23724193629801626
see,46,1.8646128901499797,0.23219423552571805
jordan,46,1.8646128901499797,0.23219423552571805
another,46,1.8646128901499797,0.23219423552571805
peopel,45,1.8240778273206324,0.22714653475341984
becouse,44,1.783542764491285,0.22209883398112162
jt,44,1.783542764491285,0.22209883398112162
be,43,1.7430077016619374,0.21705113320882335
de,43,1.7430077016619374,0.21705113320882335
please,43,1.7430077016619374,0.21705113320882335
im,42,1.7024726388325904,0.21200343243652514
need,41,1.6619375760032429,0.20695573166422693
do,40,1.6214025131738954,0.2019080308919287
about,40,1.6214025131738954,0.2019080308919287
😍,39,1.5808674503445481,0.1968603301196305
never,39,1.5808674503445481,0.1968603301196305
come,39,1.5808674503445481,0.1968603301196305
all,38,1.5403323875152006,0.1918126293473323
must,37,1.4997973246858534,0.18676492857503407
chile,34,1.3781921361978111,0.1716218262581394
😂,34,1.3781921361978111,0.1716218262581394
bianca,34,1.3781921361978111,0.1716218262581394
sticker,34,1.3781921361978111,0.1716218262581394
how,33,1.3376570733684636,0.1665741254858412
can,33,1.3376570733684636,0.1665741254858412
out,33,1.3376570733684636,0.1665741254858412
but,32,1.2971220105391164,0.16152642471354298
every,32,1.2971220105391164,0.16152642471354298
good,32,1.2971220105391164,0.16152642471354298
timberlake,31,1.256586947709769,0.15647872394124476
pay,31,1.256586947709769,0.15647872394124476
same,31,1.256586947709769,0.15647872394124476
when,31,1.256586947709769,0.15647872394124476
him,31,1.256586947709769,0.15647872394124476
time,30,1.2160518848804214,0.15143102316894655
we,30,1.2160518848804214,0.15143102316894655
call,28,1.1349817592217268,0.14133562162435012
give,28,1.1349817592217268,0.14133562162435012
omg,28,1.1349817592217268,0.14133562162435012
now,28,1.1349817592217268,0.14133562162435012
where,27,1.0944466963923796,0.1362879208520519
also,27,1.0944466963923796,0.1362879208520519
new,27,1.0944466963923796,0.1362879208520519
