status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
5718732097_10155397829342098,Braspberry,,video,https://www.facebook.com/justintimberlake/videos/10155397829342098/,2017-12-05 16:54:42,17017,626,588,12782,2199,38,1991,2,4,1
5718732097_10155388675192098,"Wonder Wheel is out now in LA and NY folks! Everywhere Dec 15. Tickets: 

http://bit.ly/WWJTTix",,video,https://www.facebook.com/justintimberlake/videos/10155388675192098/,2017-12-02 13:33:29,5792,102,107,5036,707,42,3,0,3,1
5718732097_10155386400927098,"#FBF to Tennessee times with Chris Stapleton Pilgrimage Music Festival. Chris- the new album is TOO GOOD. Can be served with or without whiskey. 

http://strm.to/FromARoom2",,photo,https://www.facebook.com/justintimberlake/photos/a.10151626515812098.1073741833.5718732097/10155386400882098/?type=3,2017-12-01 19:00:11,14395,173,174,12401,1937,52,4,0,0,1
5718732097_10155382749367098,Good times The Late Show with Stephen Colbert,Photos from Justin Timberlake's post,photo,https://www.facebook.com/justintimberlake/photos/a.10151626515812098.1073741833.5718732097/10155382749327098/?type=3,2017-11-30 13:51:29,14710,126,131,12737,1795,21,148,2,2,5
5718732097_10155380975177098,Enjoyed our night under the stars....  The Late Show with Stephen Colbert. More tonight folks.,The Late Show with Stephen Colbert,video,https://www.facebook.com/colbertlateshow/videos/1274825162662232/,2017-11-29 20:56:30,19936,767,0,12677,2218,17,5019,1,4,0
5718732097_10155369285712098,I’m partnering this year with American Express to support #SmallBizSat. One of the things that makes America so great are its small stores and businesses. So support your local stores when you shop this holiday folks! 🇺🇸,,photo,https://www.facebook.com/justintimberlake/photos/a.59139787097.73030.5718732097/10155369283517098/?type=3,2017-11-25 15:00:01,5869,117,125,5243,585,29,6,2,2,2
5718732097_10155369064687098,Shaking off those leftovers like... Hope everyone had a great Thanksgiving! 🎥 @jessicabiel,,video,https://www.facebook.com/justintimberlake/videos/10155369064687098/,2017-11-25 13:02:00,29086,306,239,24773,3613,65,629,4,0,2
5718732097_10155366270592098,Post-Turkey day plans....?,Trolls,video,https://www.facebook.com/DreamWorksTrolls/videos/2063802836979801/,2017-11-24 12:51:48,20304,2401,0,17068,2975,46,207,4,3,1
5718732097_10155358290317098,PARIS,Photos from Justin Timberlake's post,photo,https://www.facebook.com/justintimberlake/photos/a.10151626515812098.1073741833.5718732097/10155358290242098/?type=3,2017-11-21 17:47:03,36982,371,264,33147,3550,241,27,8,2,7
5718732097_10155350967322098,🍋 #LemonDanceChallenge,,video,https://www.facebook.com/justintimberlake/videos/10155350967322098/,2017-11-19 01:32:16,70588,1231,3097,59046,9064,159,2310,1,2,6
5718732097_10155350342892098,Snacks,,photo,https://www.facebook.com/justintimberlake/photos/a.10151626515812098.1073741833.5718732097/10155350342847098/?type=3,2017-11-18 20:15:47,50446,902,435,43465,6453,75,446,1,1,5
5718732097_10155335355027098,Concrete jungle,,photo,https://www.facebook.com/justintimberlake/photos/a.10151626515812098.1073741833.5718732097/10155335355002098/?type=3,2017-11-13 21:22:52,16578,254,167,14620,1752,184,14,3,0,5
5718732097_10155329726807098,"Today and every day, it is so important to respect and honor those who have served. 

This week, my wife Jessica Biel and I had the honor of supporting Heroes and Horses, dedicated to Veterans’ rehabilitation. Watch their film #500MilesProject and find out more in the links below. I hope the story & cause moves you as much as it did me. 
https://vimeo.com/242337463
https://www.500milesproject.org/

THANK YOU to all those who have served our country. 
God Bless our veterans. #VeteransDay 🇺🇸",Photos from Justin Timberlake's post,photo,https://www.facebook.com/justintimberlake/photos/a.59139787097.73030.5718732097/10155329722622098/?type=3,2017-11-11 18:43:26,31543,176,457,28060,3380,84,10,2,1,6
5718732097_10155324131062098,All our love DR. #TBT #DominicanRepublic The Tennessee Kids,,video,https://www.facebook.com/justintimberlake/videos/10155324131062098/,2017-11-09 19:28:34,11059,169,281,8984,2031,35,4,0,1,4
5718732097_10155321618722098,Double take.,,photo,https://www.facebook.com/justintimberlake/photos/a.10151626515812098.1073741833.5718732097/10155321618667098/?type=3,2017-11-08 22:00:04,9863,128,88,8364,1408,77,9,0,0,5
5718732097_10155311679782098,#FestivalPresidente2017,Photos from Justin Timberlake's post,photo,https://www.facebook.com/justintimberlake/photos/a.59139787097.73030.5718732097/10155311672727098/?type=3,2017-11-05 14:15:58,47984,376,471,40879,6858,205,20,8,1,13
5718732097_10155310396812098,First time. Best time. Gracias #DominicanRepublic! 🇩🇴 #festivalpresidente2017,,video,https://www.facebook.com/justintimberlake/videos/10155310396812098/,2017-11-05 02:09:05,20863,373,576,17441,3200,194,14,8,0,6
5718732097_10155310148282098,Warming up...‪ #FestivalPresidente2017‬,,video,https://www.facebook.com/justintimberlake/videos/10155310148282098/,2017-11-04 22:35:39,30812,448,610,25128,5489,169,14,2,2,8
5718732097_10155303882642098,🎯🎯 #TBT,,video,https://www.facebook.com/justintimberlake/videos/10155303882642098/,2017-11-02 20:57:50,18822,332,331,16068,1660,860,227,0,1,6
5718732097_10155302474857098,"What a great #WorldSeries! So fun to watch and congrats to the Houston Astros on that ring and Los Angeles Dodgers on a great year! We will be back, LA!",,status,,2017-11-02 11:40:20,5442,104,32,4964,442,18,7,3,2,6
5718732097_10155297513917098,"If you see us in these streets then have your candy ready! Trick-Or-Treat, little homies! —Woody, Jesse, and Buzz

#HappyHalloween",,photo,https://www.facebook.com/justintimberlake/photos/a.10151626515812098.1073741833.5718732097/10155297513867098/?type=3,2017-10-31 17:56:00,248470,4428,5020,191622,52315,609,3895,12,3,14
5718732097_10155293077542098,"What. A. Game.
#WorldSeries",,status,,2017-10-30 09:52:12,7078,128,39,6449,530,74,9,9,0,7
5718732097_10155272111247098,#AlMichaelsShakeYaBooty,,status,,2017-10-22 21:31:30,7765,184,93,6293,721,10,733,1,2,5
5718732097_10155271697142098,2.4.2018. Minnesota. #PepsiHalftime #SBLII,Justin Timberlake's cover photo,photo,https://www.facebook.com/justintimberlake/photos/a.10150592962422098.388080.5718732097/10155271695517098/?type=3,2017-10-22 19:17:08,76928,3065,8892,51887,23358,1481,57,38,91,16
5718732097_10155271480797098,I DO have the time. Half the time... #PepsiHalftime #SBLII,SBLII Pepsi Halftime Show,video,https://www.facebook.com/justintimberlake/videos/10155271480797098/,2017-10-22 19:00:00,91835,7774,31881,58759,25300,328,7383,10,49,6
5718732097_10155270898592098,#Grandprix #Austin 10.21.2017,Photos from Justin Timberlake's post,photo,https://www.facebook.com/justintimberlake/photos/a.10151626515812098.1073741833.5718732097/10155270898377098/?type=3,2017-10-22 13:23:06,19476,258,301,16377,2966,105,9,5,2,12
5718732097_10155268233177098,See you tonight F1 🏎 #GrandPrix #Austin The Tennessee Kids The Shadowboxers Circuit of The Americas,,photo,https://www.facebook.com/justintimberlake/photos/a.10151626515812098.1073741833.5718732097/10155268233132098/?type=3,2017-10-21 12:18:57,4479,102,101,3862,540,63,3,4,3,4
