author_name,frequency,frequencyPer100Comment
Mark,32,1.631820499745028
Adam,21,1.0708822029576748
Scott,18,0.9178990311065782
Emma,17,0.8669046404895462
Claire,17,0.8669046404895462
Matt,17,0.8669046404895462
James,16,0.815910249872514
Chris,16,0.815910249872514
David,16,0.815910249872514
Andrew,16,0.815910249872514
Michael,15,0.7649158592554819
Sarah,15,0.7649158592554819
Paul,13,0.6629270780214177
LEGO,13,0.6629270780214177
Daniel,13,0.6629270780214177
Katie,13,0.6629270780214177
Dan,12,0.6119326874043856
Matthew,12,0.6119326874043856
Will,12,0.6119326874043856
Eric,12,0.6119326874043856
Jason,12,0.6119326874043856
Steve,12,0.6119326874043856
Alex,12,0.6119326874043856
Helen,11,0.5609382967873533
Larry,11,0.5609382967873533
Ryan,10,0.5099439061703213
Lisa,10,0.5099439061703213
Joe,10,0.5099439061703213
John,10,0.5099439061703213
Laura,10,0.5099439061703213
Christopher,10,0.5099439061703213
Emily,10,0.5099439061703213
Brian,9,0.4589495155532891
Martin,9,0.4589495155532891
Mike,9,0.4589495155532891
Sara,8,0.407955124936257
Amanda,8,0.407955124936257
Neil,8,0.407955124936257
Lee,8,0.407955124936257
Rob,8,0.407955124936257
Stephanie,7,0.35696073431922487
Ben,7,0.35696073431922487
Liz,7,0.35696073431922487
Kelly,7,0.35696073431922487
Samantha,7,0.35696073431922487
Jonathan,7,0.35696073431922487
Melissa,7,0.35696073431922487
Andrea,7,0.35696073431922487
Charlotte,6,0.3059663437021928
Jessica,6,0.3059663437021928
Beverley,6,0.3059663437021928
Robert,6,0.3059663437021928
Nick,6,0.3059663437021928
Nicole,6,0.3059663437021928
Rebecca,6,0.3059663437021928
Peter,6,0.3059663437021928
Hannah,6,0.3059663437021928
Anna,6,0.3059663437021928
Jo,6,0.3059663437021928
Tim,6,0.3059663437021928
Keith,6,0.3059663437021928
Taylor,6,0.3059663437021928
Simon,6,0.3059663437021928
Jamie,6,0.3059663437021928
Leanne,5,0.25497195308516063
Rachel,5,0.25497195308516063
Susan,5,0.25497195308516063
Amélie,5,0.25497195308516063
Jen,5,0.25497195308516063
Natalie,5,0.25497195308516063
