token,frequency
i,395
the,384
this,337
a,255
to,240
it,235
is,174
you,142
and,136
for,126
of,117
my,115
that,114
,113
in,112
have,111
lego,108
need,91
so,86
want,83
love,83
one,82
we,76
be,70
like,68
on,67
with,67
just,64
photo,57
cool,57
set,57
looks,56
but,55
get,54
omg,52
at,52
look,52
me,50
yes,49
diner,49
not,48
😍,45
think,44
out,44
all,42
will,42
was,41
lol,41
x,41
its,40
modular,39
do,38
oh,38
how,37
awesome,37
new,36
your,35
would,34
more,33
are,33
up,33
other,33
too,31
building,31
no,30
as,30
it’s,29
build,29
amazing,28
dont,28
collection,28
im,27
going,27
know,27
room,26
can,26
fit,25
they,25
cute,25
what,25
from,25
now,24
these,24
buildings,24
sets,24
there,23
next,23
well,23
or,22
about,22
buy,22
faces,21
much,21
if,21
first,21
another,21
xx,20
why,20
been,19
make,19
birthday,19
money,19
😂,19
wow,19
i’m,19
into,19
our,19
got,18
christmas,18
pink,18
city,18
an,18
really,18
thats,18
could,18
que,17
good,17
gym,17
when,17
still,17
mark,17
list,17
see,17
please,17
nice,17
go,17
modulars,17
getting,17
haha,16
de,16
😍😍,16
classic,16
james,16
them,15
already,15
am,15
very,15
house,15
bit,15
o,14
check,14
wait,14
space,14
3,14
town,14
jamie,14
😉,14
😁,14
some,14
thought,14
add,14
he,14
even,13
better,13
sticker,13
has,13
square,13
needs,13
actually,13
american,13
😱,13
great,13
day,13
does,13
doesnt,13
street,12
office,12
had,12
car,12
place,12
than,12
saw,12
price,12
xmas,12
back,12
though,12
legos,12
should,12
series,11
louise,11
studio,11
xxx,11
way,11
corner,11
assembly,11
might,11
always,11
paul,11
simon,11
something,11
david,11
january,11
that’s,11
wish,11
sarah,10
must,10
daniel,10
john,10
time,10
😂😂,10
yeah,10
year,10
eu,10
little,10
ive,10
same,10
gonna,10
start,10
😘,10
recording,10
whole,10
d,10
matt,10
stuff,10
present,10
smith,10
amanda,10
can’t,9
definitely,9
best,9
steve,9
maybe,9
any,9
take,9
olha,9
laura,9
coming,9
also,9
pretty,9
restaurant,9
e,9
claire,9
who,9
after,8
then,8
seen,8
said,8
ill,8
life,8
😱😱😱,8
finally,8
did,8
1st,8
andy,8
years,8
thank,8
thing,8
ian,8
i’ll,8
ja,8
😍😍😍😍,8
chris,8
adam,8
minifigures,8
guess,8
part,8
us,8
van,8
eric,8
❤️,7
before,7
alex,7
mean,7
tom,7
don’t,7
gift,7
old,7
brown,7
hannah,7
making,7
earlier,7
were,7
say,7
only,7
come,7
andrew,7
those,7
her,7
u,7
🙂,7
xxxx,7
bigger,7
put,7
done,7
para,7
😊,7
his,7
um,7
quero,7
😍😍😍,7
dad,7
dan,7
jessica,7
never,6
work,6
i’ve,6
god,6
top,6
melissa,6
loft,6
shame,6
down,6
se,6
mais,6
white,6
future,6
sure,6
where,6
bricks,6
wants,6
different,6
totally,6
rest,6
real,6
ok,6
lot,6
enough,6
buying,6
emily,6
soon,6
idea,6
store,6
used,6
older,6
excited,6
by,6
katie,6
michael,6
boxing,6
stop,6
la,6
face,6
jan,6
ones,6
hahaha,6
emma,6
own,6
looking,5
told,5
😂😂😂,5
keep,5
end,5
over,5
talking,5
rogers,5
theme,5
christopher,5
bad,5
architecture,5
jack,5
sam,5
cant,5
boxer,5
yep,5
happy,5
na,5
guy,5
market,5
guys,5
josh,5
george,5
gotta,5
allen,5
zoe,5
ideas,5
shop,5
show,5
trop,5
un,5
jo,5
je,5
being,5
amy,5
either,5
business,5
trying,5
agree,5
again,5
design,5
style,5
ya,5
hunter,5
since,5
é,5
running,5
feel,5
station,5
😃,5
charlotte,5
sell,5
😲,5
creator,5
last,5
expensive,5
fun,5
mitchell,5
hoping,5
stephanie,5
big,5
steven,5
graham,5
nick,5
detectives,5
carter,5
sort,5
started,5
pour,5
instead,5
move,5
able,5
parisian,5
mike,5
less,5
wendy,5
ha,5
officially,4
here,4
joshua,4
julie,4
era,4
give,4
becky,4
order,4
break,4
bank,4
side,4
days,4
vugt,4
mine,4
seem,4
lovely,4
sooooo,4
child,4
id,4
80s,4
kyle,4
thanks,4
yet,4
right,4
people,4
jennifer,4
comments,4
super,4
dinner,4
call,4
wat,4
builds,4
inside,4
picture,4
jones,4
together,4
hope,4
detective,4
ron,4
die,4
linda,4
along,4
change,4
downtown,4
designer,4
such,4
man,4
remember,4
johnson,4
quite,4
saving,4
2,4
sad,4
bailey,4
cannot,4
joker,4
scott,4
nicole,4
ik,4
50s,4
tenho,4
floor,4
hayley,4
rose,4
❤,4
legal,4
ace,4
cinema,4
aaron,4
danielle,4
fan,4
small,4
lisa,4
richard,4
inspired,4
pick,4
🙈,4
gorgeous,4
ça,4
beautiful,4
robinson,4
okay,4
susan,4
dream,4
hell,4
stephen,4
heads,4
jeg,4
😞,4
wilson,4
built,4
nothing,4
thomas,4
vincent,4
expert,4
movie,4
point,4
prices,4
dufour,4
robin,4
theres,4
minifigs,4
rebecca,4
martin,4
stuart,4
long,4
line,4
jason,4
video,4
baby,4
pieces,4
wonderful,4
da,4
perfect,4
le,4
jukebox,4
front,4
austin,4
bring,4
she,4
joe,4
marty,4
denise,4
brad,4
quiero,4
although,4
goals,4
made,4
goodness,4
baker,4
lord,3
sorry,3
50’s,3
school,3
oooh,3
second,3
en,3
kids,3
hospital,3
until,3
mc,3
💕,3
turn,3
cadillac,3
green,3
things,3
murray,3
rachel,3
lucy,3
each,3
bells,3
dawn,3
shelves,3
mccafferty,3
stewart,3
timothy,3
à,3
👏,3
project,3
williams,3
esta,3
palace,3
mind,3
shall,3
maria,3
dom,3
lewis,3
rich,3
watson,3
😮,3
ever,3
release,3
🤔,3
valerie,3
com,3
dave,3
neal,3
ugly,3
plates,3
elliott,3
kit,3
spencer,3
adding,3
easy,3
natal,3
donald,3
post,3
joseph,3
true,3
holly,3
woodfield,3
push,3
says,3
attic,3
brilliant,3
rafael,3
bloody,3
carol,3
live,3
figure,3
alway,3
product,3
may,3
si,3
police,3
sorted,3
corners,3
el,3
bradley,3
es,3
jackson,3
carr,3
ring,3
wouldn’t,3
released,3
sophie,3
ana,3
craig,3
régis,3
knew,3
sale,3
lindsay,3
😍😍😍😍😍😍😍,3
spare,3
como,3
cities,3
many,3
por,3
isaac,3
paying,3
myself,3
theater,3
without,3
thinking,3
4,3
ross,3
around,3
color,3
dimensions,3
ou,3
het,3
qué,3
poor,3
dyer,3
original,3
cameron,3
te,3
hodges,3
واو,3
pass,3
👍🏼,3
gunn,3
90s,3
full,3
🤣,3
you’re,3
two,3
tão,3
glad,3
des,3
rodriguez,3
sense,3
playing,3
help,3
late,3
found,3
robert,3
fab,3
reason,3
voor,3
w,3
miss,3
least,3
😛,3
jordan,3
😎,3
😆,3
videoinline,3
😬,3
liz,3
kan,3
most,3
ka,3
tacky,3
luke,3
alexander,3
jade,3
individual,3
fans,3
greg,3
available,3
😭,3
hint,3
chloe,3
brick,3
fire,3
else,3
kelly,3
nikki,3
couple,3
falcon,3
alexandra,3
absolutely,3
added,3
retro,3
anne,3
anna,3
santa,3
esse,3
forward,3
ur,3
points,3
smiley,3
once,3
ryan,3
havent,3
giving,3
lee,3
makes,3
kristina,3
few,3
taj,3
brian,3
sim,3
fits,3
isso,3
ainda,3
2018,3
cest,3
announced,3
shut,3
josé,3
mae,3
evans,3
ben,3
bet,3
lindo,3
bedroom,3
grocer,3
beau,3
joanne,3
joanna,3
cole,3
progress,3
bought,3
table,3
hawkins,3
addition,3
theyve,3
plain,3
matthew,3
off,3
já,3
lauren,3
bell,3
wel,3
match,3
home,3
promise,3
reminds,3
wife,3
erin,3
oferecer,3
andre,2
veux,2
worth,2
jacob,2
tagging,2
hate,2
😌,2
100,2
fantastic,2
bry,2
cough,2
odell,2
adult,2
excellent,2
setup,2
mi,2
example,2
😱😱,2
lindsey,2
elizabeth,2
arch,2
types,2
purchase,2
figs,2
ideias,2
satisfied,2
went,2
fairly,2
mandy,2
gutierrez,2
carney,2
foto,2
standard,2
fleming,2
toy,2
girls,2
macula,2
👌,2
took,2
sian,2
target,2
mansueto,2
bonis,2
feeling,2
mini,2
obviously,2
strength,2
responsible,2
dessa,2
wells,2
y,2
regular,2
doesn’t,2
melhor,2
radio,2
wide,2
watch,2
nathan,2
sandy,2
gareth,2
bag,2
ems,2
woww,2
pete,2
away,2
bien,2
debs,2
une,2
até,2
karen,2
demais,2
ooooh,2
blower,2
catch,2
save,2
n,2
near,2
suppose,2
sousa,2
cann,2
il,2
windsor,2
evolve,2
ella,2
hang,2
characters,2
gustavo,2
lucas,2
tho,2
previous,2
så,2
genevieve,2
😭😭😭,2
designers,2
alice,2
theyre,2
night,2
dear,2
gosh,2
cooper,2
adorable,2
stefan,2
khan,2
plus,2
algo,2
gif,2
war,2
sofia,2
becoming,2
6,2
mercado,2
isana,2
tell,2
khm,2
ship,2
maili,2
til,2
tooooo,2
leacock,2
dustin,2
minifigure,2
ich,2
younger,2
broke,2
roe,2
themes,2
william,2
cunningham,2
leave,2
teal,2
you’ll,2
sign,2
colin,2
cost,2
roxanne,2
zattoni,2
current,2
appeal,2
Ça,2
mr,2
address,2
alone,2
boy,2
usually,2
guiala,2
till,2
crammed,2
ooh,2
❤️❤️,2
anything,2
crazy,2
carroll,2
imamura,2
beverley,2
dennis,2
regalo,2
max,2
sa,2
fête,2
course,2
interesting,2
hot,2
main,2
janeiro,2
chelsea,2
records,2
hall,2
wont,2
wong,2
jamen,2
em,2
ek,2
et,2
suzanne,2
gonzalez,2
fazer,2
cara,2
keith,2
care,2
nerdcubed,2
gordon,2
bits,2
alan,2
ridiculous,2
turned,2
stanley,2
grabbers,2
there’s,2
🎁,2
wanting,2
michelle,2
later,2
reed,2
carolina,2
samuel,2
hooper,2
isnt,2
skyline,2
review,2
outside,2
whats,2
between,2
25,2
screen,2
diners,2
comes,2
patrícia,2
moore,2
marc,2
mary,2
500,2
andrea,2
polly,2
middle,2
fatima,2
pam,2
northan,2
harris,2
conor,2
bottle,2
harrison,2
tim,2
ahhhh,2
moi,2
inflation,2
disappointed,2
christina,2
rachael,2
moreno,2
giguere,2
oliver,2
throw,2
favorite,2
os,2
garner,2
area,2
shannon,2
kwikemart,2
detailed,2
certain,2
heather,2
separate,2
i️,2
oneill,2
natalie,2
natalia,2
having,2
griffin,2
tt,2
tu,2
awful,2
morley,2
large,2
neighborhood,2
past,2
sun,2
anniversary,2
🤗,2
loose,2
tracks,2
experience,2
🤩,2
£150,2
family,2
va,2
suddenly,2
vip,2
aimed,2
🙄,2
knows,2
det,2
def,2
intended,2
brett,2
garcía,2
fraser,2
trade,2
logan,2
through,2
andré,2
curtis,2
trailer,2
neil,2
katrina,2
connect,2
ashley,2
research,2
houses,2
imagine,2
loads,2
gardner,2
number,2
wages,2
option,2
behind,2
sanders,2
😔,2
schon,2
😄,2
grew,2
gotten,2
😯,2
dani,2
kara,2
omggggg,2
lil,2
becca,2
kim,2
play,2
minha,2
prend,2
gabe,2
pennies,2
fine,2
sayin,2
colby,2
basement,2
art,2
angie,2
allie,2
missing,2
both,2
kathy,2
