token,frequency
i,393
the,384
this,275
a,255
to,239
it,171
is,170
and,134
you,133
for,125
of,117
my,112
that,106
have,106
in,103
lego,92
so,85
need,85
love,79
we,75
want,74
like,68
with,67
be,66
on,64
just,63
one,62
[[photo]],57
looks,56
but,55
get,53
at,52
not,48
look,46
😍,45
me,43
set,43
was,41
x,41
will,40
think,39
lol,38
all,38
new,36
how,36
do,36
omg,36
oh,35
your,35
would,34
out,34
are,33
modular,32
it's,31
yes,30
as,30
more,30
other,30
cool,29
it’s,29
-,28
build,27
up,27
can,26
going,26
they,25
diner,25
don't,25
from,25
i'm,24
no,24
building,24
what,24
fit,23
there,23
it!,23
know,23
these,22
or,22
another,21
if,21
next,21
about,21
buy,21
xx,20
this!,20
too,19
been,19
make,19
😂,19
i’m,19
into,19
our,19
why,19
room,18
got,18
awesome,18
now,18
first,18
an,18
really,18
que,17
when,17
still,17
could,17
sets,17
getting,17
de,16
😍😍,16
classic,16
:),16
mark,16
list,16
good,16
see,16
james,16
go,16
already,15
much,15
cool!,15
pink,15
that's,15
am,15
very,15
awesome!,15
well,15
this.,15
haha,14
christmas,14
check,14
birthday,14
😉,14
😁,14
please,14
some,14
thought,14
add,14
he,14
faces,13
has,13
actually,13
it.,13
😱,13
doesn't,13
amazing,12
better,12
gym,12
had,12
cute,12
place,12
than,12
saw,12
money,12
[[sticker]],12
bit,12
buildings,12
should,12
does,12
even,11
louise,11
xxx,11
wait,11
city,11
diner!,11
always,11
assembly,11
needs,11
jamie,11
wow,11
collection,11
back,11
nice,11
david,11
that’s,11
them,10
daniel,10
:d,10
😂😂,10
eu,10
price,10
corner,10
gonna,10
town,10
might,10
😘,10
recording,10
great,10
something,10
matt,10
paul,10
smith,10
!!,10
i've,10
wish,10
sarah,9
office,9
can’t,9
definitely,9
best,9
any,9
way,9
january,9
square,9
little,9
take,9
xmas,9
same,9
its,9
house,9
american,9
whole,9
e,9
simon,9
start,9
who,9
street,8
must,8
after,8
series,8
said,8
😱😱😱,8
time,8
andy,8
steve,8
thank,8
yeah,8
year,8
i’ll,8
olha,8
😍😍😍😍,8
chris,8
laura,8
i'll,8
coming,8
part,8
pretty,8
modulars,8
legos,8
stuff,8
van,8
eric,8
amanda,8
it!!!,7
❤️,7
<3,7
then,7
alex,7
too!,7
tom,7
don’t,7
seen,7
life,7
!!!,7
collection!,7
old,7
finally,7
:o,7
car,7
cute!,7
making,7
did,7
space,7
thing,7
john,7
come,7
andrew,7
;),7
out!,7
u,7
adam,7
🙂,7
xxxx,7
put,7
minifigures,7
done,7
guess,7
para,7
😊,7
also,7
his,7
buildings.,7
😍😍😍,7
claire,7
dan,7
day,7
jessica,7
one!,7
amazing!,7
it!!,6
before,6
i’ve,6
top,6
melissa,6
studio,6
loft,6
gift,6
sure,6
o,6
maybe,6
se,6
mais,6
ian,6
white,6
say,6
where,6
wants,6
those,6
different,6
totally,6
omg!,6
her,6
lot,6
enough,6
emily,6
hannah,6
"it,",6
bigger,6
restaurant,6
used,6
older,6
though,6
katie,6
us,6
ja,6
michael,6
boxing,6
stop,6
dad,6
one.,6
this?,6
in.,6
looking,5
told,5
never,5
😂😂😂,5
this!!,5
work,5
keep,5
over,5
😲,5
"well,",5
cool.,5
rogers,5
christopher,5
bad,5
josh,5
sam,5
shame,5
down,5
na,5
brown,5
guy,5
years,5
yes!,5
charlotte,5
earlier,5
gotta,5
future,5
were,5
allen,5
shop,5
show,5
trop,5
only,5
un,5
je,5
running,5
being,5
amy,5
trying,5
buying,5
!,5
soon,5
hunter,5
idea,5
since,5
é,5
feel,5
station,5
this!!!,5
😃,5
sell,5
creator,5
last,5
expensive,5
talking,5
mitchell,5
hoping,5
can't,5
big,5
by,5
steven,5
um,5
nick,5
lego.,5
carter,5
set.,5
sort,5
pour,5
move,5
able,5
parisian,5
jan,5
la,5
mike,5
present,5
"set,",5
though.,5
emma,5
wendy,5
own,5
ha,5
detective's,4
officially,4
here,4
joshua,4
julie,4
give,4
end,4
break,4
mean,4
god,4
there's,4
vugt,4
seem,4
da,4
them.,4
jack,4
lovely,4
sooooo,4
child,4
ik,4
pick,4
people,4
jennifer,4
comments,4
super,4
dinner,4
call,4
wat,4
happy,4
picture,4
jones,4
together,4
hope,4
detective,4
ron,4
change,4
market,4
downtown,4
such,4
guys,4
remember,4
johnson,4
becky,4
"yes,",4
quite,4
saving,4
george,4
sad,4
zoe,4
bailey,4
nice!,4
3,4
space.,4
scott,4
jo,4
bricks,4
nicole,4
stephen,4
50s,4
tenho,4
cool!!,4
rest,4
hayley,4
rose,4
real,4
❤,4
agree,4
aaron,4
danielle,4
small,4
design,4
inspired,4
🙈,4
robinson,4
okay,4
susan,4
ya,4
jeg,4
store,4
nothing,4
expert,4
prices,4
dufour,4
stephanie,4
minifigs,4
rebecca,4
1st,4
long,4
jason,4
quero,4
&,4
started,4
instead,4
le,4
vincent,4
austin,4
ones,4
she,4
joe,4
marty,4
denise,4
hahaha,4
less,4
quiero,4
room.,4
martin,4
made,4
baker,4
up.,3
up!,3
lord,3
sorry,3
i'd,3
until,3
era,3
turn,3
green,3
rachel,3
bank,3
lucy,3
each,3
is!,3
boxer,3
mccafferty,3
too.,3
timothy,3
👏,3
williams,3
esta,3
mine,3
shall,3
lewis,3
theme,3
rich,3
watson,3
😮,3
ever,3
release,3
🤔,3
com,3
ana,3
"now,",3
now.,3
dave,3
neal,3
im,3
elliott,3
joanne,3
kyle,3
thanks,3
adding,3
office.,3
easy,3
linda,3
collection.,3
donald,3
knew,3
isaac,3
post,3
c'est,3
inside,3
holly,3
woodfield,3
push,3
