token,count,frequencyPer100Comment,frequencyPer100Token
,113,5.7624,0.8021
lego,108,5.5074,0.7666
need,91,4.6405,0.6459
want,83,4.2325,0.5892
love,83,4.2325,0.5892
like,68,3.4676,0.4827
just,64,3.2636,0.4543
photo,57,2.9067,0.4046
cool,57,2.9067,0.4046
set,57,2.9067,0.4046
looks,56,2.8557,0.3975
omg,52,2.6517,0.3691
look,52,2.6517,0.3691
yes,49,2.4987,0.3478
diner,49,2.4987,0.3478
😍,45,2.2947,0.3194
think,44,2.2438,0.3123
lol,41,2.0908,0.2910
x,41,2.0908,0.2910
modular,39,1.9888,0.2768
oh,38,1.9378,0.2697
awesome,37,1.8868,0.2626
new,36,1.8358,0.2555
building,31,1.5808,0.2200
it’s,29,1.4788,0.2058
build,29,1.4788,0.2058
amazing,28,1.4278,0.1988
dont,28,1.4278,0.1988
collection,28,1.4278,0.1988
im,27,1.3768,0.1917
going,27,1.3768,0.1917
know,27,1.3768,0.1917
room,26,1.3259,0.1846
fit,25,1.2749,0.1775
cute,25,1.2749,0.1775
buildings,24,1.2239,0.1704
sets,24,1.2239,0.1704
buy,22,1.1219,0.1562
faces,21,1.0709,0.1491
xx,20,1.0199,0.1420
make,19,0.9689,0.1349
birthday,19,0.9689,0.1349
money,19,0.9689,0.1349
😂,19,0.9689,0.1349
wow,19,0.9689,0.1349
i’m,19,0.9689,0.1349
got,18,0.9179,0.1278
christmas,18,0.9179,0.1278
pink,18,0.9179,0.1278
city,18,0.9179,0.1278
really,18,0.9179,0.1278
thats,18,0.9179,0.1278
que,17,0.8669,0.1207
good,17,0.8669,0.1207
gym,17,0.8669,0.1207
mark,17,0.8669,0.1207
list,17,0.8669,0.1207
nice,17,0.8669,0.1207
modulars,17,0.8669,0.1207
getting,17,0.8669,0.1207
haha,16,0.8159,0.1136
😍😍,16,0.8159,0.1136
classic,16,0.8159,0.1136
james,16,0.8159,0.1136
house,15,0.7649,0.1065
bit,15,0.7649,0.1065
o,14,0.7139,0.0994
check,14,0.7139,0.0994
wait,14,0.7139,0.0994
space,14,0.7139,0.0994
3,14,0.7139,0.0994
town,14,0.7139,0.0994
jamie,14,0.7139,0.0994
😉,14,0.7139,0.0994
😁,14,0.7139,0.0994
thought,14,0.7139,0.0994
add,14,0.7139,0.0994
better,13,0.6629,0.0923
sticker,13,0.6629,0.0923
square,13,0.6629,0.0923
needs,13,0.6629,0.0923
actually,13,0.6629,0.0923
american,13,0.6629,0.0923
😱,13,0.6629,0.0923
great,13,0.6629,0.0923
day,13,0.6629,0.0923
does,13,0.6629,0.0923
doesnt,13,0.6629,0.0923
street,12,0.6119,0.0852
office,12,0.6119,0.0852
car,12,0.6119,0.0852
place,12,0.6119,0.0852
saw,12,0.6119,0.0852
price,12,0.6119,0.0852
xmas,12,0.6119,0.0852
legos,12,0.6119,0.0852
series,11,0.5609,0.0781
louise,11,0.5609,0.0781
studio,11,0.5609,0.0781
xxx,11,0.5609,0.0781
way,11,0.5609,0.0781
corner,11,0.5609,0.0781
assembly,11,0.5609,0.0781
paul,11,0.5609,0.0781
simon,11,0.5609,0.0781
david,11,0.5609,0.0781
january,11,0.5609,0.0781
that’s,11,0.5609,0.0781
wish,11,0.5609,0.0781
sarah,10,0.5099,0.0710
daniel,10,0.5099,0.0710
john,10,0.5099,0.0710
