status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
6665038402_10155271268648403,"Discover a place where music is on the menu! 🎙🎶
The LEGO Creator Expert 10260 Downtown Diner is coming on January 1st. http://LEGO.build/DowntownDinerAnnouncement",Photos from LEGO's post,photo,https://www.facebook.com/LEGO/photos/a.10150175674793403.303596.6665038402/10155271257363403/?type=3,2017-11-29 11:00:00,10052,1773,1926,7774,1698,562,6,9,2,1
6665038402_10155268813063403,"Family Villa, Modern Home, or Poolside holiday? Build the ultimate Creator 3in1 house using the modularity system! 🏡

www.lego.build/Creator3in1",Modular Home - Creator 3in1,video,https://www.facebook.com/LEGO/videos/10155268813063403/,2017-11-28 09:26:12,756,35,51,649,83,21,1,1,1,0
6665038402_10155266097633403,"Han Solo would be very happy with this LEGO YT Corellian Light Freighter model! He would not make any boosts to this one. 😉 Made by Nuno_0937, the winner of the LEGO Star Wars Rebrick contest. Thanks to all the fans who participated and honored, with their best versions, the incomparable Millennium Falcon. See them all here: http://rebrick.it/FreighterWars",Photos from LEGO's post,photo,https://www.facebook.com/LEGO/photos/a.10150175674793403.303596.6665038402/10155265959428403/?type=3,2017-11-27 15:00:00,7525,473,718,6036,745,737,3,2,2,0
6665038402_10155265112753403,"The LEGO BOOST App is now available on selected Windows 10 devices with BLE 4.1 or higher or with a Windows 10 supported BLE dongle. The app experience is optimized for touch screen devices. Check your device, download the app and have fun with Vernie & crew! See more here: http://lego.build/2zhZWCj",LEGO BOOST,video,https://www.facebook.com/LEGO/videos/10155265112753403/,2017-11-27 06:00:00,511,70,73,465,30,14,1,1,0,0
6665038402_10155263354958403,"Sunday expectations: brunch with friends, clean the house, meal plan for the week …
Reality: pajamas, cats, cereal. 🐱💖 
📸: @frostbricks",Timeline Photos,photo,https://www.facebook.com/LEGO/photos/a.10150175674793403.303596.6665038402/10155263354958403/?type=3,2017-11-26 11:30:08,1393,45,77,1133,90,7,161,0,2,0
6665038402_1630655433665859,"Have you ever tried to catch the most elusive, the most speedy, and the most slippery mob in Minecraft? Eljay shares his story… 🐓😮😂",Minecraft Moments 4: Eljay Johnsen - LEGO Minecraft,video,https://www.facebook.com/LEGO/videos/1630655433665859/,2017-11-26 07:00:00,442,14,25,402,18,5,13,1,2,1
6665038402_10155260653428403,Celebrate the holidays creatively! Check out the awesome costumes that our friends at InnovaLUG designed for our exclusive Nutcracker. Feeling inspired? Start your holiday festivities here: http://LEGO.build/BrickFriday,InnovaLUG Custom Nutcrackers,video,https://www.facebook.com/LEGO/videos/10155260653428403/,2017-11-25 10:08:50,1757,70,185,1590,116,16,34,0,1,0
6665038402_10155258451883403,It's no joke...The Joker Manor is now available! http://LEGO.build/JokerManor,Joker Manor,video,https://www.facebook.com/LEGO/videos/10155258451883403/,2017-11-24 13:15:35,10387,981,1119,8746,1056,549,27,8,0,1
6665038402_10155254650468403,"Add a skylight to your modern home. It’s classy and so fun to make! 😎🏡😍

http://lego.build/Creator3in1",Building Tips: Skylight - LEGO Creator 3in1,video,https://www.facebook.com/LEGO/videos/10155254650468403/,2017-11-24 10:00:00,724,9,64,660,44,14,5,0,0,1
6665038402_10155252807213403,Did somebody say it's Black Friday? #GameOn,Darth Vader getting ready for Black Friday,video,https://www.facebook.com/LEGO/videos/10155252807213403/,2017-11-24 09:00:00,208,5,14,186,15,4,2,0,0,1
6665038402_10155256874003403,Go nuts this holiday season and kickoff the celebrations with Brick Friday exclusive offers! http://LEGO.build/BrickFriday 😍🎁,Go nuts this holiday season and kick off the celebrations with...,video,https://www.facebook.com/LEGO/videos/10155256874003403/,2017-11-24 04:03:01,1453,135,138,1298,109,30,12,1,3,0
6665038402_10155254703003403,The new LEGO set 70922 The Joker Manor will be available tomorrow! Our Masterbuilder Mark was building the set live yesterday 🎥 Check out the video on our LEGO Lab YouTube channel: http://lego.build/YTLab-JokerManor,Photos from LEGO's post,photo,https://www.facebook.com/LEGO/photos/a.10150175674793403.303596.6665038402/10155254694693403/?type=3,2017-11-23 13:00:00,2997,333,184,2621,221,151,1,0,3,0
6665038402_10155246233828403,Being awesome works up an appetite… Unite the league and celebrate #Friendsgiving! 🍗,,photo,https://www.facebook.com/LEGO/photos/a.10150175674793403.303596.6665038402/10155246233178403/?type=3,2017-11-22 13:00:00,5328,191,706,4609,405,18,293,0,3,0
6665038402_10155249051803403,Seeing the future with LEGO Friends 🔮🔭,,photo,https://www.facebook.com/LEGO/photos/a.10150175674793403.303596.6665038402/10155249044393403/?type=3,2017-11-22 10:00:01,658,26,83,577,25,2,52,1,1,0
6665038402_10155245773358403,See how LEGO BOOST's Vernie the Robot and Frankie the Cat help out the family preparing a surprise party for their dad! 🎈🎉🎁,LEGO BOOST,video,https://www.facebook.com/LEGO/videos/10155245773358403/,2017-11-22 08:00:00,2025,112,348,1730,202,30,60,2,1,0
6665038402_10155245814818403,"Feeling peckish? Stop by the kitchen and grab something good to eat from this fancy fridge! 
http://lego.build/Creator3in1",LEGO Creator 3in1,video,https://www.facebook.com/LEGO/videos/10155245814818403/,2017-11-21 10:00:00,691,18,50,623,45,19,3,0,1,0
6665038402_10155246150313403,Highlight of the day! Our amazing young ad directors get to meet with LEGO Group CMO Julia Goldin and chairman of LEGO Foundation Thomas Kirk Kristiansen. #KidsTakeOver #WorldChildrensDay,,photo,https://www.facebook.com/LEGO/photos/a.10150175674793403.303596.6665038402/10155246136508403/?type=3,2017-11-20 11:12:55,269,4,15,237,21,2,8,1,0,0
6665038402_10155231498683403,Which DC Comics Superhero would you choose to team up with to serve justice? Use the Facebook Reactions to share your choice with us!,,photo,https://www.facebook.com/LEGO/photos/a.10150175674793403.303596.6665038402/10155231497253403/?type=3,2017-11-20 10:00:00,10178,213,125,4813,2134,1611,914,440,266,0
6665038402_10155245883943403,Check out our young #KidsTakeOver Executives briefing the creative team on LEGO advert ideas for #WorldChildrensDay,,photo,https://www.facebook.com/LEGO/photos/a.10150175674793403.303596.6665038402/10155245868518403/?type=3,2017-11-20 09:11:28,263,11,11,239,13,2,9,0,0,0
