author_name,frequency,frequencyPer100Comment
Lou,152,1.1768
Maria,76,0.5884
Moncef,75,0.5807
Michael,69,0.5342
Chris,62,0.4800
Ana,61,0.4723
Ryan,54,0.4181
Mariana,52,0.4026
David,52,0.4026
Michelle,50,0.3871
Laura,49,0.3794
Jessica,49,0.3794
John,46,0.3561
Jennifer,45,0.3484
Josh,42,0.3252
Andrea,41,0.3174
James,40,0.3097
Sarah,39,0.3020
Daniel,39,0.3020
Ashley,39,0.3020
Jordan,38,0.2942
Amanda,38,0.2942
Justin,37,0.2865
Patrick,34,0.2632
Bianca,32,0.2478
Jason,32,0.2478
Mery,31,0.2400
Joseph,31,0.2400
Alex,31,0.2400
Adam,31,0.2400
Matt,31,0.2400
Vanessa,31,0.2400
Mike,31,0.2400
Melissa,30,0.2323
Mary,30,0.2323
Lisa,29,0.2245
Stephanie,28,0.2168
Sara,28,0.2168
Nicole,28,0.2168
Brenda,27,0.2090
Mashallah,27,0.2090
Lauren,27,0.2090
Anthony,26,0.2013
Karen,25,0.1936
Mark,25,0.1936
Suz,24,0.1858
Kim,24,0.1858
Katie,24,0.1858
Victoria,24,0.1858
Cody,23,0.1781
Andrew,23,0.1781
Rachel,23,0.1781
Carlos,22,0.1703
Gabriela,22,0.1703
Kevin,22,0.1703
Asmaa,22,0.1703
Jonathan,22,0.1703
Shannon,21,0.1626
Angela,21,0.1626
Emily,21,0.1626
Jamie,21,0.1626
Robert,21,0.1626
Sam,21,0.1626
Jimmy,20,0.1548
Elizabeth,20,0.1548
Fernanda,20,0.1548
Julia,20,0.1548
Luis,20,0.1548
Sarahi,20,0.1548
Steven,19,0.1471
Shane,18,0.1394
Chloe,18,0.1394
Christian,18,0.1394
Kyle,18,0.1394
Francesca,18,0.1394
Sabrina,18,0.1394
Kelly,18,0.1394
Kimberly,18,0.1394
Danielle,18,0.1394
Samantha,18,0.1394
Megan,18,0.1394
Rebecca,17,0.1316
Teresa,17,0.1316
Carla,17,0.1316
Spencer,17,0.1316
Emma,17,0.1316
Luana,17,0.1316
Evelyn,17,0.1316
Larissa,17,0.1316
Thomas,16,0.1239
Christina,16,0.1239
Will,16,0.1239
Courtney,16,0.1239
Alejandra,16,0.1239
Susan,16,0.1239
Tom,16,0.1239
Paola,16,0.1239
Gabrielly,16,0.1239
Nick,16,0.1239
Daniela,16,0.1239
Matthew,15,0.1161
Anna,15,0.1161
Carolina,15,0.1161
Brandon,15,0.1161
Marco,15,0.1161
Hannah,15,0.1161
Angie,15,0.1161
Tyler,15,0.1161
Christopher,15,0.1161
Austin,15,0.1161
Camila,15,0.1161
Diana,15,0.1161
Sumit,15,0.1161
