token,count,frequencyPer100Comment,frequencyPer100Token
,1008,7.8043,0.8000
love,901,6.9758,0.7151
like,779,6.0313,0.6182
3,622,4.8157,0.4936
just,513,3.9718,0.4071
justin,498,3.8557,0.3952
sticker,424,3.2828,0.3365
u,347,2.6866,0.2754
people,344,2.6634,0.2730
eminem,334,2.5859,0.2651
dont,324,2.5085,0.2571
add,296,2.2917,0.2349
good,296,2.2917,0.2349
know,291,2.2530,0.2309
album,286,2.2143,0.2270
que,279,2.1601,0.2214
im,272,2.1059,0.2159
happy,263,2.0362,0.2087
te,252,1.9511,0.2000
lol,245,1.8969,0.1944
hes,241,1.8659,0.1913
make,240,1.8582,0.1905
features,221,1.7111,0.1754
music,219,1.6956,0.1738
best,209,1.6181,0.1659
song,201,1.5562,0.1595
think,193,1.4943,0.1532
man,190,1.4710,0.1508
amo,189,1.4633,0.1500
fan,184,1.4246,0.1460
em,178,1.3781,0.1413
life,174,1.3472,0.1381
say,167,1.2930,0.1325
time,166,1.2852,0.1317
photo,165,1.2775,0.1309
😍,164,1.2697,0.1302
father,162,1.2543,0.1286
meu,161,1.2465,0.1278
new,158,1.2233,0.1254
youre,158,1.2233,0.1254
zac,154,1.1923,0.1222
shit,154,1.1923,0.1222
thats,151,1.1691,0.1198
great,151,1.1691,0.1198
need,148,1.1459,0.1175
❤,147,1.1381,0.1167
thanksgiving,144,1.1149,0.1143
listen,140,1.0839,0.1111
fuck,138,1.0684,0.1095
2,137,1.0607,0.1087
😂,137,1.0607,0.1087
bieber,135,1.0452,0.1071
god,135,1.0452,0.1071
want,133,1.0297,0.1056
look,133,1.0297,0.1056
e,132,1.0220,0.1048
said,132,1.0220,0.1048
really,131,1.0142,0.1040
rap,127,0.9833,0.1008
better,124,0.9600,0.0984
dad,124,0.9600,0.0984
son,118,0.9136,0.0936
right,117,0.9059,0.0929
old,115,0.8904,0.0913
day,115,0.8904,0.0913
y,113,0.8749,0.0897
come,113,0.8749,0.0897
songs,112,0.8671,0.0889
real,111,0.8594,0.0881
mi,109,0.8439,0.0865
years,106,0.8207,0.0841
o,105,0.8129,0.0833
family,105,0.8129,0.0833
fans,103,0.7975,0.0817
going,102,0.7897,0.0810
artist,102,0.7897,0.0810
thing,101,0.7820,0.0802
got,101,0.7820,0.0802
world,100,0.7742,0.0794
tell,100,0.7742,0.0794
he’s,100,0.7742,0.0794
jay,97,0.7510,0.0770
walk,96,0.7433,0.0762
yes,95,0.7355,0.0754
way,94,0.7278,0.0746
oh,94,0.7278,0.0746
remember,91,0.7046,0.0722
money,91,0.7046,0.0722
doesnt,91,0.7046,0.0722
water,91,0.7046,0.0722
❤️,90,0.6968,0.0714
black,90,0.6968,0.0714
robert,89,0.6891,0.0706
does,88,0.6813,0.0698
shady,87,0.6736,0.0690
it’s,86,0.6658,0.0683
true,84,0.6504,0.0667
slim,83,0.6426,0.0659
pop,83,0.6426,0.0659
la,82,0.6349,0.0651
nice,82,0.6349,0.0651
hope,81,0.6271,0.0643
don’t,81,0.6271,0.0643
daddy,81,0.6271,0.0643
fucking,81,0.6271,0.0643
jordan,80,0.6194,0.0635
artists,80,0.6194,0.0635
ed,79,0.6116,0.0627
omg,79,0.6116,0.0627
comment,79,0.6116,0.0627
ur,78,0.6039,0.0619
albums,78,0.6039,0.0619
biggest,78,0.6039,0.0619
actually,76,0.5884,0.0603
tu,75,0.5807,0.0595
eu,75,0.5807,0.0595
z,75,0.5807,0.0595
el,74,0.5729,0.0587
thank,74,0.5729,0.0587
trash,73,0.5652,0.0579
person,73,0.5652,0.0579
es,73,0.5652,0.0579
lo,73,0.5652,0.0579
maybe,72,0.5574,0.0571
ya,71,0.5497,0.0563
mean,71,0.5497,0.0563
didnt,71,0.5497,0.0563
😍😍😍,69,0.5342,0.0548
beautiful,68,0.5265,0.0540
yeah,68,0.5265,0.0540
tony,67,0.5187,0.0532
gonna,67,0.5187,0.0532
😍😍,67,0.5187,0.0532
saying,66,0.5110,0.0524
work,66,0.5110,0.0524
guy,66,0.5110,0.0524
things,65,0.5033,0.0516
looks,64,0.4955,0.0508
tracks,63,0.4878,0.0500
stop,63,0.4878,0.0500
white,63,0.4878,0.0500
en,62,0.4800,0.0492
amazing,62,0.4800,0.0492
se,61,0.4723,0.0484
doing,61,0.4723,0.0484
guys,61,0.4723,0.0484
amor,61,0.4723,0.0484
isnt,61,0.4723,0.0484
ass,60,0.4645,0.0476
bad,60,0.4645,0.0476
track,60,0.4645,0.0476
trump,60,0.4645,0.0476
wow,58,0.4491,0.0460
😂😂😂,58,0.4491,0.0460
sure,58,0.4491,0.0460
opinion,57,0.4413,0.0452
help,57,0.4413,0.0452
sheeran,57,0.4413,0.0452
big,57,0.4413,0.0452
n,57,0.4413,0.0452
baby,56,0.4336,0.0444
rapper,56,0.4336,0.0444
read,56,0.4336,0.0444
wait,56,0.4336,0.0444
feature,56,0.4336,0.0444
jb,56,0.4336,0.0444
meadd,55,0.4258,0.0436
proud,55,0.4258,0.0436
stupid,55,0.4258,0.0436
lot,54,0.4181,0.0429
illuminati,54,0.4181,0.0429
v,54,0.4181,0.0429
try,53,0.4103,0.0421
trying,53,0.4103,0.0421
page,53,0.4103,0.0421
rappers,53,0.4103,0.0421
hate,53,0.4103,0.0421
talking,53,0.4103,0.0421
cool,53,0.4103,0.0421
year,52,0.4026,0.0413
peter,52,0.4026,0.0413
i’m,52,0.4026,0.0413
d,51,0.3949,0.0405
da,51,0.3949,0.0405
si,50,0.3871,0.0397
change,50,0.3871,0.0397
looking,50,0.3871,0.0397
friend,50,0.3871,0.0397
hard,50,0.3871,0.0397
chainz,50,0.3871,0.0397
days,50,0.3871,0.0397
é,50,0.3871,0.0397
1,50,0.3871,0.0397
thanks,49,0.3794,0.0389
probably,49,0.3794,0.0389
tom,49,0.3794,0.0389
agree,48,0.3716,0.0381
cute,48,0.3716,0.0381
share,48,0.3716,0.0381
today,48,0.3716,0.0381
😍😍😍😍,48,0.3716,0.0381
singer,47,0.3639,0.0373
matter,47,0.3639,0.0373
makes,47,0.3639,0.0373
dude,47,0.3639,0.0373
dr,47,0.3639,0.0373
live,47,0.3639,0.0373
sorry,47,0.3639,0.0373
making,47,0.3639,0.0373
feel,47,0.3639,0.0373
let,46,0.3561,0.0365
boy,46,0.3561,0.0365
talk,46,0.3561,0.0365
little,46,0.3561,0.0365
you’re,46,0.3561,0.0365
point,46,0.3561,0.0365
buy,46,0.3561,0.0365
😂😂,46,0.3561,0.0365
ok,46,0.3561,0.0365
problem,45,0.3484,0.0357
becouse,45,0.3484,0.0357
jayz,45,0.3484,0.0357
care,45,0.3484,0.0357
miss,45,0.3484,0.0357
peopel,45,0.3484,0.0357
não,45,0.3484,0.0357
thought,45,0.3484,0.0357
mother,45,0.3484,0.0357
yall,45,0.3484,0.0357
young,44,0.3407,0.0349
bless,44,0.3407,0.0349
sweet,44,0.3407,0.0349
dre,44,0.3407,0.0349
jt,44,0.3407,0.0349
pay,44,0.3407,0.0349
lp,44,0.3407,0.0349
enjoy,44,0.3407,0.0349
heart,44,0.3407,0.0349
lindo,43,0.3329,0.0341
haha,43,0.3329,0.0341
cause,43,0.3329,0.0341
bitch,43,0.3329,0.0341
lmao,43,0.3329,0.0341
por,43,0.3329,0.0341
bro,42,0.3252,0.0333
yo,42,0.3252,0.0333
hi,42,0.3252,0.0333
5,42,0.3252,0.0333
lyrics,41,0.3174,0.0325
heard,41,0.3174,0.0325
pink,41,0.3174,0.0325
pic,41,0.3174,0.0325
birthday,41,0.3174,0.0325
ill,40,0.3097,0.0317
q,40,0.3097,0.0317
understand,40,0.3097,0.0317
check,40,0.3097,0.0317
r,40,0.3097,0.0317
d12,40,0.3097,0.0317
dumb,40,0.3097,0.0317
that’s,40,0.3097,0.0317
efron,39,0.3020,0.0310
having,39,0.3020,0.0310
stark,39,0.3020,0.0310
comments,39,0.3020,0.0310
anymore,39,0.3020,0.0310
stan,39,0.3020,0.0310
downey,39,0.3020,0.0310
watch,39,0.3020,0.0310
hear,39,0.3020,0.0310
words,39,0.3020,0.0310
wrong,38,0.2942,0.0302
awesome,38,0.2942,0.0302
past,38,0.2942,0.0302
friends,38,0.2942,0.0302
jr,38,0.2942,0.0302
mom,38,0.2942,0.0302
play,37,0.2865,0.0294
movie,37,0.2865,0.0294
um,37,0.2865,0.0294
fact,37,0.2865,0.0294
sogro,37,0.2865,0.0294
wish,37,0.2865,0.0294
getting,37,0.2865,0.0294
stuff,36,0.2787,0.0286
hell,36,0.2787,0.0286
damn,36,0.2787,0.0286
❤❤❤❤,36,0.2787,0.0286
encanta,36,0.2787,0.0286
chris,36,0.2787,0.0286
different,36,0.2787,0.0286
coming,36,0.2787,0.0286
hop,35,0.2710,0.0278
doesn’t,35,0.2710,0.0278
chile,35,0.2710,0.0278
bianca,35,0.2710,0.0278
sad,35,0.2710,0.0278
hey,35,0.2710,0.0278
grow,35,0.2710,0.0278
hermoso,35,0.2710,0.0278
whats,35,0.2710,0.0278
fake,34,0.2632,0.0270
😊,34,0.2632,0.0270
hahaha,34,0.2632,0.0270
x,34,0.2632,0.0270
le,34,0.2632,0.0270
ive,33,0.2555,0.0262
funny,33,0.2555,0.0262
com,33,0.2555,0.0262
forever,33,0.2555,0.0262
literally,33,0.2555,0.0262
exactly,33,0.2555,0.0262
ones,33,0.2555,0.0262
xd,32,0.2478,0.0254
marshall,32,0.2478,0.0254
support,32,0.2478,0.0254
wants,32,0.2478,0.0254
timberlake,32,0.2478,0.0254
shut,32,0.2478,0.0254
face,32,0.2478,0.0254
post,32,0.2478,0.0254
hip,32,0.2478,0.0254
long,32,0.2478,0.0254
para,32,0.2478,0.0254
luke,32,0.2478,0.0254
hot,31,0.2400,0.0246
child,31,0.2400,0.0246
parents,31,0.2400,0.0246
send,31,0.2400,0.0246
bring,31,0.2400,0.0246
business,31,0.2400,0.0246
lil,31,0.2400,0.0246
stay,31,0.2400,0.0246
theres,31,0.2400,0.0246
crazy,31,0.2400,0.0246
mas,31,0.2400,0.0246
je,31,0.2400,0.0246
believe,31,0.2400,0.0246
como,31,0.2400,0.0246
❤❤❤,31,0.2400,0.0246
idiot,31,0.2400,0.0246
perfect,30,0.2323,0.0238
contact,30,0.2323,0.0238
theyre,30,0.2323,0.0238
lou,30,0.2323,0.0238
pretty,30,0.2323,0.0238
ryan,30,0.2323,0.0238
featured,30,0.2323,0.0238
mind,30,0.2323,0.0238
m,30,0.2323,0.0238
left,30,0.2323,0.0238
die,30,0.2323,0.0238
list,30,0.2323,0.0238
susan,30,0.2323,0.0238
kind,30,0.2323,0.0238
hit,30,0.2323,0.0238
alicia,30,0.2323,0.0238
rich,29,0.2245,0.0230
guess,29,0.2245,0.0230
suegro,29,0.2245,0.0230
pout,29,0.2245,0.0230
