author_name,frequency,frequencyPer100Comment
Camila,161,3.1995
Robert,134,2.6630
David,67,1.3315
Silverio,66,1.3116
Moncef,39,0.7750
Alejandra,38,0.7552
Rebecca,35,0.6955
Cory,35,0.6955
Emily,26,0.5167
Michael,25,0.4968
Sarah,23,0.4571
Areli,22,0.4372
Jessica,22,0.4372
Melissa,21,0.4173
Ashutosh,21,0.4173
John,20,0.3975
Laura,20,0.3975
Lauren,19,0.3776
Michelle,19,0.3776
Emma,18,0.3577
Hannah,18,0.3577
Joseph,17,0.3378
Glenn,17,0.3378
Katie,16,0.3180
Lina,16,0.3180
Amanda,15,0.2981
Julia,15,0.2981
Jordan,14,0.2782
Prince,14,0.2782
Megan,14,0.2782
Daniel,14,0.2782
Hassan,14,0.2782
Danny,14,0.2782
Kellie,13,0.2583
Judy,13,0.2583
Don,13,0.2583
Jose,13,0.2583
Maria,13,0.2583
Stephanie,12,0.2385
Brian,12,0.2385
Carlos,12,0.2385
Anna,12,0.2385
Georgia,12,0.2385
Courtney,12,0.2385
James,12,0.2385
Andrew,12,0.2385
Barbara,12,0.2385
Ryan,12,0.2385
Natalie,11,0.2186
Alex,11,0.2186
Nicole,11,0.2186
Adam,11,0.2186
Ana,11,0.2186
Nicholas,11,0.2186
Mairea,11,0.2186
Chelsea,11,0.2186
Monse,10,0.1987
Tim,10,0.1987
Sam,10,0.1987
Patrick,9,0.1789
Claudia,9,0.1789
Chris,9,0.1789
Eric,9,0.1789
Phi,9,0.1789
Etanyobere,9,0.1789
Danielle,9,0.1789
Daniela,9,0.1789
Ashley,9,0.1789
Kate,9,0.1789
Jonathan,9,0.1789
Amy,9,0.1789
Liz,8,0.1590
Jack,8,0.1590
Felipe,8,0.1590
Lisa,8,0.1590
Mary,8,0.1590
Taylor,8,0.1590
Jason,8,0.1590
Jaime,8,0.1590
Charlotte,8,0.1590
Jennifer,8,0.1590
Brittany,8,0.1590
Mike,8,0.1590
Kayla,8,0.1590
Morgan,8,0.1590
Stefanie,7,0.1391
A,7,0.1391
Ali,7,0.1391
Natalka,7,0.1391
Corey,7,0.1391
Amber,7,0.1391
Herman,7,0.1391
Tracy,7,0.1391
Andrea,7,0.1391
Joyce,7,0.1391
Roger,7,0.1391
Alyssa,7,0.1391
Angel,7,0.1391
Fatima,7,0.1391
Victor,7,0.1391
Kelly,7,0.1391
Simone,7,0.1391
Hugo,7,0.1391
Rachel,7,0.1391
Candace,7,0.1391
Jim,7,0.1391
Nick,7,0.1391
Brooke,7,0.1391
Alexis,7,0.1391
Livingston,7,0.1391
Marcus,7,0.1391
Elek,6,0.1192
Paul,6,0.1192
Angelo,6,0.1192
Lynn,6,0.1192
Paige,6,0.1192
Rodrigo,6,0.1192
Nguyễn,6,0.1192
Matt,6,0.1192
Mahmoud,6,0.1192
Giulia,6,0.1192
Brad,6,0.1192
Heather,6,0.1192
Natalia,6,0.1192
Miley,6,0.1192
Patricia,6,0.1192
Melanie,6,0.1192
Marco,6,0.1192
Fabio,6,0.1192
Kim,6,0.1192
Gabrielle,6,0.1192
Frases,6,0.1192
Mariana,6,0.1192
Shannon,6,0.1192
Dennis,6,0.1192
Mark,6,0.1192
Jorge,6,0.1192
Marta,6,0.1192
Jacob,6,0.1192
Eddii,6,0.1192
Victoria,6,0.1192
Sara,5,0.0994
Lucas,5,0.0994
Omar,5,0.0994
Natasha,5,0.0994
Chloe,5,0.0994
Bailey,5,0.0994
Karen,5,0.0994
Mohamed,5,0.0994
Alexandra,5,0.0994
DuLce,5,0.0994
Ricardo,5,0.0994
Oscar,5,0.0994
Jessie,5,0.0994
Josh,5,0.0994
Christine,5,0.0994
Aline,5,0.0994
Jackie,5,0.0994
Jay,5,0.0994
Stanley,5,0.0994
Caroline,5,0.0994
Davide,5,0.0994
Valeria,5,0.0994
Erin,5,0.0994
Tommy,5,0.0994
Bianca,5,0.0994
Vinicius,5,0.0994
Riley,5,0.0994
Kenneth,5,0.0994
Edward,5,0.0994
Lorena,5,0.0994
Sergio,5,0.0994
Jefferson,5,0.0994
Louise,5,0.0994
Becca,5,0.0994
Monica,5,0.0994
Nitin,5,0.0994
Susan,5,0.0994
Sean,5,0.0994
Helma,5,0.0994
María,5,0.0994
Christopher,5,0.0994
Bryan,5,0.0994
Alan,5,0.0994
Jesus,5,0.0994
Nathan,5,0.0994
Kaela,5,0.0994
Luis,5,0.0994
