token,count,frequencyPer100Comment,frequencyPer100Token
,1197,23.787758346581874,4.04309937174897
you,556,11.049284578696343,1.8779977031682766
the,511,10.155007949125597,1.7260014861852326
i,443,8.803656597774246,1.4963183138552996
and,410,8.147853736089031,1.3848544214010672
to,405,8.048489666136724,1.3679659528473957
p,400,7.94912559618442,1.3510774842937243
a,337,6.697138314785374,1.1382827805174627
is,266,5.286168521462639,0.8984665270553267
of,263,5.226550079491256,0.8883334459231236
3,255,5.0675675675675675,0.8613118962372492
miley,242,4.8092209856915735,0.8174018779977033
in,236,4.6899841017488075,0.7971357157332973
sticker,225,4.471383147853736,0.7599810849152199
this,179,3.5572337042925275,0.6046071742214416
for,176,3.4976152623211445,0.5944740930892387
me,175,3.4777424483306834,0.5910963993785043
love,163,3.239268680445151,0.5505640748496926
my,161,3.1995230524642286,0.5438086874282241
your,156,3.100158982511924,0.5269202188745524
that,139,2.7623211446740856,0.46949942579206916
it,138,2.7424483306836245,0.46612173208133484
her,126,2.5039745627980925,0.42558940755252317
on,123,2.444356120826709,0.4154563264203202
so,121,2.4046104928457868,0.4087009389988516
with,108,2.146263910969793,0.3647909207593056
cyrus,103,2.0468998410174883,0.347902452205634
if,103,2.0468998410174883,0.347902452205634
like,103,2.0468998410174883,0.347902452205634
are,103,2.0468998410174883,0.347902452205634
have,101,2.007154213036566,0.3411470647841654
will,94,1.8680445151033387,0.3175032088090252
not,86,1.7090620031796504,0.2904816591231507
life,85,1.6891891891891893,0.2871039654124164
d,84,1.669316375198728,0.2837262717016821
she,84,1.669316375198728,0.2837262717016821
all,84,1.669316375198728,0.2837262717016821
do,82,1.629570747217806,0.27697088428021344
be,78,1.550079491255962,0.2634601094372762
now,76,1.5103338632750398,0.25670472201580763
from,74,1.4705882352941175,0.249949334594339
we,72,1.4308426073131957,0.24319394717287035
no,72,1.4308426073131957,0.24319394717287035
u,70,1.3910969793322734,0.23643855975140177
or,69,1.3712241653418122,0.23306086604066742
as,63,1.2519872813990462,0.21279470377626158
one,63,1.2519872813990462,0.21279470377626158
but,63,1.2519872813990462,0.21279470377626158
😍,62,1.232114467408585,0.20941701006552726
please,60,1.192368839427663,0.20266162264405865
get,58,1.152623211446741,0.19590623522259001
its,56,1.1128775834658187,0.1891508478011214
dont,56,1.1128775834658187,0.1891508478011214
god,56,1.1128775834658187,0.1891508478011214
when,56,1.1128775834658187,0.1891508478011214
what,56,1.1128775834658187,0.1891508478011214
omg,55,1.0930047694753577,0.18577315409038708
time,53,1.0532591414944357,0.17901776666891844
just,53,1.0532591414944357,0.17901776666891844
by,52,1.0333863275039745,0.17564007295818415
contact,51,1.0135135135135136,0.17226237924744986
us,50,0.9936406995230525,0.16888468553671554
go,50,0.9936406995230525,0.16888468553671554
he,50,0.9936406995230525,0.16888468553671554
out,50,0.9936406995230525,0.16888468553671554
was,48,0.9538950715421303,0.1621292981152469
about,48,0.9538950715421303,0.1621292981152469
any,48,0.9538950715421303,0.1621292981152469
song,47,0.9340222575516693,0.1587516044045126
problem,46,0.9141494435612083,0.1553739106937783
de,46,0.9141494435612083,0.1553739106937783
good,46,0.9141494435612083,0.1553739106937783
know,45,0.8942766295707472,0.15199621698304397
people,44,0.8744038155802861,0.14861852327230968
video,43,0.8545310015898252,0.14524082956157536
amazing,43,0.8545310015898252,0.14524082956157536
spell,43,0.8545310015898252,0.14524082956157536
best,42,0.834658187599364,0.14186313585084104
astrologer,42,0.834658187599364,0.14186313585084104
que,42,0.834658187599364,0.14186313585084104
at,41,0.814785373608903,0.13848544214010672
up,41,0.814785373608903,0.13848544214010672
la,41,0.814785373608903,0.13848544214010672
can,41,0.814785373608903,0.13848544214010672
come,41,0.814785373608903,0.13848544214010672
him,41,0.814785373608903,0.13848544214010672
see,40,0.7949125596184419,0.13510774842937243
them,40,0.7949125596184419,0.13510774842937243
they,40,0.7949125596184419,0.13510774842937243
an,39,0.775039745627981,0.1317300547186381
who,39,0.775039745627981,0.1317300547186381
want,38,0.7551669316375199,0.12835236100790381
am,38,0.7551669316375199,0.12835236100790381
im,37,0.7352941176470588,0.1249746672971695
thank,37,0.7352941176470588,0.1249746672971695
new,36,0.7154213036565978,0.12159697358643518
every,36,0.7154213036565978,0.12159697358643518
why,36,0.7154213036565978,0.12159697358643518
great,34,0.6756756756756757,0.11484158616496655
need,34,0.6756756756756757,0.11484158616496655
❤,34,0.6756756756756757,0.11484158616496655
his,33,0.6558028616852146,0.11146389245423226
take,32,0.6359300476947536,0.10808619874349795
back,32,0.6359300476947536,0.10808619874349795
how,31,0.6160572337042926,0.10470850503276363
more,31,0.6160572337042926,0.10470850503276363
face,31,0.6160572337042926,0.10470850503276363
lol,31,0.6160572337042926,0.10470850503276363
white,31,0.6160572337042926,0.10470850503276363
beautiful,30,0.5961844197138315,0.10133081132202933
boycott,30,0.5961844197138315,0.10133081132202933
wil,30,0.5961844197138315,0.10133081132202933
promoting,30,0.5961844197138315,0.10133081132202933
also,29,0.5763116057233705,0.09795311761129501
y,29,0.5763116057233705,0.09795311761129501
happy,28,0.5564387917329093,0.0945754239005607
te,28,0.5564387917329093,0.0945754239005607
family,28,0.5564387917329093,0.0945754239005607
jordan,28,0.5564387917329093,0.0945754239005607
