status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
68680511262_10155833861111263,Mind-Boggling Stats from Week 12 in the NFL!,,video,https://www.facebook.com/NFL/videos/10155833861111263/,2017-11-29 21:31:10,742,30,37,694,15,28,5,0,0,0
68680511262_10155833694136263,"Kurt Warner's Top 5 QBs from Week 12!

(via NFL Network)",,video,https://www.facebook.com/NFL/videos/10155833694136263/,2017-11-29 20:13:04,1104,100,87,1001,63,10,25,0,5,0
68680511262_10155833412016263,"Last time the Cleveland Browns and Los Angeles Chargers met...

Cleveland won their first game of 2016! #CLEvsLAC",,video,https://www.facebook.com/NFL/videos/10155833412016263/,2017-11-29 19:45:00,4646,703,489,3588,126,34,825,29,44,0
68680511262_10155833111111263,"New Orleans Saints?
Carolina Panthers?
Atlanta Falcons?

The ________ will win the NFC South. (via NFL Network)",,video,https://www.facebook.com/NFL/videos/10155833111111263/,2017-11-29 17:05:39,612,245,66,540,23,1,46,0,2,0
68680511262_10155671754555659,"Is it magic?
Is it the force?
Is Zay Jones even human?

This is the Zay Jones Challenge. (via Buffalo Bills)",The Zay Jones Challenge,video,https://www.facebook.com/NFL/videos/10155671754555659/,2017-11-29 16:51:27,23048,2420,3688,19828,293,728,2191,1,7,0
68680511262_10155832931931263,"In honor of his 29th birthday...

One of the most unbelievable plays made by Russell Wilson EVER.",,video,https://www.facebook.com/NFL/videos/10155832931931263/,2017-11-29 16:12:23,797,70,92,671,86,36,3,0,0,1
68680511262_10155829927956263,"Philadelphia Eagles: 100%
Carolina Panthers: 73.2% 
Seattle Seahawks: 47.4%

The 20 teams with the best chance to make the playoffs!",,video,https://www.facebook.com/NFL/videos/10155829927956263/,2017-11-29 12:00:00,6868,825,1209,6118,450,54,184,40,22,0
68680511262_10155827339511263,"After Sunday's spectacular throw to Julio Jones, Mohamed Sanu is now 6/6 with 228 yards and three touchdowns for his career.

Here are ALL SIX of his NFL passes! (👀 the accuracy)",,video,https://www.facebook.com/NFL/videos/10155827339511263/,2017-11-28 22:30:00,12568,1457,2194,11398,431,663,72,0,3,1
68680511262_10155829751941263,"How can The Oakland Raiders make the playoffs this year?

Maurice Jones-Drew lays out their path. 👇",,video,https://www.facebook.com/NFL/videos/10155829751941263/,2017-11-28 22:15:00,2622,447,287,2198,121,8,281,1,12,1
68680511262_10155829499086263,"7 catches and 125 yards.
He balled out AGAIN.

DeAndre Hopkins' Week 12 Highlights! #BALvsHOU",,video,https://www.facebook.com/NFL/videos/10155829499086263/,2017-11-28 20:15:00,821,87,43,769,31,19,1,0,1,0
68680511262_10155827961771263,"20/25, 358 yards and 3 TDs back in 2014.

Now starting for the New York Giants ... Geno Smith!",,video,https://www.facebook.com/NFL/videos/10155827961771263/,2017-11-28 16:45:00,1464,380,82,913,34,15,307,9,187,-1
68680511262_10155826759936263,"👣 ⬇️ 😱😱😱

Nathaniel E Burleson's top #ToeDragSwag catches of Week 12! (via GMFB)",,video,https://www.facebook.com/NFL/videos/10155826759936263/,2017-11-28 13:00:00,1319,70,135,1206,90,21,2,0,0,0
68680511262_10155824147311263,"This week in the NFL, the Philadelphia Eagles took flight. They're inching closer to clinching their division and making history with their powerful offense and stingy defense 🙌  (via The Checkdown)

🎥: Samsung Mobile USA Galaxy Note8",,video,https://www.facebook.com/NFL/videos/10155824147311263/,2017-11-27 19:30:31,1335,111,80,1182,117,7,23,1,5,0
68680511262_10155823649581263,"They own the best record in the league at 10-1.

Are the Philadelphia Eagles UNSTOPPABLE? (via GMFB)",,video,https://www.facebook.com/NFL/videos/10155823649581263/,2017-11-27 16:14:14,2900,580,488,2534,222,11,119,1,13,0
68680511262_10155823572471263,The BEST social reactions to Week 12's best plays!,,video,https://www.facebook.com/NFL/videos/10155823572471263/,2017-11-27 15:45:55,343,23,15,315,25,3,0,0,0,0
68680511262_10155822547546263,"Top Five Rookie Performances (Week 12):
5. Myles Garrett (Cleveland Browns)
4. Christian McCaffrey (Carolina Panthers)
3-1. 🤔🤔🤔",,video,https://www.facebook.com/NFL/videos/10155822547546263/,2017-11-27 15:30:00,1692,87,91,1605,44,36,4,1,2,0
68680511262_10155823151306263,"Never forget how dominant Sean Taylor was.

His career highlights. 👆 #RIPSeanTaylor",,video,https://www.facebook.com/NFL/videos/10155823151306263/,2017-11-27 13:00:00,44521,2140,31728,36088,4499,210,39,3668,16,1
68680511262_10155820522351263,"Every TD.
From Every Game.

All in one place... Week 12 NFL Red Zone Recap!",,video,https://www.facebook.com/NFL/videos/10155820522351263/,2017-11-26 22:55:18,594,22,45,550,32,9,2,1,0,0
68680511262_10155819964876263,FINAL: Phil Dawson's field goal wins it for the Arizona Cardinals! #JAXvsAZ,,video,https://www.facebook.com/NFL/videos/10155819964876263/,2017-11-26 19:45:54,2280,187,239,1923,143,70,79,26,39,0
68680511262_10155819525081263,Two touchdowns on 82 receiving yards ... Rob Gronkowski -Gronk's top catches from #MIAvsNE!,,video,https://www.facebook.com/NFL/videos/10155819525081263/,2017-11-26 17:30:00,1361,41,55,1239,93,15,4,3,5,2
68680511262_10155819498871263,"Tyrod Taylor returned to the starting role and led the Buffalo Bills to a Week 12 win.

Tyrod's Highlights vs. The Kansas City Chiefs! #BUFvsKC",,video,https://www.facebook.com/NFL/videos/10155819498871263/,2017-11-26 17:09:53,740,75,43,676,27,3,27,2,5,0
