author_name,frequency,frequencyPer100Comment
Jessica,26,1.3286
Stephanie,26,1.3286
Jennifer,23,1.1753
Michelle,20,1.0220
Anna,19,0.9709
Beth,19,0.9709
Megan,19,0.9709
Melissa,19,0.9709
Ashley,16,0.8176
Lisa,15,0.7665
Amber,15,0.7665
Kelly,14,0.7154
Laura,14,0.7154
Heather,13,0.6643
Kim,13,0.6643
Amanda,13,0.6643
Katie,13,0.6643
Elizabeth,12,0.6132
Sarah,12,0.6132
Linda,12,0.6132
Kimberly,11,0.5621
Pam,11,0.5621
Denise,11,0.5621
April,11,0.5621
Lauren,10,0.5110
Kathy,10,0.5110
Karen,10,0.5110
Julie,10,0.5110
Maria,10,0.5110
Emily,10,0.5110
Crystal,9,0.4599
Rachel,9,0.4599
Jamie,9,0.4599
Andrea,9,0.4599
Brittany,8,0.4088
Hannah,8,0.4088
Jackie,8,0.4088
Sandra,8,0.4088
Carol,8,0.4088
Michele,8,0.4088
Mary,8,0.4088
Laurie,7,0.3577
Naomi,7,0.3577
Alexis,7,0.3577
Pat,7,0.3577
Shannon,7,0.3577
Samantha,7,0.3577
Brenda,7,0.3577
Amy,7,0.3577
Debbie,7,0.3577
Cindy,7,0.3577
Sandy,6,0.3066
Susan,6,0.3066
Rupal,6,0.3066
Tammy,6,0.3066
Christina,6,0.3066
Tiffany,6,0.3066
Nicole,6,0.3066
Lori,6,0.3066
eHow,6,0.3066
Rebecca,6,0.3066
Angela,6,0.3066
Anne,6,0.3066
Nancy,6,0.3066
Sue,6,0.3066
Connie,6,0.3066
Krista,6,0.3066
Diane,6,0.3066
Shirley,5,0.2555
Erica,5,0.2555
Jenn,5,0.2555
Liz,5,0.2555
Stacy,5,0.2555
Nikki,5,0.2555
Monica,5,0.2555
Heidi,5,0.2555
Paige,5,0.2555
Natalie,5,0.2555
Annie,5,0.2555
Barbara,5,0.2555
Danielle,5,0.2555
Courtney,5,0.2555
Becky,5,0.2555
Colleen,5,0.2555
Mandy,5,0.2555
Jenna,5,0.2555
Annika,5,0.2555
Leah,4,0.2044
Casey,4,0.2044
Suzanne,4,0.2044
Aimee,4,0.2044
Cori,4,0.2044
Christine,4,0.2044
Sharon,4,0.2044
Kathleen,4,0.2044
Sara,4,0.2044
Krystel,4,0.2044
Wendy,4,0.2044
Tracey,4,0.2044
Bridget,4,0.2044
Cheri,4,0.2044
Vanessa,4,0.2044
Adrienne,4,0.2044
Paula,4,0.2044
Dana,4,0.2044
Donna,4,0.2044
Ana,4,0.2044
Cynthia,4,0.2044
Tia,4,0.2044
Jodie,4,0.2044
Carmen,4,0.2044
Trisha,4,0.2044
Camila,4,0.2044
Brandy,4,0.2044
Robyn,4,0.2044
Kayla,4,0.2044
Lyn,4,0.2044
Catherine,4,0.2044
Deanna,4,0.2044
Alex,4,0.2044
Alana,3,0.1533
Denishia,3,0.1533
Kathryn,3,0.1533
Carla,3,0.1533
Olivia,3,0.1533
Patti,3,0.1533
Jo,3,0.1533
Tessa,3,0.1533
Erin,3,0.1533
Molly,3,0.1533
Jeanette,3,0.1533
Isabel,3,0.1533
Leslie,3,0.1533
Tiondra,3,0.1533
Ro,3,0.1533
Brooke,3,0.1533
Miranda,3,0.1533
Cat,3,0.1533
Brittney,3,0.1533
Susie,3,0.1533
Gina,3,0.1533
Jeanne,3,0.1533
Valerie,3,0.1533
Chani,3,0.1533
Stefanie,3,0.1533
Krystal,3,0.1533
Beverly,3,0.1533
Lindsay,3,0.1533
Marie,3,0.1533
Tara,3,0.1533
Jill,3,0.1533
Janice,3,0.1533
Toni,3,0.1533
Kristine,3,0.1533
Peggy,3,0.1533
Dani,3,0.1533
Carolyn,3,0.1533
Alison,3,0.1533
Willie,3,0.1533
Melanie,3,0.1533
Cari,3,0.1533
Angie,3,0.1533
Brianna,3,0.1533
Christy,3,0.1533
Cheryl,3,0.1533
Kristen,3,0.1533
Meg,3,0.1533
T,3,0.1533
Judith,3,0.1533
Margaret,3,0.1533
Kirsten,3,0.1533
Taylor,3,0.1533
Jade,3,0.1533
Dallas,3,0.1533
Sonya,3,0.1533
Sabrina,3,0.1533
Deb,3,0.1533
Diana,3,0.1533
Felicia,2,0.1022
Marsha,2,0.1022
Nadia,2,0.1022
Annette,2,0.1022
Sherry,2,0.1022
Brigitte,2,0.1022
Karla,2,0.1022
Wanda,2,0.1022
Candy,2,0.1022
Chlöe,2,0.1022
Charlotte,2,0.1022
Tay,2,0.1022
Kaylee,2,0.1022
Paul,2,0.1022
Silvia,2,0.1022
Christie,2,0.1022
Matthew,2,0.1022
Jana,2,0.1022
Dianne,2,0.1022
Kristie,2,0.1022
Giorgia,2,0.1022
Hillary,2,0.1022
Alyson,2,0.1022
Jen,2,0.1022
Lacey,2,0.1022
Stacey,2,0.1022
Casie,2,0.1022
Jaclyn,2,0.1022
Brandon,2,0.1022
Béatrice,2,0.1022
Lynette,2,0.1022
Nicola,2,0.1022
Lilia,2,0.1022
Abi,2,0.1022
Sherrie,2,0.1022
Kyliegh,2,0.1022
Kristina,2,0.1022
Mayra,2,0.1022
Bonne,2,0.1022
Tressie,2,0.1022
Sheryl,2,0.1022
Makayla,2,0.1022
Kris,2,0.1022
Jan,2,0.1022
Ronda,2,0.1022
Kelsey,2,0.1022
Helen,2,0.1022
Grace,2,0.1022
Kaitlin,2,0.1022
Savannah,2,0.1022
Kylie,2,0.1022
Luz,2,0.1022
Rosa,2,0.1022
Theresa,2,0.1022
Sonja,2,0.1022
Desiree,2,0.1022
Lorena,2,0.1022
Gianna,2,0.1022
Carry,2,0.1022
Urska,2,0.1022
Asia,2,0.1022
Ashleigh,2,0.1022
Sonia,2,0.1022
Meredith,2,0.1022
Maxine,2,0.1022
Teresa,2,0.1022
Cyndee,2,0.1022
Madeline,2,0.1022
Rhonda,2,0.1022
Shelly,2,0.1022
Julia,2,0.1022
Karin,2,0.1022
Alicia,2,0.1022
Virginia,2,0.1022
Tricia,2,0.1022
Allison,2,0.1022
Gregory,2,0.1022
Rossana,2,0.1022
Terri,2,0.1022
Joyce,2,0.1022
Randi,2,0.1022
Melinda,2,0.1022
Kaitlyn,2,0.1022
Natasha,2,0.1022
Amie,2,0.1022
Angel,2,0.1022
Pamela,2,0.1022
Patricia,2,0.1022
Cheyenne,2,0.1022
Vanja,2,0.1022
Belinda,2,0.1022
Zara,2,0.1022
Dawn,2,0.1022
Cassie,2,0.1022
Lorraine,2,0.1022
Kerry,2,0.1022
Caitlin,2,0.1022
Malene,2,0.1022
Lyndi,2,0.1022
Chrissy,2,0.1022
Vicki,2,0.1022
Jillian,2,0.1022
Ann,2,0.1022
Janine,2,0.1022
Any,2,0.1022
Tanya,2,0.1022
Daan,2,0.1022
Alisha,2,0.1022
Leighanne,2,0.1022
Bay,2,0.1022
Marisol,2,0.1022
Caterina,2,0.1022
Marcia,2,0.1022
Kacey,2,0.1022
Torrey,2,0.1022
Victoria,2,0.1022
Alyshia,2,0.1022
Porchae,2,0.1022
Alice,2,0.1022
DiAnna,2,0.1022
Alexandria,2,0.1022
Tassie,2,0.1022
Micki,2,0.1022
Alissa,2,0.1022
Misty,2,0.1022
Mike,2,0.1022
Lee,2,0.1022
Sheri,2,0.1022
Teri,2,0.1022
Lucy,2,0.1022
Renée,2,0.1022
Meagan,2,0.1022
Celina,2,0.1022
Kristi,2,0.1022
Itzel,2,0.1022
Ilze,2,0.1022
Anastasia,2,0.1022
Jenny,2,0.1022
Joanne,2,0.1022
Joanna,2,0.1022
Louise,2,0.1022
Abigail,2,0.1022
Camille,2,0.1022
Becca,2,0.1022
Dannielle,2,0.1022
Danniella,2,0.1022
Ally,2,0.1022
Ramon,2,0.1022
Melodye,2,0.1022
Tracy,2,0.1022
Stacie,2,0.1022
Cathy,2,0.1022
Roobhyna,2,0.1022
Lavina,2,0.1022
Caity,2,0.1022
Samara,2,0.1022
