token,count,frequencyPer100Comment,frequencyPer100Token
this,554,28.3086,3.1832
i,462,23.6076,2.6546
you,327,16.7092,1.8789
the,298,15.2274,1.7123
to,290,14.8186,1.6663
for,269,13.7455,1.5456
make,256,13.0812,1.4709
a,254,12.9790,1.4594
we,251,12.8258,1.4422
is,199,10.1686,1.1434
of,188,9.6065,1.0802
it,184,9.4021,1.0572
one,175,8.9423,1.0055
and,175,8.9423,1.0055
lol,151,7.7159,0.8676
need,123,6.2851,0.7067
,118,6.0296,0.6780
do,116,5.9274,0.6665
can,115,5.8763,0.6608
have,114,5.8252,0.6550
me,112,5.7230,0.6435
that,107,5.4676,0.6148
idea,105,5.3654,0.6033
could,102,5.2121,0.5861
advent,102,5.2121,0.5861
in,101,5.1610,0.5803
next,101,5.1610,0.5803
be,98,5.0077,0.5631
would,96,4.9055,0.5516
yes,96,4.9055,0.5516
calendar,92,4.7011,0.5286
so,85,4.3434,0.4884
year,85,4.3434,0.4884
just,82,4.1901,0.4712
with,82,4.1901,0.4712
like,81,4.1390,0.4654
cute,80,4.0879,0.4597
love,79,4.0368,0.4539
should,78,3.9857,0.4482
these,77,3.9346,0.4424
your,74,3.7813,0.4252
but,71,3.6280,0.4080
my,70,3.5769,0.4022
bottles,68,3.4747,0.3907
get,68,3.4747,0.3907
christmas,67,3.4236,0.3850
😂,67,3.4236,0.3850
craft,62,3.1681,0.3562
too,56,2.8615,0.3218
what,56,2.8615,0.3218
wine,54,2.7593,0.3103
on,53,2.7082,0.3045
think,52,2.6571,0.2988
was,47,2.4016,0.2701
not,47,2.4016,0.2701
if,46,2.3505,0.2643
an,46,2.3505,0.2643
or,45,2.2994,0.2586
our,45,2.2994,0.2586
paper,44,2.2483,0.2528
want,40,2.0439,0.2298
now,40,2.0439,0.2298
cool,39,1.9928,0.2241
rolls,39,1.9928,0.2241
day,39,1.9928,0.2241
at,38,1.9417,0.2183
use,38,1.9417,0.2183
will,38,1.9417,0.2183
night,37,1.8906,0.2126
all,37,1.8906,0.2126
great,37,1.8906,0.2126
them,36,1.8396,0.2068
are,36,1.8396,0.2068
omg,35,1.7885,0.2011
up,34,1.7374,0.1954
why,32,1.6352,0.1839
about,32,1.6352,0.1839
gift,31,1.5841,0.1781
time,31,1.5841,0.1781
maybe,31,1.5841,0.1781
fun,31,1.5841,0.1781
out,31,1.5841,0.1781
