token,frequency
i,462
this,449
you,308
the,297
to,287
for,267
a,254
make,253
we,251
is,197
of,188
and,175
it,139
one,134
lol,130
need,118
have,114
can,113
do,113
next,101
could,100
advent,99
be,97
in,96
would,95
that,95
me,90
just,82
so,82
with,80
like,79
love,76
should,76
your,74
but,71
my,70
get,67
😂,66
calendar,60
what,55
craft,55
christmas,53
think,51
these,50
on,50
idea,50
was,47
cute,46
an,46
if,45
wine,45
our,45
bottles,44
not,44
yes,43
year,43
or,43
paper,42
want,38
at,38
will,38
too,37
all,37
are,36
use,36
now,34
great,34
this!,34
why,32
about,31
de,30
maybe,30
mini,30
toilet,29
up,29
how,28
them,28
-,28
oh,28
omg,26
no,26
haha,25
don't,25
some,25
drink,25
good,24
as,24
day,24
out,24
i'm,23
cool,23
fun,23
thought,23
know,23
que,22
gift,22
little,22
rolls,22
looks,22
each,21
idea!,21
very,21
something,21
made,21
this.,21
other,21
liquor,20
time,20
might,20
i’m,20
work,19
going,19
😂😂,19
put,19
kind,19
project,19
go,19
night,18
saw,18
found,18
better,17
jennifer,17
!,17
it!,17
hahaha,17
even,16
😂😂😂,16
melissa,16
much,16
when,16
cute!,16
making,16
really,16
katie,16
&,16
doing,16
that’s,16
own,16
then,15
right,15
than,15
sure,15
idea.,15
more,15
tree,15
see,15
one!,15
😉,14
year!,14
many,14
totally,14
😍,14
jessica,14
it's,14
they,13
super,13
years,13
still,13
amanda,13
were,13
pretty,13
pvc,13
please,13
megan,13
let’s,13
got,12
here's,12
am,12
u,12
🤣,12
that's,12
someone,12
alcohol,12
lol.,12
...,12
awesome!,12
well,12
glue,12
buy,12
here,11
over,11
had,11
has,11
kim,11
way,11
by,11
may,11
size,11
je,11
those,11
it’s,11
amber,11
there,11
start,11
yes!!!,11
feel,11
wanna,11
into,11
from,11
yes!!,11
yes!,10
every,10
don’t,10
talking,10
marie,10
definitely,10
karen,10
kids,10
awesome,10
remember,10
hot,10
en,10
"yes,",10
fill,10
full,10
needs,10
bigger,10
ashley,10
this!!!,10
find,10
probably,10
kelly,10
pringles,10
santa,10
perfect,10
best,10
here’s,9
this!!,9
days,9
i'll,9
too!,9
said,9
beer,9
people,9
:),9
such,9
year.,9
first,9
i’ll,9
nicole,9
calendar!,9
towel,9
😊,9
cute!!,9
lauren,9
look,9
i’d,9
us,9
un,9
try,9
who,9
pipe,9
one.,9
these!,9
chocolate,9
te,9
new,8
never,8
❤️,8
give,8
thing,8
after,8
used,8
you're,8
already,8
another,8
mine,8
seen,8
though,8
idea!!,8
cool!,8
did,8
1,8
se,8
el,8
looking,8
open,8
only,8
xmas,8
enough,8
calendar.,8
gonna,8
tu,8
hell,8
it.,8
done,8
😜,8
😁,8
😆,8
nice,8
tubes,8
instead,8
whole,8
add,8
does,8
getting,8
me!,7
ever,7
it!!,7
davis,7
con,7
year!!,7
i’ve,7
thanks,7
down,7
diy,7
didn't,7
lmao,7
ann,7
take,7
beth,7
where,7
alcoholic,7
different,7
ya,7
bottle,7
guys,7
thinking,7
calendars,7
ok,7
emily,7
tp,7
pinterest,7
🤔,7
det,7
brown,7
together,7
para,7
jamie,7
also,7
last,7
stephanie,7
❤,7
[[sticker]],7
we're,7
pipes,7
🤣🤣🤣,7
lo,7
linda,7
ones,7
martin,7
because,7
lynn,7
this?,7
it!!!,6
😀,6
god,6
mandy,6
been,6
catch,6
things,6
donna,6
til,6
let's,6
anne,6
water,6
casey,6
yes!!!!,6
johnson,6
anna,6
tomorrow,6
12,6
any,6
🎄,6
calendar?,6
these!!,6
crafting,6
small,6
dec,6
fitzpatrick,6
crafts,6
since,6
lol!,6
paint,6
sell,6
cut,6
big,6
couple,6
back,6
lee,6
clever,6
la,6
keep,6
si,6
one!!,6
ca,6
smith,6
fun!,6
forget,6
"bottles,",6
bottles.,6
i'd,5
cindy,5
julie,5
sarah,5
type,5
tell,5
!!!!,5
calendrier,5
girls,5
december,5
maria,5
bonnie,5
cans,5
save,5
happy,5
crystal,5
laura,5
elizabeth,5
countdown,5
:d,5
kelsey,5
taylor,5
angela,5
live,5
thank,5
mais,5
rachel,5
yourself,5
friend,5
pra,5
cute!!!,5
come,5
andrea,5
spirit,5
case,5
without,5
can't,5
seems,5
christina,5
brittany,5
shannon,5
heather,5
version,5
you’re,5
two,5
kimberly,5
jodie,5
sooo,5
through,5
actually,5
late,5
faire,5
always,5
hard,5
store,5
play,5
sandra,5
night!,5
didn’t,5
booze,5
x,5
simple,5
expensive,5
secret,5
holidays,5
erica,5
drinking,5
that!,5
thats,5
few,5
pour,5
tag,5
os,5
du,5
matt,5
jesus,5
rolls.,5
you.,5
one?,5
april,5
own.,5
va,5
michelle,5
paul,5
home,5
wish,5
christians,5
hate,4
me?,4
n,4
calendario,4
lori,4
holy,4
must,4
ik,4
il,4
amazing,4
becky,4
before,4
easier,4
sounds,4
day!,4
can’t,4
top,4
"sichting,",4
williams,4
don,4
demain,4
jess,4
year!!!,4
!!!,4
thing.,4
så,4
ago.,4
vanessa,4
🙂,4
o,4
jenn,4
true,4
inside,4
weekend,4
colleen,4
cheap,4
wait,4
1st,4
pero,4
christmas!,4
this...,4
birthday,4
jim,4
season,4
sad,4
say,4
behind,4
thompson,4
mary,4
myself,4
being,4
lets,4
christine,4
tina,4
calendário,4
ryan,4
;),4
hey,4
lot,4
you!,4
"gift,",4
gifts,4
having,4
month,4
present,4
toys,4
🙄,4
share,4
craft?,4
coming,4
crafty,4
its,4
25,4
miss,4
jeg,4
😃,4
😘,4
becca,4
liz,4
most,4
😄,4
kylie,4
both,4
empty,4
using,4
ma,4
courtney,4
ornaments,4
um,4
merry,4
nick,4
thomas,4
simon,4
gina,4
us.,4
😍😍😍,4
schmid,4
vinegar,4
makes,4
started,4
stop,4
dat,4
wine!,4
mira,4
time.,4
ask,4
hahahaha,4
their,4
rolls?,4
bet,4
catholic,4
omg!,4
navarro,4
le,4
own!,4
mike,4
al,4
holiday,4
off,4
work!,4
candy,4
chris,4
natalie,4
count,4
"this,",4
bottles?,4
jack,3
school,3
this....,3
"me,",3
duncan-sichting,3
festive,3
items,3
adult,3
