status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
253591661347566_1904741106232605,Merry everything! 🎄🎅🎁,Brit + Co,photo,https://www.facebook.com/britandco/photos/a.248424585220998.60653.201553549908102/1639145892815520/?type=3,2017-11-30 17:00:01,666,28,0,601,54,9,1,0,0,1
253591661347566_1904727586233957,"'Tis the Season!

Find more top trending ideas to try for the holidays: https://pin.it/7C_xHfA",eHow,video,https://www.facebook.com/eHow/videos/10155368668631026/,2017-11-30 14:01:45,13878,2639,1,11069,2043,209,541,11,3,2
253591661347566_1903104399729609,"These recipes are so good, you won't miss the carbs.

Save Pin for later: https://pin.it/c6bg4irrg44ofz",Goodful,video,https://www.facebook.com/officialgoodful/videos/1839902979413493/,2017-11-29 13:20:28,1922,202,1,1762,119,38,2,0,1,0
253591661347566_1901845963188786,"Saves for sequined jackets are up +229% on Pinterest.  
via Glamour",The Party-Ready Trend That's Blowing Up on Pinterest,link,https://www.glamour.com/gallery/how-to-wear-sequin-jackets,2017-11-28 17:20:58,133,12,9,122,5,2,3,0,0,1
253591661347566_1899543603419022,"Goodbye grease stains. 

Save Pin for later: https://pin.it/kdx6qbe5axwcwj",eHow,video,https://www.facebook.com/eHow/videos/10155345711236026/,2017-11-27 13:39:16,637,38,0,587,24,25,0,1,0,0
253591661347566_1881486635224719,"From all of us at Pinterest, THANK YOU and happy #Thanksgiving.","Many, many thanks!",link,https://www.pinterest.com/pinterest/many-many-thanks/,2017-11-23 12:00:01,306,59,5,275,31,0,0,0,0,0
253591661347566_1889486064424776,"Try something different this Thanksgiving 🍽🍽🍽

Save Pin for later: https://pin.it/qomw3xtcqiy2vz",Nifty,video,https://www.facebook.com/buzzfeednifty/videos/1969390233315699/,2017-11-22 17:00:01,486,28,2,445,32,9,0,0,0,0
253591661347566_1881483455225037,"No room in the oven for dessert? Try this no bake pumpkin cheesecake. 
#whatifwednesday

Find more top trending Holiday recipes and ideas to try: https://pin.it/7C_xHfA",Tasty Vegetarian,video,https://www.facebook.com/tastyvegetarian/videos/1943393222589225/,2017-11-22 13:00:00,1082,87,0,984,75,22,0,0,1,0
253591661347566_1881460291894020,"You can still pack a lot of punch in mini-bites. Try this twist on a classic Thanksgiving side. 

More top trending Holiday recipes and ideas: https://pin.it/7C_xHfA",Forkly,video,https://www.facebook.com/forklyfood/videos/10154770312301246/,2017-11-21 13:00:01,850,94,0,784,43,21,1,0,0,1
253591661347566_1881457511894298,💅💅💅,Allure,link,http://in.allure.com/QtlscOf,2017-11-21 09:00:01,408,21,0,380,24,4,0,0,0,0
253591661347566_1881456591894390,"Have you tried this?
via The Kitchn",The Most Popular Green Bean Casserole Recipe on Pinterest,link,http://www.thekitchn.com/the-most-popular-green-bean-casserole-on-pinterest-251067,2017-11-20 21:00:01,275,31,171,261,14,0,0,0,0,0
253591661347566_1881448848561831,"Add this one to your Thanksgiving menu. 

Find more top trending recipes and ideas to try for the holidays: https://pin.it/7C_xHfA",Food Network,video,https://www.facebook.com/FoodNetwork/videos/10155241826726727/,2017-11-20 11:00:01,654,121,0,585,53,16,0,0,0,0
253591661347566_1888181844555198,"Get crackin'! 

Save Pin for later: https://pin.it/tjhjjkdwnlhzk3",Tasty,video,https://www.facebook.com/buzzfeedtasty/videos/2111218002464171/,2017-11-19 16:29:14,5604,825,0,4924,351,309,20,0,0,0
253591661347566_1885198478186868,"""I had so many different holiday events that were going to be with totally different groups of people. I wanted something that was really fun and on trend but also very versatile. I really wanted a leather skirt, but I needed to make sure I could actually wear it. I went to Pinterest and I just started pouring through different outfit ideas.""-Julia, lover of food, wine and people (preferably together), saving ideas for style and dinner parties on Pinterest. 

Check out her profile: https://pin.it/oa2ehmlchezwmu",,photo,https://www.facebook.com/pinterest/photos/a.446866188686778.114935.253591661347566/1885198048186911/?type=3,2017-11-18 12:00:00,146,16,4,139,6,0,0,0,1,0
253591661347566_1883990278307688,"You can still pack a lot of punch in mini-bites.

Find more top trending Holiday recipes and ideas in our latest holi-YAY report: https://pin.it/7C_xHfA",Spoon University,video,https://www.facebook.com/SpoonUniversity/videos/1461038770591689/,2017-11-16 21:00:01,275,12,0,251,18,6,0,0,0,0
253591661347566_1883868748319841,"Give your show-stopping meal the right ambiance.

Find more tablescape ideas to try on Pinterest: https://pin.it/csew52vl3eszu2",eHow,video,https://www.facebook.com/eHow/videos/10155333080266026/,2017-11-16 14:35:15,191,14,0,173,16,1,0,0,1,0
253591661347566_1881410688565647,Saves for this 90s grunge staple are up +318% on Pinterest.,PureWow,link,https://www.purewow.com/fashion/fishnet-outfit-ideas?utm_medium=social&utm_source=facebook&utm_campaign=organic&utm_content=main&utm_term=now,2017-11-14 19:14:01,241,65,0,203,18,6,12,1,1,0
253591661347566_1881114295261953,"An entire pumpkin pie in ONE bite! 

More top trending Holiday recipes and ideas to try: https://pin.it/7C_xHfA",Tip Hero,video,https://www.facebook.com/tiphero/videos/10154368779258761/,2017-11-14 17:00:01,1869,81,1,1710,131,27,1,0,0,0
253591661347566_1879753935397989,"Try this crowd-pleasing holiday favorite the classic way. 

Find more top trending Holiday recipes and ideas in our latest holi-YAY report: https://pin.it/7C_xHfA",Chef In Training,video,https://www.facebook.com/ChefinTrainingBlog/videos/1636264406393678/,2017-11-13 15:00:00,310,29,0,280,25,5,0,0,0,0
253591661347566_1879581025415280,Trending on Pinterest in beauty.,Allure,link,http://in.allure.com/wBkVDOA,2017-11-13 09:38:21,364,16,0,340,23,1,0,0,0,0
253591661347566_1878787735494609,"Fast and tasty doesn't have to mean time-consuming.

Save Pin for later: https://pin.it/Wx2am8g",Tasty Junior,video,https://www.facebook.com/tastyjunior/videos/519186598435432/,2017-11-12 18:35:27,3803,260,1,3553,202,32,6,4,6,0
253591661347566_1876039802436069,"""A while ago, I was scrolling through my home feed and there was a Pin that had this really cool haircut, a sort of pixie crop, and it had written underneath it, ""If only I had short fine hair I would have this haircut."" I thought, “I have fine, kind of rubbish hair, maybe I can try this haircut.” I had never considered a pixie cut before, so I Pinned like a million other haircuts. Then I actually printed them, took them into the hairdresser and got my haircut. I loved it."" --Kristy in Edinburgh, Scotland. 

See the board that inspired Kristy to try something new: https://pin.it/g-edFXe",,photo,https://www.facebook.com/pinterest/photos/a.446866188686778.114935.253591661347566/1876038185769564/?type=3,2017-11-11 12:17:01,247,25,7,233,12,0,2,0,0,0
253591661347566_1875873539119362,"You’re going to want to try this...
via Refinery29",Pinterest Searches Are Up 1066% For This Thanksgiving Dish,link,http://www.refinery29.com/2017/11/179092/most-popular-thanksgiving-recipe-pinterest,2017-11-10 14:09:33,160,11,23,152,6,0,1,0,1,0
253591661347566_1874720689234647,"Delicious, creamy mashed potatoes? Bam. 

Find more top trending Holiday recipes and ideas in our latest holi-YAY report: https://pin.it/7C_xHfA",Food Network,video,https://www.facebook.com/FoodNetwork/videos/10155221721241727/,2017-11-09 21:00:00,1162,129,0,1049,90,20,2,1,0,0
