author_name,frequency,frequencyPer100Comment
Sumit,14,0.8526
Mary,12,0.7308
Maria,11,0.6699
Christian,10,0.6090
Sarah,10,0.6090
Harsh,9,0.5481
Laura,9,0.5481
Paula,8,0.4872
Chanakya,8,0.4872
Ana,8,0.4872
Carla,7,0.4263
Vanessa,7,0.4263
Luisa,7,0.4263
Stephanie,6,0.3654
Lisa,6,0.3654
Alexia,6,0.3654
Karen,6,0.3654
Noemi,6,0.3654
Punjabi,6,0.3654
Erika,6,0.3654
Joshua,5,0.3045
Rafaella,5,0.3045
Jennifer,5,0.3045
Daniela,5,0.3045
Michelle,5,0.3045
Jason,5,0.3045
María,5,0.3045
Thomas,4,0.2436
Jessica,4,0.2436
Emma,4,0.2436
Patricia,4,0.2436
Lidia,4,0.2436
Sharon,4,0.2436
Ilaria,4,0.2436
Ale,4,0.2436
Leslie,4,0.2436
Brooke,4,0.2436
Joe,4,0.2436
Ryan,4,0.2436
Natasha,4,0.2436
Hannah,4,0.2436
Társila,4,0.2436
Christophe,4,0.2436
Samantha,4,0.2436
Alejandra,4,0.2436
Amanda,4,0.2436
Robert,4,0.2436
Yiseul,4,0.2436
Katie,4,0.2436
Jamie,4,0.2436
Vasundhara,4,0.2436
Andrea,4,0.2436
William,3,0.1827
Sindri,3,0.1827
Nicole,3,0.1827
Heather,3,0.1827
Martina,3,0.1827
Nathan,3,0.1827
Kelly,3,0.1827
Adriana,3,0.1827
Léa,3,0.1827
Grace,3,0.1827
Michael,3,0.1827
Ravi,3,0.1827
Eric,3,0.1827
Megan,3,0.1827
Eduardo,3,0.1827
Rebecca,3,0.1827
Teresa,3,0.1827
Angela,3,0.1827
Lucy,3,0.1827
Matt,3,0.1827
Orellana,3,0.1827
John,3,0.1827
Isabella,3,0.1827
Sidney,3,0.1827
Rachel,3,0.1827
Angie,3,0.1827
Melissa,3,0.1827
Israel,3,0.1827
James,3,0.1827
LiLy,3,0.1827
Nancy,3,0.1827
Julia,3,0.1827
Mong,3,0.1827
Claudia,3,0.1827
Nick,3,0.1827
Fernanda,3,0.1827
Chris,3,0.1827
金探昊,3,0.1827
Catherine,3,0.1827
Pedro,3,0.1827
Fer,3,0.1827
Elena,3,0.1827
J,3,0.1827
Austin,3,0.1827
Quentin,3,0.1827
Abhishek,3,0.1827
Scott,3,0.1827
Leah,2,0.1218
Lara,2,0.1218
Cecily,2,0.1218
