token,count,frequencyPer100Comment,frequencyPer100Token
the,189,11.5104,1.8743
you,189,11.5104,1.8743
i,169,10.2923,1.6759
a,158,9.6224,1.5668
is,137,8.3435,1.3586
and,123,7.4909,1.2198
like,108,6.5773,1.0710
,104,6.3337,1.0313
to,103,6.2728,1.0214
are,76,4.6285,0.7537
of,72,4.3849,0.7140
in,69,4.2022,0.6843
son,66,4.0195,0.6545
robert,64,3.8977,0.6347
tony,63,3.8368,0.6248
my,60,3.6541,0.5950
sticker,60,3.6541,0.5950
so,59,3.5932,0.5851
it,58,3.5323,0.5752
love,58,3.5323,0.5752
your,58,3.5323,0.5752
he,56,3.4105,0.5553
that,52,3.1669,0.5157
this,52,3.1669,0.5157
father,51,3.1060,0.5058
peter,51,3.1060,0.5058
not,50,3.0451,0.4958
but,48,2.9233,0.4760
tom,46,2.8015,0.4562
no,43,2.6188,0.4264
stark,39,2.3752,0.3868
downey,38,2.3143,0.3768
jr,37,2.2533,0.3669
look,37,2.2533,0.3669
man,36,2.1924,0.3570
3,35,2.1315,0.3471
was,35,2.1315,0.3471
be,35,2.1315,0.3471
de,33,2.0097,0.3273
😍,32,1.9488,0.3173
me,31,1.8879,0.3074
just,31,1.8879,0.3074
for,31,1.8879,0.3074
what,31,1.8879,0.3074
have,30,1.8270,0.2975
with,29,1.7661,0.2876
rdj,29,1.7661,0.2876
all,28,1.7052,0.2777
see,27,1.6443,0.2678
his,26,1.5834,0.2578
they,25,1.5225,0.2479
que,25,1.5225,0.2479
omg,24,1.4616,0.2380
spiderman,24,1.4616,0.2380
on,24,1.4616,0.2380
holland,24,1.4616,0.2380
do,23,1.4007,0.2281
may,23,1.4007,0.2281
as,23,1.4007,0.2281
its,23,1.4007,0.2281
dont,23,1.4007,0.2281
know,23,1.4007,0.2281
one,22,1.3398,0.2182
u,22,1.3398,0.2182
lol,22,1.3398,0.2182
spider,21,1.2789,0.2083
aunt,21,1.2789,0.2083
if,21,1.2789,0.2083
yes,21,1.2789,0.2083
looks,21,1.2789,0.2083
iron,20,1.2180,0.1983
im,20,1.2180,0.1983
el,20,1.2180,0.1983
only,20,1.2180,0.1983
who,20,1.2180,0.1983
se,20,1.2180,0.1983
at,19,1.1571,0.1884
him,19,1.1571,0.1884
good,18,1.0962,0.1785
resemblance,18,1.0962,0.1785
best,18,1.0962,0.1785
will,18,1.0962,0.1785
better,17,1.0353,0.1686
superfamily,17,1.0353,0.1686
uncle,17,1.0353,0.1686
did,17,1.0353,0.1686
were,17,1.0353,0.1686
oh,17,1.0353,0.1686
more,17,1.0353,0.1686
😂,17,1.0353,0.1686
both,17,1.0353,0.1686
young,17,1.0353,0.1686
thats,17,1.0353,0.1686
about,17,1.0353,0.1686
marvel,16,0.9744,0.1587
now,16,0.9744,0.1587
think,16,0.9744,0.1587
es,15,0.9135,0.1488
or,15,0.9135,0.1488
tu,15,0.9135,0.1488
dad,15,0.9135,0.1488
why,15,0.9135,0.1488
pic,15,0.9135,0.1488
we,14,0.8526,0.1388
has,14,0.8526,0.1388
can,14,0.8526,0.1388
still,14,0.8526,0.1388
than,14,0.8526,0.1388
same,14,0.8526,0.1388
when,14,0.8526,0.1388
always,14,0.8526,0.1388
y,14,0.8526,0.1388
up,14,0.8526,0.1388
wow,14,0.8526,0.1388
even,13,0.7917,0.1289
people,13,0.7917,0.1289
o,13,0.7917,0.1289
si,13,0.7917,0.1289
an,13,0.7917,0.1289
beautiful,13,0.7917,0.1289
movie,13,0.7917,0.1289
maybe,13,0.7917,0.1289
want,12,0.7308,0.1190
how,12,0.7308,0.1190
kid,12,0.7308,0.1190
yeah,12,0.7308,0.1190
looking,12,0.7308,0.1190
there,12,0.7308,0.1190
am,12,0.7308,0.1190
te,12,0.7308,0.1190
really,12,0.7308,0.1190
la,12,0.7308,0.1190
ben,12,0.7308,0.1190
mi,11,0.6699,0.1091
spidey,11,0.6699,0.1091
too,11,0.6699,0.1091
youre,11,0.6699,0.1091
il,11,0.6699,0.1091
time,11,0.6699,0.1091
hes,11,0.6699,0.1091
handsome,11,0.6699,0.1091
very,11,0.6699,0.1091
two,11,0.6699,0.1091
d,11,0.6699,0.1091
😍😍😍,11,0.6699,0.1091
lo,11,0.6699,0.1091
amazing,10,0.6090,0.0992
mean,10,0.6090,0.0992
mas,10,0.6090,0.0992
where,10,0.6090,0.0992
ok,10,0.6090,0.0992
los,10,0.6090,0.0992
e,10,0.6090,0.0992
from,10,0.6090,0.0992
sir,10,0.6090,0.0992
le,10,0.6090,0.0992
out,10,0.6090,0.0992
parker,10,0.6090,0.0992
hijo,10,0.6090,0.0992
movies,9,0.5481,0.0893
got,9,0.5481,0.0893
never,9,0.5481,0.0893
much,9,0.5481,0.0893
cant,9,0.5481,0.0893
right,9,0.5481,0.0893
true,9,0.5481,0.0893
daddy,9,0.5481,0.0893
pero,9,0.5481,0.0893
q,9,0.5481,0.0893
cute,9,0.5481,0.0893
hot,9,0.5481,0.0893
en,9,0.5481,0.0893
thing,9,0.5481,0.0893
xd,9,0.5481,0.0893
say,9,0.5481,0.0893
any,9,0.5481,0.0893
real,9,0.5481,0.0893
family,9,0.5481,0.0893
actually,9,0.5481,0.0893
someone,9,0.5481,0.0893
need,9,0.5481,0.0893
well,9,0.5481,0.0893
does,9,0.5481,0.0893
peters,9,0.5481,0.0893
sorry,8,0.4872,0.0793
new,8,0.4872,0.0793
would,8,0.4872,0.0793
god,8,0.4872,0.0793
guapo,8,0.4872,0.0793
sure,8,0.4872,0.0793
these,8,0.4872,0.0793
gonna,8,0.4872,0.0793
🤔,8,0.4872,0.0793
😉,8,0.4872,0.0793
❤,8,0.4872,0.0793
bit,8,0.4872,0.0793
us,8,0.4872,0.0793
frank,8,0.4872,0.0793
could,8,0.4872,0.0793
hope,8,0.4872,0.0793
here,7,0.4263,0.0694
though,7,0.4263,0.0694
eres,7,0.4263,0.0694
life,7,0.4263,0.0694
make,7,0.4263,0.0694
p,7,0.4263,0.0694
hombre,7,0.4263,0.0694
grow,7,0.4263,0.0694
😂😂,7,0.4263,0.0694
little,7,0.4263,0.0694
2,7,0.4263,0.0694
ana,7,0.4263,0.0694
ya,7,0.4263,0.0694
😍😍😍😍,7,0.4263,0.0694
ironman,7,0.4263,0.0694
yo,7,0.4263,0.0694
😊,7,0.4263,0.0694
close,7,0.4263,0.0694
some,7,0.4263,0.0694
nice,7,0.4263,0.0694
great,7,0.4263,0.0694
something,7,0.4263,0.0694
avengers,7,0.4263,0.0694
sinatra,7,0.4263,0.0694
day,7,0.4263,0.0694
pepper,7,0.4263,0.0694
❤️,6,0.3654,0.0595
😂😂😂,6,0.3654,0.0595
tell,6,0.3654,0.0595
over,6,0.3654,0.0595
then,6,0.3654,0.0595
don’t,6,0.3654,0.0595
left,6,0.3654,0.0595
hai,6,0.3654,0.0595
😍😍,6,0.3654,0.0595
boy,6,0.3654,0.0595
years,6,0.3654,0.0595
😂😂😂😂,6,0.3654,0.0595
going,6,0.3654,0.0595
get,6,0.3654,0.0595
wonder,6,0.3654,0.0595
je,6,0.3654,0.0595
mary,6,0.3654,0.0595
stony,6,0.3654,0.0595
sense,6,0.3654,0.0595
find,6,0.3654,0.0595
sei,6,0.3654,0.0595
please,6,0.3654,0.0595
nope,6,0.3654,0.0595
steve,6,0.3654,0.0595
their,6,0.3654,0.0595
awww,6,0.3654,0.0595
infinity,6,0.3654,0.0595
thought,6,0.3654,0.0595
less,6,0.3654,0.0595
because,6,0.3654,0.0595
hair,6,0.3654,0.0595
hermoso,6,0.3654,0.0595
ever,5,0.3045,0.0496
hero,5,0.3045,0.0496
plot,5,0.3045,0.0496
mr,5,0.3045,0.0496
already,5,0.3045,0.0496
sumit,5,0.3045,0.0496
é,5,0.3045,0.0496
👍,5,0.3045,0.0496
spoiler,5,0.3045,0.0496
mishra,5,0.3045,0.0496
been,5,0.3045,0.0496
mcu,5,0.3045,0.0496
confirmed,5,0.3045,0.0496
human,5,0.3045,0.0496
everything,5,0.3045,0.0496
old,5,0.3045,0.0496
war,5,0.3045,0.0496
happy,5,0.3045,0.0496
guy,5,0.3045,0.0496
wait,5,0.3045,0.0496
homecoming,5,0.3045,0.0496
fuck,5,0.3045,0.0496
jajajaja,5,0.3045,0.0496
como,5,0.3045,0.0496
toby,5,0.3045,0.0496
tonys,5,0.3045,0.0496
believe,5,0.3045,0.0496
uncanny,5,0.3045,0.0496
alike,5,0.3045,0.0496
play,5,0.3045,0.0496
filho,5,0.3045,0.0496
damn,5,0.3045,0.0496
gay,5,0.3045,0.0496
theres,5,0.3045,0.0496
by,5,0.3045,0.0496
um,5,0.3045,0.0496
un,5,0.3045,0.0496
favorite,5,0.3045,0.0496
tan,5,0.3045,0.0496
oui,5,0.3045,0.0496
jessica,5,0.3045,0.0496
😍😍😍😍😍,5,0.3045,0.0496
beard,5,0.3045,0.0496
lindo,5,0.3045,0.0496
industries,5,0.3045,0.0496
comment,5,0.3045,0.0496
other,5,0.3045,0.0496
told,4,0.2436,0.0397
adopt,4,0.2436,0.0397
haha,4,0.2436,0.0397
after,4,0.2436,0.0397
fan,4,0.2436,0.0397
fiu,4,0.2436,0.0397
them,4,0.2436,0.0397
hollywood,4,0.2436,0.0397
família,4,0.2436,0.0397
di,4,0.2436,0.0397
ça,4,0.2436,0.0397
con,4,0.2436,0.0397
child,4,0.2436,0.0397
things,4,0.2436,0.0397
bạn,4,0.2436,0.0397
photo,4,0.2436,0.0397
dear,4,0.2436,0.0397
comments,4,0.2436,0.0397
super,4,0.2436,0.0397
way,4,0.2436,0.0397
gorgeous,4,0.2436,0.0397
shit,4,0.2436,0.0397
ni,4,0.2436,0.0397
actor,4,0.2436,0.0397
rob,4,0.2436,0.0397
ver,4,0.2436,0.0397
cool,4,0.2436,0.0397
die,4,0.2436,0.0397
team,4,0.2436,0.0397
weird,4,0.2436,0.0397
😍😍😍😍😍😍,4,0.2436,0.0397
siempre,4,0.2436,0.0397
