token,count,frequencyPer100Comment,frequencyPer100Token
you,569,25.3791,3.1035
i,490,21.8555,2.6726
the,350,15.6111,1.9090
to,314,14.0054,1.7127
and,305,13.6039,1.6636
,273,12.1766,1.4890
a,253,11.2846,1.3799
love,229,10.2141,1.2490
selena,209,9.3220,1.1400
of,206,9.1882,1.1236
my,204,9.0990,1.1127
me,171,7.6271,0.9327
is,157,7.0027,0.8563
in,153,6.8243,0.8345
like,153,6.8243,0.8345
for,145,6.4674,0.7909
it,123,5.4862,0.6709
your,123,5.4862,0.6709
that,122,5.4416,0.6654
on,122,5.4416,0.6654
3,117,5.2186,0.6382
this,113,5.0401,0.6163
so,106,4.7279,0.5782
are,105,4.6833,0.5727
with,99,4.4157,0.5400
be,95,4.2373,0.5182
all,89,3.9697,0.4854
sticker,88,3.9251,0.4800
im,82,3.6574,0.4473
page,82,3.6574,0.4473
have,80,3.5682,0.4363
but,80,3.5682,0.4363
not,76,3.3898,0.4145
u,76,3.3898,0.4145
do,75,3.3452,0.4091
if,66,2.9438,0.3600
gomez,65,2.8992,0.3545
know,64,2.8546,0.3491
just,62,2.7654,0.3382
dont,62,2.7654,0.3382
her,61,2.7208,0.3327
please,59,2.6316,0.3218
no,57,2.5424,0.3109
criseangola,57,2.5424,0.3109
add,57,2.5424,0.3109
music,55,2.4532,0.3000
we,53,2.3640,0.2891
what,52,2.3194,0.2836
can,51,2.2748,0.2782
song,51,2.2748,0.2782
she,47,2.0963,0.2564
get,46,2.0517,0.2509
videoshareyoutube,44,1.9625,0.2400
from,43,1.9179,0.2345
he,43,1.9179,0.2345
video,42,1.8733,0.2291
much,41,1.8287,0.2236
or,41,1.8287,0.2236
will,41,1.8287,0.2236
was,39,1.7395,0.2127
out,39,1.7395,0.2127
new,37,1.6503,0.2018
god,37,1.6503,0.2018
share,37,1.6503,0.2018
beautiful,37,1.6503,0.2018
want,36,1.6057,0.1964
one,36,1.6057,0.1964
as,36,1.6057,0.1964
about,35,1.5611,0.1909
life,35,1.5611,0.1909
te,34,1.5165,0.1854
its,34,1.5165,0.1854
us,34,1.5165,0.1854
y,33,1.4719,0.1800
que,32,1.4273,0.1745
think,32,1.4273,0.1745
good,32,1.4273,0.1745
back,31,1.3827,0.1691
our,31,1.3827,0.1691
justin,31,1.3827,0.1691
how,30,1.3381,0.1636
now,30,1.3381,0.1636
up,30,1.3381,0.1636
why,30,1.3381,0.1636
wolves,29,1.2935,0.1582
amazing,28,1.2489,0.1527
too,28,1.2489,0.1527
at,28,1.2489,0.1527
best,27,1.2043,0.1473
need,27,1.2043,0.1473
really,27,1.2043,0.1473
youtube,27,1.2043,0.1473
thats,27,1.2043,0.1473
queen,26,1.1597,0.1418
guys,26,1.1597,0.1418
come,26,1.1597,0.1418
very,26,1.1597,0.1418
la,26,1.1597,0.1418
fan,25,1.1151,0.1364
an,24,1.0705,0.1309
him,24,1.0705,0.1309
because,24,1.0705,0.1309
girl,24,1.0705,0.1309
every,23,1.0259,0.1254
de,23,1.0259,0.1254
happy,23,1.0259,0.1254
en,23,1.0259,0.1254
hello,23,1.0259,0.1254
v,23,1.0259,0.1254
facebook,23,1.0259,0.1254
cant,22,0.9813,0.1200
se,22,0.9813,0.1200
live,21,0.9367,0.1145
world,21,0.9367,0.1145
some,21,0.9367,0.1145
go,21,0.9367,0.1145
here,20,0.8921,0.1091
would,20,0.8921,0.1091
ill,20,0.8921,0.1091
time,20,0.8921,0.1091
wait,20,0.8921,0.1091
there,20,0.8921,0.1091
hey,20,0.8921,0.1091
more,20,0.8921,0.1091
day,20,0.8921,0.1091
