status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
7961985974_10155134796810975,"Wolves video x Marshmello is out now! Watch it first on Apple Music. 🐺
http://smarturl.it/WolvesApple",,video,https://www.facebook.com/Selena/videos/10155134796810975/,2017-11-17 11:15:12,49479,1366,2128,34573,14188,556,49,25,15,73
7961985974_10155133700430975,WOLVES video x marshmello tomorrow. Watch it first on Apple Music. apple.co/WolvesSingle,,video,https://www.facebook.com/Selena/videos/10155133700430975/,2017-11-16 22:32:16,72745,1259,2888,51387,20233,950,61,32,27,55
7961985974_10155108779370975,Here’s a first look at the music video for Wolves! Tune-in to the American Music Awards on November 19th to see me perform it live for the first time. 🐺,Selena Gomez - Wolves AMAs,video,https://www.facebook.com/Selena/videos/10155108779370975/,2017-11-06 13:01:00,67117,1498,4581,45031,20682,1199,86,13,17,89
7961985974_10155104946820975,So proud of my momma. She will be speaking tonight at the Unlikely Heroes event. Watch it live on their Facebook. Love you mommy.,,status,,2017-11-04 19:59:32,62656,830,409,49326,12764,401,59,14,15,77
7961985974_10155081903340975,Wolves x Marshmello is out now! 🐺 http://smarturl.it/WolvesSG,,video,https://www.facebook.com/Selena/videos/10155081903340975/,2017-10-26 11:04:13,71898,2165,3703,48455,22411,785,75,19,27,126
7961985974_10155076947455975,Wolves is out tomorrow morning,,video,https://www.facebook.com/Selena/videos/10155076947455975/,2017-10-24 12:06:37,131191,2223,7169,92165,36529,2078,231,51,30,107
7961985974_10155074901590975,,Selena Gomez,photo,https://www.facebook.com/Selena/photos/a.428046100974.225566.7961985974/10155074900965975/?type=3,2017-10-23 14:49:15,583895,15305,8200,440799,133739,7763,1060,183,123,228
7961985974_10155074898035975,,Selena Gomez's cover photo,photo,https://www.facebook.com/Selena/photos/a.10150609140610975.385818.7961985974/10155074897855975/?type=3,2017-10-23 14:48:19,83332,745,814,59403,22614,1076,106,31,22,80
7961985974_10155074617365975,"I've been running through the jungle, I've been crying with the wolves. 10.25.",,photo,https://www.facebook.com/Selena/photos/a.270081260974.141641.7961985974/10155074617300975/?type=3,2017-10-23 12:12:22,117617,1893,4053,86576,28249,2331,271,53,27,110
7961985974_10155065404650975,Coming 10.25... WOLVES x marshmello,,photo,https://www.facebook.com/Selena/photos/a.116551875974.100522.7961985974/10155065403020975/?type=3,2017-10-19 17:38:56,159144,3396,4936,118937,36374,3118,488,44,27,156
7961985974_10154988280550975,,ATTN: Video,video,https://www.facebook.com/ATTNVideo/videos/1752800661691554/,2017-09-17 13:44:02,38224,849,2,30382,7158,267,40,187,8,182
7961985974_10154924826920975,Fetish (Galantis Remix) is out now! Listen here: http://smarturl.it/FetishRmx,,video,https://www.facebook.com/Selena/videos/10154924826920975/,2017-08-22 23:49:12,67461,4775,2553,50549,15865,901,111,15,20,0
7961985974_10154908594175975,Stream ‘Fetish’ to unlock an exclusive look behind the scenes of the Fetish video before anyone else. http://smarturl.it/FetishBTS,EXCLUSIVE: FETISH (BEHIND THE SCENES),link,http://smarturl.it/FetishBTS,2017-08-16 12:37:48,65524,2119,826,53703,11186,510,86,21,18,0
7961985974_10154893323590975,Press and hold on the Snapchat camera when listening to “Fetish” to Shazam and unlock my exclusive filter! 🍑,,video,https://www.facebook.com/Selena/videos/10154893323590975/,2017-08-10 18:28:20,154515,4911,4502,117475,35144,1173,659,40,24,0
7961985974_10154882611510975,It’s been so much fun working with Coach and Stuart Vevers on designing my very own bag: the Selena Grace. Come see it and meet me at Coach House New York on Sept. 13! #CoachxSelena #CoachNY,,photo,https://www.facebook.com/Selena/photos/a.270081260974.141641.7961985974/10154882607265975/?type=3,2017-08-06 12:59:34,123673,9614,1474,99569,22956,970,108,40,30,0
7961985974_10154877639605975,TONIGHT! Watch #WEday on CBS at 8/7c.,,photo,https://www.facebook.com/Selena/photos/a.270081260974.141641.7961985974/10154877639560975/?type=3,2017-08-04 17:17:40,100898,1374,853,82139,18118,524,79,24,14,0
7961985974_10154874901960975,Thank you InStyle!! Wearing Coach and showing you a sneak peek of my bag I designed in September's InStyle Magazine.,Photos from Selena Gomez's post,photo,https://www.facebook.com/Selena/photos/a.116551875974.100522.7961985974/10154874878170975/?type=3,2017-08-03 18:01:26,215543,2303,4560,168047,45529,1732,178,25,32,0
7961985974_10154870015340975,I push you out and you come right back… Watch Fetish now.,Selena Gomez - Fetish ft. Gucci Mane,video,http://smarturl.it/SGFetishVideo,2017-08-01 17:37:49,87692,1009,1955,71187,15895,430,131,25,23,1
7961985974_10154862019870975,Get exclusive merch inspired by the ‘Fetish’ video in my official store. http://smarturl.it/selenagomezmerch,Photos from Selena Gomez's post,photo,https://www.facebook.com/Selena/photos/a.116551875974.100522.7961985974/10154862018650975/?type=3,2017-07-29 16:14:24,56539,1077,1045,43495,12052,762,158,56,16,0
7961985974_10154852549245975,FETISH VIDEO. OUT NOW. http://smarturl.it/SGFetishVideo,,video,https://www.facebook.com/Selena/videos/10154852549245975/,2017-07-26 11:10:51,102616,3147,4148,72576,25991,756,3145,70,78,0
7961985974_10154850816745975,FETISH VIDEO. TOMORROW.,,video,https://www.facebook.com/Selena/videos/10154850816745975/,2017-07-25 19:28:07,65148,991,2572,46071,18098,850,98,15,16,0
7961985974_10154846944950975,The official video for Fetish… coming Wednesday.,,video,https://www.facebook.com/Selena/videos/10154846944950975/,2017-07-24 14:48:32,72064,1041,2089,53460,17225,1255,91,15,18,0
7961985974_10154837514880975,‪Fetish video directed by Petra Collins & ft. Gucci Mane drops next week. 🍑‬,,video,https://www.facebook.com/Selena/videos/10154837514880975/,2017-07-21 16:08:33,54401,1345,1335,39872,13835,600,66,14,14,0
7961985974_10154834144880975,"I'm not surprised, I sympathize.",,video,https://www.facebook.com/Selena/videos/10154834144880975/,2017-07-20 13:47:30,73569,903,2029,54696,17883,873,65,37,15,0
7961985974_10154816207015975,Don’t see a point in blaming you… 🍑 http://smarturl.it/FetishSG,FETISH Out Now,video,https://www.facebook.com/Selena/videos/10154816207015975/,2017-07-14 17:39:37,87612,5522,2681,65690,20734,1028,101,36,23,0
7961985974_10154808696355975,"Listen to Fetish ft. Gucci Mane, out now: http://smarturl.it/FetishSG",Selena Gomez's cover photo,photo,https://www.facebook.com/Selena/photos/a.10150609140610975.385818.7961985974/10154808696270975/?type=3,2017-07-12 23:17:59,101063,1420,1837,75710,24524,658,135,12,24,0
7961985974_10154808653535975,"FETISH, ft. Gucci Mane is out now. Watch the first visual on Spotify: http://smarturl.it/FetishTTH",FETISH Out Now,video,https://www.facebook.com/Selena/videos/10154808650890975/,2017-07-12 23:17:04,126509,4333,9539,87834,37224,1166,211,26,47,1
7961985974_10154804196725975,Fetish. Thursday.,FETISH,video,https://www.facebook.com/Selena/videos/10154804193475975/,2017-07-11 14:54:25,170219,3461,10315,120124,47353,2208,451,41,41,1
7961985974_10154801268460975,,Selena Gomez,photo,https://www.facebook.com/Selena/photos/a.428046100974.225566.7961985974/10154801268015975/?type=3,2017-07-10 16:51:36,789133,11880,8430,624935,156617,5567,1611,206,187,10
7961985974_10154800833805975,You got a fetish for my love.,FETISH,video,https://www.facebook.com/Selena/videos/10154800828950975/,2017-07-10 13:54:59,81677,1143,3356,59066,21356,1118,100,17,20,0
7961985974_10154791879340975,JULY 13,,photo,https://www.facebook.com/Selena/photos/a.116551875974.100522.7961985974/10154791878175975/?type=3,2017-07-07 15:43:10,267644,4327,8810,209806,53500,3775,465,32,61,5
7961985974_10154787890965975,FETISH.,,photo,https://www.facebook.com/Selena/photos/a.116551875974.100522.7961985974/10154787887280975/?type=3,2017-07-06 13:05:19,191290,2156,4100,149289,39345,2326,271,28,27,4
7961985974_10154782084300975,‪Check out my Me & My Girls Spotify playlist celebrating some of the amazing women topping the charts.,"Me & My Girls, a playlist by Selena Gomez on Spotify",link,http://smarturl.it/MeAndMyGirlsSp,2017-07-04 15:46:29,38415,528,552,29260,8750,350,42,7,6,0
7961985974_10154721756655975,Shazam Bad Liar on Snapchat now to unlock exclusive Bad Liar filters! ‬,,video,https://www.facebook.com/Selena/videos/10154721756655975/,2017-06-15 18:35:35,97648,2547,2105,75353,21217,661,123,15,27,252
7961985974_10154720417825975,Get exclusive Bad Liar merch available now. http://smarturl.it/SelenaStore,Photos from Selena Gomez's post,photo,https://www.facebook.com/Selena/photos/a.270081260974.141641.7961985974/10154720417715975/?type=3,2017-06-15 12:22:53,35913,493,591,26960,8114,224,105,31,18,461
7961985974_10154718386105975,Bad Liar music video is out by the way 😏 http://smarturl.it/BadLiarVideoSG,Timeline Photos,photo,https://www.facebook.com/Selena/photos/a.116551875974.100522.7961985974/10154718386105975/?type=3,2017-06-14 19:32:33,382271,5963,6746,304104,71030,1770,446,70,112,4739
7961985974_10154711778805975,Bad Liar - a film. Coming Wednesday.,Timeline Photos,photo,https://www.facebook.com/Selena/photos/a.116551875974.100522.7961985974/10154711778805975/?type=3,2017-06-12 14:00:21,72347,2036,2573,52165,17622,942,103,15,20,1480
7961985974_10154634985040975,"Watch an exclusive playlist video for 'Bad Liar,' only on Spotify: http://smarturl.it/BadLiarSpotify",Bad Liar on Spotify,video,https://www.facebook.com/Selena/videos/10154634985040975/,2017-05-18 14:17:11,73103,1467,2625,53059,19082,737,123,29,28,45
7961985974_10154633190375975,All my feelings on fire… 'Bad Liar’ is out now. http://smarturl.it/BadLiar,Bad Liar Out Now,video,https://www.facebook.com/Selena/videos/10154633190375975/,2017-05-17 23:29:30,118360,5871,8040,85517,30960,1534,190,48,52,59
7961985974_10154633176835975,http://smarturl.it/BadLiar,Selena Gomez's cover photo,photo,https://www.facebook.com/Selena/photos/a.10150609140610975.385818.7961985974/10154633175250975/?type=3,2017-05-17 23:25:20,92105,902,1333,70293,21018,574,99,48,33,40
7961985974_10154629676865975,Bad Liar 5.18,Bad Liar 5.18,video,https://www.facebook.com/Selena/videos/10154629676865975/,2017-05-16 19:45:03,52582,770,1687,37169,14167,321,97,20,20,788
7961985974_10154629672100975,http://smarturl.it/BadLiarPresave,Selena Gomez,photo,https://www.facebook.com/Selena/photos/a.428046100974.225566.7961985974/10154629671835975/?type=3,2017-05-16 19:42:37,269066,3535,4263,204169,59564,1604,329,553,85,2762
7961985974_10154625621010975,Bad Liar 5.18,Photos from Selena Gomez's post,photo,https://www.facebook.com/Selena/photos/a.270081260974.141641.7961985974/10154625619775975/?type=3,2017-05-15 14:19:01,61711,687,1944,45801,14210,227,54,28,23,1368
7961985974_10154620414565975,Pre-save Bad Liar on Spotify to be the first to hear it when it comes out 5.18. smarturl.it/BadLiarPresave,Timeline Photos,photo,https://www.facebook.com/Selena/photos/a.116551875974.100522.7961985974/10154620414565975/?type=3,2017-05-13 14:15:12,83377,948,1184,64320,16294,320,84,31,21,2307
7961985974_10154617887275975,,Selena Gomez's cover photo,photo,https://www.facebook.com/Selena/photos/a.10150609140610975.385818.7961985974/10154617887205975/?type=3,2017-05-12 14:27:37,89414,706,751,66086,19660,359,110,18,23,3158
7961985974_10154617881465975,Bad Liar. 5.18.,Timeline Photos,photo,https://www.facebook.com/Selena/photos/a.116551875974.100522.7961985974/10154617881465975/?type=3,2017-05-12 14:25:35,115949,1225,2723,89552,21481,658,170,40,29,4019
7961985974_10154615033175975,Bad Liar.,Timeline Photos,photo,https://www.facebook.com/Selena/photos/a.116551875974.100522.7961985974/10154615033175975/?type=3,2017-05-11 13:26:59,74865,1354,2767,57185,14249,1746,155,40,23,1467
7961985974_10154598158315975,"As the new face of Coach, I was given the opportunity to personalize this bag for my Momma (that I’m pretty sure my sister is going to steal). This is a very common exchange between the two of us. Happy (early) Mother’s Day to the woman who is the reason for my existence.",Timeline Photos,photo,https://www.facebook.com/Selena/photos/a.116551875974.100522.7961985974/10154598158315975/?type=3,2017-05-04 17:05:06,156530,2008,1840,126987,28420,508,306,17,38,254
