token,count,frequencyPer100Comment,frequencyPer100Token
i,13,52.0000,4.8507
my,7,28.0000,2.6119
the,7,28.0000,2.6119
a,6,24.0000,2.2388
still,5,20.0000,1.8657
not,5,20.0000,1.8657
she,5,20.0000,1.8657
is,5,20.0000,1.8657
it,5,20.0000,1.8657
and,5,20.0000,1.8657
join,4,16.0000,1.4925
her,4,16.0000,1.4925
was,4,16.0000,1.4925
me,4,16.0000,1.4925
can,4,16.0000,1.4925
have,4,16.0000,1.4925
you,4,16.0000,1.4925
think,4,16.0000,1.4925
just,3,12.0000,1.1194
yes,3,12.0000,1.1194
group,3,12.0000,1.1194
shes,3,12.0000,1.1194
for,3,12.0000,1.1194
of,3,12.0000,1.1194
aging,3,12.0000,1.1194
rest,2,8.0000,0.7463
to,2,8.0000,0.7463
woman,2,8.0000,0.7463
good,2,8.0000,0.7463
some,2,8.0000,0.7463
never,2,8.0000,0.7463
on,2,8.0000,0.7463
sister,2,8.0000,0.7463
opinion,2,8.0000,0.7463
been,2,8.0000,0.7463
shatoiya,2,8.0000,0.7463
this,2,8.0000,0.7463
up,2,8.0000,0.7463
in,2,8.0000,0.7463
🎈,2,8.0000,0.7463
when,2,8.0000,0.7463
though,2,8.0000,0.7463
well,2,8.0000,0.7463
bryantgarron,2,8.0000,0.7463
