token,count,frequencyPer100Comment,frequencyPer100Token
i,1192,23.52941176470588,2.852834885001077
to,989,19.52230556652191,2.366991360122538
you,842,16.620607974733517,2.015173635210492
it,812,16.028424792735887,1.9433740995141564
the,776,15.317804974338728,1.8572146566785537
finally,489,9.65258586656139,1.1703324318502741
on,435,8.586656138965655,1.0410932675968696
for,419,8.270825108566916,1.002800181892157
listen,406,8.014212396367943,0.9716870497570782
a,390,7.698381365969206,0.9333939640523657
can,384,7.5799447295696805,0.9190340569130987
and,357,7.046979865771812,0.8544144747863963
my,340,6.7114093959731544,0.8137280712251393
now,317,6.25740228977497,0.7586817605246152
have,316,6.23766285037505,0.7562884426680708
,307,6.06000789577576,0.73474858195917
this,293,5.7836557441768655,0.7012421319675466
spotify,288,5.68495854717726,0.6892755426848239
in,240,4.73746545598105,0.5743962855706867
is,237,4.678247137781287,0.567216332001053
so,220,4.342676667982629,0.5265299284397961
album,217,4.283458349782866,0.5193499748701624
cd,211,4.16502171338334,0.5049900677308953
of,211,4.16502171338334,0.5049900677308953
me,201,3.9676273193841296,0.48105688916545003
be,191,3.770232925384919,0.4571237106000048
taylor,189,3.730754046585077,0.4523370748869157
just,181,3.5728385313857087,0.43319053203455954
but,174,3.434662455586261,0.41643730703874776
your,173,3.41492301618634,0.4140439891822033
we,168,3.3162258191867346,0.4020773998994806
no,168,3.3162258191867346,0.4020773998994806
lol,167,3.2964863797868142,0.39968408204293615
not,165,3.257007500986972,0.3948974463298471
bought,163,3.2175286221871295,0.390110810616758
that,160,3.158310303987367,0.38293085704712443
all,155,3.0596131069877615,0.3709642677644018
music,145,2.8622187129885512,0.3470310891989565
time,144,2.84247927358863,0.34463777134241197
que,143,2.8227398341887087,0.34224445348586746
get,142,2.8030003947887883,0.3398511356293229
buy,140,2.763521515988946,0.3350644999162339
love,139,2.743782076589025,0.3326711820596893
her,137,2.7043031977891827,0.3278845463466003
like,134,2.6450848795894197,0.3207045927769667
what,129,2.5463876825898146,0.3087380034942441
😂,128,2.5266482431898933,0.30634468563769957
she,128,2.5266482431898933,0.30634468563769957
was,126,2.487169364390051,0.3015580499246105
about,126,2.487169364390051,0.3015580499246105
omg,124,2.4476904855902095,0.2967714142115214
know,116,2.289774970390841,0.2776248713591652
are,111,2.191077773391236,0.2656582820764426
been,109,2.1515988945913938,0.2608716463633535
im,107,2.112120015791551,0.25608501065026446
yes,103,2.0331622581918674,0.24651173922408637
dont,102,2.013422818791946,0.24411842136754183
ya,101,1.9936833793920254,0.24172510351099732
its,100,1.9739439399921042,0.2393317856544528
wait,99,1.9542045005921833,0.23693846779790825
will,95,1.875246742992499,0.22736519637173014
thank,94,1.8555073035925778,0.22497187851518563
apple,92,1.8160284247927359,0.22018524280209653
de,91,1.796288985392815,0.217791924945552
out,91,1.796288985392815,0.217791924945552
u,88,1.7370706671930518,0.21061197137591842
too,88,1.7370706671930518,0.21061197137591842
streaming,87,1.7173312277931305,0.20821865351937388
it’s,86,1.6975917883932097,0.20582533566282937
already,85,1.6778523489932886,0.20343201780628484
car,82,1.6186340307935254,0.19625206423665126
go,82,1.6186340307935254,0.19625206423665126
don’t,82,1.6186340307935254,0.19625206423665126
day,82,1.6186340307935254,0.19625206423665126
do,80,1.5791551519936835,0.19146542852356221
i’m,80,1.5791551519936835,0.19146542852356221
yay,79,1.5594157125937624,0.1890721106670177
haha,76,1.5001973943939992,0.1818921570973841
why,76,1.5001973943939992,0.1818921570973841
still,75,1.4804579549940782,0.17949883924083956
if,75,1.4804579549940782,0.17949883924083956
oh,74,1.460718515594157,0.17710552138429503
at,71,1.4015001973943941,0.16992556781466145
good,70,1.381760757994473,0.16753224995811694
only,69,1.3620213185945518,0.1651389321015724
did,68,1.342281879194631,0.16274561424502787
as,67,1.3225424397947099,0.16035229638848336
when,66,1.3028030003947888,0.15795897853193883
itunes,64,1.2633241215949467,0.15317234281884978
with,63,1.2435846821950256,0.15077902496230525
na,63,1.2435846821950256,0.15077902496230525
more,62,1.2238452427951048,0.1483857071057607
reputation,62,1.2238452427951048,0.1483857071057607
waiting,62,1.2238452427951048,0.1483857071057607
one,61,1.2041058033951837,0.1459923892492162
ready,59,1.1646269245953416,0.14120575353612713
up,58,1.1448874851954205,0.1388124356795826
songs,58,1.1448874851954205,0.1388124356795826
listening,58,1.1448874851954205,0.1388124356795826
money,58,1.1448874851954205,0.1388124356795826
3,57,1.1251480457954994,0.1364191178230381
tonight,56,1.1054086063955784,0.13402579996649355
there,56,1.1054086063955784,0.13402579996649355
after,55,1.0856691669956573,0.13163248210994902
has,54,1.0659297275957362,0.1292391642534045
would,54,1.0659297275957362,0.1292391642534045
swift,54,1.0659297275957362,0.1292391642534045
because,54,1.0659297275957362,0.1292391642534045
got,53,1.0461902881958152,0.12684584639685997
song,52,1.0264508487958943,0.12445252854031545
need,51,1.006711409395973,0.12205921068377092
lo,51,1.006711409395973,0.12205921068377092
come,51,1.006711409395973,0.12205921068377092
want,50,0.9869719699960521,0.1196658928272264
o,50,0.9869719699960521,0.1196658928272264
te,50,0.9869719699960521,0.1196658928272264
excited,50,0.9869719699960521,0.1196658928272264
or,50,0.9869719699960521,0.1196658928272264
from,49,0.9672325305961311,0.11727257497068186
people,48,0.9474930911962101,0.11487925711413734
sticker,48,0.9474930911962101,0.11487925711413734
able,48,0.9474930911962101,0.11487925711413734
god,48,0.9474930911962101,0.11487925711413734
long,47,0.9277536517962889,0.11248593925759282
tay,47,0.9277536517962889,0.11248593925759282
hahaha,46,0.9080142123963679,0.11009262140104827
cant,46,0.9080142123963679,0.11009262140104827
who,46,0.9080142123963679,0.11009262140104827
gonna,45,0.8882747729964469,0.10769930354450373
same,45,0.8882747729964469,0.10769930354450373
la,45,0.8882747729964469,0.10769930354450373
had,44,0.8685353335965259,0.10530598568795921
see,44,0.8685353335965259,0.10530598568795921
tomorrow,44,0.8685353335965259,0.10530598568795921
even,44,0.8685353335965259,0.10530598568795921
going,43,0.8487958941966048,0.10291266783141469
some,43,0.8487958941966048,0.10291266783141469
waited,43,0.8487958941966048,0.10291266783141469
pay,43,0.8487958941966048,0.10291266783141469
cds,42,0.8290564547966837,0.10051934997487015
😍,41,0.8093170153967627,0.09812603211832563
think,41,0.8093170153967627,0.09812603211832563
por,41,0.8093170153967627,0.09812603211832563
our,41,0.8093170153967627,0.09812603211832563
right,40,0.7895775759968418,0.09573271426178111
ive,40,0.7895775759968418,0.09573271426178111
new,40,0.7895775759968418,0.09573271426178111
😂😂,40,0.7895775759968418,0.09573271426178111
then,39,0.7698381365969206,0.09333939640523657
available,39,0.7698381365969206,0.09333939640523657
well,39,0.7698381365969206,0.09333939640523657
fin,38,0.7500986971969996,0.09094607854869205
much,38,0.7500986971969996,0.09094607854869205
work,38,0.7500986971969996,0.09094607854869205
eu,38,0.7500986971969996,0.09094607854869205
finalmente,38,0.7500986971969996,0.09094607854869205
an,37,0.7303592577970786,0.08855276069214751
also,37,0.7303592577970786,0.08855276069214751
how,36,0.7106198183971575,0.08615944283560299
sarah,36,0.7106198183971575,0.08615944283560299
en,36,0.7106198183971575,0.08615944283560299
thing,36,0.7106198183971575,0.08615944283560299
can’t,35,0.6908803789972365,0.08376612497905847
agora,35,0.6908803789972365,0.08376612497905847
hear,35,0.6908803789972365,0.08376612497905847
didn’t,35,0.6908803789972365,0.08376612497905847
here,34,0.6711409395973155,0.08137280712251393
i’ll,34,0.6711409395973155,0.08137280712251393
guess,34,0.6711409395973155,0.08137280712251393
weeks,34,0.6711409395973155,0.08137280712251393
bad,34,0.6711409395973155,0.08137280712251393
were,34,0.6711409395973155,0.08137280712251393
best,33,0.6514015001973944,0.07897948926596941
buying,33,0.6514015001973944,0.07897948926596941
could,33,0.6514015001973944,0.07897948926596941
thanks,33,0.6514015001973944,0.07897948926596941
i’ve,33,0.6514015001973944,0.07897948926596941
end,33,0.6514015001973944,0.07897948926596941
something,33,0.6514015001973944,0.07897948926596941
stream,32,0.6316620607974733,0.07658617140942489
last,32,0.6316620607974733,0.07658617140942489
yet,32,0.6316620607974733,0.07658617140942489
back,32,0.6316620607974733,0.07658617140942489
phone,32,0.6316620607974733,0.07658617140942489
whole,32,0.6316620607974733,0.07658617140942489
2,31,0.6119226213975524,0.07419285355288036
al,31,0.6119226213975524,0.07419285355288036
them,31,0.6119226213975524,0.07419285355288036
they,31,0.6119226213975524,0.07419285355288036
ill,31,0.6119226213975524,0.07419285355288036
yeah,31,0.6119226213975524,0.07419285355288036
wow,31,0.6119226213975524,0.07419285355288036
😂😂😂,31,0.6119226213975524,0.07419285355288036
better,31,0.6119226213975524,0.07419285355288036
emily,31,0.6119226213975524,0.07419285355288036
didnt,31,0.6119226213975524,0.07419285355288036
