token,count,frequencyPer100Comment,frequencyPer100Token
finally,489,9.6526,1.1703
listen,406,8.0142,0.9717
,307,6.0600,0.7347
spotify,288,5.6850,0.6893
album,217,4.2835,0.5193
cd,211,4.1650,0.5050
taylor,189,3.7308,0.4523
just,181,3.5728,0.4332
lol,167,3.2965,0.3997
bought,163,3.2175,0.3901
music,145,2.8622,0.3470
time,144,2.8425,0.3446
que,143,2.8227,0.3422
buy,140,2.7635,0.3351
love,139,2.7438,0.3327
like,134,2.6451,0.3207
😂,128,2.5266,0.3063
omg,124,2.4477,0.2968
know,116,2.2898,0.2776
im,107,2.1121,0.2561
yes,103,2.0332,0.2465
dont,102,2.0134,0.2441
ya,101,1.9937,0.2417
wait,99,1.9542,0.2369
thank,94,1.8555,0.2250
apple,92,1.8160,0.2202
u,88,1.7371,0.2106
streaming,87,1.7173,0.2082
it’s,86,1.6976,0.2058
car,82,1.6186,0.1963
don’t,82,1.6186,0.1963
day,82,1.6186,0.1963
i’m,80,1.5792,0.1915
yay,79,1.5594,0.1891
haha,76,1.5002,0.1819
oh,74,1.4607,0.1771
good,70,1.3818,0.1675
itunes,64,1.2633,0.1532
na,63,1.2436,0.1508
reputation,62,1.2238,0.1484
waiting,62,1.2238,0.1484
ready,59,1.1646,0.1412
songs,58,1.1449,0.1388
listening,58,1.1449,0.1388
money,58,1.1449,0.1388
3,57,1.1251,0.1364
tonight,56,1.1054,0.1340
swift,54,1.0659,0.1292
got,53,1.0462,0.1268
song,52,1.0265,0.1245
need,51,1.0067,0.1221
lo,51,1.0067,0.1221
come,51,1.0067,0.1221
want,50,0.9870,0.1197
o,50,0.9870,0.1197
te,50,0.9870,0.1197
excited,50,0.9870,0.1197
people,48,0.9475,0.1149
sticker,48,0.9475,0.1149
able,48,0.9475,0.1149
god,48,0.9475,0.1149
long,47,0.9278,0.1125
tay,47,0.9278,0.1125
hahaha,46,0.9080,0.1101
gonna,45,0.8883,0.1077
la,45,0.8883,0.1077
tomorrow,44,0.8685,0.1053
going,43,0.8488,0.1029
waited,43,0.8488,0.1029
pay,43,0.8488,0.1029
cds,42,0.8291,0.1005
😍,41,0.8093,0.0981
think,41,0.8093,0.0981
por,41,0.8093,0.0981
right,40,0.7896,0.0957
ive,40,0.7896,0.0957
new,40,0.7896,0.0957
😂😂,40,0.7896,0.0957
available,39,0.7698,0.0933
fin,38,0.7501,0.0909
work,38,0.7501,0.0909
eu,38,0.7501,0.0909
finalmente,38,0.7501,0.0909
sarah,36,0.7106,0.0862
en,36,0.7106,0.0862
thing,36,0.7106,0.0862
can’t,35,0.6909,0.0838
agora,35,0.6909,0.0838
hear,35,0.6909,0.0838
didn’t,35,0.6909,0.0838
i’ll,34,0.6711,0.0814
guess,34,0.6711,0.0814
weeks,34,0.6711,0.0814
bad,34,0.6711,0.0814
best,33,0.6514,0.0790
buying,33,0.6514,0.0790
thanks,33,0.6514,0.0790
i’ve,33,0.6514,0.0790
end,33,0.6514,0.0790
stream,32,0.6317,0.0766
phone,32,0.6317,0.0766
2,31,0.6119,0.0742
al,31,0.6119,0.0742
ill,31,0.6119,0.0742
yeah,31,0.6119,0.0742
wow,31,0.6119,0.0742
😂😂😂,31,0.6119,0.0742
better,31,0.6119,0.0742
emily,31,0.6119,0.0742
didnt,31,0.6119,0.0742
week,31,0.6119,0.0742
listened,29,0.5724,0.0694
happy,28,0.5527,0.0670
sa,28,0.5527,0.0670
tu,28,0.5527,0.0670
se,27,0.5330,0.0646
katie,27,0.5330,0.0646
does,27,0.5330,0.0646
né,27,0.5330,0.0646
para,27,0.5330,0.0646
hahahaha,27,0.5330,0.0646
mais,26,0.5132,0.0622
y,26,0.5132,0.0622
play,25,0.4935,0.0598
😍😍😍,25,0.4935,0.0598
literally,25,0.4935,0.0598
way,25,0.4935,0.0598
game,25,0.4935,0.0598
e,25,0.4935,0.0598
free,25,0.4935,0.0598
christmas,25,0.4935,0.0598
worth,24,0.4737,0.0574
true,24,0.4737,0.0574
artists,24,0.4737,0.0574
guys,24,0.4737,0.0574
rachel,24,0.4737,0.0574
não,24,0.4737,0.0574
nice,24,0.4737,0.0574
player,23,0.4540,0.0550
course,23,0.4540,0.0550
really,23,0.4540,0.0550
getaway,23,0.4540,0.0550
great,23,0.4540,0.0550
até,23,0.4540,0.0550
playlist,23,0.4540,0.0550
services,23,0.4540,0.0550
lmao,23,0.4540,0.0550
glad,23,0.4540,0.0550
wanna,23,0.4540,0.0550
let,22,0.4343,0.0527
hora,22,0.4343,0.0527
yas,22,0.4343,0.0527
já,22,0.4343,0.0527
meu,22,0.4343,0.0527
little,22,0.4343,0.0527
you’re,22,0.4343,0.0527
enfim,22,0.4343,0.0527
sure,22,0.4343,0.0527
delicate,22,0.4343,0.0527
okay,22,0.4343,0.0527
years,21,0.4145,0.0503
chance,21,0.4145,0.0503
tickets,21,0.4145,0.0503
shes,21,0.4145,0.0503
make,21,0.4145,0.0503
thought,21,0.4145,0.0503
add,21,0.4145,0.0503
took,21,0.4145,0.0503
amazon,21,0.4145,0.0503
today,21,0.4145,0.0503
copy,21,0.4145,0.0503
sua,21,0.4145,0.0503
getting,21,0.4145,0.0503
vai,21,0.4145,0.0503
came,20,0.3948,0.0479
afford,20,0.3948,0.0479
blame,20,0.3948,0.0479
anymore,20,0.3948,0.0479
