status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
138011799033_10155786227599034,"Today's your last chance to snag a copy of Legion for 50% off!

👉 blizz.ly/LegionSale",,photo,https://www.facebook.com/Warcraft/photos/a.298842734033.144051.138011799033/10155786192424034/?type=3,2017-11-28 17:49:48,643,209,95,572,46,7,13,3,2,0
138011799033_10155785413769034,"The time has come to confront the Burning Legion within Sargeras’ seat of power.

Antorus, the Burning Throne Raid awaits.",,photo,https://www.facebook.com/Warcraft/photos/a.298842734033.144051.138011799033/10155785412944034/?type=3,2017-11-28 13:18:14,1750,160,144,1542,142,60,3,0,2,1
138011799033_10155765822739034,"World of Warcraft turns 13 today! 🎉

Tag a friend you made epic memories with in the comments.",Celebrate 13 Years of World of Warcraft!,video,https://www.facebook.com/Warcraft/videos/10155765822739034/,2017-11-23 13:00:00,15122,4172,2177,12357,2405,313,24,20,2,1
138011799033_10155765626199034,"""For the longest time, I thought soulbound meant that you could never take it off and I didn't wanna be stuck with low level gear when I hit max level. So I wore gray gear up until a guildie told me what soulbound meant."" - Bruce

🎨 Player story illustrated by Byelacey",Photos from World of Warcraft's post,photo,https://www.facebook.com/Warcraft/photos/a.298842734033.144051.138011799033/10155765624559034/?type=3,2017-11-22 16:00:01,2680,244,229,1517,127,6,1030,0,0,0
138011799033_10155767696859034,"To celebrate 13 years of Warcraft, we brought back some familiar foes! Where were you the first time you downed them?",Anniversary World Bosses,video,https://www.facebook.com/Warcraft/videos/10155767696859034/,2017-11-22 13:04:49,2555,374,255,2171,283,85,11,5,0,0
138011799033_10155765479764034,"""The group told me to hug the tank, so I spammed /hug and ended up dying. I felt dumb for not knowing what they meant."" - Fusecraft

🎨 Player story illustrated by Mary Varn",,photo,https://www.facebook.com/Warcraft/photos/a.10155754313149034.1073741878.138011799033/10155765478009034/?type=3,2017-11-21 17:01:04,12646,885,3213,6297,540,5,5798,6,0,0
138011799033_10155764651704034,"Prepare for what awaits you within Sargeras’ seat of power with our raid preview of Antorus, the Burning Throne.

🔎 http://blizz.ly/AntorusPreview",,photo,https://www.facebook.com/Warcraft/photos/a.298842734033.144051.138011799033/10155764647444034/?type=3,2017-11-21 13:55:34,1174,98,94,1036,72,63,2,0,1,0
138011799033_10155762626894034,"""My best memory was traveling from Darnassus to Stormwind. I spent a week trying to get there by my noob self but when I got there it was everything I expected. Huge beautiful city with many races I'd never seen before!"" - Erik

🎨 Player story illustrated by Nick Robles",,photo,https://www.facebook.com/Warcraft/photos/a.10155754313149034.1073741878.138011799033/10155762621514034/?type=3,2017-11-20 20:04:08,12029,957,1137,9185,2652,35,54,100,2,1
138011799033_10155762327474034,"Celebrate 13 years of World of Warcraft with our 13-Year Anniversary Art Contest! 🎨

Learn more @ http://blizz.ly/ArtContest",,photo,https://www.facebook.com/Warcraft/photos/a.298842734033.144051.138011799033/10155762323604034/?type=3,2017-11-20 17:03:41,1012,47,46,917,78,5,10,2,0,0
138011799033_10155761834659034,Pilgrim's Bounty is here once more! Reflect on good fortune and share the bounty from Nov 20-27. 🦃,,photo,https://www.facebook.com/Warcraft/photos/a.298842734033.144051.138011799033/10155761834539034/?type=3,2017-11-20 13:44:22,1037,64,81,779,49,3,204,2,0,0
138011799033_10155754286774034,"""I had gotten in a fight with an NPC and had won the fight with only 1 HP left. But I must have used an AoE spell that made a frog attack me because it killed me! I got killed by a level 1 frog..."" - Erica

🎨 Player story illustrated by Faebelina",,photo,https://www.facebook.com/Warcraft/photos/a.10155754313149034.1073741878.138011799033/10155754204809034/?type=3,2017-11-17 17:40:49,12446,676,2375,6480,624,16,5311,14,1,0
