status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
16547831022_10155659907631023,"To be fair, the story mode in Madden 18 is pretty great.
Now through December 17, get a MUT Starter Pack bonus when you buy 3 months of #XboxLive Gold: http://bit.ly/2i4hGtO

ESRB Rating: EVERYONE (Comic Mischief, Mild Language, Mild Violence)",Overheard on Xbox Live - Madden,video,https://www.facebook.com/xbox/videos/10155659907631023/,2017-11-30 18:18:46,492,43,13,437,35,4,12,1,3,0
16547831022_10155659316706023,"#TFW Barry makes a Jill Sandwich joke.
Play Resident Evil HD and over 100 more games on #XboxGamePass: http://bit.ly/2zARnT5

ESRB Rating: MATURE (Blood and Gore, Language, Violence)",,photo,https://www.facebook.com/xbox/photos/a.91876221022.119453.16547831022/10155659315876023/?type=3,2017-11-30 16:00:00,1058,88,73,777,51,1,226,0,3,0
16547831022_10155659104081023,"Nothing beats a little friendly rivalry. 
Now through December 17, get a MUT Starter Pack bonus for Madden 18 when you buy 3 months of #XboxLive Gold: http://bit.ly/2i3zHsj

ESRB Rating: EVERYONE (Comic Mischief, Mild Language, Mild Violence)",Xbox Live - Madden Live Chat,video,https://www.facebook.com/xbox/videos/10155659104081023/,2017-11-30 14:00:00,363,34,6,330,21,0,11,1,0,0
16547831022_10155658851901023,"Stop and admire the 4K tomatoes: Gears of War 4 is #XboxOneX Enhanced. http://bit.ly/2kd0I0D

ESRB Rating: MATURE (Blood and Gore, Intense Violence, Strong Language)",,photo,https://www.facebook.com/xbox/photos/a.91876221022.119453.16547831022/10155658844846023/?type=3,2017-11-30 12:00:00,1621,171,100,1410,155,37,17,1,0,1
16547831022_10155656434181023,"How to play #PUBG, Step 2: LOOT. Take whatever you can, whenever you can. http://bit.ly/2zQmdv2

ESRB Rating: TEEN (Violence, Blood)",,video,https://www.facebook.com/xbox/videos/10155656434181023/,2017-11-29 12:12:39,3140,930,257,2799,268,48,22,0,3,0
16547831022_10155653619866023,"The Microsoft Wish Machine is now accepting wishes at your local Microsoft Store. 
Share your wish today, and it could be selected to come true! Find your store to wish: http://bit.ly/2AdYnJ9 #microsoftwishmachine #contest",Microsoft Wish Machine,video,https://www.facebook.com/xbox/videos/10155653619866023/,2017-11-28 12:07:17,598,167,31,540,33,21,1,0,3,0
16547831022_10155651113701023,"Load up on everything with #XboxGamePass, home to 100+ games for $1 for your first month: http://bit.ly/2AeHGL7",Xbox Game Pass - Cyber Monday,video,https://www.facebook.com/xbox/videos/10155651113701023/,2017-11-27 16:00:00,704,50,19,623,51,3,25,0,1,1
16547831022_10155650974346023,"Experience the world of Halo like never before. 
Halo 5: Guardians is now #XboxOneX Enhanced: http://bit.ly/2jptW8D

ESRB Rating: TEEN (Blood, Mild Language, Violence)",,photo,https://www.facebook.com/xbox/photos/a.91876221022.119453.16547831022/10155650973576023/?type=3,2017-11-27 14:00:01,2180,349,143,1873,216,55,28,4,2,2
16547831022_10155650898996023,"How to play #PUBG, Step 1: LAND. 
The spot you touch down in can make all the difference. http://bit.ly/2jqs2o5

ESRB Rating: TEEN (Violence, Blood)",PlayerUnknown's Battlegrounds: Land,video,https://www.facebook.com/xbox/videos/10155650898996023/,2017-11-27 13:00:00,6891,2759,681,6109,501,57,205,9,7,3
16547831022_10155650784156023,"Last chance to save up to 50% on select #Xbox games. 
Stock up on over 500 deals today: http://bit.ly/2hUgJEf #CyberMonday

ESRB Rating: EVERYONE to MATURE",Xbox Cyber Monday Deals,video,https://www.facebook.com/xbox/videos/10155650784156023/,2017-11-27 12:00:00,786,37,17,726,44,10,2,2,1,1
