author_name,frequency,frequencyPer100Comment
Mariana,42,2.6667
Sarahi,15,0.9524
Maria,15,0.9524
Faaiz,14,0.8889
Laura,13,0.8254
Chloe,11,0.6984
Francesca,11,0.6984
Marilena,11,0.6984
Carlos,10,0.6349
Mitzi,9,0.5714
Gabriela,9,0.5714
Zara,9,0.5714
Courtney,9,0.5714
Luke,9,0.5714
Helena,9,0.5714
Lorena,8,0.5079
Daee,8,0.5079
Sarah,8,0.5079
David,8,0.5079
Jessica,7,0.4444
Lina,7,0.4444
Daniel,7,0.4444
Victoria,7,0.4444
Roberta,7,0.4444
Marie-laure,7,0.4444
Rebekka,6,0.3810
Jordan,6,0.3810
Lisa,6,0.3810
Georgia,6,0.3810
Andrea,6,0.3810
Merye,6,0.3810
Emma,6,0.3810
Chiara,5,0.3175
Melina,5,0.3175
Robert,5,0.3175
Nicole,5,0.3175
Zaha,5,0.3175
Alexis,5,0.3175
Fanny,5,0.3175
Paul,5,0.3175
Alejandra,5,0.3175
Michelle,5,0.3175
Adriana,5,0.3175
Evelyn,5,0.3175
Julia,5,0.3175
Liz,5,0.3175
Marium,5,0.3175
Arath,5,0.3175
Melissa,5,0.3175
Susan,4,0.2540
Angie,4,0.2540
Ginger,4,0.2540
Jennifer,4,0.2540
Lana,4,0.2540
Christine,4,0.2540
Irene,4,0.2540
Luis,4,0.2540
Giada,4,0.2540
Theresa,4,0.2540
Meed,4,0.2540
Sven,4,0.2540
Patrick,4,0.2540
Montserrat,4,0.2540
Karla,4,0.2540
Bieke,4,0.2540
Isabelle,4,0.2540
Karen,4,0.2540
Montse,4,0.2540
Lauren,4,0.2540
Maritza,4,0.2540
Dalikona,4,0.2540
Mary,4,0.2540
Jenny,4,0.2540
Erika,4,0.2540
Yvonne,4,0.2540
Larissa,4,0.2540
Fernanda,4,0.2540
Maréva,3,0.1905
Noor,3,0.1905
Nóra,3,0.1905
Raiyan,3,0.1905
Ana,3,0.1905
Anette,3,0.1905
Rita,3,0.1905
Claire,3,0.1905
Tiffany,3,0.1905
Sharon,3,0.1905
Tania,3,0.1905
Sophie,3,0.1905
Ala,3,0.1905
Juan,3,0.1905
Ashley,3,0.1905
Car,3,0.1905
Michael,3,0.1905
Milly,3,0.1905
Ross,3,0.1905
Joe,3,0.1905
Ryan,3,0.1905
Eric,3,0.1905
Rebecca,3,0.1905
Teresa,3,0.1905
Alicia,3,0.1905
Lucy,3,0.1905
Carolina,3,0.1905
Marky,3,0.1905
Natasha,3,0.1905
Brittany,3,0.1905
Angel,3,0.1905
Zahraa,3,0.1905
Bella,3,0.1905
Alessandra,3,0.1905
Emmanuel,3,0.1905
Frida,3,0.1905
Giordana,3,0.1905
Rachel,3,0.1905
Shannon,3,0.1905
Danielle,3,0.1905
Adam,3,0.1905
Lesley,3,0.1905
Samantha,3,0.1905
Camila,3,0.1905
Nadja,3,0.1905
Betty,3,0.1905
Lee,3,0.1905
Uriell,3,0.1905
Megan,3,0.1905
Mark,3,0.1905
Diana,3,0.1905
Louise,3,0.1905
Gabrielle,3,0.1905
Samuel,2,0.1270
Shelby,2,0.1270
Lara,2,0.1270
Matias,2,0.1270
Inês,2,0.1270
Colleen,2,0.1270
Markus,2,0.1270
Charlotte,2,0.1270
Carla,2,0.1270
Sandy,2,0.1270
Silvia,2,0.1270
Eimear,2,0.1270
Krystina,2,0.1270
Aline,2,0.1270
Reem,2,0.1270
Anum,2,0.1270
Kathy,2,0.1270
Darik,2,0.1270
Anneli,2,0.1270
Stephanie,2,0.1270
Patty,2,0.1270
Clare,2,0.1270
Naomi,2,0.1270
Tom,2,0.1270
Isaac,2,0.1270
Lena,2,0.1270
Erica,2,0.1270
Ellie,2,0.1270
Layla,2,0.1270
Molly,2,0.1270
Alyse,2,0.1270
Csikós,2,0.1270
Iulia,2,0.1270
Dylan,2,0.1270
Ishika,2,0.1270
Joel,2,0.1270
Becky,2,0.1270
Leslis,2,0.1270
Angelika,2,0.1270
Rómulo,2,0.1270
Maddison,2,0.1270
Serena,2,0.1270
Flutura,2,0.1270
Era,2,0.1270
Moritz,2,0.1270
Bernadette,2,0.1270
Efron,2,0.1270
Anna-Lena,2,0.1270
Kate,2,0.1270
Louane,2,0.1270
Muy,2,0.1270
Natalie,2,0.1270
Elizabeth,2,0.1270
Valeria,2,0.1270
Mhamad,2,0.1270
Fiona,2,0.1270
Juliana,2,0.1270
Amy,2,0.1270
Andrés,2,0.1270
Rudy,2,0.1270
Paola,2,0.1270
Elisa,2,0.1270
Kathrin,2,0.1270
Fanja,2,0.1270
Angela,2,0.1270
Lizbeth,2,0.1270
Ivonne,2,0.1270
Romii,2,0.1270
Karolina,2,0.1270
Han,2,0.1270
Fatima,2,0.1270
Anna,2,0.1270
Roel,2,0.1270
Fergie,2,0.1270
Christel,2,0.1270
Paulina,2,0.1270
Paulo,2,0.1270
John,2,0.1270
Aurora,2,0.1270
Adri,2,0.1270
Maggie,2,0.1270
Ludovica,2,0.1270
Donnacha,2,0.1270
Sandra,2,0.1270
Flor,2,0.1270
Barbara,2,0.1270
Alexandre,2,0.1270
Ariadna,2,0.1270
Manuell,2,0.1270
Dante,2,0.1270
Esther,2,0.1270
Amandine,2,0.1270
Aung,2,0.1270
Carol,2,0.1270
Marcus,2,0.1270
Anas,2,0.1270
Francilane,2,0.1270
Rein,2,0.1270
Danna,2,0.1270
Gloria,2,0.1270
Chloé,2,0.1270
Claudia,2,0.1270
James,2,0.1270
Gabi,2,0.1270
Brenda,2,0.1270
Troy,2,0.1270
Zahra,2,0.1270
Jonathan,2,0.1270
FerNando,2,0.1270
Chris,2,0.1270
Dre,2,0.1270
Amalie,2,0.1270
Katie,2,0.1270
Angelica,2,0.1270
Aaron,2,0.1270
Alexa,2,0.1270
Elvio,2,0.1270
Alondra,2,0.1270
Ole,2,0.1270
Abigail,2,0.1270
Francisco,2,0.1270
Maya,2,0.1270
Rizwan,2,0.1270
Lau,2,0.1270
Marie,2,0.1270
Alex,2,0.1270
Lea,2,0.1270
Michaela,2,0.1270
Cindy,2,0.1270
Nguyễn,2,0.1270
Emily,2,0.1270
