status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
209830919114482_1453703974727164,"Feeling thankful for all the love and support I receive from my fans, family and friends.  Happy Thanksgiving all.  #gratitude ‬#thanksgiving",,photo,https://www.facebook.com/ZacEfron/photos/a.462497137181191.1073741825.209830919114482/1453703948060500/?type=3,2017-11-23 14:06:02,43235,540,326,33205,9831,74,117,2,2,4
209830919114482_1449003855197176,Let's #RewriteTheStars.  Check out my duet with Zendaya here: https://Atlantic.lnk.to/TheGreatestShowmanZC #GreatestShowman,Rewrite The Stars,video,https://www.facebook.com/ZacEfron/videos/1449003855197176/,2017-11-18 14:35:26,68414,3361,4094,48412,18985,948,43,15,8,3
209830919114482_1447071815390380,"""Ladies and Gents this is the moment you've waited for...""  We danced our hearts out.  #GreatestShowman",Greatest Showman Rehearsal,video,https://www.facebook.com/ZacEfron/videos/1447071815390380/,2017-11-16 13:02:41,169533,9013,13264,114841,52260,2258,163,5,2,4
209830919114482_1445376735559888,"Channeling my inner HUGH JACKMAN spirit. you HAVE to try this. feels amazing. been doing it once a day for the last few weeks, and I feel results in every aspect of my life, I’m happier, cooler, and stronger in the gym every day.

#greatestshowman
#WWHJD",,photo,https://www.facebook.com/ZacEfron/photos/a.462497137181191.1073741825.209830919114482/1445376718893223/?type=3,2017-11-14 15:45:48,22756,174,222,16852,5641,61,195,1,0,6
209830919114482_1444321605665401,12.20.17 🎩🎪  #GreatestShowman,Greatest Showman Trailer 2,video,https://www.facebook.com/ZacEfron/videos/1444321605665401/,2017-11-13 16:09:39,155063,15642,21177,109470,41383,4086,100,11,9,4
209830919114482_1435237619907133,"""A Million Dreams"" is all it’s gonna take. #GreatestShowman",,photo,https://www.facebook.com/ZacEfron/photos/a.233177686779805.48436.209830919114482/1435229399907955/?type=3,2017-11-03 11:01:20,31162,613,611,24914,5696,521,16,4,5,6
209830919114482_1432681590162736,On Michael Myers patrol. #JamieLeeCurtis #BiggestFan #HappyHalloween 🎃,,photo,https://www.facebook.com/ZacEfron/photos/a.462497137181191.1073741825.209830919114482/1432681030162792/?type=3,2017-10-31 11:13:45,126462,606,837,99890,25779,557,203,10,9,14
209830919114482_1421531061277789,"There are no mistakes in life only lessons. Thanks for the birthday love, you rule.",Timeline Photos,photo,https://www.facebook.com/ZacEfron/photos/a.233177686779805.48436.209830919114482/1421531061277789/?type=3,2017-10-18 16:53:46,79480,2084,1427,57023,22219,83,131,4,3,17
209830919114482_1415689465195282,Happy Birthday big brother Hugh Jackman!,,photo,https://www.facebook.com/ZacEfron/photos/a.233177686779805.48436.209830919114482/1415688898528672/?type=3,2017-10-12 11:12:09,62094,430,329,51215,10572,224,64,5,1,13
209830919114482_1412543415509887,"Sorry Gert, but we're doing things our way. It's road trippin' time. Columbia Sportswear #TestedTough 💪 http://bit.ly/TheEfrons",Road Trippin',video,https://www.facebook.com/ZacEfron/videos/1412543415509887/,2017-10-09 09:00:01,62665,1662,3999,48170,13705,199,577,3,2,9
209830919114482_1408476829249879,"🙏 Chance. - #LA

☝️☝️☝️ for Chance The Rapper

#blessings
#hollywoodbowl 
#love",Timeline Photos,photo,https://www.facebook.com/ZacEfron/photos/a.233177686779805.48436.209830919114482/1408476829249879/?type=3,2017-10-04 04:25:32,31191,194,135,25179,5900,35,65,2,2,8
209830919114482_1402506103180285,Thanks Vogue!  #73Questions   Check out the full link: https://www.vogue.com/article/73-questions-with-zac-efron,73 Questions,video,https://www.facebook.com/ZacEfron/videos/1402506103180285/,2017-09-27 07:47:02,192269,9644,17996,123475,66247,1496,995,25,11,20
209830919114482_1398915966872632,"‪Happy Birthday, Jon Bass! Thanks for sharing with us the 🔑 's to life.  #theyrock‬",Timeline Photos,photo,https://www.facebook.com/ZacEfron/photos/a.233177686779805.48436.209830919114482/1398915966872632/?type=3,2017-09-22 22:38:17,31916,184,106,26672,4989,27,210,4,4,10
209830919114482_1394204167343812,We raced our hearts out for  Children's Hospital Los Angeles #love,Timeline Photos,photo,https://www.facebook.com/ZacEfron/photos/a.233177686779805.48436.209830919114482/1394204167343812/?type=3,2017-09-17 13:12:31,134283,707,802,106083,27636,435,85,17,7,20
209830919114482_1392262887537940,"I had an incredible visit at  Children's Hospital Los Angeles pediatric cancer research program. They are at the forefront of groundbreaking research that saves the lives of kids diagnosed with cancer. Every dollar is so important-- join me in helping these amazing doctors, researchers and brave kids battling cancer. Donate here: http://bit.ly/2h5JU6z  …And follow us at #NauticaMalibuTri #TeamFlow",Timeline Photos,photo,https://www.facebook.com/ZacEfron/photos/a.233177686779805.48436.209830919114482/1392262887537940/?type=3,2017-09-15 09:15:07,42661,348,427,46736,11676,157,25,24,1,-15958
209830919114482_1387344888029740,🎣,Timeline Photos,photo,https://www.facebook.com/ZacEfron/photos/a.233177686779805.48436.209830919114482/1387344888029740/?type=3,2017-09-09 12:03:42,71310,519,537,53457,17552,230,62,6,3,0
209830919114482_1383324418431787,Dialogue is the best restaurant in LA! Congrats Chef Dave. 🙌😎,Timeline Photos,photo,https://www.facebook.com/ZacEfron/photos/a.233177686779805.48436.209830919114482/1383324418431787/?type=3,2017-09-04 11:13:29,56330,290,225,46630,9505,149,38,6,2,0
209830919114482_1380665185364377,"Happy Birthday to the biggest goofball I know, Zendaya! #fbf #rewritesquad #birthdaygirl 🙌☺️👆🎸💫",Timeline Photos,photo,https://www.facebook.com/ZacEfron/photos/a.233177686779805.48436.209830919114482/1380665185364377/?type=3,2017-09-01 11:40:26,71478,213,271,59731,11042,90,578,12,25,0
209830919114482_1379778365453059,Having fun going through the footage of road trippin with Dylan.  More to come... #TestedTough,,video,https://www.facebook.com/ZacEfron/videos/1379778365453059/,2017-08-31 11:11:54,27455,305,380,21619,5465,50,316,2,3,0
