status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
6665038402_10155293017263403,Free festivities are heading to LEGO Worlds this December! 🎄⛄,LEGO Worlds Festivities,video,https://www.facebook.com/LEGO/videos/10155293017263403/,2017-12-06 11:08:02,534,22,90,461,53,3,15,1,0,1
6665038402_10155292235663403,"Vernie from LEGO BOOST is a talking, driving and dancing robot at your service. He can sense color, motion and distance as well as defend your room with his spring-loaded shooter!",LEGO BOOST,video,https://www.facebook.com/LEGO/videos/10155292235663403/,2017-12-06 09:00:00,372,59,51,331,28,12,1,0,0,0
6665038402_10155274456393403,"Our train contest winners are at the station! 🚉 Congratulations to Swandutchman, Pix027, Founder3000 for their terrific trains! 
All entries can be found at: http://rebrick.it/trains",Photos from LEGO's post,photo,https://www.facebook.com/LEGO/photos/a.10150175674793403.303596.6665038402/10155274455108403/?type=3,2017-12-06 07:00:00,2418,77,175,2120,218,77,2,0,0,1
6665038402_10155289402303403,That feeling when your Holiday Shopping is sorted!🎁☃❄,Christmas Shopping sorted!,video,https://www.facebook.com/LEGO/videos/10155289402303403/,2017-12-06 06:00:00,126,4,3,111,6,2,6,1,0,0
6665038402_572721423069647,Nothing beats that festive feeling! 🎄 Get your little builders in the mood with this Christmas copying game ⛄,LEGO DUPLO Santa's Copying Game,video,https://www.facebook.com/LEGO/videos/572721423069647/,2017-12-05 12:03:00,1458,138,165,1287,153,13,5,0,0,0
6665038402_10155289919143403,There’s only one thing better than a tasty Lobster Thermidor 🍴: The LEGO Batman Movie Minifigure Series 2. 🦇😍 Meet the 20 new minifigures arriving in January.,Photos from LEGO's post,photo,https://www.facebook.com/LEGO/photos/a.10150175674793403.303596.6665038402/10155289901668403/?type=3,2017-12-05 11:00:00,11596,2601,2113,8876,1504,173,1024,9,10,0
6665038402_10155289310408403,Sometimes you just have to count to 3 and jump 👊⛷ The LEGO Friends take on the slope ❄,LEGO Friends Snow Resort 41324,video,https://www.facebook.com/LEGO/videos/10155289310408403/,2017-12-05 08:00:00,169,0,10,160,5,1,3,0,0,0
6665038402_10155287299893403,"Tuesday 8am, Elvendale Coffeeshop ☕☕☕",LEGO Elves 41175 Fire Dragon,video,https://www.facebook.com/LEGO/videos/10155287299893403/,2017-12-05 06:00:00,177,2,6,163,8,2,4,0,0,0
6665038402_10155277344923403,Come visit this snowy ❄ little village where the minifigures are decorating and preparing for a beautiful holiday season! 🎄 Discover more holiday builds and inspiration through our LEGO Life app! http://lego.build/2i4NIWv,LEGO House Holiday,video,https://www.facebook.com/LEGO/videos/10155277344923403/,2017-12-04 12:00:00,2324,114,237,2068,231,23,2,0,0,0
6665038402_10155286634198403,Do you remember your last snowball fight? http://lego.build/LEGOClassic_December,,photo,https://www.facebook.com/LEGO/photos/a.10150175674793403.303596.6665038402/10155286621613403/?type=3,2017-12-04 10:00:00,263,11,11,244,14,4,1,0,0,0
6665038402_10155271324513403,Can you solve our Frozen puzzle?❄️🤓,,photo,https://www.facebook.com/LEGO/photos/a.10150175674793403.303596.6665038402/10155271323728403/?type=3,2017-12-03 06:00:00,1357,1962,189,1199,63,21,65,2,6,1
