status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
253591661347566_1913719745334741,"Searches for DIY ornaments are up +53% on Pinterest.

Find more top trending ideas to try for the holidays: https://pin.it/7C_xHfA",eHow,video,https://www.facebook.com/eHow/videos/10155388993561026/,2017-12-06 14:20:37,3596,239,0,3056,477,58,3,0,1,1
253591661347566_1912161798823869,"Nothing beets these healthy smoothie recipes.

Save Pin for later: https://pin.it/busjewhtmq4r33",Goodful,video,https://www.facebook.com/officialgoodful/videos/1866382403432217/,2017-12-05 13:31:35,1142,131,0,1032,86,20,1,1,1,1
253591661347566_1910771962296186,"Because it's #NationalCookieDay. 🍪 🍪 🍪 

Save Pin for later: https://pin.it/tkznmlolun6uue",Food Network,video,https://www.facebook.com/FoodNetwork/videos/10155277539956727/,2017-12-04 16:00:00,664,115,0,563,58,40,1,1,0,1
253591661347566_1910766455630070,"Yes, there are Andes mints on top. #NationalCookieDay
via Real Simple",This Is the Most Popular Christmas Cookie on Pinterest,link,https://www.realsimple.com/food-recipes/recipe-collections-favorites/desserts/most-popular-christmas-cookie-pinterest,2017-12-04 13:38:54,97,9,21,90,6,0,0,0,0,1
253591661347566_1906442046062511,"Green, gold and festive all over🎄🎄🎄

Save Pin for later: https://pin.it/luqkz6cizlhb2p",eHow,video,https://www.facebook.com/eHow/videos/10155365571396026/,2017-12-03 20:00:01,584,57,0,541,34,9,0,0,0,0
253591661347566_1906432286063487,"Searches for DIY ornaments are up +53% on Pinterest.

Find more top trending ideas to try for the holidays: https://pin.it/7C_xHfA",LittleThings,video,https://www.facebook.com/littlethingscom/videos/476222962587081/,2017-12-03 12:00:01,392,92,0,354,31,7,0,0,0,0
253591661347566_1904993629540686,"Easy and healthy breakfast, lunch or snack. 

Save Pin for later: https://pin.it/5r5x232jkbcdgw",Tasty Junior,video,https://www.facebook.com/tastyjunior/videos/537705963250162/,2017-12-02 17:00:01,218,14,0,194,18,5,1,0,0,0
253591661347566_1906675042705878,"""I use Pinterest for inspiration and to stay current. As a furniture designer, Pinterest helps me find and save design styles that I love. My design boards expose me to so much other stuff—sculpture, a redwood tree, vintage National Geographic photos. I try to look at these Pins in a deeper way and pull what I see into my projects."" -Sabin in Los Angeles, California. 

See the Pins that inspire him: https://pin.it/kvikx53ev2eez4",,photo,https://www.facebook.com/pinterest/photos/a.446866188686778.114935.253591661347566/1906674722705910/?type=3,2017-12-02 12:00:01,193,8,6,181,12,0,0,0,0,0
253591661347566_1906462219393827,"Holiday parties are the perfect excuse for extra shimmer. Searches for gold eyeliner looks are up +722% on Pinterest. 
via HuffPost","This Is The No. 1 Holiday Beauty Trend Of The Year, Says Pinterest",link,https://www.huffingtonpost.com/entry/this-is-the-1-holiday-beauty-trend-of-the-year-says_us_5a14874ae4b009b331ad7551,2017-12-01 17:00:03,116,11,12,114,1,0,0,0,0,1
253591661347566_1906449312728451,"What if you tried a new recipe this weekend? 

Save Pin for later: https://pin.it/ezmjjsxq5jg3ys",Preppy Kitchen,video,https://www.facebook.com/PreppyKitchen/videos/1836408039723979/,2017-12-01 14:37:18,257,39,0,216,27,13,0,1,0,0
253591661347566_1904741106232605,Merry everything! 🎄🎅🎁,Brit + Co,photo,https://www.facebook.com/britandco/photos/a.248424585220998.60653.201553549908102/1639145892815520/?type=3,2017-11-30 17:00:01,667,28,0,602,54,9,1,0,0,1
253591661347566_1904727586233957,"'Tis the Season!

Find more top trending ideas to try for the holidays: https://pin.it/7C_xHfA",eHow,video,https://www.facebook.com/eHow/videos/10155368668631026/,2017-11-30 14:01:45,13880,2639,1,11071,2043,209,541,11,3,2
253591661347566_1903104399729609,"These recipes are so good, you won't miss the carbs.

Save Pin for later: https://pin.it/c6bg4irrg44ofz",Goodful,video,https://www.facebook.com/officialgoodful/videos/1839902979413493/,2017-11-29 13:20:28,1926,202,1,1766,119,38,2,0,1,0
253591661347566_1901845963188786,"Saves for sequined jackets are up +229% on Pinterest.  
via Glamour",The Party-Ready Trend That's Blowing Up on Pinterest,link,https://www.glamour.com/gallery/how-to-wear-sequin-jackets,2017-11-28 17:20:58,133,12,9,122,5,2,3,0,0,1
253591661347566_1899543603419022,"Goodbye grease stains. 

Save Pin for later: https://pin.it/kdx6qbe5axwcwj",eHow,video,https://www.facebook.com/eHow/videos/10155345711236026/,2017-11-27 13:39:16,638,38,0,588,24,25,0,1,0,0
