status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
329320336203_10156082244133933,Rewatch every episode? Abso-fucking-lutely.,Sex and the City | Every Single Episode on HBO,video,https://www.facebook.com/sexandthecity/videos/10156082244133933/,2017-11-16 15:13:26,66475,4423,4479,49525,16155,93,656,6,4,36
329320336203_10156055539108933,"HBO is forty-f*cking-five, and sexier than ever.",This is HBO: Celebrating 45 Years,video,https://www.facebook.com/sexandthecity/videos/10156055539108933/,2017-11-08 10:05:00,1906,83,85,1735,93,4,45,2,1,26
329320336203_10155870408706204,"""Who the hell do you think you are?"" 
""Your boss.""",HBO,video,https://www.facebook.com/HBO/videos/10155987373988933/,2017-10-16 16:57:21,1649,179,1,1556,28,1,14,2,1,47
329320336203_10155809669926204,,"The Worst Dates On 'Sex And The City', Ranked",link,http://uproxx.com/tv/sex-and-the-city-worst-dates/,2017-09-25 15:15:58,7148,595,265,6349,386,10,352,0,1,50
329320336203_10155764031841204,,HBO,video,https://www.facebook.com/HBO/videos/10155870742383933/,2017-09-09 13:10:49,10623,711,1,8192,1043,24,1334,9,21,0
329320336203_10155566113746204,,UPROXX,link,http://uproxx.com/tv/samantha-jones-quotes-sex-and-the-city/,2017-07-11 11:10:57,13246,1129,3,11321,1530,19,369,3,4,0
329320336203_10155441816101204,"We now pronounce you Queen and Queen. 👑  

Friendship: It’s what connects us.",,video,https://www.facebook.com/sexandthecity/videos/10155441816101204/,2017-06-08 15:47:19,9086,453,394,8166,736,12,142,2,5,23
329320336203_10155434845721204,,Entertainment Weekly,video,https://www.facebook.com/entertainmentweekly/videos/646958935502396/,2017-06-06 14:31:28,22364,932,4,18336,3659,342,15,7,5,0
329320336203_10155323510821204,🎟🎟🎟,SARAH JESSICA PARKER AND ADAM MOSS: IN CONVERSATION - Vulture Festival,link,http://vulturefestival.com/event-page/sarah-jessica-parker-and-adam-moss-in-conversation/,2017-05-04 09:24:42,4272,260,75,4044,170,46,6,1,4,1
329320336203_10155293564636204,Make sure to share this with your most *fabulous* friend.,The Mention,video,https://www.facebook.com/R29Entertainment/videos/1315198578517268/,2017-04-24 17:28:14,42565,5444,5,29730,8043,32,4753,4,3,0
329320336203_10155232674801204,HBO: It's what connects us. http://itsh.bo/HBOAhhh,Sex and the City,photo,https://www.facebook.com/sexandthecity/photos/a.470717061203.286688.329320336203/10155232674086204/?type=3,2017-04-07 09:16:44,15884,341,370,14255,1514,100,11,1,2,1
329320336203_10155205407911204,,Entertainment Weekly,link,http://ew.com/tv/2017/03/30/sex-city-alternate-opening-credits/,2017-03-30 14:02:07,10796,781,1,9567,753,455,16,2,3,0
329320336203_10155134432061204,"“The fact is, sometimes it’s really hard to walk in a single woman’s shoes. That’s why we need really special ones now and then to make the walk a little more fun.”

Happy International Women's Day ❤️",Timeline Photos,photo,https://www.facebook.com/sexandthecity/photos/a.441173061203.228035.329320336203/10155134432061204/?type=3,2017-03-08 16:50:16,121809,1597,12343,103353,18042,50,354,4,5,1
329320336203_10155097955301204,"Raise a cosmo to Charlotte! 
Happy Birthday, Kristin Davis 🍸",Timeline Photos,photo,https://www.facebook.com/sexandthecity/photos/a.441173061203.228035.329320336203/10155097955301204/?type=3,2017-02-24 11:28:20,55830,1063,755,50829,4925,24,47,1,4,0
329320336203_10155065961096204,"""‘Maybe we can be each other’s soul mates. And then we can let men be just these great, nice guys to have fun with.”

Happy Valentine's Day from us to you 😘",Timeline Photos,photo,https://www.facebook.com/sexandthecity/photos/a.441173061203.228035.329320336203/10155065961096204/?type=3,2017-02-14 10:20:50,189390,14494,22520,157876,30584,49,853,20,8,0
329320336203_10154977860321204,Grab a cosmo and take the Sex and the City superfan quiz 🍸,Are You a Sex and the City Superfan? Take This Quiz to Find Out,link,http://parade.com/534277/m-b-roberts/are-you-a-sex-and-the-city-superfan/,2017-01-17 16:52:14,19461,1431,811,17746,1609,81,22,3,0,0
329320336203_10154962001891204,"""Hallmark doesn't make a 'Congratulations, you didn't marry the wrong guy' card. And where's the flatware for going on vacation alone?""",Refinery29,video,https://www.facebook.com/refinery29/videos/1211931928843934/,2017-01-12 13:35:08,33382,1723,2,27445,4424,10,1498,2,3,0
329320336203_10154894916841204,Which of these famous guest stars was your favorite? 🤔,25 of Sex and the City's Most Famous Guest Stars,link,http://ew.com/gallery/sex-and-city-famous-guest-stars/nathan-lane-bobby-fine/,2016-12-28 14:45:00,11345,1061,394,10544,721,56,18,1,5,0
329320336203_10154881961406204,,The Mention,video,https://www.facebook.com/R29Entertainment/videos/1191011407602653/,2016-12-19 12:25:11,34921,1852,2,28156,5203,15,1544,2,1,0
329320336203_10154776560016204,Some styles never go out of season.,"'Sex and the City' Styles, 15 Years Later",link,http://www.etonline.com/slideshow/gallery/134803_Sex_and_the_City_Styles_By_Season/#17,2016-12-07 17:30:00,31476,547,1167,28069,3151,43,203,4,6,0
329320336203_10154776558071204,They came. They Saw. They dated. 💔,www.vogue.com,link,http://www.vogue.com/13489873/sex-and-the-city-boyfriends-exes-carrie-bradshaw/,2016-11-29 11:28:03,14377,270,220,13342,875,51,106,1,2,0
329320336203_10154770730781204,"Be bold, push the envelope, and don't be a style snob.",What 'Sex and the City' Taught Kim Cattrall About Personal Style,link,http://www.harpersbazaar.com.au/news/fashion-buzz/2016/10/kim-cattrall-interview/,2016-11-22 11:12:01,11770,196,278,10810,915,36,8,1,0,0
329320336203_10154770737381204,Cocktails can be telling 😉🍸,"Community Post: Which ""Sex And The City"" Character Are You Based On Your Favorite Cocktail?",link,https://www.buzzfeed.com/mackbend/which-sex-and-the-city-character-are-you-based-o-i2td?utm_term=.dr1rv3wXJ#.fuEe1ajZL,2016-11-18 11:14:01,12949,467,385,11945,872,4,126,2,0,0
329320336203_10154770728131204,"This Wednesday and every Wednesday, we know who to pick for our #WomanCrushWednesday.",#WomanCrushWednesday: The Ladies of ‘Sex and the City’,link,http://hiddenremote.com/2016/10/12/womancrushwednesday-the-ladies-of-sex-and-the-city/,2016-11-16 11:00:05,6220,122,86,5805,394,3,17,0,1,0
329320336203_10154753796276204,💓,Who What Wear,video,https://www.facebook.com/WhoWhatWear/videos/10155497541347942/,2016-11-11 12:53:36,49416,2162,0,42578,6639,32,153,14,0,0
329320336203_10154729151446204,"""I don't believe in the Republican Party or the Democratic Party. I just believe in Parties.""

Make your voice heard this Tuesday. #useyourvote",Sex and the City's cover photo,photo,https://www.facebook.com/sexandthecity/photos/a.10150780318006204.474896.329320336203/10154729151366204/?type=3,2016-11-03 16:54:28,2081,82,60,1967,63,2,48,1,0,0
329320336203_10154774731248933,"Just because you have a college crush on Dan Quayle, doesn't mean you should forget to vote. 

#UseYourVote",There's Nothing Fictional About This Election...,video,https://www.facebook.com/sexandthecity/videos/10154774731248933/,2016-11-03 16:27:51,7247,143,515,6903,176,7,151,6,3,1
329320336203_10154698523221204,Square. Pink. Amazing. 🌹,Sex and the City,photo,https://www.facebook.com/sexandthecity/photos/a.470717061203.286688.329320336203/10154698523116204/?type=3,2016-10-25 11:14:50,15507,445,413,14124,1250,13,101,10,8,1
329320336203_10154658721796204,All SATC sex scenes are not created equal.,Quiz: Which Sex and the City Sex Scene Are You?,link,http://www.cosmopolitan.com/entertainment/tv/a5949516/sex-and-the-city-sex-scenes-quiz/,2016-10-14 10:10:35,15525,594,452,14239,1070,13,195,2,6,0
329320336203_10154630004516204,Cure for a love drought? Dinner with the best friend.,Timeline Photos,photo,https://www.facebook.com/sexandthecity/photos/a.441173061203.228035.329320336203/10154630004516204/?type=3,2016-10-10 18:30:00,33934,1084,1269,31171,2640,9,110,4,0,0
329320336203_10154630002331204,"When Kegels seem like too much, there's always yoga.",Timeline Photos,photo,https://www.facebook.com/sexandthecity/photos/a.441173061203.228035.329320336203/10154630002331204/?type=3,2016-10-09 11:30:00,16726,200,267,15691,735,8,289,2,1,0
329320336203_10154630007571204,The invitation said BYOB.,Timeline Photos,photo,https://www.facebook.com/sexandthecity/photos/a.441173061203.228035.329320336203/10154630007571204/?type=3,2016-10-08 18:30:00,35228,350,672,32239,2053,22,911,0,3,0
329320336203_10154635459576204,Sarah Jessica Parker is live from Facebook Media Central in New York and is taking your Divorce questions.,,video,https://www.facebook.com/sexandthecity/videos/10154635459576204/,2016-10-07 13:08:33,26932,3264,1311,17251,8922,274,307,76,102,0
329320336203_10154632118291204,"Take note. Join Sarah Jessica Parker tomorrow for a Facebook Live Q&A moderated by Eva Chen. 

Leave your Divorce questions in the comments below.",Facebook Live with Sarah Jessica Parker,video,https://www.facebook.com/sexandthecity/videos/10154632118291204/,2016-10-06 09:33:27,3406,125,87,3194,155,52,5,0,0,0
329320336203_10154629034541204,"Peep the Sex and the City reunion from the Divorce red carpet on HBO's Instagram Stories. <3 

------> https://www.instagram.com/hbo/",Timeline Photos,photo,https://www.facebook.com/sexandthecity/photos/a.441173061203.228035.329320336203/10154629034541204/?type=3,2016-10-05 09:47:20,58089,725,1010,49088,8315,616,66,3,1,0
329320336203_10154611178571204,Just a regular Sunday with your closest girlfriends.,Timeline Photos,photo,https://www.facebook.com/sexandthecity/photos/a.441173061203.228035.329320336203/10154611178571204/?type=3,2016-10-02 12:05:00,44901,694,1256,40954,3709,19,203,13,3,0
329320336203_10154611188351204,Saturday night goals.,Timeline Photos,photo,https://www.facebook.com/sexandthecity/photos/a.441173061203.228035.329320336203/10154611188351204/?type=3,2016-10-01 18:08:00,32331,381,525,30013,2200,9,107,1,1,0
