status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
19614945368_10155252746690369,#TimePOY,,photo,https://www.facebook.com/TaylorSwift/photos/a.113530295368.91862.19614945368/10155252746580369/?type=3,2017-12-06 10:40:39,80668,1101,2924,59463,19692,1320,135,12,33,13
19614945368_10155247273995369,"Thank you Edward Enninful, Mert Alas and Marcus Piggott for your passion, spirit, and contagious laughter on set. Mert and Marcus took these photos for British Vogue and my album photos for reputation, and it’s been such a bonding experience working together so closely and talking so much about what we wanted to make. It’s been a while since I’ve done a magazine cover. I’m really happy my first one back was with such wonderful people.
#NewVogue",,photo,https://www.facebook.com/TaylorSwift/photos/a.113530295368.91862.19614945368/10155247271755369/?type=3,2017-12-04 12:48:09,83013,1670,2613,58759,22431,1643,127,16,11,26
19614945368_10155242663045369,"Last night was funnnn. Thank you to everyone who came to KIIS-FM Jingle Ball YOU WERE SO LOUD! 
And dancy. 
And wonderful. 
Photo credit: Kevin Mazur",Photos from Taylor Swift's post,photo,https://www.facebook.com/TaylorSwift/photos/a.10151999693490369.1073741829.19614945368/10155242662965369/?type=3,2017-12-02 19:10:00,113208,1377,2176,86718,25267,962,164,34,18,45
19614945368_10155239085860369,"'reputation' on vinyl is now available for pre-order! All pre-orders placed between 12/1/17 - 12/15/17 come with a free REP sticker. 

Pre-order here: taylor.lk/repVinyl",,photo,https://www.facebook.com/TaylorSwift/photos/a.113530295368.91862.19614945368/10155239083585369/?type=3,2017-12-01 12:18:14,31424,1258,743,23564,7037,687,57,41,14,24
19614945368_10155237150595369,,"""reputation"" Available Tonight On All Streaming Services",video,https://www.facebook.com/TaylorSwift/videos/10155237150595369/,2017-11-30 17:46:24,86855,10548,4727,60316,24411,1794,205,30,68,31
19614945368_10155230390815369,"The Taylor Swift Tix portal is now closed! Check your email this Saturday for your personalized presale date and time.

Also, due to overwhelming demand, a second show date has been added in select markets. Head to taylorswift.com/events for more information!",,photo,https://www.facebook.com/TaylorSwift/photos/a.113530295368.91862.19614945368/10155230389990369/?type=3,2017-11-28 12:19:33,40562,2089,962,32275,7348,672,52,145,35,35
19614945368_10155230327535369,Every song starts somewhere! See how “King of My Heart” was written in The Making of a Song on DIRECTV NOW only from #TaylorSwiftNOW.,TMOAS: King Of My Heart from Taylor Swift NOW,video,https://www.facebook.com/TaylorSwift/videos/10155230327535369/,2017-11-28 12:00:16,51903,1348,2398,39788,11439,458,125,18,43,32
19614945368_10155227380755369,"Cyber Monday only! Get a free Album Cover Phone Stand with orders over $100 AND free shipping in the U.S. until 11:59p EST tonight. 

‪Shop here 👉 taylor.lk/store",,video,https://www.facebook.com/TaylorSwift/videos/10155227380755369/,2017-11-27 08:48:46,16333,360,258,12575,3391,245,43,35,20,24
19614945368_10155219767140369,"Black Friday is HERE! Get a FREE REP Phone Stand with all orders over $100 in the online store until 11:59p ET tonight AND get free ground shipping on all U.S. orders

Shop here 👉 taylor.lk/store",,video,https://www.facebook.com/TaylorSwift/videos/10155219767140369/,2017-11-24 09:03:07,14312,385,225,10659,3255,269,43,43,14,29
19614945368_10155217264355369,"New merch was just added to the online store!! To celebrate, you’ll get free ground shipping on U.S. orders!

Get it while it’s hot 👉  http://taylor.lk/repstore",New Merch,video,https://www.facebook.com/TaylorSwift/videos/10155217264355369/,2017-11-23 09:04:53,23972,1112,979,16845,6304,632,33,122,11,25
19614945368_10155215339035369,The Taylor Swift Snake Ring is featured in Entertainment Weekly's 2017 Holiday Gift Guide: For the Music Fan! Check it out here and comment your favorite color 🐍,Gifts to buy the music fan on your holiday shopping list,link,http://ew.com/music/holiday-gift-guide-music/taylor-swift-snake-ring/,2017-11-22 13:30:50,21052,683,419,15722,4724,480,69,22,4,31
19614945368_10155210604335369,‘reputation’ Magazines Available Worldwide!,,status,,2017-11-20 18:32:45,18824,850,246,14108,4106,357,24,150,43,36
19614945368_10155206720485369,"🎶 Say my name and everything just stops // I don't want you like a best friend 🎶

#reputation available now: taylor.lk/reputation-iT",,status,,2017-11-19 13:15:18,13752,392,389,10240,3326,127,15,4,4,36
19614945368_10155200206230369,"Pre-sale for Taylor Swift's reputation Stadium Tour starts December 5! If you're registered for Taylor Swift Tix, be sure to head back into the portal to set your ticket preferences and get some additional boosts in line! If you're not registered, you still have time: taylor.lk/tickets",Taylor Swift Tix,video,https://www.facebook.com/TaylorSwift/videos/10155200206230369/,2017-11-17 14:42:24,48331,3684,1339,37768,9610,624,137,138,25,29
19614945368_10155196638095369,"TODAY ONLY! Don’t miss out on the chance to get the reputation Magazines for a limited-time price.

Order here: taylor.lk/Target",,photo,https://www.facebook.com/TaylorSwift/photos/a.113530295368.91862.19614945368/10155196636150369/?type=3,2017-11-16 09:28:36,33263,1858,869,24516,7385,994,60,239,20,49
