status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
209830919114482_1464886130275615,Just singing in the rain...#greatestshowman,,photo,https://www.facebook.com/ZacEfron/photos/a.462497137181191.1073741825.209830919114482/1464886106942284/?type=3,2017-12-05 09:32:32,62862,604,681,46198,16320,279,44,13,4,4
209830919114482_1463741010390127,Let’s go Hugh Jackman! #greatestshowman,,video,https://www.facebook.com/ZacEfron/videos/1463741010390127/,2017-12-04 04:41:05,25465,171,205,19770,5024,33,630,5,2,1
209830919114482_1461329043964657,A pic is worth a thousand words. Only ones I can think of now are: wtf were u thinking dude?! Look at her!! #GreatestShowman #RebeccaFerguson,,photo,https://www.facebook.com/ZacEfron/photos/a.462497137181191.1073741825.209830919114482/1461329017297993/?type=3,2017-12-01 14:07:33,78168,481,399,63045,13754,242,988,58,79,2
209830919114482_1453703974727164,"Feeling thankful for all the love and support I receive from my fans, family and friends.  Happy Thanksgiving all.  #gratitude ‬#thanksgiving",,photo,https://www.facebook.com/ZacEfron/photos/a.462497137181191.1073741825.209830919114482/1453703948060500/?type=3,2017-11-23 14:06:02,43246,541,326,33212,9834,74,118,2,2,4
209830919114482_1449003855197176,Let's #RewriteTheStars.  Check out my duet with Zendaya here: https://Atlantic.lnk.to/TheGreatestShowmanZC #GreatestShowman,Rewrite The Stars,video,https://www.facebook.com/ZacEfron/videos/1449003855197176/,2017-11-18 14:35:26,68428,3361,4095,48422,18989,948,43,15,8,3
209830919114482_1447071815390380,"""Ladies and Gents this is the moment you've waited for...""  We danced our hearts out.  #GreatestShowman",Greatest Showman Rehearsal,video,https://www.facebook.com/ZacEfron/videos/1447071815390380/,2017-11-16 13:02:41,169563,9016,13273,114858,52273,2258,163,5,2,4
209830919114482_1445376735559888,"Channeling my inner HUGH JACKMAN spirit. you HAVE to try this. feels amazing. been doing it once a day for the last few weeks, and I feel results in every aspect of my life, I’m happier, cooler, and stronger in the gym every day.

#greatestshowman
#WWHJD",,photo,https://www.facebook.com/ZacEfron/photos/a.462497137181191.1073741825.209830919114482/1445376718893223/?type=3,2017-11-14 15:45:48,22764,174,222,16859,5642,61,195,1,0,6
209830919114482_1444321605665401,12.20.17 🎩🎪  #GreatestShowman,Greatest Showman Trailer 2,video,https://www.facebook.com/ZacEfron/videos/1444321605665401/,2017-11-13 16:09:39,155071,15644,21178,109476,41385,4086,100,11,9,4
209830919114482_1435237619907133,"""A Million Dreams"" is all it’s gonna take. #GreatestShowman",,photo,https://www.facebook.com/ZacEfron/photos/a.233177686779805.48436.209830919114482/1435229399907955/?type=3,2017-11-03 11:01:20,31167,613,611,24917,5698,521,16,4,5,6
209830919114482_1432681590162736,On Michael Myers patrol. #JamieLeeCurtis #BiggestFan #HappyHalloween 🎃,,photo,https://www.facebook.com/ZacEfron/photos/a.462497137181191.1073741825.209830919114482/1432681030162792/?type=3,2017-10-31 11:13:45,126472,607,837,99898,25781,557,203,10,9,14
209830919114482_1421531061277789,"There are no mistakes in life only lessons. Thanks for the birthday love, you rule.",Timeline Photos,photo,https://www.facebook.com/ZacEfron/photos/a.233177686779805.48436.209830919114482/1421531061277789/?type=3,2017-10-18 16:53:46,79485,2084,1427,57027,22220,83,131,4,3,17
209830919114482_1415689465195282,Happy Birthday big brother Hugh Jackman!,,photo,https://www.facebook.com/ZacEfron/photos/a.233177686779805.48436.209830919114482/1415688898528672/?type=3,2017-10-12 11:12:09,62100,430,329,51219,10574,224,64,5,1,13
209830919114482_1412543415509887,"Sorry Gert, but we're doing things our way. It's road trippin' time. Columbia Sportswear #TestedTough 💪 http://bit.ly/TheEfrons",Road Trippin',video,https://www.facebook.com/ZacEfron/videos/1412543415509887/,2017-10-09 09:00:01,62669,1663,3999,48173,13706,199,577,3,2,9
209830919114482_1408476829249879,"🙏 Chance. - #LA

☝️☝️☝️ for Chance The Rapper

#blessings
#hollywoodbowl 
#love",Timeline Photos,photo,https://www.facebook.com/ZacEfron/photos/a.233177686779805.48436.209830919114482/1408476829249879/?type=3,2017-10-04 04:25:32,31193,194,135,25180,5901,35,65,2,2,8
209830919114482_1402506103180285,Thanks Vogue!  #73Questions   Check out the full link: https://www.vogue.com/article/73-questions-with-zac-efron,73 Questions,video,https://www.facebook.com/ZacEfron/videos/1402506103180285/,2017-09-27 07:47:02,192273,9644,17997,123476,66249,1496,995,25,11,21
209830919114482_1398915966872632,"‪Happy Birthday, Jon Bass! Thanks for sharing with us the 🔑 's to life.  #theyrock‬",Timeline Photos,photo,https://www.facebook.com/ZacEfron/photos/a.233177686779805.48436.209830919114482/1398915966872632/?type=3,2017-09-22 22:38:17,31918,184,106,26674,4989,27,210,4,4,10
209830919114482_1394204167343812,We raced our hearts out for  Children's Hospital Los Angeles #love,Timeline Photos,photo,https://www.facebook.com/ZacEfron/photos/a.233177686779805.48436.209830919114482/1394204167343812/?type=3,2017-09-17 13:12:31,134289,707,802,106089,27636,435,85,17,7,20
